af014bbf20	ආස්වාදය සොයමින් වෙහෙසට පත්වන්නේය.
af96c16d77	ප්‍රඥා භාවනාවක් වශයෙන් විදර්ශනා භාවනාව ද
af979a42f3	ශ්‍රී ලංකාවට මහා සම්පතක්
af988a1b8a	මම අත් දැකල තියනවා
af98a46842	ශෝකයකුත් භයකුත් නැත.
af991ea098	එකක් මේ සංවිධාන තහනම් කිරීම
af99d0343a	හැරුණු විට
af9a2443aa	අනික ඔයා හොද ළමයෙක් නම්
af9a714290	එම භූමිය තුළට පිටස්තරයින්ට පැමිණීම තහනම් උණා
af9a8c356b	කියන පට්ට බොරුව
af9ab5e612	නමුත් එයාට සාර්ථක අස්වැන්නක් නෙලාගන්න බෑ.
af9b2515b2	නමුත් දැන් ඔබතුමාගේ ලියවිල්ලට අනුව
af9b2cc430	මේ වැඩසටහනේ කියවෙන්නේ නැත.
af9b9a7100	ඇති විශේෂතාවයකි.
af9bdc58d0	මොකද අද කොටස බලලා
af9c6cb1e9	අන්තිමේදී හීනයක් දැක්කා වගේ
af9d258120	එතුමා නතර කරපු තැනින්
af9d38c9e1	අලිකොටආරේ ජල පාලන ජලාශයක් ඉදිවන අතර
af9d40ac68	එදිනෙදා ජීවිතයේදී අප කරන කියන වැඩකටයුතු
af9d9139dd	අවුරුදු කාලය ගත කිරීමට
af9d953da9	එලෙසින් ශ්‍රද්ධාව නමැති
af9e6ee410	අනෙක් සාමාන්‍ය රෝහලක තියෙන
af9eb96bad	ජනකායක් ඔවුන්ගේ වාසස්ථානවලින් දැනටමත්
af9ec4ea5d	good morning photos
af9eeb8ffe	උන් මැරිච්ච දුකට හූල්ලලම මළා
af9ef7cad7	ආණ්ඩු පක්ෂ මන්ත්‍රීවරු විස්සක්
af9efdc85f	සැවොම ඊට දක්වන ප්‍රතිචාර
af9f01dc66	එක්සත් භික්‍ෂු පෙරමුණේ
af9f36878e	මේ ලිපිය තුළින් මැනවින් මතු කර ඇත.
af9f83115b	තාත්තව හොයාගන්න උදව් කරන්න කියලා.
af9f92a520	උඹ ලියනකොට කොහොමද ලිව්වෙ කියල හිතල බලපන්
af9fac46fc	korean drama jewel in the palace move photos
afa11c9ccf	සුපටිපන්නෝ කියන එක විස්තර වශයෙන්.
afa15a536b	අන්න ඒකෙ එක කොටසක් වෙච්චි
afa1f9b363	ඒක පළවෙනි කොටස බැලුවම
afa2b10d16	අතීතය සදහටම අමතක කරනන
afa31ae2b9	ජාන තාක්ෂණය මගින් ජානමය වෙනස්කම් කළ
afa37c511d	උඹට පල්ලියේ ලෙබ්බේ උගන්නලා තියෙන්නේ බාගෙට
afa3ab2851	එය පැවසිය යුත්තේ
afa42cc7d2	එබැවින් දානයේ ආනිශංස වටහාගෙන
afa532a7bc	සටන් වැදීමේ මාදිලි වශයෙන්
afa53d03d8	punjab news
afa5bf5951	එම ත්‍රස්තවාදීන්ගේ ම තියුණු ආයුධයෙන්
afa63cb305	කොමඩු පිපිඤ්ඤා දිවුල් කොස් කොළ සහ
afa6e74d13	මෙ චිත්‍රපටිය බලන්නම වෙනවා..
afa7406ca6	කියමින් ගෙදරට වී සිටී.
afa7cd7d35	hospital uk
afa834326e	ස්තුතියි මිහාන් සහෝ
afa8956e7f	මට තමුසෙ කියන ගොන් කතා
afa920bebe	දරුවන් උදෙසා සිරිත් මල්දම ලියවිනි.
afa93d8b0d	ඒත් මෙතැනදී ඔබගේ
afa9697389	එක් ගායකයෙක් හෝ ගායිකාවක් ගෙනත්
afa9bba48b	අනිත් කුරුල්ලෝ කියූ විදියට නම්
afa9f61e15	වර්ග කර ගන්න එක.
afaa3ef706	ඉල්ලීමක් කළහ.
afaa48539b	කුහකත්වය හා අත්තනෝමතිකකම් මත.
afaa94a93c	රංග ශිල්ප ශාලිකා පරිශ්‍රය භාවිතයට ගැණින
afaafcc422	ඇමට එල්ලන බල මාළු බොකු හාල්මැස්සන් ඉස්සන් බන්ට් එකේ තැන තැන දමා ඇත.
afab12e474	හැම තිස්සේම අනතුරක් තියෙන්නේ පාප මිත්‍රයාගෙන්
afab959118	එය චාරිත්‍රයක්, යුතුකමක් වශයෙන් මෙන්ම
afac16b640	මේ නිසාම හේතු ප්‍රත්‍ය බිඳීයාමෙන්
afac5b30cd	මෙහිදීද කතුවරයා
afac948b31	ඉතිං මම මීට වඩා කිව්වොත් කිසි ගතියක් නැති වෙනවනෙ
afacb0b5ce	එයට සහභාගී වන්නා
afacd4a490	outdoor products backpacks
afad2c89c9	උඹ කියන්නෙ එතකොට
afaf150205	එසේම භික්‍ෂූන්ට ද වදාළ සේක
afaf4087c3	කිසිවකු විසින් මෑත භාගයේ ඉදිකරන ලද බුදු කුටියකි.
afaf9240a7	සිතට අවංක වුනාම ඕනෑම දේක
afafd5de8a	තේරුම් ගත්ත නිසායි.
afb05be393	සමාජයේ පිරිහීම බව මනාව විදහා දක්වයි.
afb071d5a0	ගොඩ බාන්න නොදෙන හින්දා
afb0b29694	එම ස්ථානය බලනගල වශයෙන්
afb0ec2985	අපට කැලේ ඇතුලේ ඉන්න කියලා
afb17a5745	දැරූ තැතක් ලෙස පෙනේ.
afb1960bed	උන්දෙලා මේ මිත්‍යා දෘෂ්ටිය
afb2274a4d	game for girl
afb24ead0e	ඉතින් ජාතිකත්වය අත්හළ ඊනියා ලිබරල් පඬියකුට
afb2fffc5b	මම ඒවා කොළවල ලියාගෙන
afb5591d8e	මේක මත ගොඩක් දේවල් රඳනවා.
afb576dd11	අල්පයක් හරි අවබෝධයක් නැතුවද
afb5955844	ලිපිය පිහිටා තිබෙන්නේ
afb5c8e5f5	අන්ජන් තමන්ගේ ක්‍රමයට අභී ට උදව් කරනවා
afb6374bc2	බොහෝ සෙයින් යහපත්
afb66f560c	ඒ වෙනුවෙනුයි
afb73cb55c	මෙතැනදී වැදගත්ම දෙය තමයි පිළිගත් සැලැස්මකට අනුව නිපුණතා සංවර්ධනය සිදු කිරීම.
afb795822d	කැමති නැහැ කියන්න.
afb7a1b3a3	ඉටුවන ලකුණු පෙන්නුම් කරන අද දින
afb7cbb37a	මෙම බහිරවයන් යොදා ගෙන තිබීමයි
afb806e275	එතුමන් ගේ දෛනික ජීවිතය දේශනා ක්‍රම
afb824f42b	බුද්ධිමත් තරුණ පරපුරක් අපේ රටට නැතිවීම පමණයි.
afb8260a3d	ඒකෙන් බලාපොරොත්තු වෙන්නෙ පාඨකයගෙ
afb8d2b872	අශ්ව ගැටලුව
afb907cb2b	ගොඩනැඟෙන සන්නිවේදන ජාලාව
afb990d120	sinhala cartoon
afb9f51d0b	අවබෝධ නොකරන්නේ අවිද්‍යාවයි.
afbadd2864	මෝඩ කතා ලියලා අපේ වෙලාව නාස්ති කරන්න එපා.
afbade947a	වගා කරන ගොවියොත් දන්නවා.
afbae29efb	යම් සමාගමක් යම් චිත්‍රපටයක් කරලා නොමිලේ බෙදා හරිනවා
afbaf70d54	නම් කොට ඇති අතර
afbb18a4d2	අනික් ඒව මොනව උනාම මොකද
afbb206dc6	යෝග ශාස්ත්‍රය ලොවට බිහිවූයේ මේ හේතුව නිසාමයි.
afbb27bdbb	කෙමෙන් කෙමෙන් ගෙවිලා යන එකක්.
afbb53da8b	මොකද්ද මේ නිදහස
afbb84c122	ඉතින් මේ වෙනුවෙන් මොකක්හරි
afbbbcda4b	සිත තුළ බලාපොරොත්තු රාශියක් එකතු වී
afbbeeb5a6	ඔන්න මන් දවසක් රුපවහිනිය බලන කොට
afbc94ec4b	එහෙමනම් හින්දි හොඳේ?
afbc996c96	ඉර එන්න කලින් අහසට
afbca23c37	ඔබේ අධ්‍යාපන කටයුතු
afbcadbc61	සිදුහත් කුමාරය බුදු උනේ
afbcbddddf	දාන සංකල්පය ජනතාවගේ ආර්ථික තත්ත්වය උසස් කිරීම පිණිස
afbcd99383	මේ නිසා ධනය ලබා ගැනීමට
afbda95fec	එජාප කටකථා බලකායේ නායක
afbdc2a24c	page borders
afbe0c2df2	ඒ බොරුව බොරුවක්
afbe7c6cf9	විකුර්ති කරන්නෙත් ඔන්න ඔය පෑගීම
afbe8771da	එම වෙනස නැවතත්
afbe8a1c68	බීලා අනුන්ට වද නොදී ඉන්නවනං
afbf83f171	අනික මේ රේටින්ග්ස් ලබා ගන්න
afbfc7c4d6	ඇත්තක් තියෙනව.
afc1464574	මුන් කෑ ගහන්නෙ ඉස්සර කාලෙ හදපු වැව් ටිකකුයි දාගැබ් ටිකකුයි අල්ල ගෙන නෙ.
afc17e5cb2	ආදරය මේරූ පසු
afc180b33e	ඔක්කොම සුන්නත් කරන්න ඕන
afc1ef07ab	මත්පැන් පානයට ගිජු වීම
afc244641f	දේශනා කොට වදාරන ලද මෙම ධර්මය
afc245072e	නමුත් මුලික වශයෙන්ම
afc272dfa8	උන් වහන්සේ විටින් විට
afc3025048	දොර බාගෙට වසාගත්තේය.
afc3284071	අදත් හිටියා
afc3a6afed	එසේම අන්‍යාගම්කරණය නැවැත්විම
afc401e949	එවකට පැවති ඉංග්‍රීසි පාලනය බව යි.
afc41736b1	බෞද්ධ ශ්‍රාවකයාට තථාගතයන් වහන්සේ සරණ ගිහින්
afc427dbb5	ඉන්දියාව දහතුන් වැනි ස්ථානය ද ගෙන තිබේ
afc443b4da	එනිසා එහි දිගුවක් නොවී
afc46d19d1	කරපු පව් කැපෙන්නැ‍.
afc47cb9d5	සාමාන්‍ය සංචාරක වීසාව
afc53e683f	ශරීරයෙහි ගිනි හෝ, විස හෝ, සැත් හෝ නොවදියි.
afc5674a86	අලි ඇතුන් සහිතව
afc68aa902	teen 18
afc69aa470	තරහ යන බව තේරුම් ගනිමින්
afc6d67110	එනම් ගෑබ් ගබ්සාව
afc6fba201	බඩු කිරන කෙනාට
afc7188f68	ඊට පස්සේ මට මතක
afc780060d	නැති කර ගත්තේ නැහැ.
afc796fa50	ඊයේ උදයේ හේන්රි කල්දේරා ගේ සින්දුවක් වෙනස් කරලා
afc7a8d24f	මෙහි වචන භාවිතා වෙන්නේ.
afc80040b1	එය ලෝක උරුමයක්
afc880582b	අපේ හිටිය පිනා පල්ලා
afc8da2cf1	එයාගේ හතුරන්ව මරාගෙන
afc9377b9f	මොන දේකත්
afc9c9665b	අපි කවුරුත් කල්පනා කළ යුතු වෙමු.
afca36e38c	මාධ්‍යවේදී ප්‍රසාද් පූර්නිමාල් ජයමාන්න සමඟ
afca475ce6	මොකද එයාලා රටින් පිටවෙලා
afca607844	මෙහි ධර්මය යනු
afca62bea1	සුද්දන්ට යන තත්ත්වයකට පත්වෙලා තියෙන්නේ
afca669e85	ව්‍යවච්ඡේදකයාගේ දෙවැනි විප්ලවීය කරුණයි
afcba15a14	ගුණවර්ධන මහතා
afcbc3708f	උතුම් වූ නිවන් මඟට පැමිණිය හැක.
afcc07fce7	සැවැත් නුවර සිරිගුත්ත හා ගරහදින්න නමින්
afcc4812bd	ආගන්තුක වත් පිළිවෙත් සිදුකොට උපස්ථාන කළහ.
afcc7b8d6a	ඉන්ද්‍රිය යනු ඇස කන නාසය දිව හා සම සිරුර වේ
afcc952232	සිල් පද පහ රැකගන්න
afccbfdf8a	youtube downloader free download
afcccdd76f	අපි බොහෝ දෙනෙකුට ඒකෙන් සෑහෙන්න පුළුවන්
afccec8e59	ගුවන් විදුලි තරංග වැනි
afccf3fdef	රංගනයෙන් දායක වෙනවා.
afce2fdcfd	වෙනත්සයිට් එකකින් නේද?
afce5e68e4	මෝඩ ළමයි බියෙන් සැලෙන්නා
afceb921d3	අපේ උත්තමාචාරය හිමිවෙන්න ඕන.
afceeb7a7f	එබඳු ස්ථාන
afcf50e740	ලොකුම ලොකු කේක් ගෙඩියක්.
afd045acdd	පැමිණෙද්දී අප සියලූ දෙනාම නැගිට්ට යුතුයි.
afd0904c58	ළඟට ගියොත් බැරි වෙයිද
afd108cd84	ලෝක විනාශයක් කිසිසේත්ම සිදුවිය නොහැක
afd1348612	එතන තියෙන හැලඹ ගහේ
afd158869d	මොකද පස්සෙ දවසක හරි
afd17e423a	සත්ගුණ ධර්ම නොමැති බව
afd17e8f71	ළඟදීම තවත් සුපිරි චිත්‍රපටයකින්
afd1c5463b	ආසියාවේ මෙවැනි ගිටාරයක් හිමි එකම වාදන ශිල්පියා මමයි.
afd2904506	හැම පැත්තෙන්ම චෝදනා ගලා ගෙන එද්දී
afd2e9a7d0	විවරණයක් ලබා දී ඇති නිසා ඒ ගැන ලියන්නේ නෑ.
afd3a6b306	ඒක ඔහෙට කොහොම පේනවද
afd4245ccc	මැක්සා බයිස්කෝප් එකක්.
afd42b41f5	මුරගල කිසිදු කැටයමකින් තොරය.
afd44f460c	සත්පුරුෂ ආශ්‍රයෙන් චතුරාර්ය සත්‍යය ධර්මය අසන්නට ලැබෙනවා
afd5436a4a	රහත් භාවයට පත් නොවී
afd558891a	ජල ක්‍රීඩාවෙහි යෙදී සිටියේ ය.
afd5e61ea5	ඔබේ අදහස ඔබේ පැත්තෙන් හරිය
afd655b946	පින හෝ පව යනුවෙන්
afd7302da2	සියල්ලන්ගෙන් සපිරි දිවියක් ගත කළ නොහැක.
afd7b1a879	අනවශ්‍ය පමනට ඔහුව යොදා ගැනීම
afd7ef1c3e	මයිකල් බලකර ඇතත්
afd8bdecd5	දරුවන් පිරිහීමට පත් වන්නේ ඇයි?
afd8e90d30	දළදා වහන්සේ වැඩ විසීම
afd91f7dd9	රණවිරුවන් විසින් පාරක් තනා දී තිබීම සැබෑවකි.
afd922f4ee	එල කොල්ලෙක්නෙ
afd9329303	එල එල තුති සහෝ
afd99108a7	මෙයාට ප්‍රජා අයිතිය ලැබෙයි කියලා.
afd99b4753	මම දැනන් හිටියේ නෑ.
afd9e30be7	අංග ජනපදයේ භද්දිය කියන නගරයේ
afda00d8e0	ලියා තබන ඓතිහාසික මහනුවර පුරවරය
afda6ba5eb	මලට පොහොර මෙන්
afdaac1fa2	තව දවස් දෙක තුනකින් හම්බවෙමු
afdabd93ab	ඒකට විසඳුමක් විධියට
afdbde5003	ඉන්ග්ලිෂ් වත් කතා කර ගන්න බැරි එකෙක්.
afdc9d6008	ලෝකයත්
afdcbdce12	එය ජීවයක් කරගත යුතුය.
afdd06845f	නිර්මාණය සමග මුසු වෙලා තියෙනව
afdd160b12	අම්මට කියලා පෑන්කේක් හදාගෙන ආවා
afddc90af8	ඒ මරු සිරා ගැන
afde0816b6	තමන් මතු නොවී චරිතය මතු කරන එක
afde94a21c	ඒවා කැමති ලෙස භාවිතා කිරීම ගැන
afdec8881e	එතන ඉඳගෙන දවසින් භාගයක් පුහුණුවීම් කරල රූගත කරනවා
afdef27252	ගෙජ්ජිය බඳින්න මීයෝ කතා උනා වගේනේ.
afdf27ac2f	ලංකාවේ දී එම ක්‍රමවේදය
afdf5d7e9b	02.දේශපාලන අංශය 03.
afdf7f99f4	කෙරෙන භයානක අනාගතය හේතුවෙනි.
afdf8d2ba0	ගේ නම් තියෙන්නේ
afdfa53500	කිසි බයක් සැකක් නැතුව
afdfbc6317	මේ ඓතිහාසික සිද්ධිය වඩා විචිත්‍රවත් කරයි.
afdfbff5ee	නැති අයත් ඉන්නවා ඒ තැන්වල
afe011ab91	අද මොකෝ වෙන කවි ටිකක් ලියලා තියෙන්නේ
afe05467eb	හරිම තැති ගන්නා සුළුයි.
afe0fbd825	මෙම ජයමංගල ගාථාවලට අන්තර්ගත වී ඇත.
afe12c1c4d	සිව්හෙළයේ යක්ඛ කුම්භාණ්ඩනාග හා ගාන්ධාර්ව යන කොට්ඨාශ
afe150e0c4	ශාන් සහෝ සිංහල උපසිරැසියට.
afe192f597	දක්නට නොලැබිණ.
afe1b7b0ea	සිංදු තියෙනවා අඩුයි නේ.
afe1f75ec5	දක්නට ලැබෙන ශ්‍රද්ධාකාමී ගති ලක්‍ෂණ කිහිපයක් ඇත
afe21bf9b1	සීමාවක්‌ නෑ.
afe22b1419	මූලික අධ්‍යාපනය
afe2d11273	එකක් වගේ.
afe33bcfe6	අන්තිමට දෙන්නා හොදයි
afe3484dfb	එහෙත් එම බලාගාරයෙන් අහිමි වූ
afe3506abd	නිරීක්‍ෂණය කළ හැකිය.
afe401faab	මේ‍ක නම එලම එළ ෆිල්ම් එකක්
afe439ee87	දර්ශනයේ ස්වභාවයයි.
afe50e2f43	ඒත් දැනට
afe51d6698	උන්වහන්සේගේ කුටිය පිටත
afe5375ddb	බසයේ ගමන් කළ මඟීහු
afe5384f1b	අන්තිමට බලද්දි
afe5ab51fc	බද්ධ වෛරයකින්නේ ඉන්නේ
afe697f0b2	මනා සංවරයෙන් යුතු භික්ෂුන් වහන්සේ නමක් ලෙසයි
afe6e8fe5a	මේ නිසා අසත්පුරුෂ ඇසුර
afe801f162	ඊළඟ දිය බුබුල ඇති වෙනකොට
afe80e4df9	මේ වෙළෙඳ දැන්වීම නම් ගැළපෙන්නෙ රූපවාහිනියට කියලා
afe85a5ea2	එවිට හාමුදුරුවන් ලඟින්ම සිටි සිටින රෝගියා
afe8d59976	වෙනත් තැනකට වඩා භයානක වීම
afe9e76196	මේ වනවිට අල්ලස් කියන දේ ගත්තොත්
afea46e342	මවිසින් ඔබ ට භාර කිරීමට කැමැත්තෙමි
afeae688bc	උන්ව මාකට් කරනකොට
afeb4ad1e7	ඒවා තිබුනේ කොහෙද?
afeb4ecce9	ආඩම්බර වීමට හේතුවක්.
afeb846589	එමෙන්ම දන්දීමෙහි ආනිශංස පිළිබඳ
afeb97e979	ඓතිහාසික ''වීදි නාට්‍ය'' රඟදැක්වීම සිදුවිය.
afebc997ba	මොකක්ද උඹලට තියෙන ප්‍රශ්නය.
afebece4aa	සිදුවන බවට හේතුදක්වයි.
afec9e1633	එක්තරා භික්ෂුවක් බුදුරජාණන් වහන්සේ බැහැදකින්නට ගොස්
afecf149e9	එකළ පැවති රෝග සුව කිරීම
afed8ef052	එතන ගිහින් බැලුවත් අපේ ඉන්න ටික දෙනාම තමයි
afedab7410	තේරුම් ගන්න එයා ඉඩහැරියා.
afeddf4ea2	මිනිස් අයිතිවාසිකම් කිසිවක්
afee2073ee	ඊයේ රාත්‍රියේ සිට වහාම ක්‍රියාත්මක වන පරිදි
afee29833d	ඔන්න මං උපෙ කරද්දි
afee599a8e	ආහාර සොයා ගන්න
afee8039d4	ඔය වගේ වැඩ
afeed58bb3	මුල් කාලේදී කළා වගේ
afef4f9f52	උසාවියකදී වුවත් කියන කාරණාවක් ඔප්පු කළ යුතුය
afef9567a7	රොයිලි සහෝ.
afefa9f60f	ඔබට පෙනීයාහැකිය.
afefadd77f	යනුවෙන් ජීවක උපාසකතුමා බුදුරජාණන් වහන්සේගෙන් විමසුවේය.
aff00209ec	ඒකට කරන්නේ මොකද්ද කියලා හිතන්නෙ.
aff0214b68	එම නිසා වී වැපිරීම කරන කල්හි
aff035d132	බාහිර වශයෙන් පුරුදු පුහුණුවන සෑම දේකම
aff0602f8b	ධීවර වගා කටයුතු සුලු වෙළඳාම් වැනි
aff0af0f27	තිබෙනවා වගේ ලක්ෂණ ශාස්ත්‍රයත් නිපදෙව්වා.
aff0b3aa73	උන් දවසින් වැඩි කාලයක් ගෙවන්නේ
aff0cb22db	එයින් ලැබෙන ආදායම ගැන
aff0eb6fe8	බුද්ධ චරිතයේ එක් සුවිශේෂී අවස්ථාවක් නිරූපණය කර තිබීම
aff110978f	පසුගිය සතියක රාවය පත්තරේ කතා කරලා තිබුනා
aff14ac49c	යහපත්සේ සලකන මේ ශරීරය දෙස බලන්න.
aff184d594	සුනිල් ආරියරත්නට සලකපු විදියත්
aff1e40195	බුදුරජාණන් වහන්සේ දේශනා කළහ.
aff209879c	අශෝකමාලා චිත්‍රපටිය තුළින්ම නේද?
aff287d52f	බොහොම ස්තූතියි දනා සොයුරට
aff2dac7c1	අශෝක අනේ
aff30b3d89	එයා ඒක එවනවා පළ කරන්න
aff30c7987	අච්චර ජන සන්නිපාතයක් සිටිය ද
aff3512984	අන් අයගේ අයිතීන් ට ගරු කරන සමාජයක් බිහිකල හැක්කේ
aff3f48ed9	පරම ආයුෂ බුක්ති විඳීමට
aff436c39a	මේ වී ඇට ප්‍රමාණය ගන්න
aff5fcbb1c	නායකත්ව කුසලතාවයන් වැඩි දියුණු වනු ඇත
aff6bb87ed	මම සුරා පානයෙන් වැළකීමේ
aff714340d	කිමිඳුම්කරුවකු කිමිදෙන කවි ද
aff747a484	ආපහු වැඩවසම් තැනට ගෙනයන්න.
aff80aa4ba	නොබෝ වේලාවකින් හිස් කුටියකට පිවිසි සේක
aff835f50a	එනිසා ඔහුට මොනරාගල දිස්ත්‍රික්කය
aff8384f9d	බොරු පැමිණිලි කිරීමට ඉඩ ඇති බැවිනි.
aff866afae	මංගල ශ්වේත රාත්‍රිය පැවැත්වුණා.
aff9b6268c	ලෝකයෙ ඇති අමාරුම
affa15cac6	මෙසේ කය අතහැර යන සිත
affa4322a8	ගල්ගමුවෙනුත් කිලෝමීටර කට වඩා දුරින් පිහිටි මහකත්නෝරුව
affa49dc99	ඒවා වීඩියෝ කරලා දැම්මොතින් කොහොමට තියෙයිද?
affa63bb81	හැඩ වැඩ නොදා
affa67c88b	ඊළඟ එක ලැබෙනවා
affb1b0340	සල්ලි කොට්ටේ යට හංගාගෙන ඉන්නවා.
affb507435	ඇමතිවරයා කියා සිටින්නේ
affbb162a3	අප අමතක නොකළ යුතුයි
affbbcd2f6	මේක ලැබෙන්නේ හේතුවක් නිසා කියලා.
affc63c20b	අවසානයේදී ආදරයෙන් බැඳුණු
affc7e975e	එවැනි අයට එරෙහිව කටයුතු කරන්න
affc85e98f	භගු මහරහතන් වහන්සේට
affcd9865c	මෙම මතය ගොඩනැඟීමට හේතු වූ
affd195283	එතුමාගේ මව පෙන්වීමි.
affdacf921	ක්‍රියාකළ යුතුයි.
affe2bc4f5	සියදිවි හානි කර ගන්නවා.
affe8bf34f	මීදුමෙන් වටේම වැහිලා.
affeb4f722	තාම විස්තරයක් නැද්ද?
afff8370b5	වනජීවී සංරක්ෂණ දෙපාර්තමේන්තුව මේ වනවිට
