7200a8ee6c	අනාපානසතියේ පළමු පියවර
72a579705d	යෝගාවචරයා භාවනාවේ යෙදීමට පෙර
72a5c07187	සමාන පහසුකම් දිය හැකිය.
72a5ccd64e	වඩා ශ්‍රේෂ්ඨ බව බුදුරදුන් වදාළහ.
72a63528a1	ඒත් දැන් ඒ මිතුරිය
72a66a743f	පාස්සන්න ගෙනියන්න
72a6c44b76	බුදුරජාණන් වහන්සේ සැවැත්නුවර ජේතවනාරාමයේ වැඩ සිටිය දී
72a701c26d	එමෙන්ම ඉහත ගාථා රත්නය තුළින්
72a725289c	දහම් පිපාසාව නිවන තවත් එක් පින් බිමෙකි.
72a8818cb4	පොරවා ගත්තේ ය.
72a925cc86	ආලෝකය නො පෙනෙයි.
72a974e416	එකම අයිතිවාසිකම් ලැබිය යුතුයි.
72a98532d9	සෞන්දර්ය ඇසකින් විමර්ශනය කරන විට
72a989dbb3	රද්දොළුගම සෝම හිමි ගුණසමරු පදනම විසිනි.
72ab24f3f4	පුරාවිද්‍යා දෙපාර්තමේන්තුව මගින් සංරක්‍ෂණය කර ඇත.
72ab282796	ශාසනයෙහි පැවිදි වන්නට වූහ.
72aba2cde5	එය කරන්නේ එකී කාර්යයි
72ac5a5111	අවම වශයෙන් උපහාසයට හෝ හාස්‍යයට ලක් කරන්න එපා.
72ac791dce	ඒක නිසා මේ ඇත්ති
72ad2caddc	රංගන ශිල්පිනියක් කියන භූමිකාව
72ad7628ce	පින ගැන අවබෝධයෙන් කටයුතු කරපු අය
72ade16e3c	මා තරයේම විශ්වාස කරන දෙයක්
72ae1d857d	ජනාධිපතිතුමාගේ අවධානය වෙන කවරදාටත් වඩා යොමුවීම
72aee2a281	අමාවතුර බුත්සරණ ගුත්තිලය සංදේශ කාව්‍ය
72af2e18fa	තරුණ අවදියේම තම නෑදෑයන්ගෙන් ඈත්වී
72af2f72fe	එහෙම නොවෙයි
72af694c22	සඳහන් වූයේ මෙය පැරැණි කාලයේ
72afac2d16	ඔය ජෝඩුව සතියට දවසක් දෙකක්
72b04a81ed	එය උස් සැකිල්ලක් සෑදීමේ කාරණයේ දී
72b0fcb506	අප වන ජීවි සංරක්‍ෂණ දෙපාර්තමේන්තුවේ
72b108b2d3	flash
72b1f581ef	සැණෙකින් එය හදුනා ගනු ඇත.
72b213319d	මේ හැම කෙනෙක්වම හදුන්වා දෙනවා.
72b21f7d18	අත තබන විට නාද දෙන සීනු ආකාරයේ සීනු පද්ධතියක් සවිකිරීමට
72b2222049	බොහෝම කනගාටුයි
72b2538df9	මෙසේ දුර් වර්ණ වූ චිත්‍රයකි.
72b2f38012	නිදා පිබිදීයාක් මෙන්
72b36f0887	සාහිත්‍ය විචාර ප්‍රදීපිකා
72b3aa9965	අප මවිතයෙන් බලා සිටියා
72b428f37e	අතිශයින් දුර්ලභ කාරණාවකි.
72b44e5dbc	පිරිතක්
72b514e09c	අන්තිම අසාර්ථක සිංදුවක් මේක.
72b553b4bb	දත්ත ආරක්ෂණ පරගණක වැඩසටහන් සකස්කිරීම.
72b56be08a	අනෙක්‌ සැකකරු ඊයේ වනතුරුත්
72b59281a8	පිඬු සිඟා යෑමේ සිරිත සංවිධානය කරති.
72b73eafac	අපි අන්තර්ජාලයේ ගූගල් ජීමේල් ආදියෙන් වගේම
72b766f56e	මේ සත්ත්ව වෙළදාම කෙරෙන්න ඕන නෑ කියලා.
72b834e221	ඒකෙන් වෙන්නේ
72b8d8e264	මෙම චිත්‍රවල පොදුවේ උසස් සෞන්දර්යාත්මක ගුණයක් ඇත.
72b935ae85	ඒක ටික ටික
72b9961bc3	sinhala news paper
72b99b549b	පය තබා යන්න පටන්ගත්තා
72b9ce8c73	කුසල ජනක කර්මය උපපීළක කර්මයෙන්
72bb12c2ef	දොරටුව ළඟදී
72bc351966	ඒත් දැන් ලියන්නේ
72bca6742a	ඉතිං ඌට බොහොම නිදහසේ අහස පුරාම ඇවිද යන්ට හැකි වුණා
72bcd90f80	කුලපති මහතා විමසීය
72bd17d1cc	යුද්ධය අවසානයේදී
72bd8eee77	බයිස්කෝප් සෙට් එකට බොහොම ස්තුතියි
72bdf11b28	පෙන්වාදීම සඳහා ඉදිරිපත් කළ හැකිය
72be74744b	පින විතරක් ළඟට එනකම් බලාගෙන
72be8fe748	එමෙන්ම මත් වතුර නිෂ්පාදනය,
72bf54be30	නිර්වාන මාර්ගය සදහා අවශ්‍ය නැත.
72bfbb3db3	මේකොක තිබුනත්
72bfd6a9a4	මෙම අභයගිරි විහාරය ගොඩ නංවන ලද්දේ
72bfe5494a	එය සිය විදේශ ප්‍රතිපත්තිය
72c031e4f2	නවකතාවේ කතාව තුළට රැගෙන ඒමට
72c107645a	තරහ යන බව තේරුම් ගනිමින්
72c147d0fe	බිහි කර ගැනීමට
72c23b9e09	උතුම් වූ ස්ථානයකි.
72c292318e	පස්සෙ දවසක කියන්නම්..
72c2ad36a5	අද දවසේ යම් කිසි අපහසුවක
72c2d8c3be	බව කියැවෙන්නේ ය
72c2f917d8	පුරුෂයා මෙන්ම කාන්තාව ද
72c33c088d	ඔහු ආභස්සර දෙව්ලොව උපදිනවා.
72c352861a	දානාදී පින්කම් කිරීම සිදුවෙයි.
72c3b82662	දැන් ඉතිං ඇඹලයා වෙලා හිටපු එකා
72c3c4a032	අය දැන් නෑ කියලා.
72c3f22150	ඔහු එය හෙළි නොකරනවා ඇති.
72c4006267	අර බඩ තඩි හාදයගේ
72c4626414	ඒක වැරදියි
72c498d7ed	එය සතු තැනැත්තා වෙතින් උදුරාගෙන
72c4a128a3	ඒත් ආයෙම ලියන්නෙ සාමාන්‍ය සිද්ධි.
72c4baa662	ලෞකික වශයෙන් බිය
72c4e8fc9c	දේශසීමාහි නොසන්සුන්කාරී තත්ත්වයක් ඇතිව තිබිණි
72c4e9ab6b	තියෙන්නේ අවබෝධයක් නැති කමයි.
72c4f55345	අයියෙ මේ සතුට හැමදාම පවතීවා
72c549a9be	මොහොතින් එතැන හඳුනා ගත නොහැකි වන සේ
72c5d8913a	රජකමට පත්වුණේ උපතිස්ස ඇමති බව සඳහන්.
72c605a55a	අප වෙත යොමු කළ
72c64b6e97	රදලියගොඩ අත්අඩංගුවට ගැනීමටද
72c68143fe	ඔහු තම ගෝලයන් දැන දැන රවටන බවය
72c72c1ecb	ඔන්න බලපන් පොලිස් කාරයෝ
72c74bd27b	එයින් වත්කම් ප්‍රමාණය ඉහළ යන
72c8030a79	උතුරන තෙල් උෂ්ණත්වය ශීඝ්‍රයෙන් වැඩි වෙනවා.
72c83fdab7	සබඳකම් පවත්වා ඇති මොහු
72c843e6c5	marine engineering general motor knowledge
72c942cbb2	ඇය ප්‍රමාදය.
72c9f1056e	පරලොව විනාශයත් ඇතිකර ගනියි.
72ca37e0ad	තමාගේ සෞඛ්‍ය ආරක්ෂාව යහපත් වීමය.
72ca4414a6	කලාත්මක හැඟීමකින් නෙවෙයි.
72ca9b17f8	ඔහුගේ නිවස ඉදිරිපිට වැඩම කළා.
72caa79ed0	භික්ෂූන් වහන්සේලා පෙර වස් සමාදන් විය යුතුය.
72caeff96a	තනතුරු ලබාගැනීමේ
72cb057b99	එම තත්වයන්
72cb103bb4	සාහිත්‍ය විචාර සංහිතා යන කෘති ද
72cb8ef118	නැවේ කාර්යමණ්ඩලය පවසා ඇත්තේ
72cbedeaac	bath room
72cc44de2f	මොකවත් පාලුවෙලා එහෙම නම් නෙවෙයි.
72cc4afeb7	ඉන්දුලංකා ගිවිසුම අත්සන් කරන්නට
72cc57e4df	එමගින් මේ රටේ ජනතාවගේ ආර්ථික ශක්තිය
72cc63b5ac	එහි ඇති දත්ත අනුව
72ccb0678c	මුලින් ඉන්න එකා කියනවා රතු කියලා
72ccbf3a16	මොකද දුරකථනය පාවිච්චි කරනව
72ccc093d7	තමා යෝජනා කරන බව
72cd0e04b5	ඔය දෙකටම
72cd165b8e	සල්ලි හොයන්න
72cd33cfa6	දිනන්න බැරිවුනු නිසා
72cd341d9c	ඔහුට අවුරුදක් පමණ වන විටය.
72cda3bd54	එංගලන්ත කණ්ඩායමේ නායකයා ලෙස
72cda49f77	මේවා සඳහා ආදර්ශය ලබාගන්නා ලද්දේ
72ce69b1fd	කැලණි සිතුවම් වල නොමැත.
72cf3af3b2	අනෙක් සැමියාගේ බිරිඳ බරපතල මිනීමැරුම්
72cf4e1c41	සත්‍යය තියනවා.
72cf6db156	කාන්තාවන් විසින්ම වරදක් කොට සලකනවා
72cf741261	තිදෙනා මර විළාප නඟද්දී
72cfcdc60c	දූෂණය කරන එක නවත්තපල්ලා.
72d103a743	අපූරු රස වින්දනයකින්
72d12c890f	මරණාසන්න වූ පියෙකු තම දරුවන් අමතා
72d1d65c28	පුළුල් ව්‍යාපාරයන් හරහා
72d1da88da	මල් කඩනවා ෆෝන් එකෙන්.
72d2091dd1	මේවා අහන්න තොල් කෙසේ වෙතත්
72d246f8d9	අන්තර්ජාලය පාවිච්චි නොකරපු අය හිතන්නෙ
72d2812fb5	ඉක්මනින් බැඳලා දෙන්න.
72d2c92474	කියල හිතෙන්නෙ.
72d30ee3ce	මෙය පුඤ්ඤාභි සංඛාර, අපුඤ්ඤාභි සංඛාර,අනෙඤ්ඤාභි සංඛාර යනුවෙන්
72d31310e6	එයාල දෙපිට කැපෙන කතා කියනකොට
72d3e4ea62	අර්ථකථනය කරගත හැකි වූ යුගයකි.
72d40a4786	මේ පාර වැඩිය බොන්නෙ නෑ.
72d4390956	බුදු දහමට පටහෑනි දේ සදහායි
72d4571a58	යුක්ති සහගත නොවිය හැක
72d4b70ee3	සිත, කය, වචනය යන තුන්දොර
72d4de9fde	ඇයි මගේ පෙම්වතා අතඇරලා
72d629b4e6	ක්‍රෙඩිට් කාඩ් නැතුව වෙන ක්‍රමයක් නැද්ද?
72d651c390	අංග විකල ළමයෙක් පවුලකට ලැබෙන ඒක කරදරයක් තමයි
72d659ae68	රූස්ස ගස්වලින් සෙවන ලැබූ
72d689befc	මෙසේ ජීවත් වන මනුෂ්‍යයන්ගෙන්
72d713cb75	සොයා බැලිය යුත්තේමය.
72d741962f	සිය ගම්බිම් බලා පිටත් වූහ
72d7f38c39	කාල වේලා ඉක්මගිය පසු
72d7f5196d	ඇති ව්‍යුහය සම්බන්ධයෙන්
72d80801e0	එකෙනෙහි එක්‌ සගයකු පාර දෙසට යන්නට වූයේ
72d8666de1	වසරේ හොඳම අලෙවිය
72d9db1127	ගීතයක් ගායනා කරනකොට
72d9ff6e23	තම ආරක්‍ෂාව සලසා ගන්නේය.
72da24db31	මං වගේම කතන්දරත් උපදින්නේ
72da26209f	දම්වැලක්‌ කකුලේ බැඳගෙන
72da5968df	ගොවීන් සඳහා දෙන
72db17d4ae	එ‍ම ‍අ‍වන්‍හ‍ල ‍ඉ‍දි‍රි‍පි‍ට
72dc702fb5	විරෝධය පළ කරනු ඇත
72dce9e98a	වෛද්‍ය විද්‍යාවේ නව පියවරක් ඇරඹී ඇත්තේය
72dcf52142	මහත් පූජෝත්සවයක් ද කළාහුය.
72dd00fd29	මැදින් මස අමාවක පෝය
72dd5042e9	ඒක ඉවර උන කියලා
72dde1f4ca	ගල්තලාව මුදුනේ
72de155f25	ඒඩ්ස් රෝගය හැකිතාක් දුරට පැතිර යාම
72de34c3cf	රටේ මූල්‍ය පද්ධති වලට
72de556f3e	ගුරුතුමාගේ මග පෙන්වීමෙන්
72de58b9ae	අපට දැක ගත හැකිව ඇත.
72df1c0c12	කොච්චර සැපද ඇදුමෙන්?
72df69f839	ඛේදවාචකයට අප මුහුණ දී සිටිනවා
72dfd7fb3d	සූර්යාගේ රඟපෑම ගැළපුණාද?
72e04d63d4	නියම වැඩක් හේවා
72e070bd9b	මීටත් වඩා පිරිහීමකට ලක් විය හැකිද?
72e0f54f0b	මෙහි කාමච්ඡන්ද යනු
72e110dae5	හැබැයි අපි මේ ජීවිතයේදී
72e1669fab	සභාපති සුනිල් ශාන්ත වීරසේකර නිලමේතුමාගේ
72e17b6592	එය රජකම අත්හැර නිරාමිස ජීවිතයකට එළඹීමක්
72e19fa609	මේ රෝවර් යානය බැස්සවීම
72e1af77a3	මේ රටේ අතීතය අමතකව ගොස් ඇත.
72e2081021	අපි යාන්තම් සිරි පොදක් පින්නක් වැටෙන විටක වුවද
72e23d8999	ආදරණීය පියාණෙනි
72e288056e	මගේ ප්‍රථම සහ අවසාන ප්‍රේමය.
72e2f419cf	අද වන විට අපි සංවර්ධනය කරලා අවසන්.
72e2fb7a77	ඔහු මුදල් පොලිසියට බාර දුන්නේය.
72e31fc9db	අවුල කාඩ්බෝඩ් වීරයෙක් වෙන්න දෙන
72e3547f89	අඩික් දිගින් යුතු මෙම පාලම පළලින් අඩි . පමණ වේ
72e4a2ad31	මොට්ටයො බිහිකර ගන්න කැමැති උන්
72e4b0ce05	කොළ තියෙන ගසක් තියෙනවා.
72e4d1d073	මේ ගුණ නවය පිළිබඳවයි.
72e5b5752f	උපදින තාක්
72e5f4da45	එය හා ජිවිතින්ද්‍රිය එක්වී
72e6021099	හොඳ විපාක ලැබේ.
72e65dad91	අහම්බෙන් මෙන්
72e74861db	එනම් හිමාලයේ වනගිරි දුදුළු අතරෙහි
72e76a74a5	එතකොට තේරෙයි වැඩේ අමාරුව
72e8977cab	“හාමුදුරුවනේ මම ඇවිදිනකොට කඩියෙක් පෑගිලා මැරුණ.
72e8ed4b6d	සීතාවකටත් කුමන්ත්‍රණ එල්ල වෙමින් තිබුන.
72e948a16a	පැත්තකට වූයේ බියෙන් ගැහෙමිනි
72e9b0706b	තෙල් පෙඟවූ රෙදි වලින්
72e9f5ac27	හැටතුන ‍නෙවෙයි
72ea6a2244	ප්‍රකාශ කරල තියෙනවා.
72ea969e0d	නීච දේශපාලනය නම් මට කරන්න බෑ.
72ec3815a7	තිමෝරය කිරිබති පැපුවා නිවු ගිනීයා මෙන්ම
72ec707b34	දිගම දිග රාහු ගිලිල්ලක් ආයි වෙනකොට
72ed16ed17	ව්‍යවසායකයන් ලබන ආදායම ගැන විමසන විට
72ed502459	මේ ලෝකේ කිසිම දෙයක් නෑ තමා
72ed6e342e	ඊට පස්සේ චන්ද්‍රිකා ජනාධිපති කාලෙ
72ed8d2df1	ඊට පස්සේ තව කට්ටිය යවන්ඩ
72eddfc0a6	ඒව හොරකම් කරන අයට.
72ee1b9d21	සෑහෙන විස්තරයක් කලා
72ee1d9cce	විශ්වාසය පොළොන්නරු යුගයේ දී තහවුරු විය.
72ee2bab43	එතකොට ඔහු ඒ දොරටුව ළඟ
72ef1b5630	කරදරයකින් තොරව කෙසේ වෙතත්
72ef6e5a80	රටේ සාමාන්‍ය පොලිසිය තමන්ගේ රාජකාරිය හරි හැටි ඉටු කළා නම්
72f019991b	ඔය එහෙන් මෙහෙන් වංගෙඩියක් හොයාගන්න ඇති
72f0dfdd4d	පෝය දින වල නිවාඩු දිනවල උපකාරක පන්ති වල මුවාවෙන්
72f151d720	අධ්‍යාපන කටයුතුවල උසස් ප්‍රගතියක් පෙන්නුම් කරන අතර
72f1d6a355	එය යට ඇඳුමක් වන්නේ කෙසේද?
72f2abcbf9	ඒඩ්ස් හැදුණු
72f3021123	ඒත් ඉන්පස්සෙ
72f33b4436	සංස්කෘත විදර්ශනා යන්න
72f3808f13	යොමුවන දවසකි.
72f3db76f2	හැඟීමෙන් නෙවෙයි.
72f497d363	උරුම දේපොල පිළිබඳ ආරවුල්
72f4bc1175	අතට අහුවෙන හැම පූරුවක්ම අතට ගනිමින් '
72f5888f83	තුන් ඈදුතු නිමැවුමේම ප්‍රකෘති පිටපත් මිලදී ගනු ලබන්නේ
72f59cf777	ඉතින් මේක බලලා නැති අය
72f5bc7e4e	බයිස්කෝප් අඩවිය.
72f60be148	එකී දුබලතාව
72f619affd	බණ කියන රටක
72f6712e81	යකෝ මොනම දර්ශනයකටවත් පැවැත්මක් නැහැ
72f700068d	ඉලෙක්ට්‍රොනික තාක්‍ෂණය
72f71b0b75	ස්පර්ශයෙන්ම ව්‍යාජ මුදලක් හඳුනා ගැනීම
72f7602412	ඇතැම් දිනවලදී මහා කස්සප රහතන් වහන්සේ පිණ්ඩපාතයෙන් පසු
72f7bdd501	රහස් බලකොටුවක් වශයෙන් පැවැති බව ද කියැවෙයි.
72f7f7e322	ආණ්ඩුවේ ප්‍රශ්න තියෙනවා.
72f8358c46	ඒවා මාස හයක් තිස්සේ
72f882bfce	පොල්ගහවෙල ශාන්ත බර්නාදෙත් ආදර්ශ මහා විද්‍යාලයට ඇතුළත් වුණා
72f90261b4	ඒකේ එකක් තියනවා
72f98a6b77	ඉතා විශාල ජනගහනයක් වසන
72f9aca9f8	චිත්‍රපටයක් කරන්න හිතාගෙන ඉන්නවා.
72fa274393	ගිහින් තියෙනවා.
72fa600bf8	මව ත්‍රිශාලා වූ අතර
72fa652733	පිරිත; බෞද්ධ ජීවිතය හා සබැඳි
72fa851688	දෙවි දේවතාවුන් ය.
72fab3fe47	සිංහල පවුල් වල දරුවෝ
72fad9bf6b	බලපන් උබ දාපු ලිපිය
72fbb6f93d	රවින්ද්‍ර රන්දෙනියත් ඉන්නේ.
72fbd05c7c	ත්‍රාසජනක වැඩ කරනවා.
72fc1c9547	මේ ලින්කන්වත් බේරගෙන
72fd5b5b5a	තදින් ඒ ඇණය
72fd8711ef	බිහිවූ හැටි කියල තියෙනවා.
72fdc87eab	ඒ තමයි
72fe954c7e	එක එක මට්ටම් ය.
72febda4c8	අගනා ශාස්ත්‍රීය ලිපි සතරකින් සමන්විතය.
72fed4ee96	සාහිත්‍යය උත්ප්‍රාසය අරවා මේවා
72ffd3b5a8	ස්ක්‍රීන් ප්‍රින්ට් එකක් ගහලා
