5000251b61	සියලු සූත්‍ර විමර්ශනාත්මකව පිරික්සීමෙන්
509591b15c	බුදුරජාණන් වහන්සේගේ ජයග්‍රහණයක් දක්වා
5095a37176	ලියන්න ඒක බාධාවක් කර ගැනීම
5095aa6a30	බද්ධ ක්‍රියාකාරීත්වය ලෙස නොගනී
5095c57d86	වෙළෙන්දාගේ අස්සයා ඉතුරු වෙනවා.
50963786ac	අපි දැන ගන්නේ හොඳ නරක තත්වය.
50973d2500	සොයා බැලීමට රජය පියවර ගන්නවා විය හැකිය.
50974e0a03	ඉවර කළේ ගිය සතියේ
509808da65	අශ්ව රථයකට නැගුණු දෙදෙනාම
50980d5917	අනාථ තරුණයෙක් ඉන්නවා
50986f2f66	මුදිත ස්වාමින් වහන්සේ
509884d272	සැපට නිදාගන්න තියේ නම්
5098e0e72a	buy mobile phone
509968f9b5	එය අපගේ සසර ගමන
5099ba317b	එම දෙපාර්තමේන්තුව පවසයි
509a1211ba	රටේ නායකයාට මෙවැනි ප්‍රකාශයක් කිරීමට තරම් සිත් වන්නට
509a5208d1	එහෙම නැතිව ආවට ගියාට
509b2731b4	විශ්ව විද්‍යාල තුළ පැවතිය යුතුයි.
509b4e606d	කෝච්චි රියදුරෙක් අදත් ගුටි කයි
509b649fba	අනිත් අයගෙන් ලැබෙනවා.
509b9150b2	හිට්ලර් වගේ ඒකාධිපතියන්ව බිහි කලෙත්
509c5d216b	අපි ලෝකෙම කාන්තාවන්ට අම්ම කිව්වත්
509c8f7a58	ඔන්න ඔය කාරණා ඔස්සේ තමා
509cb258c2	මේ තොරතුරු අනුවද
509d27d9ab	ඉටිකිරිස් දහ අටේ කෙල්ල වගේ
509da9879b	අපේ විවෘත කතාබහ
509df4afde	දහවල් පමණක් ඇතිවුවද
509e0aa32e	ලෝකයෙහි පහළ වන අසමාන්‍ය වූ
509e0c3c95	හරිම ලස්සන මේ චිත්‍රපටිය
509fb8c5a8	ඇයි මේ නම දිගටම භාවිතා නොකරන්නේ?
509ff7aa30	උදෑසනින්ම යනවා නෑදෑ ගෙදරක
50a00487a0	ඒ ආන්ටිට කතා කරලා අහලා බලලා
50a09ade15	තමන්ට රේගුවේ ඥාතීන් නොමැති බවයි
50a16dd1a6	බන අහන අයට කරුනාවෙන් කතා කරන්නත්
50a17f7711	දරුවන් දෙන්ට.
50a1f8a399	ඒක බොහොම වටිනව.
50a1fe40d3	සහජීවනය සහ සහයෝගය කියලත් මේකට කියන්න පුළුවන්.
50a31c1418	විශ්ව න්‍යායක් පැහැදිලි කිරීමට
50a3fce988	එල්ල වෙමින් පවතින බවක් අපටද දැනිණි
50a48d1cd4	උඩරට සියලූම නායකයන් මරා දමන ලද
50a4a570d5	කම්කරුවා කියන්නේ කවුද කියලා
50a5c3f0a9	වෑදගත් දේ තමයි කරනා ලද ක්‍රියාව
50a5d47ce3	ලබාගත හැකි අතර
50a5f1f33f	එකට මේ මොබයිල් කාරයෝ සම්බන්ද වෙනවා
50a65a75dd	රැස්ව සිටිය යුතු යි.
50a7ae2aca	විදුලි බිල් පත්
50a894eaf5	විස්මිත අවබෝධය
50a8be902b	තැන නේද?
50a97a5ec5	බෞද්ධ ධර්මය ගෝත්‍රික නම්
50a9e7d8d4	මහනුවර යුගයට අයත් බිතු සිතුවම්
50aa830c2c	උදේ . ට පිටත් වූ පිරිස
50aa9a1825	මෝරෙක් වෙන්න ඕන
50aa9a3b22	බස්සල තියෙන්නේ සබ් එක දුන්න දෙන්නටම
50aace9532	ඉතින් ඒ තුවාලය වණ වෙලා
50ab2d70f3	අර්හත්වය පතා වෙහෙසෙන්නේ කුමකටද?
50ab5d9d9e	ළඟට වෙලා ඉන්නවා
50abe0bd4a	මේව ගොඩක් වටිනවා
50ac757f02	ඌ පියාපත් ගසා
50ac830bf2	බෞද්ධයා විසින් වන්දනා ගමන් යන කාල වලදී
50ad333456	කළ යුත්තේ ක්‍රමානුකූලවයි
50ad4b46e2	පුද්ගලික ජීවිතයේත්
50ad6a2c9d	බෑනා උල තබන්නට නියෝග කළා.
50ad87a5be	ඉකුත් වසරේ ජනවාරි මාසයේ පමණක්
50ada03973	උඹේ අම්මව ශාන්තුවරියක් කිරීමටයි දෙවියන් වහන්සේ හිතාගෙන ඉන්නෙ
50ae2229d8	free credit report
50ae2c49c3	දරුණු ලෙස පහර දුන් බවද
50ae70381c	බලන්නද බං යන්නෙ?
50af62705a	බාගන්න අයත් ඉන්නවාලුනේ.
50afc87ef1	ඒකාලේ පැණිදෙනිය කටුගස්තොට
50b01b8c84	තාවකාලික වශයෙන් සිත ශරීරයෙන් වෙන්වන
50b0415ee3	පත්තර පිටුවක්
50b05e7d8a	අවුරුදු දහස් ගණනක් වෙනවා.
50b14452a1	අපිට ජොබ් එකට කෙල උනාම තමයි
50b147ad17	ආපසු මනුෂ්‍යය ලෝකෙට එන්නෙ කීයෙන් කීදෙනාද?
50b2f2ffce	මොකද මේ රටේ හරක් මැරෙන්නේ අවුරුද්දකයට ලක්ෂ යි.
50b328dba6	එච්චර වියදමක් දරලා අපි බණ සංවිධානය කරලා
50b3e7ce48	ඒ මං ආදරේ කරපු
50b42f416f	නරකය, හොඳ නැත කියන තර්කයක් මෙතතින් කියවෙන්නේ නැහැ.
50b4857c3a	පැවති පරීක්ෂණයකින් අනතුරුව
50b4c2d38a	උසස් පෙළේ මහා උළෙලකි.
50b4d4f7dd	ලාංකික භික්‍ෂූන් වහන්සේලාට සුවිශේෂී ස්ථානයක් හිමිවීමය
50b51edc7e	ලෝකයේ වෘක්‍ෂයක් වෙනුවෙන් ලියැවුණු වංශකතා
50b558ab3f	ආයෙත් කොළ අතු දානවා
50b594366f	මෙවැනි තත්ව‍යන් ඇතිවන්නේ
50b5f616cb	ඉඩ හළ මැනව හිරු හට
50b61c32b4	සිදුව තිබේ.
50b68d5334	සම්භාරයක් තියෙනවා ලියා ගන්න
50b6991edd	හට ගැනීමට ඉඩ ඇත
50b6e4a80d	origami flowers
50b7512f58	බැහැ නේද?
50b755909b	හේතුවාදයට වඳිමින් යන මේ ගමන මට හොඳය
50b7d3a14d	පවත්වන බව පෙනෙයි
50b851b9a9	බනිස් ගෙඩියක් කන අතරෙ මේක දැක්කෙ
50b86e9e7d	වාතාවරණයක් තවම
50b87cc5a1	පෙරදිග භාෂා පිළිබඳ
50b8ca560c	එවන් උදාර අදහසකින්
50b952267d	ළමා අපචාරකයන්ට වාසියක්
50b9bd25d7	දැනගන්න ලැබෙනවා.
50b9c537e9	මුත්තෙකු නැතහොත් කේන්ද්‍රීය පුද්ගලයෙකු වෙයි
50b9db7b08	සවි ශක්තියෙන් යුතුව
50ba106742	අන්තිමට බඩ වෙනුවෙන් කල සටනෙ
50ba3d91a8	එක්කම ඔක්කෝම හිටියේ යි රැස්වීමට.
50bb891cd9	අපි වෙහෙස වෙන්න ඕන
50bc718214	එකල අධ්‍යාපනයේ මුදුන් ඵලයක් ලෙස
50bc84cec1	උතුරු කොරියාවයි දකුණු කොරියාවයි අතර
50bca2d3ed	එහෙම වෙලාවට තමයි
50beb4389b	එක දවසක් සැන්ඳෑවේ
50beda1141	අපේ වීරයා විදිහට ඉන්න
50bf25d75b	අයිශ්වර්‍යා වගේ ඉංග්‍රිසි ගුරුතුමියක්
50bf47b25e	ඉතින් මම කවදාවත් පිනක් පවක් දැනෙනවා කියල
50bf85eaaf	අර ඉස්සර නවයුගය පත්තරේ තිබුණා වගේ
50bf9db3dc	අථර්ව වේදයේ සඳහන්ය.
50bfe47410	කටයුතු කරන හෙතෙම
50bfeb087f	මේවා තිබුනෙ
50c0230c94	ඔය තරම් සරලව කෙටියෙන්
50c0823cb1	මේ නිසා පුරාතනයේ සිට
50c09a3900	මෙම කාරණා පංචකය සම්පූර්ණ නොවිණිනම්
50c0a9658d	සහභාගි වන්නේ ප්‍රථම වතාවටයි.
50c0b0d5d1	මොකද අවස්ථාවක් ලැබුණ හැටියෙ එය ප්‍රකාශ කළා.
50c0b1dd5c	වෙනස්කම් රැසක් මේ තරගයේදී කිරීමට
50c1118ada	අර බමුණන්
50c11681e8	පෙළ නොගැසුනොත් අනාගතය අඳුරුයි
50c12841f5	සද්ධර්ම රත්නාවලී කතුවරයාද
50c1b8a42e	අතුරු සිදුරු නැතිව පිරී සිටියහ.
50c1b93a0e	තමා අරගෙන තියෙන්නේ.
50c27dfe3a	බුදුරජාණන් වහන්සේ දේශනා කරල නෑ.
50c30704c1	අද මේ වෙනකොටත්
50c32cd594	විශේෂ බෞද්ධ දූත පිරිස් සහභාගි වූ හ.
50c3a7ef9b	මේ පිළිබඳ බොහෝ විස්තර
50c3ecb721	මෙම කර්‍තව්‍යය උපමාවකින් මෙලෙස පෙන්නුම් කළ හැකිය.
50c43ccd1e	ඒබ්‍රහම් ලින්කන් කියන්නෙ වටිනා මනුස්සයක්.
50c45caf4d	එහි තාමත් අවසාන නොවුනු ප්‍රතිඵල
50c493d5ac	පින්බිමෙන් පිටවී යන තුරුම
50c49e1a05	පෙරහර අවසානයේදී ද
50c4b756dc	එළ එළ අයියෝ
50c5008f4f	ආව පැත්ත දැක්කේ නැහැ
50c52f78b9	රචකයාට වඩා දැනුවත් පුද්ගලයකු ලෙස විචාරකයා කරන්නේ
50c54863ca	එම ආලය කෙමෙන් කෙමෙන් වැඩි වූ අතර
50c5569f99	නාස්ති කරන ගමන්
50c5739385	ඒ නිසාම
50c5c315b7	උඩ තියන රූපයේ
50c6020859	සමහර ඒවා අයින් කළා.
50c61837e8	ඉන්වැඩි පිරිසක් ජීවත්වන්නේ ආසියානු කලාපයේ
50c618c8e9	ඔය නිඝන්ටයෝ රංචුව
50c61e955d	මුසු වන වයලීනයේ ගැස්ම
50c655ef90	අපිට හොඳ සේවයක් ලබා දුන්න.
50c743eebb	තොරතුරු අනාවරණය වේ
50c746a3db	අහස් කුස ජයගැනීම නිසා උද්දාමයෙන් යුතුව
50c78d701d	විශේෂ ලක්ෂණ ගැනයි.
50c7dd68f3	මේ පෘථිවිය රවුම් රවුම් වශයෙන්
50c7f9714e	ඔය ගීතය බිහිවෙච්ච මුල් කාලෙ
50c850201e	මෙහිදී කාම යන්නෙන් අදහස් කෙරෙන්නේ
50c8b7afa6	මම මේක දෙනකම් හිටියේ
50c935e17c	හවස හන්දිය පැත්තෙ යනවා
50ca2b4f0f	බුදුවීමෙන් පසුව පළමුව මංගල ධර්ම දේශනය පවත්වන්නට වැඩියේ
50caed7d32	කැලෑව බෙහෙවින් අඩු වී ඇත
50cb4bf056	එහෙව් බොට
50cbd555c3	එහෙයින් මේ සොයාගැනීම් අතර
50cbf38c29	මුළු පලාතෙම අය මේ විදියට
50cc2d05a4	එවිට බුදුරජාණන් වහන්සේ
50cc4dfad1	අනතුරුව විපර්යාසයට පත්වෙන නීති වලින්
50ccdbb4a2	මට ෆිල්ම් එක බලන එක ගැන
50cd359f28	විරුද්ධ වෙන්න එපාය.
50cdd24e60	ඉදින් එ භික්‍ෂුතෙම නාසය පිළිබඳ කලකිරීම පිණිස
50ce6f75bd	ඒත් ඒකට හරි උත්තරයක්
50cfb29c90	අඩේ එපා වෙනවා
50cfca33a5	දෙන්නම වැරදියි
50cfdc9893	බෙහෙවින්ම සතුටට පත්ව,
50d02bb58f	ආතල් ගන්න ගියාම
50d0529094	අනේ මම නම් ඔය
50d0678569	එහෙම නැත්නම් ඔබට පුළුවනි
50d080f430	ඒ පිළිබඳ සාරාංශ වශයෙන්
50d1156e92	පිළිගන්න බැරි නම්
50d15698d7	මේව වැරදියට හරි දාන එකනම්
50d178406e	තමා නම්
50d1b1684b	මෙහි එක් පැත්තකින්
50d1bd4fb2	හඳුනාගන්නට ඇති අපහසුව නිසාමයි.
50d222f0b5	පරණවිතාන මහතාගේ කාලයේදීය.
50d23f1f29	එතුමාට දැන් තියෙන්නේ
50d25cd110	ඇය පළිගැනීමේ මාවත තෝරාගන්නවා
50d2e6c464	ඔබ වහන්සේට බොහෝ පින්
50d36a07c8	මේ ක්ෂේත්‍රය දෙස බලන්න මට බැරිවුණා
50d4729033	කොතලහිඹුටු වල්ලපට්ට වැනි ශාක විශේෂ වැදගත් වේ
50d49d8346	එතනදි බුදුන් වහන්සේ බැහැ දැකලා
50d4de12f8	පර්යේෂණ කරන එකයි නේ
50d5231227	අල්ලපු ගෙදර මිනිහද ගන්නෙ?
50d564b4cb	හැබැයි මෙම මාර්ගයේ යකඩ වැට
50d616c4c3	එම විපාක වනාහි මෙලොවදී
50d68af33e	අඟහරුවාදා සහ බදාදා පැවැත්වීමට නියමිත
50d69ab15e	තිබෙන්නේ ඊළඟට වැඩිම මිනීමැරුම් කප්පම් ගැනීම්
50d6a6b965	සිව්වනක් පිරිස සම්පූර්ණත්වයට පත් දිනය වන්නේ
50d6ab5da1	පැහැදිලි කළ හැකිය.
50d6cfe73a	චන්ද්‍රිකාවක් මිලදී ගත්තේය.
50d6d07215	මේ ධර්මය අවබෝධ කරගන්නවා කියලා.
50d73971d4	මමත් බලනවා.
50d7449439	ඔහුගේ සටහන් වලින් පේන්න තියනවා.
50d765b6a8	india shopping online cake and flowers
50d76eb425	අනෙක මෙහි ප්‍රධානම අර්බුදයට හේතුවී ඇත්තේ
50d788f9ba	රස්සාවක් හොය ගන්න බැරි එවුන් තමන්ට වියදම් කරපුව ආපහු ගෙවන්න කැමති වෙයිද
50d7a74228	අන්තර්ජාතික සිනමා දර්ශකයේ
50d7ebb4cd	කෝ යකෝ
50d838d5a6	සැබැවින්ම විවිධ සන්දර්භයන් තුළ
50d8baa2e3	කීයක් නම් ඇද්ද?
50d8bd4b34	වසරේ රාජ්‍ය සම්මාන දිනාගත් ලියනගේ අමරකීර්ති සාහිත්‍ය විචාරකයෙක්
50d8ee04a8	ඔවුහු ද සරණාගත ව ගොසිණි
50d900b3b9	මෙන්න මේ වගේ ප්‍රශ්නයක් අහන්න.
50d98451d1	මහාසංඝයා වහන්සේ විසින්
50da398def	මේ අතර ඇතැමෙක්
50da40bd46	අර කුරුළු බිත්තර දෙක දැකපු වෙලාවෙ
50daaddf56	සැරයක් ජේමිස් බණ්ඩා
50daeb7206	ඔයාලා වෙනුවෙන්ම දුන්නා.
50dafcb006	වතුරකට බැස පිහිනීමට පුළුවන් සතෙක් නොවේ.
50dbc1ef59	අප්‍රමාන සැහැල්ලුවයි.
50dbc4f1b3	ඊශ්‍රායෙල් වරුන්ගේ ජනප්‍රිය සංචාරක ප්‍රදේශයක්
50dcab6e9e	එයා එක සැරයක්
50dd4f2c95	මේවා සාමාන්‍යයෙන් ප්‍රයෝජනවත් වැඩසටහන් ආකාරයෙන් පෙනී සිට
50dd7d0274	ඔහුගේ පවුලේ සාමාජිකයන් දෙදෙනෙකු
50dd9045b6	ඉතින් ඒක වටේ නොයා හැඩ වැඩ නොදා
50dda252d7	ක්‍රමිකව මහ පොළව දක්වාම ගමන් කරනවා.
50ddb8fce5	මවුපියන් සිය දරුවන්ගෙන් යුතුකම් පහක් බලාපොරොත්තු වන බව
50ddf0be84	මහින්දාගමනයෙහි ප්‍රතිඵලයක් වශයෙනි.
50ddfca86e	මෙම නිවෙස්‌වලින් සොයාගැනීම
50de486eae	මෝල් කාන්තගේ ජිනීවා තියරිය.
50debe95f0	නේවාසිකව වැඩ සිටින
50df9c5a38	නමුත් උපවාසය නතර කළ පසු
50e031997b	ගමගේ මහතා ඇතුළු කණ්ඩායමක්
50e071e3f9	එම චරිත සිද්ධි නැවත කියවීමයි.
50e0a117d6	මේ ප්‍රශ්නයටවත් දොස්තරයෙක් කතා නොකරන්නේ ඇයි?
50e0a2abe1	අධීක්ෂණය යටතේ
50e10462a6	කොලිටි කොන්ට්‍රෝල් කල නොහැක.
50e1525d19	වැඩකට නැති නිෂ්ඵල බස් දෙඩවීම ආදී වශයෙන් වන වැරදි වලින් තොරවීම
50e1e96f4c	ඉතාමත් කණගාටු දායක තත්වයක් උද්ගත වී ඇති නිසා
50e23c1c6d	එහිදී හිත හොඳ ගුරුවරයෙක් මුණ ගැසෙනවා.
50e2497a08	අරලියා දුන්නු එක දැකලා
50e2941446	ගුවන් නියමුවෙක් වෙන්න ඕන වෙලා තිබුන.
50e2cad2be	මම ඒ පක්‍ෂයට යන්නේ නෑ
50e2d26253	ඔබත් දුවන්නන් වාලේ දුවනවාද
50e2e08d18	කාන්තාවගේ පතිවත හෙවත් ස්වාමි භක්තිය යි
50e307b1bd	අපේ ගමට සැතපුම් තුනක් ඈතින් වූ
50e31ae89e	ඔබගේ විවේචනයට පින්
50e331dd71	චේතනාත්මක කරන ලද්දා වූ රැස් කරන ලද්දා වූ
50e489cf4b	තවත් ෆිල්ම් එකක් එකතු වුනා
50e4910a32	නංගි බඳින්න හිතුවේ මොකද?
50e50794ea	යන්ත්‍ර කාර්යක්ෂමව සහ අඩු වියදමකින් සේවා සපයන විට
50e51753fb	දේශපේ්‍රමි ජාති මාමක
50e551630b	අප සාමාන්‍යයෙන් භාවිතා කරන්නේ අටමහ කුසල් කියා.
50e5b2d908	යනුවෙන් දේශනා කර ඇත.
50e5dd06dd	පිහිට පතනව නේද?
50e5df3cae	මුද්‍රණ යන්ත්‍රයේ සිට මිසයිලය දක්වා
50e64cc416	අවස්ථාව තිබේ.
50e673d4f2	අප්පා අද උත්තර දෙන්ට ඔන්නැ
50e7b16b2f	ඇඟට දැනෙන්නේ නෑ නේ ද?
50e809acff	මහා හිමාලය තුළ
50e8658ada	උසස් ධ්‍යාන ලබා
50e87184be	එවිට නිරවුල් ජීවිතයක්
50e887989b	ඔබට ම අවබෝධ වෙන්න පටන් ගනීවි
50e9185a43	සුජාතා අත්තනායකගේ සිංදු විතරයි
50e937871e	වහාම එතුමාගෙන් සමාව අයැද සිටින ලෙස
50e952bcd8	අවධානය යොමු කිරීම ඉතා වැදගත් වේ.
50e96cc298	උදාහරනයක් ගමු
50e9c76aa2	එය කිසිදු කණ්ඩායමක්
50ea0eaa2f	සිදුවන ආකාරයට
50eafff707	play free online games chess
50eb05587a	එය දැන් මේ සමාජයේ මිත්‍යා මතයක් බවට පත්වෙලා
50eb15ae38	වකුගඩු පණනැති වෙච්චි මිනිස්සු ගැන
50eb2cecce	බොරු කීමටද බයය
50eb7b9fef	සලකන පින්කම්ය.
50eba9e868	වින්ඩෝස් මෙහයුම් පද්ධතිය භාවිත කරන
50ebccab3d	කෝල් එකක් ගන්න.
50ec3e043b	එයින් රබර් බෝල සහ සපත්තු කවර හදන්ට පුළුවනි.
50ee2a665f	එයා ටිකෙන් ටික සත්පුරුෂ ගතියෙන් පෝෂණය වෙන්නේ
50ee5bea57	ඒ සම්බන්ධයෙන් ඔහු දක්වා ඇත්තේ
50ef5b6afa	වේගයෙන් ඊතලයක් වගේ පල්ලෙහාට ආවා.
50ef5f6a69	පරණ හමගිය කබායක්
50efb93fa1	මම කරපු දේ ගැන
50f032d0a7	මෙසේ සඳහන් කරයි.
50f0d84af2	පෙහෙවස් සමාදන්ව
50f10b15a7	ඉතින් ඔය කොමෙන්ටු වලට උත්තර
50f1ab3fc6	තාත්තා හිරගෙදරින් නිදහස් වෙලා
50f1d7d68d	තවත් වැදගත් සංඝ කර්මයකි.
50f221cd40	ඩෙරික් ග්‍රාන්ටි කියලා රෝගියෙක්
50f2aeb25a	පුරාවිද්‍යා ස්ථානයක් වශයෙන්
50f3ae1254	ගාමින්ද වෙළෙඳ දැන්වීම් අධ්‍යක්ෂණය කරන කෙනෙක් විදියට
50f4d1d52f	අතිශය භයානක යුද්ධයක පැටලී සිටි
50f55cf1f1	අත්පත් කර ගැනීමට
50f71202fb	ධ්‍යාන වඩනවා මේ රටේ
50f736af7b	අනාගතයේ කොපමණ සී ප්ලේන් සංඛ්‍යාවක්
50f80d4b91	එය ඉන්දීය ආණ්ඩුවේ
50f80fffdd	එතකොට හොඳම විදිය නිවාඩු දවස්වල සති අන්තෙ
50f8490c28	පාඨකයා දැනගත යුතුය.
50f8aa1c99	තෑන්ක්ස් සහෝ
50f9f3bcbd	පෙරදිග රටවල
50fa2e39ac	හැමෝටම කරන්න බැහැ.
50fa6e424b	ඒත් තිරගතවෙලා දවසක් යනකොට
50fa89fba8	පිළිගන්වන අයුරු දක්නට ලැබේ.
50fac6df10	ඉදිවෙන්න ඕනෑ.
50fb412c72	හාමුදුරුවෝ චාටර් වෙන හැටි බලමින්
50fb4ac5aa	බොහෝ දෙනා කුඩා කල සිට
50fb67b1d3	වෙළෙඳ මධ්‍යස්ථානයක් බවට පත්ව තිබූ අනුරාධපුර යුගයේ
50fb6cca61	සම්බුද්ධත්වයට උපහාර වශයෙනි
50fb9da350	පලස්තීනයට දඬුවම් දිමට යාමෙන්
50fc0522ae	ආර්ථිකය දුබල අවස්ථාවේදී ක්‍රමයෙන් ඈත් වෙයි.
50fc7c184f	ද්විතීක කිරීම ඉතා විවෘතව
50fc8a3b79	මරලා තියෙන්නේ කියලා.
50fcdca6c9	ඔබ කිසිම බාහිර බලයක් නැති
50fcfda5f5	ඔහු අනතුරකට පත් වෙනවා.
50fcfdc64e	එක එක පුද්ගලයන් ගැන
50fd411b10	ඔලමොට්ටල මොල වලට
50fd601a08	english dialogues
50fd68a672	කුරුමානම් ඇල්ලූවා
50fda73e92	පූර්ව ලිඛිත පාරිසරික අනුමැතියක්
50fe027e25	සැත්කමක් නොකර
50fe918fd1	උද්ඝෝෂණය අවසන් වූ පසු
50feca0764	පඩි ගන්නේ අපි නිසා.
50ff0b180d	හමුදාව සහ ආණ්ඩුව මැදිහත් වෙලා
50ff61b462	metal detectors treasure hunting texas
