04009d2312	සම්පූර්ණයෙන් ඉවර වෙනවා
049a77fd3a	ඉහළ විදුලි පාවිච්චියකට යන්නේ
049acbc310	metal detectors treasure hunting nevada
049b1366bd	ඕක ටිකට් එක ගන්න කොටම ඒජන්ට් දෙනවා
049b5ad9bf	කූඩු බොහෝමයක් හිස්
049c2d6b57	පවුලෙ අයට මේල් යැවුවෙ.
049c74bb7f	හොඳට කතා කරනවා
049cb57f4e	අපි දුක ගැන දන්නවාන
049d6b995b	ඉහළම ගෞරවය වේවි.
049db32d87	එහිදී ඔවුන් සඳහනක් කරනවා
049e89bc92	යක්ෂ භූත වැනි ආත්ම ලබන බවක්ද
049e9a8eb8	හැබැයි ඒ දැනගෙන පරිස්සම් වුනානම්
049ec08b41	මහතා අදහස් දැක්වීය
049ee1cba5	යෝග්‍ය ජාතක කථා රැසක් වේ.
049f08ac00	ජීවන අරගලයේ ස්වභාවය පිළිබඳ
04a009838d	එම සිද්ධිය සිංහයකු මෙන් සිටි
04a01592b9	ආරච්චි හා මැණිකේ විසින් පිළිගනු ලැබූහ.
04a19009c4	යටි රැවුල සම්පුර්ණයෙන්ම ගැලවිලා විසිවුණා නේද.
04a26b71c6	රට රටවල රාජ්‍ය නායකයන්ට
04a2c6a103	අග්‍රගන්‍ය සේවයක්
04a32df945	maththala air port
04a4331175	පිරිතේ බලයෙන් ආරක්‍ෂාව ලබාදීමත්
04a4f1e36a	මෛත්‍රී සමවතින් මතු රහත් වන්නට නොහැකි වී නම්
04a513f009	බස්නාහිරට හිස පැත්ත සිටින්නට ය.
04a5535010	ඉස්සර හේනක වගා කලේ මිනිසුන්ගේ ප්‍රධාන ආහාරයක්
04a5614506	happy christmas
04a57b969c	අවසන් වීමක් ද තිබෙන්නට ඕන.
04a59e4d93	ධර්ම ශාස්ත්‍රීය සේවා අතර
04a6301c4f	මුන් දන්නේ නැති එකම දේ
04a697dc07	අඳුරු විය හැකි විපත් වලින්
04a76149c4	ලක්දිව යක්‍ෂ ගෝත්‍රිකයන් බලවත් පිරිසක් බවට පත්ව සිටියහ.
04a7bfc970	අතිරේක ආදායම් මාර්ග උදාවිය හැකි දවසකි.
04a844f13e	වාමන රූප ඊට එක්විය.
04a8c3d11f	මිහිකත හිතකාමී ගුවන් ගමනක් බවට පත් කිරීමයි.
04a8fbf753	අපි මහා උජාරුවෙන් කෑ ගැහුවට
04a9157f24	වැඩ සිටි භූමියකි.
04a96be60a	තියෙන තැනයි එන ගෝස්තියයි හින්දා
04a979a84d	මරන්න සූදානම් වෙද්දී තමයි
04a9afe60d	රේඩියෝ රාජයා තමයි
04a9d784b5	එනිසා අන් කවර කලකටත් වඩා
04a9f38f5e	අපි රූගත කර හමාරව සිටියදී
04aa413bfc	හරිම ප්‍රයෝනජවත්
04aa9c4165	තත්වය වෙනස් වීමට ඉඩ ඇති බව
04ab719913	එම වැස්ස නිමවනතුරු
04aba33728	මේකට මොකද උනේ කියලා
04abaee428	මාර්ගය පෙන්වනවා කියන්නේ.
04abce77fc	හාමුදුරුවන්ගේ මේසේ ඉදිරිපිට
04ac85bac4	තමාගේ කුසගින්න නිවාගැනීමට යමක් අයද සිටියහ.
04ad50bd53	එයා කතා කරන විදිහට.
04adbb0c18	ඒ ටිකවත් කර ගැනීමට බැරිබලය කුමටද?
04ae397354	මේකට තවත් විදියකින් කිව්වොත්
04ae5e0064	වටිනා ලිපියක්.
04ae97b9b8	ඒත් ශ්‍රේෂ්ඨ බුදු දහමට
04aeb9aa13	චිත්‍රපටිය සමඟ අනිවාර්යයෙන්ම
04af49e15a	ඒ අය ඔහු ඉදිරියට එනවා මම දැක්කා
04af49f979	සංරක්‍ෂණය නොවීම නිසා
04b088e50b	අදාල දේට හානියක් නෙමේ
04b0912d47	පෙන්වා දිය යුතුය
04b14e326b	රජයේ රස පරීක්‍ෂකවරයා වෙතද යවා තිබේ.
04b168c832	ශ්‍රී ලාංකිකයෝ වගේ වැඩ කරන්න
04b18278c3	අප එහි යන මොහොත වන විටද
04b1ec7212	ඒකීය නෝනා
04b2795deb	සමස්ත ජනතාව වෙනුවෙන්
04b2b60f69	අල්පමාත්‍ර හෝ දැනීමක් ඇත්නම්
04b2cfc4c9	වැඩිදුර අධ්‍යාපනය සඳහා
04b2df6561	නීතියේ පිහිට පැතීමට සිදුවන දවසකි
04b42181a3	පරිත්‍යාගයක් වැනි උපේක්‍ෂා යන්නෙන්
04b483ebfe	ඔබ තේරුම් ගත යුතුය.
04b4899bb6	බුදුන් වහන්සේ කියා තිබෙන තැනක්
04b4e7f347	සාර්ථකත්වය ස්ථිරයි.
04b519165a	එයින් පෙනෙන්නේ රටට හිමි වාසිය
04b542a8d5	බුදුරජාණන් වහන්සේ මොනම හේතුවක් නිසාවත්
04b585d00d	ඔබද ත්‍රිපිටකයේ
04b5998b09	යුද්ද කරපු එව්වෝ අපි
04b62ade47	කෑලෑවක තමා ඉන්න වෙන්නෙ කියල
04b6582876	මේ තත්ත්වය
04b6847128	ඉතා උස ගලක් මතුවී මතුවී පෙනේ.
04b68846a4	ණයක් ලෙස මේ මුදල් ලබා ගන්නවා
04b6e0fe75	එය අවබෝධකර නොගැනීම නිසා
04b71d2a48	භික්‍ෂූන් වහන්සේට පාඩමක් ඉගැන්වීමයි
04b7285e9e	ඔබගේ සියළු කටයුතු
04b7795ed0	එම ස්තූතිය හිමි වනවා.
04b7893e77	මෙතනදී උද්‍යාන පාලකට හා උද්‍යාන නියාමකවරුන්ට ඒ සඳහා බලය ලබාදිය යුතුයි.
04b7c4be54	මේවා මෙසේ වරදවා ගන්නේ
04b7f5867c	එයට වීර්යය උපදව ගන්න,
04b84cd02d	ධම්මදින්නා රහත් තෙරණිය වේ.
04b8524cc6	සමාජ ක්‍රමය පවත්වාගෙන යාම
04b897c3d8	ඒවා නොතිබුනා නම්
04b8c524d9	වැඩක නැති වෙනවා
04b9101fc5	ඊට වඩා මොනවත් නොකියන්නම්
04b9bbca18	එතනින් පටස් ගාලා
04b9c7ebcc	ස්තුතියි වේවා ශලින් සහෝ
04b9dc7fb1	සෑහෙන උත්සහයක යෙදෙනවා.
04b9e86d08	බුදුහාමුදුරුවන් හමුවට යෑම සිරිතකි.
04ba1140d8	තවමත් හුණු කූරු එල්ලෙමින් පවතී
04ba2af697	එබිල මොකෝ අහනවා
04ba56f0b1	කියන එක ගැන මතයක් පලවෙනවා
04bb178608	සිංහ රුවක ආකාරයට තැනූ මාළිගාව නිසා
04bb17a867	පැනල ගිහින් ගන්නේ
04bb411d89	මැයි මස 16 වන දා
04bb7bb73f	බුද්ධත්වයට පත්වන අවස්ථාවේදී
04bba57c9b	කළ යුතු සියලු කුසල ධර්මයන්ට
04bc09dac9	සාහිත්‍ය විචාර සංහිතා යන කෘති ද
04bc2061f3	happy new year
04bcc65268	දූෂණය කරන එක නවත්තපල්ලා.
04bd187963	තක්කාලි වැඩිවුණොත් ඊළඟ කන්නයේදී
04bd25c581	ඔවුන් දරුවන් පැවිදි කරති.
04bd2e557b	kings doctor
04bdf06545	ජොබ් කට්ටක් කරන කාලෙට තමා
04be3f5225	derana
04be5f2882	හුවා දැක්වීමට නිගණ්ඨයන් උත්සාහ කළා.
04be85d19f	හොඳම අංගරචකයාට හිමි සම්මානය
04be9992ca	ස්වාමීනී භාග්‍යවතුන් වහන්සේ විසින් පවසන ලද
04beee0cd1	මුළු කොළඹ ප්‍රදේශයම
04bf5791ef	සිකුර හතේ පිහිටිය බුවාලට
04c06e9a5a	නිර්මාණය වන්නේ පුවත්පත් කලාවේදියා සතු
04c0809dc1	විලාසිතා ගලපා ගත්තා
04c098d920	ස්වකීය වගකීම්භාරය මවුපියන් වෙනුවෙන් නොපිරිහෙළා ඉටුකෙරේ.
04c171c97a	මෙම වට දා ගෙය මැද ස්තූපයක නටබුන් දිස් වෙයි.
04c17805be	ගමයි සොහොන්පලයි
04c17c24d6	ඒ වලි හරහා නෙ.
04c1c16217	එහිමියන්ට දඬුවම් පැමිණවීම
04c1dd9b24	ගසද පෙරළාගෙන
04c2314611	එසේ කරනවා යැයි සිතීම
04c2492482	අපේ කොල්ලෝ දෙන්නත් යනවා
04c28f2058	මේ ටූල් එක පාවිච්චි කළා
04c294f9fe	පුංචි මිනිස්‌සු හොයලා දෙන සල්ලි වැය කරන එකයි.
04c2fe6467	සේවය කිරීමට බාරගෙන තිබෙන නිසා.
04c3128448	මොහුගේ ශෝකය මා දුරු කළේ
04c321e209	කතාව නියමයි
04c35646fb	සජිත් මහත්තයාගේ වේදිකාවේ වැඩ.
04c3dc81ea	කියන සරල දේ වත් තේරෙන්නෙ නැද්ද
04c4063ed7	ඔන්න ගත්තා
04c4235799	කල් තියාගන්න පුළුවන්.
04c46167eb	බලන්න,
04c4a1e969	එයා එහෙම කිව්ව
04c4c8ef99	අගය කරනවා ස්තුතියි
04c4f40758	නතර කොරල දැම්ම නොවැ
04c4fa9393	භාවිත කර ළමයින් ඇතුළු කරයි
04c50df668	මේ ආර්ය ගම්මාන පාලනය වූයේ
04c5160567	අනුරාධපුර මිහින්ත‍ලේ මහා විද්‍යාලයට
04c51f92a8	අපට අවශ්‍ය වූයේ සිරිවර්ධන
04c57ea871	බලාපොරොත්තු වෙනවා
04c5dfaf81	අර කවුද කිවා වගේ
04c5e49ba0	ඉස්කෝලේ ගිහිල්ලා ආපු ගමන්ම
04c5e5c77c	නමුත් එයා
04c5ef0f14	මට පසුව අවබෝද විය.
04c64a1637	ගොවි ජනතාව
04c64d8a00	තාවකාලිකව තද සුළං ඇති විය හැක.
04c66f0fed	ජාතිවාදය යම් දුරකට ගෙනියන්න
04c6e63446	සෑම සිර කඳවුරකම ඥාතීන්ට
04c7a1173d	අප කළේ අපේ පරම්පරා වෙදකම
04c877755f	යුද්ධ ඇතිවිම වැළැක්වීමය
04c9911e90	නිදි වරාගෙන මිනිහා මේකට කොපමණ මහන්සි වුණාද කියල.
04c9ae1377	එවැනි තත්ත්වයන්ට පත්වීම සඳහා
04ca3f0d1c	අක්කා කා‍ටුන් වලට ගොඩක් මනාපයි වගෙ
04ca4ca651	මංගල උපසිරසි සටහනට
04ca52f2f8	බාහිර ශබ්දයකට අරමුණකට
04ca6a65ae	ඔබ පැමිණ ටික වේලාවකින්
04ca6abbad	මුදල් තැන්පත්කරුවන් පැමිණ මුදල් ඉල්ලා ඇත
04cab765ca	ඉතිරිව පවත්නා දෑය.
04caff437e	බෞද්ධයා සතුව පවතිනවා යයි
04cb0b1322	ඔය වගේ අහිංසක උපදෙස් අහල
04cb4d5f8a	සෙවීමේ උවමනාවක් නැත
04cb914d76	එය කෙතෙක් සාර්ථකද යන්න
04cc998f3e	මේ වැටහීම එනම් අවබෝධය,අධ්‍යාපනය ලැබීමෙන් පමණක්ම
04cddb3140	එහෙව් පරිසරයක දුවා දරුවන් තුළ
04cfc05b78	ධනේශ්වර ක්‍රමයේ පදනම වන අතිරික්ත වටිනාකම
04cfe8ea8e	බෝධි සත්ත්වයෝ පහළ වෙන කොට
04d044f25c	මේ කෘතියේ පෙරවදනෙහි
04d1daaa15	අපි හිතනවා ඒ නැතිවෙන්න යන
04d2427535	මිනිසත්බව තුළ
04d3788e30	සිතීම හා දේශනා කළ යුතු දේ
04d3f2d76d	එල එල මේක මරු
04d45b45ee	පට්ටිගොනා රක්ෂණය.
04d4f8fbc2	විසි තුනක් පමණ වේ.
04d52a8101	all beautiful photos
04d59df0f0	ඉෂ්ට කොට
04d5b66481	අගය කරනවා ස්තුතියි
04d5dcabb3	හැමදාම බුදු බන කියන තරමට
04d5ededb5	එමඟින් මිනිසාට ඉහළින් සිටින,
04d60b948b	hair
04d705167d	හරියට ටෙලි නාට්‍යයක් නිර්මාණය කරනවා වගෙයි
04d744681b	මුගල් පාලක අක්බර් විසින් පිහිටුවන ලද
04d7d9f79d	බලා‍පොරොත්තු රහිත මාර්ගයකින්
04d88ab5a6	මාළිගාවේ උඩුමහලේ සඳළුතලයේ සිටි බලා සිටියා.
04d8a47ecc	නකුල පියා බුදුන්වහන්සේට මෙසේ පැවසීය.
04d8fc3b76	බහුලව පැතිර පවතී
04d9a01048	අරගෙන ආවා
04d9ee02ab	ගවේශකයන්ට පමණක් උරුම
04da09facb	අද උගේ උපන්දිනය
04dac34ade	micro mini bikini
04dadcd2d7	අන්තිම කෑල්ල කතන්දරයකට කවියකට හොඳ නිමිත්තක්
04db1c0e5c	එකම ප්‍රයෝජනය
04db72c1a0	ආචාර්ය වසන්ත මහතාගේ අදහස් වල ද
04dc74b1ed	මම තවම මේ ෆිල්ම් එක
04dd99107f	එබැවින් පොදු ජනතාව විසින්
04de98ea8d	ලොව අටවැනි පුදුමය ලෙසින්
04df0c3128	ඒකෙ ඉන්න එක
04df897d45	පෙලෙන්නෙක් නම් කරුණාකර
04df97d176	sumudu maduranga
04df9e20f5	එවැනි ගැටුමක් නිර්මාණය වෙමින් පවතී.
04e0fe9114	නමුත් අපේ මිස්සුන්ගෙ
04e18c1cbe	ඒ ගැන පරීක්ෂණ කටයුතු කරන බවත්
04e1b5e6e8	ධර්ම සංවේගය පහළ විය.
04e1d8d17c	උඹ විතරයි පරණ උන්ගෙන් මෙහෙම ප්‍රචාරයක් දුන්නේ
04e1dd82a7	එතෙක් ලොවෙහි වූ සියලු මිථ්‍යා දෘෂ්ඨින්ගෙන් වෙනස් වන
04e21de479	අන්තිමට පොරව මුන ගැහුනේ
04e21f36a7	අධිවේගී මාර්ගවලට සාපේක්ෂව කාපට් මාර්ග ඈතින් තිබෙනවා
04e279b86e	මජ්ක්‍ධිම නිකායේ දී හඳුන්වයි
04e2eaf9b7	අඩුගානෙ දවසකට එක වරක්වත්
04e480c4dd	එමෙන්ම ඒ හා සමානවම
04e54b11b0	පාඨකයාගේ මනස අවුළුවන්නට සමත් නොවෙයි
04e614deee	මේ දුෂ්කර වැඩේ කිරීම ගැන
04e6351d5a	ප්‍රශ්න ටිකක් තමයි මම ඇහුවේ.
04e66cc348	ඇතැම් ප්‍රදේශවලින් ගැටුම් වාර්තා වූ බව මැතිවරණ නිරීක්ෂකයෝ ප්‍රකාශ කළහ.
04e7ac9d1d	මෙසේ මානවීය සදාචාරය පිරිහීම
04e7bfc12a	ප්‍රේමය පෑ ගන්වයි
04e7c2f3e0	චිත්‍රශිල්පියා බිහිකරන නිර්මාණයෙහි
04e7e8edfa	හොලිවුඩයෙන් බොහෝ චිත්‍රපටි
04e83c102a	එම පඬුර දැකීමෙන්
04e8fdc7cc	අනෙක් අතට ලිසී ඇගේ සැමියා පිලිබද
04e946a67b	අප ලබා ගන්නවා
04e9eb8685	අධ්‍යාපනයේ සම අයිතිය නැමැති මානවවාදී දේශපාලන මූළමර්මය
04ea1bb87e	ආපු රාවන හිරු දෙවි කියන නම
04ea7a1064	තවත් ලක්ෂණයක් වන්නේ
04eab6d66b	තවමත් සංසාරේ විඳවනවා
04eafcb35a	ඔහු වේදිකාවට අවතීර්ණ වූයේ.
04eb9ca888	ඔබට ගෙන එන අවසන් එක.
04ebf0172b	නමින්ම අපිට කතා කරනවා
04ec19beb5	ව්‍යවස්ථා සංශෝධනය ක්‍රියාත්මක කරන්න කියලා
04ec63c7c9	මුව වැද්දෙක් වෙලා
04eca2e8f7	ඉස්සෙල්ලාම සමාව ඉල්ලනවා
04ecb303ee	නැවත ත්‍රස්තවාදී සටන් මාර්ගයක
04ecf965f1	ජීවිතයේ සැබෑ තත්ත්වය යි.
04ed9497a7	ඔවුන් විසින් පාරම්පරිකව පිළිගනිමින් පැවැති
04edec8de4	ගන්න තමයි වෙරෝනිකා හදන්නේ
04ee11330e	අවතීර්ණ විය.
04ee5b51fe	මේ සඳහා මැනවින් යොදා ගෙන ඇත.
04eec713f3	අහු උන එකා
04eed02e46	ඔබ එය නැතැයි ඔප්පු කරන්න
04eed917eb	එතකොට උපතක් සඳහා භෞතික පරිසරය තියෙනවා
04f01e8024	උද්භිද උද්‍යානයක් ලෙස නිර්මාණය කර ඇති
04f02a710a	ගලා ගෙන යනවා
04f0a31438	මංජුල සිංහපෘථීවිගේ නත්තල් ඒකාංගික ටෙලි නාට්‍යයක රඟපෑවා
04f0a6fbcd	බීලා වෙරි හිඳුණහමයි
04f120485c	ධර්මාශෝක අධිරාජයාගේ රාජකීය නියෝජිතයකු ලෙස නොව
04f15b4bf6	දෙවන පෑතිස් රජ දවසේ
04f1b11bf1	අණදෙන නිලධාරියා වෙන්න මට උවමනාව තිබුනා.
04f21c2bfa	අපි අහල තියෙන්නේ
04f286ab7d	ඒකෙන් කරන්නේ
04f2c9da42	ක්‍රියාකළ යුතුයි.
04f31d6a04	මේ මහා භද්‍ර කල්පය උදා වුණා.
04f3d65a93	නියෝජ්‍ය නායකකමක් උනත් දෙයි
04f3e8b0bc	අප සංගමය විසින්
04f3fbeda0	ඇසීමට තරම් ප්‍රශ්නයක් නැතිනම්
04f4a35ee9	ලියන බ්ලොග් සාර්ථකව සංසන්දනය
04f4d6be0e	වෙනත් විහාර හා සසඳා බැලීමේදී
04f4d8fbd8	අංකිත ප්‍රතිනිර්මාණයකි.
04f5016fbd	ගානක් සාක්කුවට එනවා නම්
04f5725c88	ඉස්සෙල්ලා ඔයා ඔය කියන ශක්තිය මොකක්ද
04f59b1b30	ක්‍රියාමර්ග ගෙන ඇති බව ද
04f5d1fd34	අපිට සිහියක් තියෙනවා.
04f5ef7df0	යම් දෙයක් ගැන විශ්වාසයක් ඇති වෙන්නේ
04f60e2a03	ඉතිං ඔබත් ඒ පුරුෂ ලක්ෂණ හිමි
04f73939a5	ඔය ලොකු තැන්වල ඉන්න ඔක්කොම
04f78e67fa	තාම්පූරාවේ රළු තත් සැලෙන හඬ හා
04f7b98f18	අඩිපාරක් තියෙනවා.
04f7d2fe0c	දකින්න ඇතිනේ
04f7e6ea87	ත්‍රිපිටකයේ “කිසියම්” පරිවර්තනයක් ගැනයි.
04f884fa26	අපමණ බව එතුමාගේ මුවින් පිට විය
04f948b05f	ඔබේ අර්ථයෙන් ගොං ආතල් දෙන
04fa06aab5	ඇය බේරා ගැනීමට
04fa265d0c	ග්‍රේටල් සහ හැන්සල් එකතු වෙලා
04faf124f0	අර මගේ කරච්චලේට ඇනුම්පද කියපු
04fb08e439	ආභාසය අපට පිටතින් ලැබෙන දෙයක්
04fb87dabe	ඊට වඩා හාත් පසින්ම වෙනස්ය.
04fbbfbc2c	දුවෙක්ගේ හරි පුතෙක්ගේ හරි
04fc0eb32a	මේ ආකාරයට විමාන වස්තුවල
04fc1bc4d6	ලාභයක් වී තිබේ.
04fc726b2d	එපරිද්දෙන්ම ආහාර අනුභවය දක්වා
04fc8994c1	යම් හෙයකින් කළොත්
04fcc5f971	තාත්තා බැලීමට රෝහලට ගියෙමි
04fced0e24	මෙම ජීවීන් සමහර විට පෘථිවි ජීවීන් යොදාගෙන සමහර පර්යේෂණ සිදුකර තිබෙන බව ඉතිහාසය තුළින් සාක්‍ෂි තිබෙනවා.
04fd8cdab1	එයා සටන් ශිල්පියෙක්
04fec1eed8	බොහොම ස්තූතියි දිල්ෂාන් සහෝ
04fee117f1	මිනිස් කය හැර
04ff0f1c6c	භාණ්ඩ හෙවත් වස්තු අතර
04fff64765	වින්ඩෝස්8 හි ක්‍රියාකාරී පිටපතක්
