060084ec4f	ඇති වරද මොකක්ද?
068e3da318	ඒකනේ මට විරුද්ධව
068e66d31e	අපේ බබා ලිපි පෙළ ඉදිරියටත්
068ed95e5e	ඉන්දියාව තමන්ගෙන් ඉවත් වෙනවා
068f27a597	බෞද්ධ සංකල්පයක් නෙමෙයි.
068f5b42bd	මිහිඳු මහරහතන් වහන්සේ සම්මුඛ විය.
068f8c6d9a	එදා සිට සැදැහැවතුන්
06906750f2	එහි සභාපති තනතුර හෙබවීය
0690b614c6	බුද්ධත්වය ප්‍රාර්ථනා කොට
0692f25d03	ඉගෙනීමේ වටිනාකම
0693056511	අනියම් ආකාරයට යෙදුවේ
069317340f	සසර දුකෙන් එතෙර වීමට හැකියාව සැලසෙයි.
0693ea63fd	භුක්ති විඳීම නිදහසේ
0693f446fa	එම සිදුවීම අවසානයේදී
0694a33cda	ත්‍රිමූර්තියක් වුණු බව පෙනේ.
0694e4ac97	ඉතිරි අංග තාවකාලික නැත
0695087f95	මේ ප්‍රවෘත්තිය එහි බිත්තියේ සිතියම් කර තිබේ.
0695139f81	ඉතා ගැඹුරු යැයි අත්පසින් බැහැර කරන ලද
06959a749b	සම සෞඛ්‍ය පාඨමාලාවන්
0696054d97	මොන විදිහටද හැසිරෙන්නේ
06960cfe50	මීමුරේ යනවා නම් කියන්න එපා
06960e6126	අපිට කවදාවත් හොඳවෙන්න බැහැ.
0696347c67	ඊට වඩා වර්ධනය වූ ජීවියකු
069660b368	මල් හටගන්නා මෙම ශාකය
0696821aae	බුදුන් වහන්සේගෙන් ලබාගත්
06969abdfb	වැඩවසම් කාලෙ වගේමත්
0696b751bc	රසික සිත්සතන් වලින් ඉක්මණටම ගිලිහිලා යාවි
0696c032db	මොකද රත්නපුරේ කියන්නේ සමන් දෙවියන්ගේ අඩවිය නේ.
0696f2a37a	අවබෝධ කරන්නා වූ චතුරාර්ය සත්‍යය ධර්මය
0697e73e75	කාර්යාලීය අවශ්‍යතා සලකා බලා නොවේ
0697efc3d1	ඉතින් ඒකත් හදාගෙන මම මේ අවේ
06980f397c	අපේ හැදියාවට
06991e829f	එසේ වුවත් එක්සත් ජාතීන්ගේ සංවිධානය
06992e7ede	ඔය කෙල්ලො කොල්ලො
06997747fc	කරකැවූ විට
0699d6f204	කලෙක ආරක්‍ෂාව සඳහා දළදාවද තබා ඇත
0699fe6f9e	ඊට අමතරව විදෙස් පුවත් සම්බන්ධ
069a9abc2f	බලහත්කාරයෙන් මුදවාගෙන පලා ගිය බවට ඔහුට චෝදනා එල්ල වුණා
069b3641f1	තැනක ධාන්‍ය ගොඩක් තිබෙනවා.
069baf4410	ඔපමට්ටම් කරගන්න
069be43818	මේ සතුන් දුර්ලභ විශේෂ බවට පත් වී ඇත
069ce87a18	අද සෝම හිමි වෙනුවෙන් ගුණ ගයන බොහෝදෙනා
069d39f54b	කීයෙන් කී දෙනාද.
069db9c404	වැරදි විතරක් පෙන්නන්න එනව
069dc2ee60	එහෙම උනානම් කියලා අහන උදවියට
069dc44e87	එම උත්සාහයන් සාර්ථක කර ගැනීමට
069dcce8b5	ඔබේ නම සඳහන් කළේ නෑ.
069ddfd487	එතකොට හැමෝම දැනගනීවි
069effb745	කියවිය නොහැකි ලෙස
069f1148f5	විරුද්ධ වෙන්නෙත් නෑනේ.
069f82f995	එකෙක් දැක්ක
069f87e3bd	හැබැයි ඉතින් බැඳලා හොර මිනිහා නිත්‍යානුකූල කරලා
069f897300	පියවරෙන් පියවර සටහන් කිරීමට
069fc4142f	කවදා ඉඳන්ද මරන්නේ
069fec404c	ඉටුකර ගැනීමටත් හැකිවනු ඇත.
06a0669b34	මෙතුමිය තමන්ගේ සිරුරේ වෙනස්වීම සිදුවූදා සිට අප්‍රමාණ මානසික පීඩා වින්ඳා.
06a07d7560	එවිට එක සමාන ඉඩක
06a0a38ece	අරාබියේ තානාපති කාර්යාලවලට
06a0c786d8	මේ බෝධිසත්වයන් වහන්සේගේ
06a168c497	යමක් පරිත්‍යාග කිරීමේදී
06a1baa589	ගායනා කරා.
06a1f2b15a	බුදුන් වඳිනකොට
06a22f56d5	ඒක තව මනුස්සයෙක් අතට විසි කලා.
06a2437bf2	රාජකාරිමය ලෙස
06a34eb646	ඒත් අද ඔක්කොම
06a366ced3	ලේඛනගත කොට ඇති ග්‍රන්ථවල
06a37c8ae6	එනිසා පින්වතුනි,
06a385995c	මහා පරිමාණ ව්‍යාපෘතිවල ඵලදායීතාව පිළිබඳ
06a39601a7	අන්තිමේදී පොඩි එකාට හොඳටම අමාරු වෙලා
06a3a36182	විහිදෙන ලියවැල් සහිත මුරගල්
06a4504c34	ඊමේල් ලිපිනය ලබාදෙන්න
06a45dd9cb	වචනයෙන් වචනය සටහන් කළේය
06a6afc3a4	සිංහල මාධ්‍යයෙන් ඉදිරිපත් වූ
06a7392a24	sri lankan news room
06a8114e4f	පරිසරවේදීන්ගේ අවධානයට යොමු වී ඇත
06a8ac5f96	හොඳම එක ලෙස සැලකුවේ ඒක
06a902a5ac	මේ නිසාම මිනිසුන් නොමිනිසුන් වී
06a9cd9f30	බුදුරජාණන් වහන්සේට තිබුණ
06a9d7d0e1	එහෙමයි කියමු
06aa080038	එදින එළිදැක්වීමට නියමිතය
06aa4c359b	අල්පෙනෙත්තක් හදන්න සහය වෙනවද
06aa4e9372	ඔය ප්‍රාදේශීය දේශපාලකයො ටික
06aa60cbb3	පසුගිය සැප්තැම්බර්
06aa6d32f0	එකම නාමය ඕනැම ස්ථානයක කිහිප තැනක භාවිත කළ හැකිය
06aa90e798	එය කරන්න පුළුවන්කමක් නෑ.
06aacbac71	සාහිත්‍ය කෘතිය
06ab1c222c	අපි හදිස්සි නොවී
06ac446e81	රෝග් කියන ගෑණු ළමයව එරික්ගේ කට්ටියගෙන් බේරගන්න
06ac8fffc9	ඩෙංගු ඔය බෙහෙතින් සනීප වෙන්නෙ කොහොමද
06acc5c979	මේකට උත්තර දෙන්න ගියොත්
06acd99971	අවුරුද්දකට විතර පස්සේ
06acff463a	ගුටි කෑමට අදහස් කරන්නේද?
06ad6853c3	ඒක වඩාත් ඉක්මන් වෙයි.
06ad6c41a9	සංකේතාත්මක චමත්කාරය මුසු සිතුවම් පෙළක් ද
06ade2fcc8	මැදිවී කතා කරන්නේ නීති විශාරදයන්ය.
06adf9ec09	ඇගේ මව ඉන්දියානු ජාතික කාන්තාවක්
06ae73ff1f	ලංකාවෙ අපරාධ නඩු වලින් දඩුවම් ලැබෙන්නෙ විතරයි.
06ae8ba6ff	නියැලෙන විට ගුණසිරි දකිනවා ට වඩා
06af644668	නිශ්චිතව ප්‍රකාශයට පත්ව නොමැත
06af76803e	කතන්දර මං දන්නා තරමින් තියෙන්නේ
06af982437	youth
06b0b26411	පැවිදි වූ පසු කෙනෙක්
06b16c296d	මගේ තාත්තා මට වටින නිසා.
06b18fa576	picture of rent act law
06b1bc4a51	අදාළ සියලු කාර්යයන් පැවැරී ඇත්තේ
06b265db1d	ඩෙල්ෆ්ට් වල සුන්දර මුහුදු තීරය බලන්න.
06b2bbbfd4	අපව කැඳවන හොඳ නිමිත්තකි.
06b2d72f33	මහත්වූ ලෝකෝත්තර සැපය
06b398accc	හරියටම දැක්කේ නෑ.
06b3b8bf8f	මිනිස් ඇසට පෙනෙන ආලෝක තරංග
06b3be6784	ශ්‍රමය, ධනය වැයකරලා
06b3e94e5e	මේ තරම් සියුමැලි ද කළු ගල්
06b471f5ea	මෙම චාරිකාව උදෙසාම
06b4ad8b90	දෙන්නා ආපහු වෙන දෙන්නෙක්ව බැන්දා
06b4d84b6b	සැහැල්ලු කුඩා ගුවන් යානයක්
06b4e47233	ඒ පර්වත පාදයෙහි
06b56ce881	මාලඹේ පැත්තේ.
06b5acf611	නමුත් මේ රජය සමග ඇතිකරගත් සම්බන්ධතාව
06b5d1777b	අන්තර්ජාලය වැනි නිදහස් අවකාශයක වාරණයකට
06b5e2a28f	එකක් ගන්න පුලුවන් වෙයිද කියලා?
06b6657cfa	සංදේශ සාහිත්‍යට හිමිවන්නේ
06b6a37eb9	සිය ෆේස්බුක් පිටුවේ සටහනක් තබමින්
06b6c39dd8	සිත පහදවාගෙන
06b6fa66d5	හෝඩුවාවක් කාරිය තියන්නේ නැතිව
06b75ab9d2	එය ලබා දිය හැකි
06b762778b	හිතෙනවා
06b79d7d03	අපිට ඉගැන්නූවා.
06b86a17af	දළදා වංශ කථාව අරඹමින්
06b8b43cbc	අරමුණු ගැනීමෙන්
06b915760f	අනිත් දවසේ දැක්කොත්
06b99e4f18	ඔබවන් පුතෙකු ලොවට දායාද කල
06b9ceff20	නැතිය කියලා ලොකු වෙනසක් නෑ
06b9fd89a0	මොහුගේ පිරිමි දරුවන් දෙදෙනකු
06ba70e9ad	මසුරු පුද්ගලයා බිය වන්නේ
06bab839ac	මුලින්ම කලාවට පිවිසෙන්නේ
06bbb47697	ඔහු පර්යේෂණ කරලා තිබුනා
06bc102ac0	ඒත් කකා මේක ලිව්වෙ
06bc372b7e	එතකොට මේ හිතේ තියෙන මේ බැඳීම මධ්‍යස්ථ වෙනවා
06bc3f27ac	හැම දේකටම හේතුව අනාගතේ හොයාගන්නව.
06bc40176b	මහමෙවුනා උයනේ පිහිටා ඇති බව විශ්වාස කරතත්,
06bc5ae24a	කලින්ම අසා පර්යේෂණයට බැසීම
06bc71de85	දෙවිවරු මට හිතෙන්නෙ
06bc7aa216	මේවට තමයි කියන්නෙ මහත්තයො
06bca19c71	කාගෙන්වත් අවසර අවශ්‍ය නෑනේ.
06bcb2d47d	නඩු දමා
06bd0e9edb	ඉංග්‍රීසි යෙදුම්
06bd3e47d5	පිරිත සතුව පවතින බව කිව යුතු ය.
06bd7f3f8b	ඒවා පවතිත්නේ දැඩි නින්දක වාගේය.
06bdc5503b	ඒත් ඒ ශක්තිය
06bdf91634	තාවකාලිකව යටපත් කිරීමට හා
06be0139d3	වීදුරුවක් ගෙන විස්කි බෝතලයකින් ස්වල්පයක්
06be88ed8d	අනුන් කළ යමක් වෙනත් බසකට
06beb6f76f	අපට අසන්නට දකින්නට ලැබෙන
06bee7d004	අන් කිසිවකුට නොවේ
06bf903367	එහෙම අගය කරන කිසිම දෙයක්
06bfb50d03	ධනාත්මක චින්තනය
06bffbab1e	ළමයින්ගෙ කලිසම් ඉරුවෙ මොකද කියලා
06c0592ed2	බුදුන්වහන්සේ උපත ලැබුවේ
06c0da3ac8	ආධුනිකව නර්තනය හදාරන අයට දැනුම දෙන්න තරම් ඔබ ප්‍රවීණයි කියලා හිතනවාද?
06c0e590f9	ඇරිසෝනා ප්‍රාන්තයේ පැවතී සම්මාන උළෙලේදී
06c0ec7775	බෞද්ධයන්ට බෙහෙවින් වැදගත්වන කෘතියකි.
06c12a6ebf	නිකල්ස් කේජ් කියන්නෙ මොන වගේ සුපිරි නළුවෙක්ද කියලා.
06c13a9647	අද දිනයේ නැවත මෙම සටහන කියවද්දී
06c13dbd6d	යකඩ ගසේ හරස් අත්තක වැසූ
06c1523626	පාතාලයේ ක්‍රමයයි.
06c2a4afd2	අලුතින් ආරම්භ වෙන
06c2b35fc4	ඒක අයින් කරලා ගණන් හැදුවොත්
06c317df36	අපි උරුම කරන්න බලා‍පොරාත්තු වන
06c378ff72	දළදා මාලිගාවේ පූර්ණ ප්‍රතිසංස්කරණයක් ඇති විය.
06c49d9060	එය හොඳට තේරුම්ගත යුතුයි.
06c4bc9a04	මිනිසාට මෙන්ම තිරිසන් සතුන්ටද
06c54584e6	ආගමික කටයුතු කෙරෙහි
06c5c5290e	මෙවැනි ලිපි ලිවිම ගැන.
06c5f73c24	මීළඟ පෝය නොවැම්බර් 06 වැනිදා අඟහරුවාදා ය.
06c63af752	සන්ස් ඔෆ් ටෙම්පරන්ස් නමින් හැඳින්වේ
06c6b43928	සාමාන්‍යයෙන් අද ශ්‍රී ලාංකික බෞද්ධයන්ගේ
06c6cb2318	සියලු චාරිත්‍ර සිදු කරනු ලබයි
06c7246bb3	බුදු දහම ඔස්සේ
06c74b2921	book and pen
06c74eb129	අනුමාන කරලායි.
06c7bdaac5	උපුල්වන් දෙවියන්ටද
06c7be9f8b	බුදුරජාණන් වහන්සේගේ බුද්ධ දේශනා
06c7d5c213	beauty care
06c8d860de	කතා මාලාවේ අවසාන කොටස අරගෙන ආපු ඔබට
06c9e78805	බැටළුවෝ වගේ පස්සෙන් යන්න නරකයි.
06ca02d4ce	එය අප ලබන භාග්‍යයෙකි.
06ca189a38	එවිට දක්නට ලැබෙන්නේ
06ca2e67db	ගිනිගනිමින් තිබුණු බැව් පැවසේ
06ca551344	කෝලිය රජුන් විසින් සත්කාර කරනු ලබන්නේ ය.
06ca84d385	එය ලුණුගම්වෙහෙර ආසන්නයේ
06cac51567	නිතර ගලා ආවේය.
06cb450e53	බෝ සමිඳුන් වෙත ජලය ඉසින ලද්දේ
06cbaf86a0	මහ පොළොව සමග වෛරක්කාරයන් ලෙස
06cbc29e90	university of colombo
06cbe62410	බොහෝ විට ඔලුව අයිති කෙනා
06cc09c66c	හිනා වන උන්ට
06cc813d8a	මේ මාර්ගය උපකාර වෙන්නෙ.
06ccecbf72	හොඳ ස්වාමියෙකුත් ලැබෙන්නෙ
06cd0d20ff	සම්බන්ධ වී තිබෙනවා නේද?
06cd821091	මෙම ධනය පැමිණෙන්නේ මෙරට බැංකු පද්ධතිය ඔස්සේය.
06cdd67879	ප්‍රාදේශීය ගුවන්විදුලි මධ්‍යස්ථාන පිහිටුවීම දී ආරම්භ විය.
06ce61e947	දේශපාලන නායකයන් ලෙස
06ce9fe75a	එදින නා රජු
06cec608de	ඉතාම සුන්දර ඡායාරූප එකතුවකි.
06cefc38ee	එක් උවැසියක් වහා වෑංජනය අඩංගු බඳුන ඩැහැගත්තාය
06d0640acc	ඉතිහසඥයා හැදෑරිය යුතු ය
06d1696035	මොකද මට ඉස්කෝලේ යන කාලේ ඉඳන්ම
06d172cf61	ආහාරය පාවිච්චි කරන කෙනෙක්.
06d3b84fba	එම ජාතිය පරිහානියට නොයයි
06d4315e41	වෙලාවකට ඒ පීලි වගේද කියලත් හිතෙනවා
06d47d69f8	සිංහලයන් නොවන බව ද?
06d484b2d7	ඒත් මේ උණුහුම මටත් දැනෙනවා.
06d4fcaa34	උඹට මදේ තියෙනවා නම් තේරෙයි
06d638543d	පොළොන්නරුව ගල් විහාර සංකීර්ණයෙන් ද හිටි බුදු පිළිමයක් හමුවේ
06d6ae5f44	මම කියල බලන්න එපා කියනවා
06d6eef433	වැවයි, දාගැබයි, කෙතයි, පදනම් කරගෙනයි.
06d805c9f6	මේ ගාථාවලින් කියන්නේ කුමක්දැයි අපට ද තේරෙයි.
06d823e8b8	අලුත්ගමත් දුම්රිය දෙකක් හැපෙයි
06d86c0b58	ඒක ජනතාවට පැහැදිලි වුනා.
06d8989044	ගිය සැරේ කතාව ඉවර වුනේ
06d8ffb229	ඔන්න මමත් බානවෝ
06d9b1e9a9	මට තිබෙන්නේ වෙනස් අදහසකි
06da16b0f0	මිනිසුන්ගේ ලොකුම වස්තුව බව
06da500334	එතකොට ජ්‍යාමිතික සූත්‍රයකින්
06db26ad82	උඹල මෝඩද?
06db5e302f	අනික කවුද දන්නේ දවසක
06dbb3e97b	ස්තූපයක් බව ඒත්තු යන සාක්‍ෂි එකතු වෙයි.
06dbe74c02	ශ්‍රී ලංකාව නියෝජනය කළේය.
06dbf94e0a	හනේ මං සති දෙකකට කලිනුත්
06dd1712ba	ගිහින් බලයි එහෙම නැති එකත් බලයි
06dd21e86e	හැබැයි ඒ වගේ එවුන්ට
06de7d7431	එතකොට ආදේශ වන්නේම
06debce9d7	මුන් ඔක්කොම බොරු කාරයෝ
06debfda05	ඔවුන් පිළිතුරු දෙනුයේ 'ඇමෙරිකානු' කියාය.
06dede702b	මෙම සංවරයෙන් තොර වුවෝ
06e0405e61	song writer photo
06e0f22b58	අහිංසක පුද්ගලයන් තිදෙනෙකි
06e1053c82	රංගනයටයි නර්තනයටයි දෙකටම
06e1548719	එනම්, රාවණා යනු
06e192950b	ඇතුලත් කර ඇත.
06e1b43fc2	වඩා යහපත් අතට හැරේ.
06e323d369	වැඩි පිරිසට රාජ්‍ය සුහදතාව දැඩි ලෙස පැවතීම
06e382feda	මුව දෙව්දාවතත්, සස ජාතකය පාදක කොට ගෙන
06e425c89e	එනුන් තමා.
06e43daf91	sports
06e47781b1	බුදුහාමුදුරුවො ප්‍රථම රහතන් වහන්සේලා හැට නම
06e4a86cad	ඔහු සිටියේ ජාත්‍යන්තර විචාරකයකු ලෙස
06e4ae7338	එම දළදා පෙරහරට එකතු වූ
06e4d40d8f	එක්කෙනෙක් කෝමා තත්වයෙන් රෝහල්ගත වෙනවා.
06e5cbc5b8	flower garland
06e6074429	එහි වැඩි සේක
06e79e33ca	සිය ගණනක් පෙන මඩලු මවාගෙනය.
06e7a71b47	මෙකී ගීතයට ඔහු නම් දී තිබුණේ වංකගිරියට පිටත් වීම ලෙසිනි.
06e815047f	ඌරු මස් කියලා දෙන්නේ වැඩිහරියක් තෙල් කෑලිනේ කියන එක
06e8ab94d5	ඔහු වාදනය කරනු ලබන ගිටාරයද
06e9265be2	ඒ වගේම අර කලින් හාකර්ට තොරතුරු ලබාදුන්නේ නිළියක් කියලා දැනගන්නවනේ
06e9668b6e	නොලිය ගියොත් මගේ හිතට
06e9be7c76	මා ඔබට කියන්නම්
06eaa660c3	ඇක්වයිනාස් වගේ අය මේ මතය විද්‍යාත්මකවත් ඔප්පු කරන්න හැදුවා.
06eb444240	මුළුමනින්ම දරා වැඩසිටි සේක
06eb859108	සෙවණ දුන් මාකස් ප්‍රනාන්දු
06eb8b62cf	වඩා වැඩි වාසිදායක තත්ත්වයකට පත්වෙනවා
06ebe7ffbc	විද්‍යාත්මක සහ තර්කානුකූල සංකල්පයක්.
06ebfd8a11	පෙරහර කරඬුව දක්වාම විහිදෙනවා.
06ec58c831	මහාචාර්ය කරුණාසේන හෙටිටිආරචිචි මහතා පැවසීය.
06ec66eaae	සුදු ඔයා මට ආදරේද
06ec9bad3d	ඇතැම් විට දෙවිවරුන් ගැනත්
06eca59755	එහෙව් බොට
06ed5b16c7	සැකකරු විසින්
06ee0bfa12	නමුත් බුදුරජාණන් වහන්සේට
06ee39132b	තව දේවල් තියෙනවා
06eeca43b9	කාරුණිකව අසරණ දුගී අයට පිහිටවීමට කැමැත්තක් දක්වති.
06eedcb40d	වෙනත් ලෝහයක් වෙන්නත් පුළුවන්.
06ef0d3d90	අර බාල්දියට වාල්දිය කිව්ව වගේ
06f0df3703	ඒකෙ දෙවෙනි කොටස
06f147d88f	පිරිත් මණ්ඩපය තුළ
06f185e9a6	අප්‍රමාණ වු චක්‍රාවාට සංඛ්‍යාවකින් සැදුම් ලද්දේය.
06f1e517ef	සිංහල උපසිරස එක්ක
06f1ff1b11	ඉන්දියාවෙන් කාර් ගෙන්වනකොට
06f205c229	අසත්පුරුෂ ආශ්‍රයේ ඇති භයානකකම හොඳට තේරුනා.
06f222213b	winx club mp3 download
06f37486ed	කරගෙන ගිය එකයි.
06f38ad784	ශ්‍රේෂ්ඨාධිකරණයට යනවා.
06f3efb695	පූර්ව භාග 8.41 ට ලබයි.
06f40bd413	ඔබ ක්‍රියාත්මක විය යුතුය.
06f470c176	ඊට පිළිතුරු ගොනු කිරීමත්
06f4a1de9b	උසිගැන්වූ තනි පුද්ගල මතයයි.
06f5138b3e	අත්සන් කිරීමට රජු මැළිවීමයි.
06f57347df	සියල්ලන්ගෙන් සමාව ඉල්ලා සිටිමි
06f59e1420	ජීවත්වෙන දෘෂ්ටිමය උගුල්වලට අහුවෙන්න එපා.
06f693da89	යමක් සහේතුක විය යුතුයි.
06f6987238	මුන් ඔක්කොම කරන්නේ
06f6a00797	හිතේ රැඳිලා තියෙන්නෙ
06f6e888fd	දෘෂ්ටි කෝණයන්ගෙන් අප එදෙස බලන්නේද?
06f779ce51	එකසේ යහපත් ය.
06f7a1d923	ඉර එළිය රස්නෙ වැඩියි
06f80dd76c	අපි වයස වැඩි නිසාද කොහෙද
06f8f89a03	මෙය වාර්ෂිකව කළ යුතු යැයි
06f8f8f6de	ඒකත් දෙමු
06f9127a68	මේ අනුව රසය යනු
06f91a1217	එහි සම්ප්‍රාප්තිය
06f9f47144	ඉතින් ඔන්න අපේ රට අන්තිමට සුද්දෝ අල්ල ගත්තා
06f9fabbe4	තවත් දුක්බර අවස්ථාවක් ඔබට
06fa3c44b3	හොර කණ්ඩායමක් මුතු කොල්ලයක් සඳහා එක් වෙනවා.
06fb8a1070	තියනවද නැද්ද කියලා උඹ දන්නෙ නෑනේ.
06fbae770d	sinhala film
06fc11820d	ඊට පස්සේ අයියාට ඕනෙ වෙනවා
06fc1862d7	ඉදිකිරීම් නැවතුනු අතර
06fc7ba8dc	ඇය ඒ වෙත පිවිසෙන්නේ ඉහළ සමාජ ස්ථරයකට අයත් ධනවත් කාන්තාවක ලෙසිනි.
06fca85370	හැකි තරම් ආහාර ගබඩා කර ගෙන
06fcc83f2c	මෙය ලියා අවසන් වූ පසු
06fccfcf01	රහතන් වහන්සේ හතර වෙනි යුගලය.
06fcf1dcbd	මෙම දර්ශනය
06fcf341c9	එහාට ගෙන්නා ගන්න.
06fd53c219	ඉස්සර අපි උපදින්න කලින්
06fd6d29d1	දක්වා ඇත.
06fdd744e0	ඉදිරිපත් කළ යෝජනාවට කැබිනට් අනුමැතිය ලැබිණ
06fdd90590	හින්දි වුණත් කාලෙකින් ආපු රජම බඩුවක්
06fe5acc37	ගුණධර්ම හොඳ හෝ නරක ලෙස සංවර්ධනය වී
06fea6e9a3	සල්ලි හොයනවා.
06ff3b4b35	ඉස්සරහට බලපං ආතල් එක.
06ff87e76d	ඒකක් තමයි අපේ රටේ ඉන්නෙ.
06ffa5af0e	බුදුපිළිම නෙලීම සිදුවුණි.
06ffdff914	ඔහුට වඩා
06fff3c5c2	විමල් වීරවංශ අමාත්‍යවරයා
