75001c4b05	අරන් දුන්නෙ.
759a49080f	මුලින් සිංහලෙන් ලියා
759a5c70af	එයාගෙන් අහන්න කියනවා
759a864336	කරල තියන උදවුව මොකක්ද
759b04c0d1	කෘති නොවේ.
759b7ffa39	නාලනී ටීචර්ගෙන් ඉගෙන ගත්තේ නැත.
759b878ea5	bajaj
759babd583	කලාත්මක භාවය හඳුනාගැනීමට හැකි පෙළඹුමක්
759beecb19	ඉඩම් බලතල පාවිච්චි කරලා
759cc082b0	නිර්මාණාත්මකව තවත් දේ එකතු කළ යුතුයි
759cc38df4	රජගහනුවර වේළුවනාරාමය අසල
759d1c13f3	ලෝකයේ අවධානය ආකර්ෂණයද දිනා ගන්නා ලද්දකි.
759dc50e93	පෞද්ගලික
759dd8a51e	එයාව පාවිච්චි කරන්න බැහැ.
759de011b8	එතකොට තමයි සුභාෂිත බුද්ධ වචනය
759e299e7c	මගේ හිත මට කීය.
759f119876	කුමක්දැයි ඔවුහු විමසන්නට වූහ.
759f78e71e	ඇස් දෙක පමණක් පිටතට පෙනෙන සේ
759fb1a976	සේවා ලබාදීමටත් අපි සූදානම්
75a01a2176	එය මිනිස් සිරුර නම් භෞතිකය ඉක්මවා ගොස්
75a08fea0c	සාමුහික ක්‍රියා වලදී මුල් තැන ගෙන
75a0abf39d	මෙම පුරපොහෝ දිනය අප විසින් හඳුන්වනු ලබනුයේ
75a13daa51	මේ ප්‍රතිමාවන්ට දේවාල කරවීමටද
75a17b0a0e	මේක බලපු සුපිරිම එකක්.
75a1a6d4e3	බොහෝ නිහතමානි
75a1ad5dab	oshin
75a1d1816b	අපේ රටේ හලාල් විරෝධී බලවේග ඇතුළු විවිධ බලවේග
75a1ec6262	එහෙත් එම බලාගාරයෙන් අහිමි වූ
75a2045f2f	අවිඥානයේ තැන්පත්ව යටපත්ව ඇති
75a20c830c	එවිට පිය රජතුමා කියනවා ස්වාමිනි
75a3488a45	එදා භාග්‍යවත් බුදුරජාණන් වහන්සේ සැවැත් නුවර සිට
75a4409f62	සිව් රඟ සේනාවන්හි මුලින්ම ගියේ
75a4aa08c3	ඒත් බුදුහාමුදුරුවො දේශනා කරපු දහමට අනුව
75a526d560	නඩේ ගුරාට අවමානයක් නොවෙන්න
75a591943c	දුක් වෙන්නේ නෑ.
75a6dbda1d	කතාව බලලම ඉන්නකෝ.
75a74c4d7f	එයා තමයි මාරියා.
75a74dba0d	ඔබ හරි.
75a7c3ef98	එයින් කරන ලද හානිය සුලු පටු නොවේ.
75a7fbe112	එනිසා ගිනි පෑගීමත්
75a80a3f55	දැන් විසුවියස් කඳු මුදුනට සීමා වෙලා.
75a8fd78fc	එසේ වුවත් සායක්කාරගේ අපට පෙනෙනෙ මේ කීකරුකම
75a92c9d11	තීරණය කළ හැකියිනෙ
75a9a5dc53	කියන්න තියෙන්නෙ.
75a9e9f961	ලාංකික බෞද්ධ සමාජයේ ප්‍රමුඛස්ථානය වූයේත්
75aa935c93	එවිට බුදුරජාණන් වහන්සේ
75aadd5998	පැකිලෙන්න එපා.
75ab121bd9	රේරුකානේ චන්දවිමල මහ නා හිමියෝ පෙන්වාදෙති.
75ab629b0c	එම කාලයේ දී
75aba4560a	මේ නිසා ලක්වැසි බෞද්ධයාට
75abbf3d45	එය කරලා දෙන්නේ
75abdada78	ඉන්ද්‍රියක් ලෙස වර්ධනය වන්නට පටන්ගෙන
75ac7cabb1	පව් කියලා
75ad79b066	ඒ සාරාංශය එක්ක
75ade50013	සම්මා සම්බුද්ධත්වයට පත් වූ සේක.
75aecd16a6	ඒ වෙලාවලට එයාල හිතන්නෙ
75aee53d96	අපි කවුරුත් මැරෙන මිනිස්සු
75aee5927d	මොකෝ රාජ්.
75af111bd6	යමක් අවසන් මෙහොතේ ලබා දුන්නා
75afb121e6	අපිට වතුර ටිකක් වත් දෙන්නෑ.
75b0456897	ඒවා පිළිනොපැද
75b055d936	බුදුරජාණන් වහන්සේ මෙහිදී
75b07b3b33	ගලා එන්නට විය.
75b0c36779	එනම් ලෝභ, දෝස, මෝහ
75b12de900	නතර කරලා නවීන තාක්ෂණයට අනුව
75b13bc5e7	මුම්බායි නගරයේදී පැවැත්වේ.
75b165e1e1	පිණ්ඩපාත චාරිත්‍රයට
75b1eda58f	මීට සුළු වේලාවකට පෙර
75b21f45ed	රැක ගෙන වැදුම් දෙන්නත්
75b23f5184	එත් මං අහල තියනවා කතාවක්
75b271426a	එම නිසා එම පිරිසද
75b2fb42ab	එනිසාවෙන්ම වන්නට ඇති
75b5e5c415	අපේ බාලපරම්පරාවට
75b6cf7e23	කැමැති කවුරුත් කළ යුත්තේ
75b6e21efc	අනිවාර්යයෙන්ම නිරායාසයෙන්
75b7169f90	වඩා දුෂ්කර මාර්ගයක යාමෙන්
75b7265a74	ධර්මයේ නොහැසිරෙන කෙනාට නොවෙයි.
75b77058b4	එදා රාත්‍රිය ගත කළේ
75b7efa73f	ඔන්න මම බස් රූට් එකේ
75b7f1e0b7	මැල්කම් ඇතුළු සිව්දෙනා
75b82f36b8	දරුවන්ගේ කටයුතුවල දියුණුවක් ගෙන දෙන බව පෙනී යයි.
75b94d3962	ඉස්සර පච්ච කෙටුවාට
75b97fb693	ආයෙත් මාව ගෙදරට ඇරලවන්න
75ba4bb3d8	අභිනව මහානායක මාහිමියන් වහන්සේගේ චරිතයෙහි
75bb142a51	උන් උඹල වගේ බටහිර විද්‍යාවට බැන බැන
75bb20fc19	විශ්වාස කළ හැකිය.
75bb9cf5c6	මිසදිටු බවින් මිදෙන තෙක්
75bc3b9095	ඇසළ පෙරහර සඳහා
75bc7ce63f	සම්මා සම්බුදුවරුන්ට පමණ ය.
75bc9be953	ඒත් නිකම්ම ගෑනියෙක් කියපු පලියට
75bcc5b6cb	මහත් උත්සාහයෙන් අප හරිහම්බ කරන්නේ මුදල් ය.
75bd916faf	jobs in sri lanka
75bdddd663	ඒත් ඔය ඔරුවල බන්දු කියන
75bdecc38f	මම තනිවෙලා නැතිබව.
75be8f5cc9	සාමාන්‍ය විදිහට අධ්‍යාපන කටයුතුවල නිරත වුණා.
75bed109d4	අද බත් මිටක් නිසා
75bfc2defd	බ්‍රිතාන්‍ය රහස් ඔත්තු සේවය වනවටා.
75c0833341	යාමම තමා මිත්‍ය්දුෂ්ටිය
75c0ada649	ගොඩක් අය කියන්න පුලුවන්
75c1385358	ඒ දැනුනු දුක අදටත් එහෙමමයි.
75c1958ed3	තනිවම විශාල සටනක් කළා
75c1e43005	උබවැනි වියේ වගේ තමා හිතෙන්නේ
75c1eca6ed	ඔය කිසි ලෙසකින් නොව
75c28d7575	දේවප්‍රිය ඉතා අපූරුයි ඔබ කළේ අවශ්‍ය කටයුත්තක්.
75c28fd447	මේ බ්ලොග් එකේ
75c2dac0b7	මහ දේවාලයේ වතාවත් සිදුවේ.
75c32764a8	විශ්ව විද්‍යාලයේ සිටියදීත
75c32cd7fc	තාක්‍ෂණික බිඳවැටීමක්
75c3ba3cda	අනුරාධපුරය වනයෙන් වැසී ගියේය.
75c3c775de	ලෝකයේ ජනමාධ්‍ය මොන තරම් උනන්දුවකින් පසුවිණි දැයි පැහැදිලිය
75c3fa6994	මවට ඒ පිළිබඳ වැටහීම මඳ වුවත්
75c41a64ac	එය අභිධර්ම පිටකය තුළ
75c41dbe26	ඉතිං අපි එහෙම තැන්වලට ගිහින් ව්‍යායාම කරනවා
75c4468aee	අනිවාර්යයෙන් කළ යුතු කාර්යයකි.
75c4c63719	roof stands
75c50c7ef7	විකාල භෝජන සික පදය ගැන සඳහන් වේ.
75c56e433d	අපි පුංචි කාලේ ​සෙල්ලම් කලා.
75c6041296	ඔහුට තර්ජනය කොට
75c6551ca2	ලොව පුරාම තොරතුරු තිබෙනවා.
75c6d285f7	the island
75c7828b69	අපිත් දැකල තියෙනවනේ.
75c79e9f94	ලබන සතියේ සිට පාඨකයන් වෙනුවෙන්
75c7d16d22	අනාගතේ ලංකාව ආක්‍රමණය කරන්නේනම්
75c7e10789	පරමාකන්ද විහාරය මෙතන ඉඳන් බැලුවම පේනවා
75c82e6771	ලස්සන නිර්මාණයක් කියලා විතරයි.
75c936c350	මංගල දිනයේ ඇය රැගෙන එන ලෙස
75c9465e8f	බුදුන් වහන්සේ කුමාරයාට ධර්ම දේශනා කළහ
75ca8d14fc	විවාදයක් නෑ.
75ca996263	පිරි කතා වස්තුවකි.
75cac50145	එබැවින් මෙවැනි පූජාවන් තැබීමේ දී
75cadf5dad	සුපිරියටම ඇති කියලා හිතනවා
75cae6869d	හැබැයි ලජ්ජාවෙන් කියන්න ඕනේ
75cb3a471f	දෙපයින් නැගී සිටීමට හැකියාව තිබෙනවා.
75cb72214f	කොල්ලෙක් මේ ලෝකේ නෑ කියලා.
75cba1b8cc	ජගත් නියමයි.
75cbd95ceb	අදිත වීරසිරි සිසුවා පදිංචි
75cc3aec0b	ඕන උනාම හෙන අවුල
75cd00d491	ප්‍රබල ස්ථානයක් හිමි නොවේ.
75cd5e98df	ඇතැම් පවුල් වල උදවිය මඩු මංගල්‍යයට යාමට වසර පුරාම සූදානම් වෙති.
75ce2a7923	සිතියමේ පෙන්නන්නේ නෑනේ
75ce380ffb	ඔය මුස්ලිම් පල්ලිය ගැන
75ce3f760f	බුද්ධිමත්ව සිතා කොමන්ත් කිරීමට
75ce6190df	එය හැඳින්වීමට
75ce6b4a96	මැරෙන්න පණ අදින මොහොතේ
75ce8399ad	සම්පත යි පුද්ගලයා යි.
75ced83a62	මේවා තේරුම් ගැනීමෙන් විතරයි.
75cfd1efca	නිහඬව වනයේ අසිරිය විඳගනියි.
75d01a4358	උගත් සිල්වත් හිමිවරු ගැන
75d03a3086	උන්වහන්සේට බ්‍රාහ්මණ අය පවා හරියට ප්‍රශංසා කරලා තියෙනවා
75d040c131	හෙතෙම දීප්තිමත් වේ.
75d10795e6	පෙරහැර හොඳින් පැවැත් වූ බව
75d16eaa6c	එනම්, මෙහි කතා නායකයා
75d1b3c3d9	වෙනස්කම් තියෙන බව.
75d1bccb6d	එතුමිය ඉපදුනේ තුසිත දෙව්ලොව දිව්‍ය කුමාරයෙක් වෙලා
75d29e67b3	ඇත්ත
75d2a93495	මේක බණ විකිණීමක් කියලා කියනවනම් වැරදියි
75d2c79723	උපසිරැසියට බොහොම තුති මචන්
75d2e9af50	අංගුලිමාල නම් දරුණු පුද්ගලයෙක් බවට පත්වීම.
75d30c8ace	එය පැහැදිලිව පරාරෝපිත තත්ත්වයක් පවත්වා ගැනීමට
75d395fe50	baby
75d4575d94	දේශනා කළා.
75d4708b9a	මේ දිනවල දී පොත් දෙකක් සම්බන්ධයෙන්
75d556f6a7	රටම දැන සිටියා
75d671a48c	douglas adams
75d6983435	yahoo mail.com
75d7b403b4	ගණනාවක්ම අඳුනගෙන තියෙනවා.
75d7e82e9a	එහෙම නොවී
75d81ab581	කතාවනම් නියමයි වගේ
75d839dc55	එහිදී රටට අවශ්‍ය කුමන වර්ගයේ උපාධිධාරියෙක්ද
75d857044a	නොදත් දෙයක් තිබේ
75d9285b84	පුළුවන් වෙන එකක් නෑ.
75d94cd279	උදේ .ට විතර භවනිගේ අම්මා ඇවිත් කීවා
75d9a77429	මෙහි ඇතැම් මකර තොරණක දෙපස ඇති
75d9bee5fd	සියලුම දේ ඉතසිතින් වැළඳ ගනුයේ
75d9e9abac	එත් ඇමරිකාවේ සහ දැන් එංගලන්තය වගේ රටවල
75da184996	නිර්දේශ කිරීම සිනහවට කරුණකි
75dac8fe0c	බුදුසමය මානවහිතවාදය ඉක්මවා යන
75dacf9282	එබඳු නිර්මාණ
75db465343	type an ring
75dbd4e9af	රජගහනුවර වේළුවනාරාමය කේන්ද්‍ර කරගෙන
75dc44f5d6	එනම් කාමසුඛල්ලිකානු යෝගය සහ අත්ථකිලමතානුයෝගයයි.
75dc5d368c	භෞතික සංවර්ධනය හා ආධ්‍යාත්මික සංවර්ධනය
75dd208a7f	එම ගම්මානයෙහි ද
75dd8b432d	අයියේ පුළුවන් නම්
75ddcc8b55	අලි කරදරෙන් දුක් විඳින මිනිස්සුන්ට
75ddd6e879	මේක නම් මාරෙටම හිතට වදිනවා.
75de1364c7	අතර ලොකු වෙනසක් නැහැ.
75df603857	ඉන් අභිනව සාහිත්‍ය නිර්මාණ ධාරාවන්
75e0177efe	ක්ෂය වෙලා ගියා.
75e01abaa2	අනෙකුත් බ්ලොග් වල එදිනෙදා
75e0310134	කවදාවත් අංගුලිමාල රහත් වෙන්නේ නැහැ.
75e0d48940	අපිට මොන අමාරුවක්ද?
75e0de5435	සිතට වෙහෙසක් ඇතිවිය හැකිය.
75e150f4e8	අපේ සංස්කෘතියට සදාචාරයට ගැලපෙන හිතේ
75e18d9f0b	අපි විපක්ෂයේ ඉන්නකොටත්
75e222c4a2	ඇත්තටම මට ඉන්නවා හොඳ අවංකව කතා කරන යාළුවෝ ටිකක්.
75e23b30f8	මටත් ඔය වැඩේ කීප සැරයක්ම වෙලා තියෙනවා
75e278cf18	බෙලිගල ආශ්‍රයෙන්
75e2a578d5	සැසඳීම
75e2c0a471	භග්න කළ උත්තමයකු නිසා විය හැකියි.
75e2e42a64	මනුස්සත්වය අමතක වූ වර්තමාන සමාජයේ
75e2f06a3b	එවිට කිසිම සමාවක් නොමැති
75e324731c	අයිරින් ඇඩ්ලර්ට මොකද උනේ කියලා
75e3737865	එදා යක් රැහේ හෙළයන්
75e394d910	samurdhi authority
75e3a35ddf	ආසන්න මට්ටමින් පමණක් නිවැරදි වන බව
75e3cbf826	අඳීන ඇඳුම් මෙන්ම
75e3dd9626	උත්සාහ ගන්නා යකා පසුව
75e43eeae8	පරකාය ප්‍රවේශය
75e45a47f5	අපි කරනවා.
75e487b225	ඒකෙන් කියවෙන්නෙ නෑ
75e498c085	ඒත් සිංහල උපසිරැසි එක්ක
75e4e2f8bf	ඒක නිසයි කියන්නේ.
75e538d8a2	ජයමඟුල් ගාථා අර්ථවත් සුබ කටයුතු වලට නොවේය.
75e53de17d	විශ්ව විද්‍යාල වලින් එලියට එන අයට රස්සා ලැබෙන්නේ?
75e5795ff2	මෙහෙම වෙන්නෙ ඉංග්‍රීසියට
75e57d989a	තව දුක්බර ආදර කතාවකුත් තියෙනවා
75e6195c90	පොරගෙ කසාදෙ තාම තියෙනවද?
75e649fb5a	මේ අනුව පෙනී යන්නේ
75e6b4f614	ඔයාලම බලන්න.
75e784f911	එවිට මේසා දීර්ඝ සසර ගමන
75e8197eff	එළකිරි වැඩක් යාලුවා
75e8bf84d5	පීඩිත ජනකොටසක්
75e9790b61	ධර්මය පුරුදු කිරීමේදී
75e99efebc	විභාග පාස් වන්නේ කටපාඩම් කරය
75e9c3a9d6	ගෙනාව මේ සුපිරිම කතා මාලාව
75ea11d42e	සමාජයට බිහි කිරීමට
75eb269c03	අද පැවැත්වෙන ඉන්දු ඔස්ට්‍රේලියා තරගයේදී
75eb3f2328	සලකා බලන්නේ 'භාණ්ඩ පැස'කි.
75eb79df7f	හුලන් තිබ්බත් නැතත් කොඩිය ලෙල දෙන්න විදිහක් නැත
75ebac1d75	කකා ඉද්දි මෙන්න තවත් මනුස්සයෙක් එනවා.
75ec01f574	ජාතික වගකීමක් හැටියටයි හිතුවේ.
75ec36180b	අපි පොලිසියට කතා කරල
75ec94dc3c	හැබැයි පුතෝ එහෙ තියෙන්නේ පොඩි පොඩි ගෙවල්.
75ecfc9327	තිබුණෙ නැහැ.
75ed402576	කාරණා වූ අත්දැකීම් මේ මොහොතෙහි මෙනෙහි කරයි.
75ed53bb7d	සිංහලෙන් ඔබට ගෙන ඒමට
75edd8f0b8	පරිත්‍යාගශීලී සේවාව අවධාරණය කරයි.
75ee057e57	පට්ට ෆිල්ම් එකක් කියල
75ee21316f	අනුමත හා අනුමත නොවු කටයුතු සඳහා
75ee3c1b9f	බුදුන් වහන්සේ මෙම රහස අවබෝධ කරගත් හෙයින්
75ee48c17a	ඔහොම කෑල්ල කෑල්ල දැන්ම විකුණමු.
75ee6478be	ඔවුන් පහත් කුලවල
75ee6b9ea2	ඉන්න එකාට තව මොන කන්නද
75ee8f6085	මං නං හිතන්නෙ
75ef298ed6	බෙන්ජමින් ෆ්රෑන්ක්ලින් විසින් අකුණු සන්නායකය නිපදවීමෙන් අනතුරුව
75efa8613b	ඔහුගේ පවුල් ජීවිතයේ ද සම්බන්ධයක්‌ තිබේ
75eff71e59	අපේ යුද්දෙට උදව් කරපු
75f01740fc	ලොකු දුරුවල කමක්.
75f03df26c	අපේ ත්‍රිපිටකය හා හොඳින්ම ගැලපේ
75f03e7dd1	එත් විශේෂ වෙලාවල් කීපයකදී විතරයි
75f0dc1c21	තමන් පින් රැස් කරගෙන,
75f0eebfde	එයට ප්‍රතිවිරුද්ධ ලෙස
75f299bb4e	ඔබ කියන විදිහට
75f2c1b7ae	මම ලබපු හොඳම තෑග්ගක් කිව්වොත්
75f2db8cb9	වඩාත් අර්ථවත් කරන මාර්ග උපදේශක ග්‍රන්ථය
75f31c7072	ප්‍රකාශ කරන්නේ එහෙයිනි.
75f38789c3	බෝධිය, වජ්‍රාසනය, ත්‍රිරත්නය, සිරිපතුල වැනි සංකේතයන් ය.
75f3d3ed5c	ඒවායේ අයිතිකරුවන් වන කෝටිපති ව්‍යාපාරිකයන්
75f4394b5a	එළ එළ අයියෝ
75f47de528	දිව්‍ය භවනක ශ්‍රීය ඉසිලීය
75f4aabd9f	පුරුෂ මූලික ගොඩනැඟීමක් නොවන්නේද?
75f4b1240a	මෙගා ටෙලි නාට්‍යයක් වුණාට
75f4b3870c	රහසක් එලි කරයි
75f4d709ac	මූලික හා ද්විතීක අධ්‍යාපනය නිම කළ
75f4e054c5	ගොඩක්ම සතුටු වෙනවා.
75f53870a6	අම්මා තාත්තා සහෝදරයෝ නිළියක් වීම
75f57016a9	ඇටසැකිල්ල තනි කොටසක් ලෙස ගොඩ ගැනීම පොලිසියේ උත්සාහයයි.
75f5f294f2	ඒත් අහමඩ් නානා ගැනත්
75f64c0726	හැබයි පස්සෙ කාලෙක මිනිහගෙ
75f664f91f	මෛත්‍රීය වැඩීමෙන් වෛර නැති කර ගැනීමට පුළුවන.
75f815fb9f	අවසන ඇය බිඳී ගිය
75f83a2208	වැඩිය හොඳයි කියල.
75f8595244	එම ග්‍රහලෝකයේ සිටින
75f8771eeb	සාමාන්‍ය ජන ජීවිතයෙහිදී
75f8a7631c	කරදර විඳලාවත් ලිනක්ස් භාවිතා කරන්න
75f9179762	ඔබේ සිනමා රසවින්දනය
75fa93e259	එතකොට වෙන්නෙ
75fa9b1b62	ගල්ඔය ජාතික වනෝද්‍යානයේ
75fb0cfd4c	නිහඬ සොදුරු මිනිසා ඔහුයි
75fb20cf54	සොයන්නාගෙ පුරාවෘත්තය සමඟින්
75fb4ab73f	තණ්හාව ඇතිවෙයි.
75fb6d2421	එහෙම නැතිනම් අද සමාජයට අවශ්‍ය වෙලා තියෙන්නෙත්
75fb84b193	විදෙස් රටක් අණ කරන්න
75fc19e280	ගෙදර මා ඇමතූ නමින් කතා කොට
75fc4d8517	සහිතව ඉදි වූවකි
75fc539d8e	ඒ සඳහා අවබෝධයක් කැමැත්තක් ඇති නොවේ.
75fca738d9	ඔලිවර් අර ශක්තිමත් කෙනාව මරලා දානවා.
75fccee030	එම කෙලෙස් සම්පුර්ණයෙන් නැසූ පුද්ගලයා
75fdef4dcc	මිනී මැරීමට තැත් කිරීමේ චෝදනා
75fe4b8fd2	blog sites
75feefe190	එදා විමලා නැවත පැමිණ තිබුණ
75ff463575	ඒක ටිකක් කොලොප්පන් වගේ නම්
75ffff061d	එක ගැනවත් හිතන්නෙ නෑ ඔයා
