66001432c6	දමිත් ගුණවර්ධන කියපු කතාවමයි.
6692021c2e	ගොඩාක් ස්තුතියි
669218260b	sinhala katha
6692d8c45c	නිල ඇඳුම වෙනස් කරයි
6692da2b1c	සමකාලීනව පැවැති දියුණු සාහිත්‍යයක පැතිකඩක්
66935a1240	tours to maldives
6693db56f7	අද රාජපක්ෂ ආණ්ඩුව පත් වෙලා තියෙන අවාසනාවන්ත තත්වයට
6694086f59	අද දින සෑම කටයුත්තක්ම
6694bca3d6	අනික අපාය දිව්‍ය ලෝක තිබෙනව කියල
6695525e43	ඔහු නමින් දේශමාන්‍ය ආචාර්ය උපුල් ජයසිංහය
66959de8a8	එහෙත් එහි ප්‍රතිඵලය
6695bcb765	hiru photo
66962f4360	මෛත්‍රී භාවනාවේ ඇතුළත්
6696bb4e4a	අනෙක් ආගම් වල
6696eb2ebf	මෙහි සීලයෙන් යුක්ත වූ සිල්වතා
6697433498	එකතරා බලවතෙකු සියවෙනි ස්ත්‍රී දූෂණය
6697982bb3	දියවඩන නිලමේ ප්‍රදීප් නිලංග දෑල මහතා
66980de094	පසුබට නොවිය යුතුමයි
66986a06fe	මෙහිදී බුද්ධිමත්ව සරලව
6698b88bce	එය ලබාගැනීමට මාර්ගයක්ද තිබිය යුතුමය
6698c72ddd	කොහේ සිට එතනට
66990da919	බැල්ලගේ හිස අත ගෑවේ ය.
6699adf494	හරණය කරගන්න වෙන්නේ
6699d6b722	අප විසින් ගොඩනඟා ගත යුතුය
669a3dc8f9	තේරුම් ගැනීමටත්ය.
669ae6bc2e	sangakkara
669d596e76	nsb
669ddcb65b	හොඳම කෙනා අම්මිද තාත්තිද කියලා
669e08031a	තේරුම් ගනින්.
669e413686	මිසදිටුවන් බුදුරදුන් වෙත
669e42ff48	අසන්නට පුළුවනි.
669e4ae0a8	නියම කතාවක්
669e5a7a23	ඉතා කලාතුරකිනි
669e7f1bfb	ඔයා මනමාලයා කියලා හිතලා
669ec97886	එකම අයිතිවාසිකම් ලැබිය යුතුයි.
669f2c7a14	එවැනි තර්ජනයක් ඇති වීමට පුළුවන.
669f9b862c	මේක හරිම ලස්සනයි විහිලුයි
669feac051	මාළුවා ඇම ගිලගත්විට
66a0f4c0b0	එය එසේ නොවීමට අප සැම වග බලා ගත යුතුය.
66a0f6b4bd	මෙහිදී අවබෝධ කරගත යුතු
66a122eb7a	ලෝකය පුරා ව්‍යාප්ත විය.
66a20cef21	නමුත් මේ සූදු ව්‍යාපාරයත් සමග
66a241e7b1	උන් ඒක වැඩිය හොඳට ඉගෙන ගෙන
66a2912a84	කම්බි ටික එකතු කරනවා
66a3055f19	homemade
66a327f433	ගම්ලතුන් පවසා ඇත
66a341679b	ඔහු පවසයි
66a35e5102	බලවත් වීම මත
66a39b5078	දවසෙන් දෙකෙන් පලතුරු ඉදවන
66a4d46e37	ඉතින් බොලවු එයින් පෙනී යන්නේ
66a50a4951	අතුරු කතාවක් තියෙනවා
66a51f0e14	ලබන අවබෝධය
66a53cb6f6	මේවා සම්බන්ධව විවිධ මත පළවෙමින් තිබේ
66a544fb35	අසල්වාසීන් ඉඩ දුන්නේ නැත
66a561b6d7	තාම ගෝඨාස් වෝ කියෙව්වෙ නැද්ද
66a5d0778d	අධ්‍යාපන කටයුතුවල උසස් ප්‍රගතියක් පෙන්නුම් කරන අතර
66a636af2b	ඔය දෙමල උන්ට සහන සැලසීම ගැන
66a64852cd	නිගමනය කළ හැකි බවයි ඔහු පවසන්නේ
66a687b6e3	වෛද්‍ය චින්තක විජේවර්ධන මහතාගේ අදහසයි
66a6c878ee	බුදු දහමත්, සංස්කෘතියත්, කෘෂිකර්මයත්
66a6e6deca	මහනුවර සුදුහුම්පොළ රජමහා විහාරය
66a6f1f5f4	එකක් ලැබෙනවා මෙහෙම
66a7657e6f	එසේම තොරතුරු තිබෙන තැනකි.
66a76b4c6c	තරම් මොවුන් තීක්ෂණ නොවීමය.
66a7f66ddb	බුදුරජාණන් වහන්සේ පෙරවරු කාලයේ දී
66a810e228	අපිට ලැබිලයි තියෙන්නෙ.
66a84e2e2e	ඒ ක්‍රියා පටිපාටිය අනුවම තමයි.
66a85e4547	පොල් අඩුවෙන් කන එක හොඳයි.
66a8c38495	පළමුවරට සඳහන් වන්නේ
66a8e75845	අද දින බොහෝ විශ්වවිද්‍යාල මහාචාර්යවරුන්ට වත්
66a90a0b43	අලුත් අවුරුදු දිනය
66a9256ee3	ඇසින් දුටුවන් ප්‍රකාශ කළේ රාත්‍රී හතයි තිහට පමණ
66a96f1117	සසර දිව යන පුද්ගලයා
66a99c3856	මොවුන් වැඩිපුරම සිටිනුයේ වෙරළබඩ සංචාරක කලාපවලය.
66a9eb33bc	මිනිසා නිවන් මඟට යොමු කරන අතර
66a9f24cc2	අප සමහරවිට නොදුටු පැත්තක්
66aa327f5a	මෙම මතය ඔහු ඉදිරිපත් කර ඇත
66aa5bf898	විශ්වාසී කතා ඇති
66aa62cba7	සියයට, සීයක් වාගේ විහාරස්ථානවල පවත්වනු ලැබේ.
66aa9797ab	මාංශ භක්ෂකයි.
66aabe8e1f	බුද්ධ චරිතයට අවධානය යොමු කළොත්
66aad47adf	එතැනින් ගියේ
66aae7e3cb	ඔය වගේ එකක
66abeb1d4d	දෑඩි කොන්දේසි යටතේ නීතිගත කිරීම
66ac0e44f5	රීච්ට නැවත ජීවත්වීමේ වරම් උදාවිය
66ac2d0a71	ලිනක්ස් වලට බනින්නත් එපා.
66ad1207b9	කප්පාදු කිරීම ආණ්ඩුවේ සැලසුම බවයි
66ad655926	ඉන් පසු ඔවුන් කියවන්නේ
66ad882e2a	එහිදී ස්වභාවික පිහිටීම
66adbfaad2	නෛතික සම්බන්ධයක් ද නැත.
66ae1acbb4	මේකි හදන්නේ සද්ද නැතුව ඇවිත්
66ae720eea	සියලු සුවඳ වර්ග
66aefbfbc1	පූජ්‍යතර මකුලෑවේ විමල නාහිමිපාණන් විසිනි.
66af460fed	අපි හැමෝටම ගොඩක් වටිනා
66af65bd6b	මේ ආන්දෝලනාත්මක ලිපිය කියවන්නයි
66afdf0921	බැංකු පොලිය සීඝ්‍රයෙන් පහත දැමීමයි.
66b13c8226	ගල් ආයුධය හදල
66b15476d7	අංග රැසක්
66b23eddfe	අපි විහිළුවට කිව්වේ.
66b24c6ccb	ඔස්ට්‍රේලියාවේ ‘පර්ත්’ නගරයෙන්
66b25ea26f	හතරවෙනි කොටසේ කතාව
66b28b1473	අද වෙනකම් අපි දන්නේ නෑ
66b2e8dea2	අසරුදීන් අබ්දුල් රහ්මාන් කියා සිටියේ.
66b3521fca	තරමක කුකුසකි.
66b3ac8d3b	ඇති කරයි.
66b3b19df5	crochet
66b43f2fc5	පව් රැස්වුනොත්
66b45ca169	ගීතයක් සේ ගායනා කිරීම
66b45d936d	මෙසේ දුර් වර්ණ වූ චිත්‍රයකි.
66b46a2adb	දියණියක්ද සිටින්නීය
66b46d9a63	වන්දනාකරුවන්ගේ පහසුව පිණිස
66b4d605af	අංගුලිමාල දමනය කිරීමට
66b50654cc	බැරි වන බව ද සැබෑය.
66b53dfb60	ඒකෙ තිබුනේ අල්ලපු ගෙදර
66b57add96	ශ්‍රාවක බෝධිය නම්
66b5abb59d	දැනට ඉන්න සුපිරිම බ්ලොග් කරුවා
66b81951d8	හරක් වෙලා ඉපදින්න බලාගෙන
66b81c16f0	සාහිත්‍ය කියවීම සඳහා
66b87bd016	පාලකයා ජනතාවගේ අවශ්‍යතා
66b8ab26dc	මනුෂ්‍යයන්ට වගේම දෙවියන්ටත්
66b8e665e9	නැත්තෙමත් නෑ
66b8eefe80	සියලු උපාදානයන් අත්හළ යුතුය.
66b9c4a5ac	එසේ මුල් බුරුල් කළ ඒකාධිපති රෙජිමය
66b9f78127	දහමට යොමුකිරීම අත්‍යවශ්‍යය.
66ba351c6a	අපි හොඳම අට පිරිකර තමයි
66ba862a2f	බැතිමතුන්ට සරිලන අන්දමේ
66baee2a36	මහා අමුත්තක් සිදුවෙනවා තේරුනා.
66baf2ff4d	එකට කරන්ඩ ඕන වෙන රටවල වගේලට හොඳ පඩි ගෙවන එක
66bb482f39	බිඳුනු වදනකි.
66bb94d8cb	තිරිසන් බවටත්
66bc8472e4	පෙර බරණැස විසූ
66bd354c1e	රෙයර් මීඩියම් ඩන් කියල
66bd4765ab	කර්මය බලපානු ලබන බව පෙනේ
66bd5e5a3e	snow white
66bd8c45ec	දැන් ඒ බණ ඇහිල්ලත් එපා කියලා හිතෙනවා
66bda7d5c6	ඉදිරිපත්වීම ඉතා අගය කළ හැකිය.
66bdaecadb	තෙල් නැත්තන් මුන් ඔක්කොම
66be566193	අත්හදා බැලීමට
66be81d92e	අත් විඳි මහා වේදනාවේ හවුල්කරුවකු වූ
66bf988886	නාට්‍ය තුනකින් සන්නද්ධ විය
66bfa21bf0	පෞද්ගලික වත්කම් අඩංගු වාර්තාවක් අධිකරණයට ඉදිරිපත් කළේය
66c0007070	ඒත් කාලයක් පුරා
66c07d3fe4	කොමෙන්ට්ස් දාන අයියලා ඉස්සරහා
66c0d4d791	මේ අනුව සම්මා දිට්ඨිකයෝ වර්ග තුනක් ඉන්නවා
66c1cd9b87	ඌව පළාත් සභා මැතිවරණයේදී දැකගත හැකිය
66c3cffde6	විද්‍යාඥයන්ගේ අපේක්‍ෂාවයි.
66c44ef9a8	උඹ තුට්ටු දෙකේ බ්ලොග් එකක් ලිව්වා
66c52177a8	අපට දැණුනා.
66c52eab9c	හැබැයි චොක්ලට් වෙනුවට
66c57e6356	එහි සිටින අලි පැටවාගේ කකුල
66c5b3d65c	sonic
66c5e4fdda	අත් දෙකට ගන්නට හැකි
66c68d92e6	අවුරුද්දකට ලෝකාන්තයට පැන්න අයගේ
66c6a1cc48	හුඟක් වටින මත්ද්‍රව්‍ය වගයක්.
66c6bd78cc	මෛත්‍රී භාවනාව වැඩීමෙන් වුණත්
66c6d76d28	political news
66c89dfa5d	හෙළිවූ තොරතුරු මාර්ගයෙන්
66c8a0c1ec	කායික දුකය.
66c8b1b54e	xp pro sp3 download free
66c90132d5	කුමන හෝ වරදක් සිදුවීමට යන බව.
66cbf4ba8d	මිනිසුන්ගේ ආයුෂ අවුරුදු පන්සියයක් වන අතර
66ccfa3c8b	තමන් ගෙනත් බොන අය හිටියා
66cd01d27b	මෙකල හටගන්නා වැස්ස
66cd758f37	බුදුන් වහන්සේ කතා කලේ
66ce47e85e	ඝාතනයට සම්බන්ධ
66ce8b0a9f	mr sri lanka body building
66cefc0199	එතන ඉන්න කෙල්ල මිථ්‍යා කථා විශ්වාස කරන කෙල්ලෙක්
66d0b68971	අතිශයින්ම පොළවෙ පය ගහලා ජීවත් වන
66d0cb8151	මෙම ස්තූපයේ නිධන් කර ඇත.
66d129e3a8	උන්වහන්සේගේ දේශනා තුළ
66d15d7621	මා විසින් අනාචාරය දුරුකොට
66d24c1dbc	මෙම විවරණය කර තිබේ.
66d2534d5b	ඉස්සර ගුවන් විදුලියේ ගීත ගයන්න
66d2803f3e	අධිපති පන්තිය
66d2aba90f	අපට හමුවන තවත් වැදගත් ලක්ෂණයක් සේම
66d388c522	මේ දේශනාව ගැන ආරංචි වූ භික්ෂූහු විසිදෙන සැටදෙන
66d40f6129	ඒවා විසිකරල දමන්න තරම් අයිතියක්
66d43d6ba7	පැමිණිල්ල ප්‍රතික්ෂේප කරන ලෙසයි
66d45791b4	ඉංග්‍රීසි පාලනය එම ගැටුමට උඩගෙඩි දෙන ලද බව
66d48445a9	යම් ආයතනයක සංස්ථාවක පිරිහීමට එකම කාරණයක්
66d4b36358	අවසාන වශයෙන් කිය යුත්තේ
66d4fe3c42	එයින් සිදුවන්නේ
66d50ba1e9	පදම් වනතුරු එතුමා චුලගල්ල උපාසක සමඟ දෙව්ලොව ගොස් ආ පුවත මෙහි එයි.
66d56b0409	තඹදියේ අත්ථදස්සී හිමියන් කටයුතු කර තිබෙනවා
66d58f569b	සාමා ජෑපෑන්වල තියෙන බුදු දහමෙයි
66d5f60c4a	ගමන් කරන බවක් හැඟුණි.
66d60aa65a	එහි බර උන් වහන්සේම ඇදගෙන යාවි
66d7cfc087	පර්සි ජයමාන්න මල්කැකුළු ප්‍රධාන සංස්කාරක.
66d8dc0631	ඉතිං මේක නිසා තමුන්ගෙ වැඩ අවුල් වෙන හින්දා
66d8f8b43d	reading books clip arts images
66d966dc21	අඛන්ඩව විශිෂ්ට චිත්‍රපටිවල
66d9e25bd5	වෙලදාම් කිරීමට ඇති නොහැකියාව හෙවත්
66da1d3830	අතීතයේ සිට පැවත එන සම්ප්‍රදායකි.
66da3488ef	වව්චරය ඉදිරිපත් කලෙමි
66da5439ca	නයගරා උද්‍යානයට එපිටින් පිහිටා ඇත
66da80ad1d	ඇයි මමත් සබ් දාන වැඩේ කරන්නේ නැත්තේ කියලා
66daa4fe3f	කවදා හෝ කළ කුසල කර්මයක්
66dab1a116	ඒත් ඉස්සරහට කතාව
66dae692ea	මේ කාන්තා අවතාරය සමන් මහතා ද දැක තිබේ.
66db85dabe	දිවයන්නේ ක්‍රෝධ සිතිවිල්ලයි.
66db9b93b6	එහි සේවය කරමින් සිටියදී
66dcfe039d	ඒ කාගෙත් එක්කද හිට ගත්තෙ කියලා?
66dd72b2ea	විශේෂයෙන් බලපෑ පින්කමක් තියෙනවා.
66ddfb30ae	මම කියනවා.
66de753fe5	අද අපි මුහුණ දෙන්නෙ
66debd8698	borders
66dec627a6	ලොකු උදව්වක් වෙයි.
66df4f3a0d	astrology
66dfc0b436	කෙන්ජි මාමට මෙච්චර සලකන්නේ.
66e02ab2b5	මොරියාටි හෙළි කරාවිද?
66e049a6e0	පොදුවේ ලැබෙන මුදල් ඉතිරිකර ගැනිමට අපහසු වන වසරකි.
66e17e7526	පිරිපුන් නායකත්වය සැමගේ ආලෝකයට මග පාදයි
66e187bd3d	යට කවිය තුළින් කවියා කීමට යන දේ
66e1f2c82f	අනේ මම හීනකින්වත් හිතුවේ නෑ
66e20e7dcf	අපූරු සිතුවම් බොහොමයක් මෙහි දැකිය හැකිය.
66e2277396	දන්නේ නැ.
66e22a1c16	ලේඛනගත කොට ඇති ග්‍රන්ථවල
66e23e38dc	මෛත්‍රියට සතුරු වෙයි.
66e322b4f3	ඊට ඇති පිළිතුර සුබදායී නොවන බැව් අපි දනිමු
66e341144e	කුප්පි ලාම්පුවකින් හෝ අඳුර මැකිනි
66e3906632	ආරංචිය ආවෙ.
66e3c4c768	බුදුවීමෙන් පසුව පළමුව මංගල ධර්ම දේශනය පවත්වන්නට වැඩියේ
66e4070bfb	එසේම එය සුබ මංගල කරුණකි.
66e443428c	මොරටුව විශ්ව විද්‍යාලය අසල
66e4bcf363	හොඳින් වස් ආරක්ෂා කරගෙන,
66e5ca6297	සියලු දෙනා උත්සාහ කළ යුතුය.
66e5f27180	සියලු පොදු පහසුකම් රාජ්‍ය අංශයෙන් ලබා දෙනවා.
66e74d2634	indian pictures
66e7632c56	වෙනිදා මාව මරන්න ප්ලැන් කරලා තියෙන්නේ.
66e7676222	ලොරිය නවත්තල තියනව.
66e7a6eb90	නැති වෙන්න බෑ.
66e803fc7c	චිත්‍රපටයේ නලුවො කරන දෙකයි
66e8915ca5	සිද්ධි ජනකතා මඟින්
66e8eeae97	මේ සංසාරේ ඉපදෙමින් මැරෙමින් ඇතිවන දුක
66e945fb5b	වෙන අමුතු ආනුභාවයකින් නෙවෙයි.
66ea5812c9	කියා බලන්ට.
66ea58407d	වගා කරලා නෙමෙයිද ගන්නේ?
66ea91746c	දන් දිය යුතු බව ය.
66eab12d36	ජනතාව දුරස් වී සිද්ධිය බලා සිටින්නට වූහ.
66eac5675e	උඹ වගේ දෙකටම නැති ජාතියක්
66eae5da9c	සතුටුදායක වුවත් අනපේක්ෂිත අන්දමේ
66eb182794	එමෙන්ම පුරෝහිත ද, අමාත්‍ය මණ්ඩලයද සිටිති.
66ebb00431	මේ කාලයේ බුදු දහමේ උන්නතිය උදෙසා
66ebd2f8aa	අන්තිමට බැලුවම
66ecb1b1ce	රන් වැලි, රන් පත්‍ර සහ රන් කඳ පමණක්
66ed294670	මානසික ශක්තිය
66ed39a6a9	ඒත් මානසික දුර්වලකමක් ඇති අයට
66ed443de0	අප සමඟ පැවසුවේ ප්‍රදේශවාසියෙකි.
66ed8253df	සැලසුම් සහකාර
66ee05afbd	මටත් පෙරේත කමක් ඇතිවුනා
66ee51b2c1	වනය පුරා ඇවිදින්නට මේ සතාට සිදුවෙයි
66ee559902	තහවුරු කිරීමයි.
66ee666039	තම සිතට වංචා කළ හැකි නොවේ.
66eeae36a7	ඔබේ ආතති සිඳලීමට හෝ අඩුකිරීමට
66ef5de70e	මේ සඳහා අවස්ථා තුනක් සම්පූර්ණ විය යුතු බව
66efcbf9d4	මේ කුතුහලය හේතුවෙනි
66efe2995a	අපි සිල්පදය දන්නේ නැත්තේ
66f0064f0c	එතකොට බුදුරජාණන් වහන්සේ සම්බුද්ධත්වයට පත්වෙන්න කලින්
66f0156a06	අපට මලත් ගසත් දෙකම නැති වන්නේය.
66f0a1d6bf	ඔය විදිහෙ පහත් හැසිරීමක් දක්වලා නෑ.
66f0b6c8f7	ජනප්‍රවාදයේ පවතී
66f0ef0e6a	ඊයෙ රෑ ගහපු හුළං පාර
66f1b1b839	මිහිඳු මහරහතන් වහන්සේ බුදුදහම ගෙන ඒමෙන් පසු
66f2a555b6	සමහරක් අන්‍ය ජාතිකයන්‍ සිතන්නේ
66f30a4019	බෞද්ධාගමික මධ්‍යස්ථානයක්, වශයෙන් පැවැති බවයි.
66f312c18e	ස්වාමීනී මා විසින්
66f383e22c	අහ් අද බයිස්කෝප් සිංහලෙන් අඩවියේ
66f3a2eb56	රූපය මමය,මගේය,
66f3c32026	නමුත් අද මගේ පිහිටට ඉන්නේ
66f3cbc440	බිලාල පවුලේ සාමාජිකයෝ
66f3d9971a	මොකද මට එහෙම කියන්න තරම්
66f4d87cb4	mops
66f522ab6a	එදා තමයි මම දැනගත්තෙ.
66f524fd90	ඒත් මේ ඉන්නේ
66f5250c70	කියා ඒ සමාජය සලකනවා.
66f5e67bf8	අල්තුසර්ට අනුව මෙය මාක්ස්ගේ නමින්
66f6377e67	ගෞරවයට පත්ව තිබේ.
66f6687aa4	රන්කාසි අතුරන්න ඕන නැහැ.
66f682a502	උන්ට මොනදේ පෙන්නලා දුන්නත්
66f6c8e497	තියෙන ප්‍රශ්ණයක් නෙමෙයි.
66f77145e0	තේරුම් කර දීමට නොහැකි ය
66f7ebb472	හෙට මේ රටට නොඑතැයි කෙලෙස කිව හැකිද?
66f81ff57d	එබැවින් එකී ලිඛිත ඉතිහාසය
66f8210f57	මොහොතින් මොහොත විශ්වය ඇතුළු
66f85e75f7	තමාගේ සිරුරට කුමක්දෝ
66f90d2295	හරි පුලුවන් දෙයක් කරමු
66f9427300	මෙම ලිපිය පරිවර්තනය කළ හැක.
66f9617e0c	එහිදී දේශනා කළහ.
66f9b36d90	බෞද්ධ නොවන කෙනෙකු වුවද
66f9cccb11	කතන්දර බ්ලොග් එකෙන්
66fa54739a	ක්‍රියාත්මක කැර අවසන්ය
66faa48436	දැනගත් පසුව ප්‍රභාකරන් විසින්
66faafc2dc	නමුත්දී එක් වූ විවෘත ආර්ථික ප්‍රතිපත්තියත්
66fabd99ff	නාට්‍ය පුරාම දැක ගත හැකිය.
66fac39272	එම තරඟය පැවැත්වුණේ
66fb0c05e5	පෙන්වා දිය හැකි ය.
66fb5da44e	රජු අනුව යමින් මසක් පුරා
66fbe7141b	ඓතිහාසික වටිනාකම මිළ කළ නොහැකි ය
66fc44560c	උඹල අපි කියගෙන පවිච්ච් කරන්නේ අනුන්ගෙ දෙවල්
66fc53cd31	මම හිඟුරක්ගොඩ රෝහ‍ලේ ඉන්නවා
66fcb7dce9	විමසා බැලීමේ අවශ්‍යතාව
66fcf7f0a5	මළවුන් උදෙසා
66fd195f2a	news sinhala
66fd461f52	පෙරහර 12 ක් ගමන් කිරීමෙන් පසුවයි.
66fd59f5f1	සිංහල ලිවීමට මා පාවිච්චි කරන්නේ
66fdaaf23c	කලින්ම අසා පර්යේෂණයට බැසීම
66fdcdfbbc	අන්න හරි.
66fdee7624	උපෝසථ සංඝ කර්මාදිය කරනු පිණිස
66fe68770a	සිදුවන දෙයක් තමයි
66fecb9b13	පෞරාණික වැදගත්කමකින් යුතු මෙහි අදටත් පැරැණි නටබුන් දක්නට ලැබේ.
66ff7fdb55	ජිවත්ව සිටියදීම අවබෝධ කල යුත්තක්.
66ffac8bcf	අප රටේ භික්‍ෂුණී සමාජය
66ffdb1c64	දෙහිවල කරගම්පිටිය මේධංකර විහාරයේදී
