f901081414	ඉතා ඉක්මනින් නැති විය
f991b6bb3e	පොළොන්නරුවේ ඇතුළු නගරය කැණීම්කර,
f991f7ff6a	පුළුවන් තරම්
f992e231a7	මෙයට හොඳම නිදසුන
f9930728d4	කෙනෙක් විදිහට මම දන්නවා
f99328b360	අද දින මගේ විවේචනයට සහ ගර්හාවට ආසන්නතම හේතුව වන්නේ
f9940c64a8	ඔබ ඒ පසුගිය කාලයේ දුටු
f9940e3f63	එයට හේතුව ආණ්ඩුව
f9942525ca	හරිම මහන්සියි
f9944af74e	අභියෝගවලට මුහුණ දෙමින් තමන්ගේ ජීවිතය මතින්ම
f99452dd55	සුදුසු යෝජනා ආණ්ඩුව වෙත ඉදිරිපත් කරනුයේ අදාළ ක්‍ෂේත්‍රයේ රාජ්‍ය ආයතනයයි.
f99457edc8	මේ ස්ථානයේ ඇති දෙය
f995af5690	ඔප දැමීමක් කළොත්
f997f602d8	බෙලිගල රජ මහා විහාරය පිළිබඳවය.
f99836d45b	අපට වැඩ කිරීමට සිදුවිය.
f99854ada1	බුදුරජාණන් වහන්සේ කිඹුල්වත්පුර වැඩම කර
f9988fb0d6	පුරාණයේ භික්ෂූන් වහන්සේ පමණක් නොව
f998c72af1	බැඳී පවතින බව පැහැදිලිය
f998e33651	තියෙන්නෙ පලමු සමයට
f999510f17	මානව වංශයට කළ බලපෑමට සමාන වෙයි.
f9995df5c6	බිත්තිවල පතුරු ගල් ඇල්ලීම කෙරිණි
f9997040a6	එම බලාපොරොත්තුවට එරෙහි
f999771ea6	ඉන්දික යකො දන්නෙ නැද්ද
f99985c4b9	හැබැයි අපි මේ ජීවිතයේදී
f999e7f22d	පසුගිය මාසයෙන් පසු මේ දක්වා පමණක්
f99a8993b4	අපේ රටේ ගොඩක් දේශප්‍රේමියො කියන අය
f99abdb926	ඒකට සමාවෙයන්
f99ae64193	අපේ ගුරුවරුන්
f99be8e715	මට තේරුම් නොගියෙමි.
f99d982fe3	ආවේග ඉපදවීම, ආවේග මත යැපීම, නොව ආවේග පාලනය
f99e35fd1c	ඉන්දියානුවන් වැඩි කලක් ජීවත් වීම
f99e704a98	මම ඉන්න ඕනේ කියල නීතියක් නැහැනේ.
f99e9aa987	උගතුන් හා විද්වතුන් සිය අදහස්
f99fb0cfe6	අපි හැමෝම ඔහුට ගොඩාක් ස්තූතිවන්ත වෙන්න ඕනෙ.
f99fd9cdad	ඒ පැත්තෙන් ඉදිරියට යන එකයි.
f99fff77c8	අම්ම මිය යනව.
f9a0507b1f	සුදුසු පරිසරයක් ලබාදේ
f9a104b6b1	වචී විඤ්ඤත්ති රූප හරහා වචනද හසුරුවයි
f9a1c0764f	පවතින කුණප කොටස් 32 පිළිබඳව
f9a204b5da	පාර කපා ගෙන යන්නේ.
f9a22b2542	සිදත් සඟරාවට බටුවන්තුඩාවේ පඬිතුමා කළ
f9a271250d	ඉංග්‍රීසි යෙදුම්
f9a277473f	ක්‍රමයෙන් අරමුණු සැලසුම් සාර්ථක කර ගත හැකිය.
f9a27a9afd	ලුණු වර්ණ රුක් වෙතින් පැතිර ගිය
f9a2f8a42f	සෝමවතිය දැන් පවතින්නේ මහවැලි නදියට මෙපිටිනි.
f9a3def47f	බිහිසුණු දර්ශන එහෙම ගොඩක් තියෙනවා.
f9a3f8f3a0	lanka
f9a43932b5	කියන්න දන්නේ නැහැ..
f9a44bdfb6	එයින් ඕජස් තරලය දුර්ගන්ධය හමමින්
f9a5033814	ඉන්න සමහර පුද්ගලයන්ගේ ක්‍රියාවන් ඇහුවම
f9a5fb835e	පියගැට පෙළ නිසා ය.
f9a6bf8f2b	එතකොට ඇමරිකාවෙ වැලි කැටයක් හෙල්ලුණත්
f9a6f355ee	බලාපොරොත්තු වූයේ යම් කිසි
f9a714168a	හරිගස්සා ගත්තොත්
f9a7516dfc	තෙල් විදුලි උත්පාදනය මෙගාවොට්දක්වා අඩුකර තිබෙනවා
f9a8d170dd	ලොකු වේදනාවක් ඇතිවෙනවා
f9a8f23857	deyata kirula
f9a97f2364	ජාතිවාදය අවුස්සන්න හදනවා.
f9a99956f0	තෙරැවන් සරණයි!
f9a9c7781a	මුල්බැසගත් ශ්‍රද්ධාව කිසිවෙකුටත්
f9aaffdd0a	මේක සුපිරි චිත්‍රපටියක් කිව්වොත් නිවැරදියි.
f9ab3085e0	ස්තුතියි මෙය බෙදා ගත්තට
f9ab9c6a41	ඔබේ හදවතේ
f9abacfdb9	ප්‍රසිද්ධියේම සතෙක්ගෙ ලොම් කපයි.
f9abc5662e	සැබැවින්ම අර හිමිනමට
f9ac886307	ඔයගොල්ලොආවේ මෙතන ටෙලිනාට්‍යයක්‌ රූගත කරනවා කියලා හිතාගෙනදැයි විමසීය.
f9ace97661	ඒකට මොන
f9acfdf344	දාගැබ හෙවත් ධාතු ගැබ
f9ad1691b7	program for round robin
f9adc4f169	අරාබි වසන්තය මැද පෙරදිග තුළ දැල් වූ
f9ae70fa04	මානසික සහන ඇතිකරලීමේ සමත්කම්
f9af9e09e8	උසස් සිනමා කෘතියක්
f9afff2566	මිත්‍රයාගේ සරල පැහැදිලි කිරීමෙන්
f9b070ecac	මේ නිසා දරුවෙකු විසින්
f9b083ecc9	ගම, පවුල් හා සමාජය පන්සල හා දැඬි සැබැඳියාවක් පැවැත්විය.
f9b0b19423	කිව්වා අපිවත් මතක ඇති මහිතෙ
f9b2003f87	හිනානොවී මුළුමනින්ම කියවීමට
f9b225d4d6	සිංහලකම කියලා දෙන්න
f9b2e89abf	කළා කියලා එකවර හිතන්න තරම්
f9b336921f	කථාව බලලා වැඩක් නෑ.
f9b36de063	ගිහි පැවිදි සම්බන්ධය
f9b36fcae3	බෝම්බයක් දෙකක් අතරින්නද දැන් කියන්නේ
f9b3a54b69	ජීවිතයට බොහෝ දේ උකහා ගතහැකි නිර්මාණ.
f9b409d15c	ඉඩ සැලසේ.
f9b4c15052	අවසාන වශයෙන් කියන්න තියෙන්නෙ
f9b4c8615f	අපේ අයියා කෙනෙකුත්
f9b5b80374	නුවරඑළිය ප්‍රාදේශීය සභාව මගිනි
f9b616d3ed	නමුත් කෙසේ හෝ දෛවයත්
f9b65d920f	විශේෂ දුම්රිය සේවා
f9b670842b	මල් උයනක්ව තිබූ බව ඒ ගැන තතු දත්තෝ කියති
f9b7ab53a0	එකී කාරණාව පමණක් වුව
f9b87a3ee4	සතුරන්ගේ සිවිල් වැසියන්
f9b88833d1	රට හදන උපදෙස් මාර්ගය කියාදෙන
f9b8ae9ebb	පමාදෝ මච්චුනෝ පදං
f9b8f66473	කාලීන වශයෙන් අදට ගැළපෙනවාට
f9b992979a	අර ඩඩ්ලි සේනානායක අගමැතිතුමාට
f9b9ac6a9a	කීමට විද්‍යාත්මක ක්‍රමයක් නැත.
f9b9fdff28	ගොඩනගන්න ඕනි කියන එක
f9ba2f94c4	භික්‍ෂුවට ඇති ස්වාධීනත්වය
f9ba7f4c68	මන් මේ ලිස්ට් එක හෙව්ව තරමක්
f9baca5889	විශාල ප්‍රමාණයක් නොවන්නේය
f9bb7a97c2	මොකද ජනාධිපතිතුමාට කැමැති කෙනෙක්නේ
f9bbdf5d97	පහුරකට උපමා කර ඇත්තේ,
f9bc7cdbb6	එහිමියන්ට දඬුවම් පැමිණවීම
f9bcee7039	වීරගුලේ ගුරුතුමා වන අතර අනෙක් තැනැත්තා
f9bd53171b	ඒ ධර්මය තුළට නිහතමානීව පිවිසීම.
f9bd5398f8	ඉසමීර අයියා තමයි මට මේ ගැන කිවුවේ
f9bd605256	වැඩිපුරම සිදු වෙන
f9be051d99	මේ සියල්ල වැනසී ගොස්
f9be16c33f	ලබන අවබෝධය
f9be3db82b	සමාව ගන්න ඕනෙද බන්.
f9bea8ba69	කරුණු හදවතටම මෙහි දක්වා ඇත.
f9beb12258	මෙයාට චීනෙන් නම් එච්චර පිළිගැනීමක්
f9beec5381	බෙහෙවින් පිටුවහල් වූ බව සිතිය හැක.
f9bef280da	අවධානය යොමු නොකරන නිසා
f9bf4dbb3f	සල්ලි හොයන්න
f9c04e4c27	හරි නැහැ නේද?
f9c07e859b	රණසිංහ පෙරේරා පෙන්වා දෙයි.
f9c22a6f65	රාජායතන නම් වෘක්ෂයද රෝපණය කළ බැවින්
f9c25ed88e	අනුරාධපුර දිස්ත්‍රික්කයේ හුරුලු පළාතේ දී එය හරස් කොට හුරුලු වැව තනා ඇත.
f9c2d3a42e	තොරතුරු පාලනය පිළිබඳ අනාගතයේදී තීරණය වන්නේ
f9c2e98121	එකක් කියන්නම්
f9c31b5e63	වැඩිපුර අවධානය යොමු කළ යුතු
f9c3f29ab7	මගෙන් අහන්න ඕනෙ.
f9c4bb6231	මොකෝ මාත්
f9c4ddfc85	මංකොල්ලයක් අපහාසයක් ආදී ඕනෑම අකටයුත්තක දී
f9c4df3aea	එතුමාගේ පියා ලෙස සැලකෙන්නේ
f9c4edb7b5	පැල් රැකීම
f9c50d8fc6	ඒක කෙනෙක් දෙන්නෙක්
f9c5af4d7d	එබැවින් නුවණැති පුද්ගලයකු අනුගමනය කළ යුතු
f9c5dd903e	පුද්ගල මනසෙහි නිරන්තර ස්වභාවය නම්
f9c5f97f8c	සේවකයෙක් හෝ දෙදෙනෙක් සිටිය හැක
f9c664eb62	pooh friends
f9c6660cd5	එවකට සිටි විශාල වඳුරු රංචු
f9c6700aa4	තියෙන පින්තූර.
f9c6cc0205	එයින් නිදහස් වීම පිණිස ය
f9c813b61b	අනවශ්‍ය දේවල් සඳහා
f9c85cc09c	සුපහන් සිත පිළිබඳවය.
f9c8c79021	අම්මාගේ මල්ලියි නංගිලායි මට උදවු කරන නිසා
f9c8ebd813	මේක මම හිතන්නේ ඔහුගේ තුන් වැනි චිත්‍රපටිය
f9c941bd4f	පුබුදු සහෝ නියම වැඩක්.
f9c98df1a6	ඊනීයා පලස්තින අරාබියානු යුරෝපානු බලවේග
f9c9a7e3c9	නියමෙට ලියලා තියෙනවා
f9c9b18088	sri lankan video
f9ca321dd1	කියල කිව්වෙ ඒකයි.
f9cb0f2fe8	දෙපෙළ සෑදී සිට ගනිති.
f9cb4ce4f7	බුද්ධි ගෝචර ක්‍රියාවක් වෙන්නේ නැහැ.
f9cbb8035f	මොකද එච්චර උනන්දු කරවල
f9cc6abfe2	මේ සබ් එක දාන්නේ.
f9cc73577c	වෙනත් අයෙක් නැගිට
f9cce37a90	අපි සිල් පදත් සමාදන් වෙයි.
f9cd16a8cd	එසමයෙහි දී සැවැත් නුවර
f9cd51ba33	ගුරු වෘත්තියට අපු
f9ce3a6aac	අදත් තියෙන්නේ කතන්දරයක් තමයි
f9ced2e8f7	හැබැයි මනුශ්වයෙක් ලෙස
f9cf7df947	අපි යද්දි
f9cfe48297	මුරලිව ගායකයෙක් හරි වෙන මොකෙක්හරි කරන්න හැදුව
f9d045e690	ගතකරන නිවාඩුවක් විනා
f9d05cfc66	music online
f9d0779c4f	බොහෝ දෙනා දැනගෙන සිටියා
f9d0aa6b86	ඒක නෙමේ බන්
f9d10b6b6b	මට එපා වුණා.
f9d114d757	භාග්‍යවතුන් වහන්සේ ද අසූ හැවිරිදි වියේ ය.
f9d1176bfb	මෙම ලක්ෂණය ද කැපී පෙනේ.
f9d2a50e9f	මෙතැන පන්ති තහනම් කරන්න අරවා මේවා කිසි දෙයක් ඕන නෑ.
f9d3b988f4	ඒ තත්වය අඩුවෙලා.
f9d3f67f63	එදින සිඛී බුදුරජාණන් වහන්සේ
f9d555b32c	නැවත නැවත අහල ලියන්නෙ.
f9d676eeef	එහෙම එක්වෙන බව දැන ගත්තොත්
f9d7cf0e09	දැන් ඔක්කොමලා වර්ජනය කලොත්
f9d898f41c	තෙල් ප්‍රශ්නය ගැන
f9d914bae5	මනසින් තොර කිසි දෙයක්
f9d9ec34e0	තමන් සතුව තිබුනේ
f9da7d0b54	නමුත් ඔහු සත්‍යයෙන් ඔබ්බට යා හැකි මැවුම්කරුවකු මිස
f9da90584e	ඉතිහාසය හදාරන්නට පෙර
f9dae6f9fe	මේ රටට යමක් කල හැකිද?
f9db0417ca	මගෙන් සල්ලිත් ගන්නවා.
f9db694e87	මෙම සතුන් දුර්ලභ විශේෂ බවට පත්ව ඇත
f9db795963	බලාපොරොත්තු වන ආර්ථික සහන
f9dba7f90e	හෙද සේවාවේ අයිතිවාසිකම්
f9dc1e2358	සාහිත්‍යයේ ඉතාම වැදගත් කාර්යය වන්නේ
f9dc1e2dd1	දෙන්න හොඳ නැද්ද කියල
f9dc21c1f0	දේශපාලන න්‍යාය පත්‍රයකටනේ.
f9dc331678	forest
f9dd34c131	අනික ඔය කියන ලමයා
f9dd5ef4a7	ඊට පස්සේ ඒ මුදල
f9dd769afe	ඉංග්‍රීසි ඉගැන්වීම තහනම් යන
f9ddf6037a	තපස්සු භල්ලුක දානය
f9de06b21a	දෙහිවලදී උපන් සුමනා
f9de1f90c5	අද ජනතාව අතුරින් තුරන් වී ඇති බව පෙනෙයි
f9de78179c	අන්කල් කෙන්ජිට කලින් මමත් මේල් කටුවක් එවුවා
f9ded55b09	ඔබට ලබා දෙන්නේ භාවනාව තුළින්.
f9deebfb23	තව ජීවිතයක් බේරා ගැනීමට මිසක්
f9defb4bc7	ඉන්දියාවෙන් ආපු සාමන්‍ය මනුස්සයෙක් නම්
f9e0124b1a	ලොකු දෙයක්.
f9e16e1002	අඤ්ඤා කොණ්ඩඤ්ඤ මහ රහතන් වහන්සේ ඇතුළු
f9e1bf251b	ආදරයෙන් කමෙන්ට් කලාට කමන් නෑ
f9e1c66e39	මදක් අබලන් තත්ත්වයේ පවතී.
f9e2308f6f	එය වාර්තාකර ඇති ආකාරයෙන්
f9e2600e34	ඉන්පස්සේ ඔවුන් පොලිසියට භාරකර
f9e2d23bed	මෙම සූත්‍රය දේශනා කළේ.
f9e2e29704	දෙවෙනි එකටත් දෙනව නේද
f9e31c81c6	මහන්සි වෙන්නේ සල්ලි නිසාද?
f9e3a30861	පැවසෙන මතයයි
f9e3d624a8	එමෙන්ම තාක්‍ෂණය හා එහි නව ප්‍රවණතා
f9e4582ed1	මාලිගාව ඇතුලේ මල්කම් ලියකම් චිත්‍ර ආදිය දකින්ට නැහැ.
f9e5e900f4	බලාගෙන ඉන්නවා
f9e7320362	පුහුණු කළ යුතු ය
f9e73e116d	මෙය නිර්විඥානිකව ලබන දැනුම
f9e7a0b1fd	දෙවියන් වහන්සේ ආබ්‍රම්ට තවදුරටත් කථා කරමින්
f9e830fb6c	පත්තර තුන හතරක් අරං බලන්න
f9e98eccfe	කීදෙනෙක් මැරැවද
f9ea977122	තිබුනෙ නෑ.
f9eac3209d	ඇලි මැලි කම් දුරුකරවන
f9eade98ca	එඩිට් කරපු තමන්ගෙ ජීවත ඇතුලෙන් බලන අයට පේන්නෙ
f9eaee016d	වැඩිවෙනසක් නෑ.
f9eb11c282	එදා බාරගත්තේ නැති නිසා
f9eb34cbe0	ඇමරිකාව සොයාගත් විට
f9eb63d30c	මේ අපුරු බිතු සිතුවම් සහිත විහාරය
f9ec6100d6	එසේ නමුත් ගුවන් යානයේ කඩා වැටුණු
f9ec62a873	අපැහැදිලි අදලත්වයෙන් තොර
f9ec9ba7df	එහෙම නම් අපට පුළුවන් වෙන්නට ඕනෙ
f9eca28beb	ලස්සන මල් තියෙන්නේ කොහේද කියලයි.
f9ecbdad9b	එයා දිනසිරි කුරුලුගංගොඩ
f9ed17193e	ඔරුව කරේ තියාගෙන
f9ed9b88b0	ඊට පස්සේදී තමයි ටෙලිනාට්‍යවලට සම්බන්ධ වුණේ
f9edca883c	උදාකර ගන්න පුළුවන්.
f9ede968d0	චින්තනය හෝ දර්ශනය
f9ee13929b	තව කට්ටියක් තමන්ගෙ වැඩේට එක් කරගන්න එක
f9ee8a8839	ඔන්න ඔහොම එපැයි ඉන්න බොලව්
f9ef48cc68	කුමාරිට ඉතා ගරුසරු ඇතිව
f9ef589d1a	අපි ඉස්සර කිව්වෙ
f9ef700472	ඇඹුලට දාන දේවල් දාපන්.
f9f06ab3ed	රැගෙන යනවා.
f9f07861c2	එයට ජාතිවාදයෙන් උත්තර දෙන්න ගිහින් තමා
f9f0913346	නම වෙනස් කරපුවාම
f9f0df0dc3	ඔබ නිරූපණ ශිල්පිණියක් වුණාට
f9f14d4774	අර්ජුන වික්‍රමාරච්චි මහතා
f9f1f2bfe3	වියලි කලාපයේ සමහර ප්‍රදේශ වල
f9f2d033b9	මෙහිදී සිදුවී ඇත්තේ
f9f3f373ae	එතෙර නම්,
f9f47fe7c7	මතක් කරන්න ඕනෙනි.
f9f4a49d46	කෘෂිකාර්මික කටයුතු ආශ්‍රිතව
f9f58e50da	විනාඩි ක් පමණ තියලයි ගන්නේ.
f9f5faefb6	අද පව වෙන්නෙත්
f9f6c2f8da	එය වැරදි ලෙස සර්පයකු අල්ලා ගැනීමක්
f9f6c630c4	අග්‍ර උපස්ථායක ආනන්දයන් වහන්සේ
f9f7b0f8a9	එයාලා මෙතැනට ඇවිත්
f9f7e321b6	අනික මේ උයන පිහන වැඩ වගේම
f9f8282f2f	ඔබලාගේ මතය
f9f85831b5	දේශපාලන සම්ප්‍රදාය එයයි.
f9f8f9a7d9	සිංහල රාවය සෙට් එකයි.
f9f902c9d2	තේරෙනව ඔය කියන අයිතියේ
f9f93a873d	අපගේ ඉඳුරන්ට ගෝචර නොවන එවන් දෑ
f9f99a8b54	වැද්දාගේ දැලට හසු වූ වටු කුරුල්ලන්
f9fa0aa89d	පිළිබඳව ද පෙරළා ප්‍රශ්න කරයි
f9fa0bcc52	අද තමයි එකක් දාන්න හිතුනෙ.
f9fa32e519	එවිටත් ඔහුගේ ඇස් නොඇරේ
f9fa5e1ed5	අනික් උන්ට වඩා
f9fa93e160	හවුස් වෝමිං පාටි එකක් එහෙම තියෙනවැයි
f9fb7ddda2	අප යෝජනා කරන ක්‍රමය සඳහා
f9fc6209f5	ගෙදරින් අකැමැත්තක් තිබුණේ නැති නිසා
f9fca39913	යුද්ධයෙන් ඉතුරු කර ගන්ඩ තිබුණා
f9fcc4b75b	වෙනත් මාර්ගයක් තිබෙන බව
f9fd00e8c2	එහෙදි සිද්ද වෙන්නේ
f9fd98abe7	එසේ නොවෙනම් මෙය නොසළකා හරින්න
f9fd9a6f5e	merlin season 6
f9fe476024	ඒ ළමයින්ගෙ අවංක අදහස් වෙන්න ඇති.
f9fe6064ea	බේස්ලයින් මාර්ගයේත් කැලණිය පාලම උඩින් දිවෙන
f9fecbc7cc	තියෙනවද කියලා හොයලා බලන්න
f9ff476e94	ඒත් අඹ ජම්බු වගේ පලතුරු
f9ff478349	හර්කියුලිස් මනුස්ස ලෝකේ ඇත්තම වීරයෙක් වෙලා
f9ff59d6e0	තේරුම් ගන්න අමාරු එකක්
