34000e64a7	හුඟක් පටු තැනකින්.
348f5de536	විදුලි ලාම්පු විහිදවූයේ මන්දස්මිත ආලෝකයකි.
348f5f25c0	පිනකට දහමකට යොමු වන්නේ
349065e244	ඒ අනුව යෝධ රතු තාරකාවක් බවට පත්වෙයි
3490c1f143	සාමාන්‍ය ලෝකයක් නෙමෙයි
3490e08653	මම හිතන්නේ ඔයාලා ඔක්කොම
34917e47f6	එදිනෙදා ජීවිතයට සම්බන්ධ කරගත හැකි
3491c8870e	ලෝකයට කෑ ගසා කියූ ඔහු
3491e0c029	අවසාන කොටස ලැබෙයි
3491f6643e	අවස්ථාවකට ආරාධනාව ලැබුණේ.
34929b3e9b	මෙතනට සම්බන්ධ වන බවක් දැනේ.
34931245e7	මං ඊමේලයක් දැම්මා.
3493405be9	එවැනි ඇතැම් සිදුවීම්
34934ec256	කිසිසේත් අනුකූල නොවන
349356f7f2	ඔහුට ශිෂ්‍යනායකකම නොදුන්නෝ ය
3493b98399	පිළිබඳවයි එම සටහන.
3494164689	චතුර මොකෝ මේ
34942f650b	මමත් ඇයට ඉක්මන් සුවය ප්‍රාර්ථනා කරනවා
34958504b1	සාමාන්‍ය කෙනෙකුට එහෙම වුණා නම්
3495e8372d	මොකද වෙනදා නොදැකපු එකක්
34964d00eb	මේක ඩෙන්මාකයේ කතාවක්.
34966ac394	විද්‍යාත්මක පලි ගැනීමට ලක් වුන මතයක් නෙමෙයි
34969a63c9	හඬ නගන්නෙමු.
3496ca5224	ඇසුරු කරන්නන්ගේ හොඳ හිත දිනාගැනීමට හැකිවන
349717d90c	භාවනා කළ යුතුයි.
34977f5cb2	සබ් දැම්මානෙ.
3497f620b3	වසර කිහිපයකට පසු
34981087a6	පැහැදිලි කරල දීල තියෙනවා
349867fdca	එක් රොක් වී ඇත.
34986c8fbc	අර්ධ වශයෙන් නිදහස්ව තුබූ යාපනය වෙත
3499c2a61b	එය රැගෙන යන හස්තියා
3499dfc0bc	දෙමළ ජනයා මත
349a1c55ab	බේරා ගැනීම තමයි හරිම අමාරු.
349a5cbbfc	ගහන දඩයෙන් බේරෙන්න උදවු ඉල්ලීමක්.
349ab9e27f	එයා අපිට ගැහුවේ
349b87c3f9	මෙම දේශනය
349bd4cd94	ඇයි ඔයා ඔය විදිහට
349bffb85f	බුද්ධිමත්
349c04b8f0	අපේ ඉන්ද්‍රිය පද්ධතියට පංචෙන්ද්‍රියවලට
349c2f9df3	යහපත් ක්‍රියාවක දී පුද්ගලයා තුළ යහපත් සිතුවිලි හටගනී.
349c490bef	බීමතින් පෙළපාලියට පැමිණි ඔහුගේ ආධාරකරුවන්
349c51f8e5	මිනිස්සු අධෛර්යට පත් වෙයි කියලා
349c859b14	අනික මචෝ නාලකයි නාමලුයි
349c915325	අප ඉහත කළ
349c97498e	ජනතාවගේ කරටි මිරිකීමක් නේද?
349c9a6273	සාමාන්‍යපෙළ සමත් මේක නම් පුතේ
349cc403e0	ඒත් මහත්තයා මගේ පස්සෙන්ම
349e1e1438	මේ අන්දමට එන්න ධර්මය දෙස බලන්න යැයි
349e226d45	අඳින්න බැරි මේ මං වගේ?
349e4b9d6c	එම රසය විඳීමට වාසනාව නැත.
349e557462	ගොඩක් ආරාධනා ලැබුණා
349fc026ef	ලෝකයේ ධර්මය වෙනුවට අධර්ම යදින
349fe74cd4	පවිටු මාරයා පලවා හැරියා
34a1c9f242	මම ප්‍රාර්ථනා කරමි.
34a2015c4f	අනුරාධපුර රාජධානිය පැවැති සමයේ
34a3b891f8	කඩන්නට නොදී සටන් කිරීම.
34a3bdc2de	එහි එක් පසෙක කවාකාර ගල් ස්ථම්භයක්
34a4ff3f0d	එහෙම පුළුවන්ද
34a506fd06	එහි උපසි‍රැසිය යොදා ගනිමින්
34a51298d8	මේකේ විශේෂත්වය බලන්න
34a5386d63	මුළු ජීවිතේ ම ඇතැම් අය කැප කරන්නේ රූපය වෙනුවෙන්.
34a53fdd37	රුහුණෙන් ලැබෙන දොරටුපාල රූප
34a574fa6d	උන්ට විසිකර ගන්න බැරි
34a5965358	පොදුවේ සම්බන්ධ වන්නට හැකි නිසාම
34a5a5ed1e	සිංහල බමුණු කම දෙකකි
34a62c4b3c	අපි කවදාවත් මේ වගේ විසඳුමක්
34a675276a	එය සොළීන් විසින්
34a70ff9b3	පිරිනිවන් පෑමද සිදුවූයේ මෙදිනම ය.
34a789440f	සිංහලයන් මෙම කඳු ගැටය
34a7ae5ef6	මව්කුසින් නික්මෙන කොටම
34a7b45e8a	තොටගමුවේ රාහුල හිමියන්ගේ සිරුරත්
34a7c81f34	වහාම මා අමතන්න
34a811fc28	ජිවත් වෙන්න වාසනාව තියෙනවා.
34a8391bd5	ඔබ මේ කතාව ලියා අවසන් කරන්නෙත්
34a83fc4e1	කෝටි දෙකකට ආසන්න ජනතාවක් අතරේ
34a8688fd5	නමුත් මට එක දෙයක් තව කරන්න
34a8a000d3	වචන උච්චාරණයට ද හුරු වූවා
34a8b6f90e	අනිත්‍ය ලෝකයට බැඳෙන්නෙ නැති වෙන්න
34aa1dcf74	අපේ ආච්චිලා සීයලාට
34aa1e53ab	අප විසින් සලකන බවයි.
34aa8bd957	පුහුණු කරන්නෙ.
34aaf9fef0	එතකොට මේ ස්පර්ශය සැප සහගත වෙන කොට විඳීම
34ab0cb285	මම බොහොම කැමැත්තෙන්
34abc8ea83	එන අයුරින් දක්වා තිබීමයි
34abe9aaf6	ඊට විරුද්ධ වන සියල්ලන්ම ඔවුන්ගේ ඒකමතික තීරණයෙන්
34abf69cfe	පීතෘමූලිකත්වයට නැඹුරු අපේ සමාජයේ
34ac2d9481	මීළඟට අපගේ අවධානය යොමු විය යුත්තේ
34ac3eac1c	මුදලාලි ඒක පිලි නොගන්න නිසා කොත්තු බාස් ගෙන්නුව.
34ac5fd64b	ඇති වී තිබෙනවා.
34acd61988	හැබැයි ලැබෙන කාර් එක නම්
34ace67e56	අද මේ අර්කා දේ ලීමා නැව සොයා යන ගමනට
34acfb45e8	ඊට පස්සේ ඒ මුදල
34ad089469	දස දිශාවටම මුදිතාව පැතිරවිය හැකියි.
34ad597078	අභියෝග කල තරුණ විප්ලවකාරයෙක් ලෙස පෙණිනි
34adad5420	අපි ලබපු පෞද්ගලික ජයග්‍රහණයක්.
34ade58004	ජීවමාන ප්‍රමාණයට වඩා විශාල ලෙස ඇඳ ඇත.
34adfcec24	විනය පරික්ෂණයක් කැදවයි.
34aec16c04	අලංකාරත්වය සහ ශක්තිමත් බව තීව්‍ර කරනු පිණිසය.
34af4e06a2	අනුන් වෙනුවෙන් විභාග ලියන්නත්
34b02841bf	දින නියම කෙරිණි
34b087305b	මේ තරම් දීර්ඝව සාකච්ඡා කළේ
34b0d523c9	කියා ගන්න කවදාවත් බැරි උනා.
34b155a760	කවියාගේ ආත්ම ප්‍රකාශනය ප්‍රබලයි කියන්නයි
34b1a1182c	මේක සිංහල බෞද්ධ සංස්කෘතියෙන් පෝෂණය වුනු රටක්.
34b1a12797	කියන එක ඒ අයගේ තීරණයක්.
34b1a44250	යන්න උවමනව තිබුන එත් තවම යන්න බැරි උණතැනක්
34b1c95c4e	ඔවුහු බල කර සිටිති
34b1d80f94	ඒකිට පුකට පයින් පාරක් ගැහුවා
34b2bf7bdd	ඔය දත්ත එස් බී ට පෙන්නලා
34b2fff1f6	රූපය නිසා හට ගත් මෙවැනි ගැටලු නිසා
34b358b3c0	කියන එකට මා එකඟ නෑ
34b42e0c98	පන්සලට බණ අහන්න එකතු වුණු හාමුදුරුවන්ට
34b456afdd	මෙසේ සිත හා කය දියුණු කර ගැනීම
34b488318c	අසාමාන්‍ය ලෙස දක්ෂතා පෙන්වූ
34b57c797e	ඔන්න එහෙනම් ඒ වගේ බොහෝම අගේ ඇති
34b5dfd067	පූජ්‍ය මිගෙට්ටුවත්තේ ගුණානන්ද හිමිපාණන් විසිනි.
34b61aa7f6	අපි මෙතැනින් මැරෙන කොට විඤ්ඤාණය චුතවෙනවා.
34b63101ca	ඊයේ රෑට කන්නට වූයේ කොත්තුවක්
34b6b10911	සිංහල දන්නා කාටත් තේරෙයි.
34b74bd79a	බාහිර ඇඳුම් පැළඳුම්වලින් පමණක්
34b7912006	ලොකු අවබෝධයක් ඇතිවුනා.
34b8c56a83	එහි අවසාන කොටස
34b9185814	pink
34b922ed5d	බැරිද අපිටත්
34b946cee8	එමෙන්ම සොබනීට නැවත සිහි එන්නේ
34b99b1fe3	ඔක්කෝම ලෙඩ සනීප වෙනවද
34b9ca61c1	මේ ධර්ම බුදුන් වහන්සේගේ ස්වරූපයට
34b9f5b63d	milk
34ba9a92ca	විවේක සුවයෙන් ගත කර ඇත.
34bb13d899	මොකද එතකොට ඒ සීමා තහන්චි ඉක්මවා යන්න
34bb7d2e77	පුළුල් දේශපාලන හෝ සමාජීය යථාර්ථ විග්‍රහයක්
34bba34f7d	මගේ න්‍යාය පත්‍රයට ගැළපෙන පක්ෂයක්
34bbaae2db	සිංහල ජාතිය අද මේ අවාසනාවන්ත තැනට
34bbc992e2	ව්‍යවසායකත්වය ඇති කරන්නට හේතුවන ආකාරයට ක්‍රියා කරන්නේ නැත.
34bc9b2567	රමණීය දසුනක් නිර්මාණය කර තිබේ
34bca2c7a0	සහෝදරයා!දිගටම කරගෙන යමු!
34bcee1cb4	ලිපියේ අවසාන අකුරු තුන
34bd4cf9e5	නැත්නම් පේරාදෙනි ගුරු කුලේද?
34bdd76fbd	පත් වූයේ ඇයි?
34bddd2687	ඉතින් මේ අලූතෙන් දාපු පොලිස් ඒකකය ගැන
34bdf38273	මේ බොරුවට අහුවෙන එක.
34be1c8f68	ඉංග්‍රීසි උපසිරැසි වෙනස් කර
34be598339	ගොඩක් දේවල් තියනවා බලන්න
34bf03eb74	ඔයාලට අපේ විකියා සහෝදරයා
34bf3c5e47	එහි එන අතරමග
34c07f83bc	සිංහල හදනවා.
34c0a0df6e	සිංහලට පරිවර්තනය කරලා දෙන්නකෝ.
34c1256b64	එයට සෞඛ්‍ය අමාත්‍යාංශයේ
34c1601d0b	බෝධීන් වහන්සේ නැහැවීමට
34c1a790ae	පාත්‍රයේ ඉතිහාසය
34c21c5141	එය ක්‍රීඩා ලෝලීන්ගේ දැක්මෙන්
34c30edcdb	හමුදාව මිනිස්සුන්ට ගහනවා
34c359fee6	රැකියා මාරුවක් ගෙනදීමේ ප්‍රවණතාවක් පවතී.
34c45a540c	එතකොට රිචඩ් ග්‍රීෆ් විදිහට
34c473721d	ඉතින් ඒ අය ඒවා පැහැර හැරලා
34c4c385e5	බෞද්ධ ශිෂ්ටාචාරයක් පැන නැගී
34c4fe2a4c	වසරක පමණ සේවය කර ඇත
34c5089419	මම බුදුරජාණන් වහන්සේගේ ශ්‍රාවකයෙක් හැටියට ඉඳගෙනයි ඔබට කියාදෙන්නෙ
34c520d914	බුදුරජාණන් වහන්සේගේ බුද්ධ දේශනාවලින් අපි ඉගෙනගන්න දේවල්
34c55deb6b	මහ මඟ යන උදවිය සමඟ
34c5ab46d6	ජීවිතයේ සාර්ථක වෙන්න
34c5d235ca	බෙහෙවින් උපකාරී වන්නකි.
34c5d58974	උම්බෑ කියන හරක්ට පුන්නක්කු බල්දියකු
34c637c68f	රුපියල් දශ ලක්ෂ ගණනින් වැය කරති.
34c65503a4	වැටහීමට පටන් ගති
34c66e8b2d	ගමේ තොටේ ඇවිදලා
34c6ca794c	ඉනිඅවන් අවසන් දර්ශනය
34c6f2ef06	හැබැයි තවම කවුරුවත් සල්ලි බෑග් එකට
34c73b9a48	මව්කුස කියන්නේ
34c770f4e9	සද්දෙත් එක්ක කන්නෙ රස නිසා
34c8276dfe	මහසෙන් රජු සමඟ
34c83e2d8e	මෙම කතා සමය තුල යොදාගත හැකි වේද?
34c98fe4dd	මහනාහිමියන් ඉතාලියට වැඩමකළ ප්‍රථම අවස්ථාවද මෙයයි.
34c9e2b003	මේ කෙරෙන කටයුත්තෙදී
34ca02845f	රස්‌තියාදු වීමට ඔවුනට සිදුවිය.
34ca148598	හරි මාත් දන්නා විදිහට.
34ca250118	ඇයි අපි සුවඳ දුම් පූජ කරල ගෞරව කරන ශාන්තුවරයකු
34ca27c910	මිනිස්සුන්ගේ හැඟීම් සංසුන් කරවලා ලෝකය හොඳ තැනක් කරවන්නයි.
34caa8cdb1	උදරය පැළී යනු ඇතැයි කුරුල්ලාට හැඟුනි
34cac31cc2	හරි කියල
34cb558f35	රැසක් මවුපිය උපස්ථානයේ අගය ලොවට පෙන්වා දෙයි.
34cba561e8	ගත්තහම මේක අහසට පොලොව වගේ
34cc18e90b	ඈතින් පේනවලු එකෙක් එනවා
34ccafa244	තවත් තරහ යනවා
34cce01dc7	ඉතිහාස පොතේ නම සදහන් මෙම රජුට ගරහන්න එපා.
34cd29c72d	එසේම අධ්‍යාපනය හුදෙකලා සංසිද්ධියක් ද නොවන්නේය
34cd65caab	පුරා වසර අට අසංඛ්‍ය කල්ප ලක්ෂයක්
34cdd3cc7b	මනා සිහියෙන් යුතුව
34ce70162e	ඔය දෙකේම
34cedb6499	කොහොමහරි වැඩේ ගොඩදාගත්තද?
34cfbceb79	ඔන්න මම තවත් එකක් අරන්
34cfbd95f4	ප්‍රතික්ෂේප කිරීමට තමිල්නාඩු ජනතාව තීරණය කර තිබිමයි
34d08e0237	එම ලේඛනයේ රඳවා ගැනීමට හේතුව
34d10fc3e8	ඒත් ඒ චරිතය
34d196f3af	එබැවින් බුදුදහම
34d1a5cc37	කල්ප දහස් ගණනක් සක්විති රජ සැප අනුභව කළේය.
34d1d305a1	ඉමහත් භක්තියක් ඇතිවේ
34d2e4ef86	පිළිවෙළකට පෝලිමකට සිටින්නේ නැත
34d3248903	brides of kandyan
34d3bc9381	subasetha
34d3ef5358	එම ඛුද්දක නිකාය
34d4092173	මේක බලන්න
34d40d0336	එතැන් සිටවසර පුරා සෙනසුරු තුලා රාශියේ බලවත්ව ගමන් කරයි
34d50fdb05	ප්‍රතිලාභ ජනතාවට අත් කරදෙන ක්‍රමයක්
34d5497e82	සහෝදරයන් පිදීම ඥාති සංග්‍රහයේ කැපී පෙනෙන්නෙකි.
34d5619901	එවැනි ලෝක ධාතු
34d59499ec	මේ කරුමෙ නිසා.
34d6860e9c	ආර්ථීක වශයෙන්
34d71a3793	fun games for kitty party
34d8692512	ලංකාවේ බොහෝ දරුවන්ට පවුලෙන් ස්වායක්ත වන්න අමාරුයි.
34d8d40b11	ෆේස්බුක් භාවිත කරන්නන් අතරිනුත්
34d90094e3	විනය ගත සන්නද්ධ කණ්ඩායමක් වශයෙනි
34d9c01b38	මට කඩේ යන්ට කියල
34da7b927e	එවිට අවට සිටින අයට
34daaa720f	එවැනි විනාශකාරී ක්‍රියා
34dad7503c	පියනන්ද හාමුදුරුවන් වහන්සේ ද
34dada6c66	අපිටත් කේන්දර බලව ගන්න තිබ්බ නොමිලේ
34db0e6c3f	එකොළොස් කෝටියක දේවතාවෝ ශිව දෙවියන්ට පුදපූජා පැවැත්වූවෝය.
34dc3d5dc4	යක්කු වගෙ මුං ටික කමෙන්ට් දාලනෙ
34dcb879fd	හැම දෙනාගේම ශ්‍රද්ධාව වැඩිදියුණු වීම සඳහා
34dcbaba54	එලකිරි මම හෙන කාලයක්
34dd39f177	ඒක සමාජයෙ ප්‍රශ්නයක් වගේ
34dd628214	අපි විශ්වාසදායක ආරංචි මාර්ග ඔස්සේ
34de6cc0fa	hidden objects free download
34dea8b719	යල් පැනපු අධ්‍යාපන රටාව වෙනස් කරන්න වෙයි.
34deb89f05	විශේෂයෙන් කියන්න ඕනෙ
34dee051c8	එබැවින් එය ප්‍රකෘති ශීලය නමින් හැඳින්වෙයි.
34e0bef9be	ඔප්පු වී තිබෙන සත්‍යය එය නොවේ
34e110c118	මම පාසල් ගියේ කොළඹකාන්තා විද්‍යාලයට
34e16c9d0e	මේ ප්‍රතිමා කරුවන්ගේ සම්ප්‍රදාය විය.
34e19dcdf6	ප්‍රධාන වශයෙන් පැවරෙන්නේ සැමියාටය.
34e1aa38ab	ලංකාවට මුලින්ම ආ ආර්ය කණ්ඩායම්
34e1b18f87	සසුන්ගත වූ පුද්ගලයෝ
34e28df92d	ගොඩක් වටිනවා ඔන්න පරක්කු වෙලා
34e301819b	ජන හා සංඛ්‍යාලේඛන දෙපාර්තමේන්තුවේ
34e3faf244	ඊට පස්සේ මේ සිංහලයින්ගෙන් බේරෙන්න බෑ
34e4817f79	එහි මීළඟ අදියර
34e48e77e2	ඒවගේම කොපිය උනත් ඔරිජිනල් එකට වඩා
34e4eca985	එම සංඝාණත්තිය
34e50860fa	සියල්ල සිදු කරන්නේ
34e544460d	එකී ගොඩනැගිලි සමූහය කඩා ඉවත් කළා.
34e5a78b2a	වෙන්කර ඇත්තේ
34e69987d8	සීමා වෙන බව මම පිළිගන්නවා
34e6f593e2	එබැවින් උපන්නා තරමට නොව,
34e72a4eea	මනුෂ්‍ය ජීවිත
34e763c4bc	එබඳු අවස්ථාවලදී
34e7f3f1a0	ඓතිහාසික තොරතුරු සඳහන් වේ.
34e8a7dada	තියෙන සිංදු වුනත්
34e8db8988	මේ දරුවන් අඩු වයසින් විවාහ වෙන
34e8fe2fa5	ඒක නැති වෙලා යයි
34e9a76fae	පුද්ගලයා සුමගට යොමු කිරීමයි.
34eb03f14b	අපි දෙවියන්ට අපේ දුක කියමින් හිටිය.
34eb5fce18	උත්තරීතර මාතෘත්වයෙන්
34ebd1fbc3	මෙම හිතකර තත්වයන් විශාල ලෙස වෙනස් වී ඇත.
34ec29d50f	ගෞතම බුදුරදුන්ගේ හත් වන වසයෙහි දී
34ece0d237	සන්ධානයෙන් තරග කරන බව
34ede51d1f	උඹ ඔය හිනාවෙන් අවඤඥාවට ලක් කරන්නේ
34ee3c65f6	රහතන් වහන්සේ මැරීමද ආනන්තර්ය කර්මයට ම ගැනේ.
34f10546f8	fifa 2014
34f12e78ae	විනය පවත්නා තුරු
34f1aa0423	සාරිපුත්ත මහරහතන් වහන්සේ ලකුණ්ඨක භද්දිය මහරහතන් වහන්සේට අඬ ගහලා
34f1c93fbf	කවි සංග්‍රහයක් එළිදැක්වීමට අපි අදහස් කරමු
34f27a6ad6	කිරි ගෙවීන්ට සහ කිරි එකතුකරන්නන්ට
34f3115a1e	මෙසේ අතුරු සිදුරු නැති
34f325332b	විශේෂයෙන් සිංහල අලුත් අවුරුද්ද
34f3c8666b	මේවා යම් මානවීය තත්ත්වයක දුක්ඛදායක පැතිකඩක් විය හැකිය.
34f3d9781e	එම ලිපිය ගල්ලෙණේ ඇති ආකාරයටම
34f418709f	කිසියම් උත්තේජනයකින්
34f43dbe4d	හිංසනයයි.
34f4c32c87	ඔවුන්ගේ සැබැ බලය ආරම්භ වන්නේ
34f5135cee	ඔබට එය පෙනෙයි
34f5cb6f0d	බන් තාම අහල බැලුවෙ නැහැ
34f5f0a3ea	මුල් යුගයේ සිටි භික්‍ෂූන් වහන්සේලා
34f6c892da	මතක තියා ගනිං.
34f6ee2b82	තවත් ගැටළුවක්.
34f6eee1f6	ඔරිජිනල් මියුසික් කියලත් ගහලා
34f7b4c0d1	ඒත් බලාගෙන යනකොට
34f7b599c0	අපරාධවල කිසි අඩුවක් නැති බව
34f826ddf6	සියලු බබාලා ගෙන් සමාව ඉල්ලනවා
34f879e3cd	තුන්වෙනි චිත්‍රපටයෙන් හමුවෙන තාක්
34f8e145bc	එකල්හී වස් එළඹ සිටි
34f8e8ea0c	අපි මරණයට පත්වෙලා
34f942f4cf	ඔය දුස්සීල වූ ප්‍රාණඝාතයෙන් වෙන්වෙන්න.
34f9b64ad6	මෙත් වඩන්නන්ට ලැබෙන සිව්වන ප්‍රතිලාභය වන්නේ
34fa9cfe89	මම නම් ජීවිතේටම ගිහින් තියෙන්නෙ එක පාරයි.
34fa9faaf3	ඇද දමන්නට පුළුවන් ජගතෙක්
34fb5f2c22	වෙනත් ඇඳුමක් හෝ තහනම්
34fb8a5dba	අයවැය සකස් කිරීමේදී
34fb8bc341	දැනට තියෙන සංස්කෘතිය
34fba2f8ec	මේක දුන්නට
34fd1a0ec3	අද වන විට එය එක් ආණ්ඩුවකට හසුරවන්න බෑ
34fd62e91c	න්‍යෂ්ටික බලාගාරයක් වසනවා
34fd63bdb4	මේවාට විසඳුමක් හැටියට
34fd80b1f3	ලෝක විනාශය ඉස්ලාමීය ඇසින්
34fdfc7b71	යම් අවස්ථාවන්හිදි
34fe08f9dd	එවිට මේ කෙටි ලිපිය යනු
34fe6425d3	පොරට ඕවා අමතක වෙන නිසා
34fe644796	එම මැතිවරණයේ දී
34fe8296c9	music player
34fe9589ee	මනමේ,
34febff1f0	දෙසැම්බර් මස
34fef76da0	කාපු බීපු වෙලාවට මම කියාපුව
34ff210445	ප්‍රශ්නාවලියක් වත් හරියට හදා ගන්න
34ff6cacc4	පෝය දින දෙකක් යෙදීමය.
34ff773407	පූර්ව ලිඛිත පාරිසරික අනුමැතියක්
