3c28612ce7	ඒවා ඉදිරියේ සාක්ෂි දුන්
3cad987aa4	සැළලිහිණි සන්දේශයයි.
3cada99aac	ඔන්න මම බලලා ඉවර වෙලත්
3cadc966d3	එදා වැලිවිට සංඝරාජ හාමුදුරුවන්ටත් කිව්වා
3caea0a506	sujatha diyani teledrama
3caf369f30	අනික මොකද්ද මෙකේ තියෙන වැරැද්ද
3cafcc3326	උත්තරේ බින්දුව වෙනවා වගේ.
3cb018c67d	සහභාගි වෙමින් විරෝධතා සඳහා එක් වන්නට ඇත.
3cb0e4b543	බුදුරජාණන් වහන්සේ ගේ මහා පරිනිර්වාණය අළලා
3cb1019674	එක වචනයක් කීවොත් හෙට වෙන කොට
3cb1096927	භාග්‍යවතුන් වහන්සේට මෙය පැවසුවේ ය
3cb1bf01cb	මෙසේ කඨිනය ලැබූ භික්‍ෂුවට
3cb2037f7b	ඒකෙන් අන්තිමට වැඩි විනාශයක් උනේ
3cb23a6c10	අඩු ගානේ උඹලගේ පන්සලක් ඉස්සරහවත්
3cb2cac359	නිරන්තරයෙන්ම වැඩකරනවා
3cb2ed2f9b	ගයාන් චානුක මහතාගේ ග්‍රන්ථ රැසක්
3cb3e3b599	සතර අගති පිළිබඳවයි
3cb4b21230	ඒක කුහක කමක් විතරයි
3cb4f72291	එය ද සාර්ථක වී නැත.
3cb695a58a	පාහියන්ගල බලා වැඩම කරවනු ලබන්නේ
3cb78ec59c	ක්‍රිකට් කවුන්සිලයේ ප්‍රතිචාරය ලද වහාම
3cb7bc73d1	උඹම කියවල බලපන්
3cb7e973b1	මොකක්ද ඔය එවුන්ට ලැබෙන්නේ.
3cb7f715a6	හැබැයි මෙහෙම අහනකොටම තේරෙනවා
3cb874c84c	ඒ ඔරුවල බන්දු ය.
3cb8883b4a	තෙරක් නොපෙනෙන කලාවේ අතු ඉති
3cb8a2901a	ආරක්ෂක බලවේගයක් ලෙස
3cb8cc64b8	එය බුදුහිමියනට අගෞරවයක් වශයෙන් සැලකූ
3cb8e6b12e	එක මාර්ගයක් වැහෙන එක.
3cb8fc96a8	අවසානයේ ඕනෑම අයකුට ඇතිවෙයි.
3cb9d8c792	ඈ උන්නු කුළුණ වටේ පියාසර කරන්ට පටන් ගත්තා.
3cba6ad001	ඉපදීමේ දුකයි.
3cba7529d0	සිංහල යුවතියක් සරණ පාවා ගැනිමට කැමතිය
3cba7fbf60	ඇය එළිකරනවා.
3cba8b2c73	අම්මා ප්‍රිප්සීන් හැදුවෙ කිරට.
3cbb26f237	ඇතැම් විටෙක උන් අරින්නට පතනකට බැස වරුවක් සිටින්නට සිදු වෙයි.
3cbb6d9b90	ඔන්න දෙමාපියන්ගේ විශේෂ ඉල්ලීම පිට
3cbb71d805	බලපෑම් කරන්නට අවශ්‍ය නොවන බව
3cbb7d543d	මෙම සාංචි තොරණ ඉන්දියාවේ සාංචි තොරණ හැරුණ විට
3cbf0598ca	ගොඩක් අය බලලා තියෙන්න පුලුවන්
3cbfba6887	කවන්ට පුරුදු වෙලා තිබුණු හන්දා.
3cbfda59e1	මෑන්ස් යාළුවා අතේ කියල එවල තිබුනා
3cc0041e27	සිංහලයේ පොදු සතුරාට
3cc0064823	එයා ටිකක් විතර ලොකු වුනාම
3cc00f9515	හාමුදුරුවෝ නැගිටල ගියහම
3cc0642b56	හින්නෝන්මාදය වගේ ලෙඩක්
3cc073ba05	එහෙනම් ඔබව දාසි තනතුරෙන් නිදහස් කරල
3cc149d697	skill games for boys
3cc1635b5c	එහි සිටින සියලූ පිරිස
3cc18d9352	මේ පංච උපාදාන ස්කන්ධයේ හුදකලා විඤ්ඤාණයක් නෑ
3cc23fe756	පිඹින්නේ නැතුව හිටිය නිසා
3cc25b4a06	සටහනේ සදහන් කරන වචන කීපය ප්‍රශස්තය.
3cc26d9604	එය එතනින් අවසන් නොවී
3cc28d7b64	අරලියගහ මැදුරේ විශේෂ හමුවකට කැඳවන ලදි
3cc2cdb8fb	හටගන්නා බව පෙන්වා දී ඇත
3cc308c730	ශාන්ති කුමාර් තමයි මේ චිත්‍රපටියේ අධ්‍යක්‍ෂවරයා.
3cc38e5ea3	අනෙක දූ දරුවො නෑදෑයෝ
3cc4114b43	සේවයෙන් පහකිරීම.
3cc4141d83	වූ පුවත්පත් හා අන්තර්ජාල ලිපි බොහොමයක්
3cc440a9ba	ඉස්සරලා කියපු ප්‍රශ්න වලට උත්තර
3cc46eab6b	වයස්ගත වීමට සිදුවේ.
3cc48c9118	මේ සඳහා භාවිත කරනුයේ
3cc5a84fe1	සවුදි අරාබිය සහ එක්සත් අරාබි රාජධානියයි.
3cc5a998cc	එතැන් පටන් ජාති, ජරා, මරණ ආදිය
3cc5c7f897	අද වන විට ඇයගේ සේවය
3cc5f4631f	ඔබ නිවසේ ‍රැදෙන අතර ඔබ වෙනුවෙන් ...
3cc71cd523	එය ඔප්පු කරනවා.
3cc72baca0	පොත්පත් බලලා නොවෙද?
3cc75cbffd	ඉතිං දොස්තරලා කොහොමද කියන්නේ
3cc769a586	breeds of livestock in europe
3cc76e31be	එසේ අවසානයේ සෝතාපන්නයාගේ අභාවයෙන්
3cc7f680b6	ඔබ ගුණ ධර්ම වලින් දියුණු වන
3cc8e49fa8	ebay classifieds
3cc96be046	මේකට උප සිරැසි දාන්න ඇත්තේ
3cc9ca2091	විශේෂයෙන් මිදුණු සේක.
3cca1b3d40	සහිත ගංගාව තරණය කරනවා.
3ccaf15928	උපුල් මල් වල නිල්වන් බව පැතූ
3ccb51cff9	ඉදිරියට ගෙනියන නිසා
3ccbcde687	ගැළපෙන පරිදි ප්‍රතිනිර්මාණය කරන්න
3ccbe6241b	ඕපම්ම වර්ගය නමින් හඳුන්වනවා
3ccc25c451	මහා දේවාලය විවෘත කෙරෙන්නේ
3ccc45f036	ඒත් පළමු චිත්‍රපටිය කළා වගේම
3ccc4757d8	හැම දේම විවේචනය කරන්නමයි.
3cccecf68d	සිදුහත් කුමරු ඉන්දියානුවෙක් වන්නේ කෙසේද?
3cccfb55d7	පූජා කරන අවස්ථාවට සහභාගිවෙලා
3ccd19bf07	මේ නිසා දන් දීම නිවැරැදිව කරන්නේ කෙසේද යන්න
3ccd91ee79	බැලුවම අපිටත් වඩා හිඟන්නෝ
3ccdc3b14a	රොකට් එකක් හදමුද?
3ccdd2da15	අනුන්ගේ සිත දකින්නට තරම්
3ccf306499	ඉරවල් හතක් පායා ලෝක විනාශය සිදුවන බව කියා ඇත්තේ වර්තමානයද?
3ccf341a05	එයද විරාසනයෙන් යුතු වූවත්
3ccf578d47	මිල මුදල්, දේපොළ වස්තුව, කුඹුරු වතුපිටි යන
3ccf697386	ධර්ම දානයෙන් ලැබෙන ප්‍රථිඵල
3cd0033e3c	මාර්ගඵල ලැබීමට ආසන්නව සිටියි.
3cd00a20f4	තවත් සැතපුම් සියයක් පමණ ගමන් කරන ඔවුන්
3cd0950457	අන්න ඒ වගේ කුහරයක හිර කරලා
3cd0ba706a	නොපිළිගන්වන දෑ වැලඳීම අතැපය.
3cd1507e97	බුදුරදුන් ලොව පහළ වූ කාලයේ
3cd183b482	දැන් වෘතීමය අතින් ගොවිතැන් කරන ගොවියන්ට
3cd26e6c60	බහුතරයක් ව්‍යාපාර අසාර්ථක වීමට
3cd2996193	වඩාත් මැනවි.
3cd2b418bd	වැඩිමල් ගෑනු ළමයෙක් ඉන්නවා මිෂෙල් රානි මුඛර්ජී කියලා
3cd2be07be	එයාට සපත්තු අරන් දෙන්න
3cd2ed0050	පා සටහනට වඩා
3cd3174bf7	මේ රටේ අවුරුදු උත්සවයෙනුත්
3cd46571d2	එයින් අපට පැහැදිලියි
3cd4bfa637	එදා මෙදා තුර ඌව පළාත තුළ
3cd4edd8de	මතුපිට පහුරු ගෑමක් බවට පත් වේ
3cd5053bbd	ඔබගේ තර්කයට අනුව
3cd5d8e2b8	එනම් යමෙකුගේ කායිකව
3cd5f78847	තවත් තොරතුරු හෙළිදරව් වීම
3cd76bbebc	රංගන ශිල්පිනියක් කියන භූමිකාව
3cd76daf85	ඇයට ආදරේ හිතෙන කුමාරයා
3cd7a155e0	එකතු වෙලා හැකි යමක් කරමු
3cd81d5f20	මුළු වනයම වනයේ වෙසෙන සතුන්ගෙන් වැඩිම සංඛ්‍යාවක් සිටියේ අවදියෙනි.
3cd848ac31	මොකද අන්තර්ජාලය නිර්මාණය කරලා තියෙන්නේ
3cd85f8203	අධ්‍යාත්ම ශාන්තිය ලැබීමට පහසුම මාර්ගය
3cd86f767c	ටිකක් වෙනස් විශේෂ පිරිසක්.
3cd87e8df2	අමනාප වෙන්න කලිං
3cd8debf02	අපේ රොයිලි දැන් වැඞෙ නතර කරල වගේ
3cd92d6198	බැලුවෙ නෑ
3cd92ed54d	එක තලගොයෙක්
3cd948c629	අද අසන්නට ලැබේ.
3cd95aed83	ලොකු ලොකු ව්‍යාපාරිකයින්.
3cda9ae53a	දහ අටක් වූ සන්නි රෝග සුව වන බව
3cdae7dd13	මෙයට පෙර වාර්තා වී තිබේ
3cdb0db429	එහෙම හමුදාවක්
3cdb982dc6	එහි දී අප
3cdbc967e8	ඔය වීඩියෝ එක දැක්ක කෙනෙක්
3cdbe37f71	එය මැනවින් ප්‍රකට වනු නියතය.
3cdc39a103	හිතන්න මේ ඔබ දකින අනුරපුරයට යටින්
3cdc53ebd8	ඔබගේ තර්කයට අනුව
3cdcd6ec10	අපි හැදුවොත්
3cdd386df9	උන්වහන්සේගේ දේශනා තුළ
3cdd559b90	එසේ වාද කළ හැක්කේ
3cddc272d1	ඔබට ඉදිරිපත් කළ හැකි
3cde760274	ඔබ පිළිගත්තා
3cde809137	යුතුව දෙව්ලොව උපන්නා.
3cdfc0e0b7	ඒවා ගැන
3ce0b3f720	අන්න එතන තමයි විඳීම හටගන්නේ.
3ce0bdbd53	දාන්නකො මෙයා
3ce0be2f44	එක් අවස්ථාවකදී මේ දෙවඟන මුණ ගැසිණි.
3ce0d6bb81	ඇගේ අත් සහ කලවා සීරී තිබෙනු හිඟන්නා යන්තම් දුටුවේ ය.
3ce0e6663b	මල් වට්ටිවල තැන්පත් කර ගත යුතුය.
3ce120db96	භයංකර රාත්‍රිය ගෙවා
3ce17dfec7	මම මැරුණා කියලා
3ce1a15a6e	මෙම අවිචාර සමයේ දී
3ce21f1a3e	මම මහත් ශ්‍රද්ධාවෙන්
3ce264a45b	ikman.lk car
3ce2a51f64	ඒ වැව බලා ගත්තු මුරකාරයා
3ce2f3a410	එමෙන්ම අවවාද ලබාදීමට පෙර
3ce35ce5bc	මූගේ කටට බටයක් දාලා වතුර පුරවලා
3ce369e0d8	මාර්ග පලයක් ලබයි
3ce3948d58	ක්‍රිකට්‌ ආයතනය ඉදිරිපිට සිටින මාධ්‍යවේදීන් සහ කැමරාශිල්පීන්
3ce39f5ef6	ගෙදර අත් උදව්වට එන අය
3ce4079a88	මෙම පිළිගැනීම බුදුදහමෙහි සුවිශේෂී තැනක් ලැබේවි.
3ce4d32550	දිනපතා භික්ෂූන් වහන්සේලාට දන් දුන්නා.
3ce50f97e8	එහෙත් ඔහුම කියන හැටියට
3ce55fa5b8	වෙනස ගැන අදහසකුත් කියලම යන්න
3ce5bec85a	ඈත්තටම කිව්වොත් මට මේක හම්බවුණේ බොහොම අහම්බෙන්
3ce6885e79	එරෙහිව දැඩි ක්‍රියාමාර්ග ගැනීමද අත්‍යවශ්‍යය
3ce6aa2f3c	එම වස් ආරාධනාව
3ce6d6c20c	හැබැයි එයාට දේශපාලන විවේචනයක්
3ce7520b5a	ඊට පස්සේ රක්ෂණ සමාගමක් එක්ක
3ce757407f	කීප වරක්ම කියවා බැලුවෙමි.
3ce7a64ed5	අර වාගේ ප්‍රශ්නාර්ථ එන ඩොකියුමන්ට් එකක්
3ce7ad52e6	ඒවයෙන් ලැබෙන මුදලින්
3ce8ec1abd	ජීව විද්‍යාව හදාරන බොහෝ දෙනෙක්
3ce8f0cee5	වචනෙකින් හරි උදව්වක් කරපන්
3ce924a821	ජාත්‍යන්තර බලවේගයක්
3ce93c8c56	saree jacket
3ce993a859	රතු පැහැති ආලෝකයක් දකිති.
3ce9f3b150	වඳුරඹ සිද්ධාර්ථ ස්වාමීන් වහන්සේ ය.
3cea2106ca	හිතවත් ප්‍රසන්න දිරිමත් කිරීම ගැන බොහොම ස්තුතියි.
3cea4c36ab	නැවත බෙදා හරිනවා.
3cea731610	මේ කතාව එකදිගට බලන්න.
3ceb6a09bc	දුරක් ගිය විට එය දැකගත හැකිය.
3ceb8d1271	srilanka tourism
3cebd2cf68	අද අප ඔබ රැගෙන යාමට බලාපොරොත්තු වන්නේ
3cebfb2dea	සමව පැතිර වූ මවක
3cecae8250	තැන් කීපයක ලයින් ටයිමින් හදන්නත් වුනා
3cecec82e5	ධර්ම විනය උදෙසා උන්වහන්සේ
3cecf14234	ඉතින් මේ පුද්ගලයා කවුද
3ceda1b1ff	මේ මාස දෙකක් විතර
3ceda2b0cf	ගෙනහැර දැක්විය හැකිය.
3cedfe3028	තමන්ට තැනක් හොයන එකයි.
3cee683d7b	කම්පා වෙන එකත්
3ceea50a84	මම කැමති නැ කොහොමත්.
3ceec404b8	දකුනු ඉන්දීය හිංදු බමුණෝ
3cefd2deb3	පැන නැගීමේ ප්‍රවණතාවක් පවතින බව පෙනී යයි.
3cf01821c6	බේරා ගැනීමේ අනුකම්පාවෙන්මයි.
3cf0249efd	කිරි මුට්ටි උතුරවා
3cf0ab69b6	තීරණය ඇය වෙනුවෙන්ද ක්‍රියාත්මක කරන්නේය
3cf153d1e6	අපිටත් කියන්න
3cf15efbb9	යම් ප්‍රගතිශීලි බවක් ද
3cf18bbcb9	රාවණා රජුට හැඳින්වීම සමඟ ප්‍රදර්ශනය කරන්නේ
3cf1965829	මටත් ගිය ආත්මේ මැරිච්ච හරකෙක් වැහෙනවා.
3cf1c3fcca	මම මේක දෙනකම් හිටියේ
3cf208d791	අපි බලමු අනිත් ජ්‍යෙෂ්ඨ සාමාජිකයන්ගෙනුත් විමසලා
3cf214d619	නමුත් මේ පවුල්වලට සම්බන්ධ හැමෝම දන්නවා
3cf2aa424a	ඒ රැකියා දෙන්න ඕනේ
3cf2c647fe	ඒ යුගයේ මුනිවරයන් බවට පත්වූයේ
3cf2e3bc94	එම මාර්ග සඳහා
3cf338a704	රඟපෑමෙන් සහ කරන කියන සියලූ කටයුතුවලින්
3cf35f6499	කෞතුකාගාරය ගැන ලියපු තීරු
3cf3c15abe	මාෆියාවට පාතාලයට එරෙහිව තමයි
3cf4b9018d	බුදුරජාණන් වහන්සේ පෙන්වා දෙනවා
3cf60fa9ce	සීලයට ප්‍රමුඛ ස්ථානයක් දී තිබේ.
3cf6446a38	බොහෝ යටහත් පහත්ව ලං වුණා.
3cf693c725	මෙසේ ඇයද සිටියාය
3cf6d759f9	එනිසා එහි එල්ලී සිටිමින්
3cf75616b6	සොළොස්මස්ථාන අතර සැඟවී තිබිය හැක.
3cf779c839	මේ මැරුණු ගොනා
3cf783d8e4	ලද බලපෑමක් සහිත ව්‍යාපාරයක් නැත.
3cf793ed3d	එපමණක් ද නොව අවශ්‍ය වූ විටෙක
3cf9411088	පවත්වන එහෙත් දිවයිනේ
3cf9af1fe4	හුඟාක් හොඳට විශිෂ්ඨ රංගනයක් කරන දෙන්නෙක් ඉන්නවානේ.
3cfb49720c	අපට අනුකම්පා කරනවාට.
3cfb4bf83c	ඉතිහාසයක් ඇත.
3cfcc161fc	ඊට පස්සෙ අහවල් විශ්ව විද්‍යාලෙ අහවලා
3cfcded075	විසුද්ධි මාර්ගය වේ.
3cfd02e422	එම මාධ්‍ය හමුවේ දී ප්‍රකාශ කළේය.
3cfdfb3511	සයුර මෙන් අපරිමිත ද වෙයි.
3cfdfeab7a	යව හාල් තියෙනවා ඒ ගොල්ලෝ ගාව.
3cfe392143	ඉන්දියාව සංචාරකයන්ට දේශ සීමාවේ දී
3cfeba91ea	මෝටර් රථයක් තමයි බම්බල් බී කියන්නේ.
3cfec8895f	හරිම විනෝද ජනක උනා.
3cfff8c6f2	මේකෙ ප්‍රධාන නළුව බලෙන් පන්සලකට ඇතුළු වෙන
