010009989d	හෝටල්වල ගිනි මැල හදනවා.
01984c39dd	මෛත්‍රී භාවනාව කරන අයෙකුට
019859f5c4	අපහාසය මිනිසුන්ට දෙනවා.
019870ffe3	වනසා දමන දර්ශන මොනවා ද?
0198970faf	මාව පාර අයිනේ දාලා යන එකද?
0198f9bf0a	වෙනදාටත් වඩා අසිරියක් ඇති කරවමින්
01993deb9c	එරටින් මෙරටට පැමිණි
019958c99a	ඉහළම ගෞරවය වේවි.
019973062b	ආමිස පූජාවන්ද ප්‍රතිපත්ති පූජාවන්ද පවත්වනු ලබති.
019994432b	මෙන්න නිදා ගන්න ආකාරය ගැන කෙරුණු
019a7ce8d4	බුද්ධ ශාසනයක විතරයි
019ae36f36	හරවත් පණිවිඩයක් ගුරුතුමාට දීල තියෙන්නෙ
019beda881	අනික සයිට් එකේ වැඩත් එක්ක
019bf50660	license plate frames
019c24dd54	කල්පනා කරන්න පුළුවන්කමයි.
019e34bb5a	ඉතින් ඩේටා ගොඩක් යනවා
019e553113	මිනිසාට තමා කවරෙක් දැයි
019ebbe749	අර උඩ කාටූන් එකේ වෙච්ච සිද්දිය
019f450a65	අනික අපි ගහමරාගෙන
019f83e5e5	ඒ වෙනුවෙන් සිංහල උපසිරැසි සමඟම
01a03523ea	පොලිසියට අල්ලල දෙන්නෙත් නෑ.
01a0ba7a00	අන්තිමේ දැක්කා
01a0d704af	ඒවගේම අද කතාව
01a0edfa23	විනාශය ප්‍රභවය කොට ගෙන ඇති බව දැක්වේ.
01a1a4545d	අනුන්ට බැණ බැණ ඉන්න වෙලාවෙ
01a2a467d9	මායාකාරියක් මතු වෙලා
01a42a5e0e	බෙහෙත් උගුර දෙසට තල්ලු කළේය
01a42aceb1	හින්දු දෙවි දේවතා වන්දනාව
01a4dd3592	ඉතිං අපි මොකටද එහෙම කැපිලා පේන්න ඇඳගෙන
01a4e6eaa6	මේ බිම පූජනීයත්වයට පත්වී ඇත.
01a5a3b3de	කාලෝචිත නොවේ යැයි මගේ හැගීමයි
01a5d8ef85	වර්තමාන දේශපාලකයන්ට ලබා දෙයි
01a621897c	මට නොමැති පීඑච්ඩී එක
01a64196c9	මේ හැම දෙයක්ම
01a6975729	තවත් කොල්ලෙකුට ආදරය කලොත්
01a6ebc3be	එහි ප්‍රබන්ධමය සංරචක වන වස්තු විෂය
01a73c9947	එහි අවසන් ප්‍රතිඵලය
01a76fde41	මී ළඟ පෝය ජනවාරි 14 වන දා බ්‍රහස්පතින්දා ය.
01a78a209e	ඒත් නාහේ හාරන්න නම්
01a78cab7a	අධ්‍යාපනය පිළිබඳ මුල් අවස්ථාවේදී නිවැරදි තෝරා ගැනීමක් කළ නොහැකි වූ අය
01a81a436a	එම නිසාම දරුවන් වැඩිවියට පත්ව
01a94334ea	මඩුව මාමඩුව හරහා දළදා වහන්සේ මඩුකන්ද විහාරය පිහිටි බිමට
01a9901803	මිනිසාට සෑම දෙයක් පිළිබඳ සිතීමේ
01a9ab5f17	නායක හිමියන් එසේ පැවසූහ
01a9ceabea	මේ අයුරින් නිර්මාණය වූ සඳකඩ පහණක්
01a9f2b678	කියවලා බලන්නකෝ.
01a9fb2dff	පොලිස් දෙපාර්තමේන්තුවට එරෙහිව
01aae680de	ඔහු ගැන සඳහන් කරනු ලැබුවේ
01ab01d33d	ආරාධනාවක් ලැබුණොත්
01ab7f9a8a	අවුරුදු සීයක් ආපස්සට අරගෙන යනවා.
01ab8e99ff	ඉස්කොල වහන්න නෙමයි
01ac19f9a1	ඔයාගේ ලෙයින් උපන් ළමයට පිළිකාවක්.
01ac1e3615	ප්‍රධාන ආගම වූයේ බ්‍රාහ්මණ ආගමයි.
01ac1ed054	ප්‍රසිද්ධ කරන්න කෝ මෙයා ප්ලීස්!
01ac9ccc2d	විශේෂඥ පසුතල නිර්මාණ ශිල්පීන්
01acccb663	ලංකාවේ ඉපදුනේ කියනවා
01ad736a1a	බවට පත් කරයි.
01ad7c29bd	මාර දූවරු රූමත් ලෙස සැරසී
01adc2d8d0	ඇයගේ සිනහව තම මව සේ
01aea94652	මෙතෙක් කාලයක් රජුන් අතර බලය හුවමාරු වුයේ දෙපාර්ශවය අතර යුද්ධයකිනි.
01aece38d1	බැලුම් බෝලය
01aed1f60b	ඔයා වෙන කොහෙන්වත් බැලුව
01aee18666	සුගත් සමරකෝන් අපට උගන්වයි
01aefb3ae2	මුන් හිතන්නේ ඔක්කොම මොඩයෝ කියලද
01af2c4c52	ඇඳුම් පැළඳුම් තිබෙන
01afd70fba	මේ චරිත අද ඉන්න උන්ගෙත් වීරයෝ වෙන එක.
01afea9cfd	බුදුරජාණන් වහන්සේ සැවැත්නුවර ජේතවනාරාමයේ වැඩ සිටින සමයේ
01aff1b796	මෙයින් ධර්ම දානය උතුම් බවත්
01b085a34d	අන්න එතනින් තමා
01b096acfb	එය අනෙකුත් ග්‍රහයින් හට ගුරු වන හෙයින්
01b151f822	පෙළපාලියෙන් ගමන් ගත්හ.
01b17534aa	එන සතියේ කොටසෙන්
01b197d85a	free india
01b210ef85	ප්‍රශ්නයක් නැහැ කියලද කියන්නේ?
01b325a63a	ඒත් වැරදි කාම සේවනයට අයිති වෙනවා.
01b354ab86	ක්‍රිස්තියානි රටවල් පිටින් හරවනවා
01b36c08a7	පවුල සම්බන්ධයෙන් ඔහුගේ බලය වගකීම ප්‍රකට කරවයි.
01b38fdeae	අත්විඳීමට සිදුවන තත්ත්වයන් මොනවාද?
01b3d6bea5	මියගිය ස්ථානය නොවේ
01b428bb75	එහෙම කරන්න බැහැ
01b465ab1b	ගද අපිට පුරුදුවෙලා .
01b4a88dfe	ගොඩක් දෙනෙක් නොදන්නවාට
01b4cb2195	පහත් ප්‍රකාශ ගැන ලජ්ජා විය යුතුයි.
01b4fd1e14	දැන් සීඩ් කරන වෙලාව
01b5261cc4	චිත්‍රකතා පත්තරයක් සතිපතා හදන්න ගත්ත.
01b57a72ca	මෙලොවත් පරලොවත් සැපවත් පිළිවෙතක් ඇත්දැයි
01b6134d15	දකුණට හරවන ලද ජීප් රථය
01b6346ac9	ලෝකයේ කාටවත් යහපතක් සිදුවන්නේ නැහැ.
01b666ab25	තෙමන්නට තරම් හැකියාවක්
01b67af28c	තවත් නියම ලිපියක්
01b6cd2f8d	දරුණු වචන දේශපාලකයෝ කියන බව ඇත්ත.
01b740ab57	තවත් විසි දෙනෙකුට වැඩි පිරිසක් තුවාල ලබති.
01b8829ba6	ගේ කිට්ටුවට ගිහින් බස්සලා ආවා.
01b8838d13	ආදරයෙන් ළඟට කරගෙන හිටියේ අක්කාව.
01b88eab53	මෙලෙස ජීවිත අවබෝධය ලද තැනැත්තා කිසිවිටකත්
01b8b85cf9	වී ගබඩාවල වී කුණුවෙද්දී
01b9209c91	ලෝකයේ වෙනත් රජවරුන්ගේ් මාලිගාවන්
01b9924b13	හැම ආගමකින් ම කෙරෙන්නේ
01b9b5e6d3	ඒ ගමන යන්න
01b9c97c2c	පලවෙනි පාරම ඇහුනු ගමන්
01b9d97a04	හැබැයි අර කිව්ව අවදානම
01ba10795f	ගහ උත්තර දුන්නා.
01ba35e1f4	lankatv.net
01ba3e660a	සැපක් තේරෙන්නෙත් නැත
01bb0e3cee	පසුව වෙනස් කළ අවස්ථා
01bb6eeb1b	ඔන්න ඔය තත්ත්වය නිසාම යි
01bc49ae46	ඒ සියලූදෙනාම
01bcff1f59	හැබැයි ඒ වෙනුවට පාවිච්චි කරන්න පුළුවන්
01bdf74db3	නිතරම කමෙන්ට් නොකරන අයගෙන් ඉල්ලනවා
01be0e9c98	එක දවසකටයි.
01be11e407	හැමදාම හැමෝම යන සංචාර වල යෙදෙනවාට වඩා
01be2423e4	අරයගෙන් මෙයාගෙන් අහන්න ඕනෙද?
01be9acd24	ස්තුති සහෝ
01bf254878	පීඩාකාරි ගිනි අවි පනත
01bf58435f	එතැන් සිට අද දක්වාම
01c099da56	මුරගලින් ඉවත් වී ගොස්
01c0d35f80	වෙනස්වූ ශාරීරික ලක්ෂණ සහිත අය
01c152e456	යම් යම් පාර්ශව කරපු කෙනෙහිලකම්
01c1befdd1	ඔබ තුමා ගනන් හැදුවේ කොහොමද කිවුවොත්
01c1bf3c9d	මෙය දුටු සුදොවුන් මහා රජු
01c2e30bc4	අග්බෝ රජු විසින් ඉදිකරන ලද
01c31281eb	ඔවුන්ද කැමති බටහිර වෙදුන් වීමටය.
01c336cb15	හදාරණ සිසුන් අතර මිස
01c38b4f23	කිසිවකුත් නොසිතූ ආකාරයටය.
01c3a93f67	ආනාපානසතිය ගැන ඉගෙන ගන්න පුළුවන්කම තියෙනව
01c3e09c80	මේග්නා මාතූර් මුම්බායට ගොඩක් ඈත පිටිසර
01c3fc21ec	ජීවිතයේ සදා සැනසීම උදාකර ගන්න.
01c43720fa	භාරත්වල මූර්ති සටහනක
01c5128850	ඔබ මෙවැන්නක් වේ යැයි
01c58f5912	එතැනදී හැඟවුම් කාරකය ඇය බවට පත්ව
01c64c9121	අට පාස් නෑ කියල එකෙක් කිව්වට
01c6713110	ඔවුන් තුල හංගාගෙන ඉන්නවා.
01c679da80	අවුරුදු විස්සක් ඇතුළත
01c68cfa21	දහම තුළින් ඉගැන්වීම නිසා
01c6a78641	අන්තිමෙදි බලනකොට
01c752a6e7	නඟා සිටුවීමට විශාල මෙහෙවරක්
01c7a46b92	කුසිනාරාව වැනි කුඩා රාජ්‍යයකදී ය.
01c7d84e28	නිකන් දෙන උපදේසයකින් උනත්
01c7f579d5	භාවනාව උපකාරී වෙයි.
01c7fdb0f5	නියම උත්තරේ මොකක්ද?
01c835e901	පසුගිය කාලයේදී
01c9acbfff	ඉතාලියේ ඇස ගිය තැන්
01c9b7b1c1	ප්‍රාණය නිදහස් කර දීම
01ca61d6fd	ශෝකයටපත් වූ කාළුදායි ඇමැති
01caae4a1d	sri lankan dance culture
01cb0dc3b6	එක මැක් එකෙත් ඇති නේද?
01cb642e14	පසුපසට ගැනීම යුක්ති සහගතය.
01cb6837f6	අනම් මනම් කියලා වැඩක් නෑ
01cb751bc6	dard sad boys
01cb7f1785	ඔබ ද්වේශයක් වඩවාගෙන ඇත.
01cbf7ca4f	අනේ අපේ මිනිස්සු කවදා අනිත්
01cd074bad	කයින් හා වචනයෙන් මිස සිතින් නොවේ.
01cd2c2dc8	ඔය කිව්ව සංචාරක නිවාසය අසබඩ
01cda2307b	අනික උදේ පාන්දර නැගිටලා
01ceb7f5cb	පඩි පැකට් එකත් දාලා තමයි එන්නේ.
01cf1a29b2	අව්‍යාජත්වය, විරාගී බව හා
01cfd4dc5c	ස්තුතියි සමීර සහෝ
01cfdb6a6b	ඒකෙ ඌ දාල තිබ්බ හැටියට
01d0479185	සාහයි අමිතාබ් බච්චන් කියලා.
01d04cf3d4	දාගැබේ විවිධ අංගවලටද
01d0f091e1	අවට ගම්වාසීහු පවසති
01d14380d1	නිරන්තරයෙන් උන්වහන්සේ සමීපයෙහි තිබූ ආකාරය
01d16a6727	මෙබඳු අවස්ථාවලදී
01d26ee005	අහ් හරි උඹ කියන වැඩේ
01d31a178e	උදව් කරනවා ඔහු දුටුවොත් පමණි
01d41a3755	ඉදිරිපත් වූ කරුණු සලකා බැලූ මහෙස්ත්‍රාත්වරයා
01d42a63f8	ඔහු සුරක්ෂිත තැනක හැංගිලා
01d486a4ca	නොබලා ඉන්නේ කොහොමද.
01d50b5a41	නමුත් මෙය මීට අවුරුදු දහස් ගණනකට පෙර සැබෑවක්.
01d5228a15	ඕව කියල මෙතන නේද?
01d56c3ee9	දීර්ඝායුෂ ලබයි.
01d592d478	adobe photoshop lightroom
01d5df5ed9	ඒකේ තිබුණේ පිච්චුණු කර රහක්.
01d6bfd696	සම්මතයට එකඟව කරන හැටි ගැනයි.
01d7785dd5	අනික අපිට අවුරුදුකට එහා
01d77c7634	පොඩි උන් ටිකයි
01d78f07ba	ස්ත්‍රීන්ගේ කාමුකත්වය පිළිබඳ ගැඹුර
01d8018f1e	ගෑස් තෙල් මතු නොව රන් මැණික් මිනිරන් ආදී
01d80e39ba	පෙරටු කරගෙන
01d91b3e5c	අවුලක් හිතට එන්නෙ
01daa28f0f	ගිහි විනය නමින් ප්‍රකට
01daabc2db	ඒත් එයා හැදුනේ වැඩුනෙ
01dc481e00	ජාතික දේශපාලනයේ දී
01dd06a342	සහෝ බොහොම තුති
01de2afaa5	බුදුදහම ප්‍රතික්ෂේප නොකරන අතර
01de4c36fc	මේ ජාතක පොතේ කථා
01decc06c3	කාම වස්තුන් පිළිබඳවද
01df57cb07	අපි එනකම් බලාගෙන ඉන්නවා වෙන්න පුලුවන්.
01df93a361	හැබැයි පුරුදු විදිහටම
01e088b4c6	ඉපදීමට ඉඩ ඇත.
01e0b63552	අමුක්කු සන්නි යකාගේ
01e0cbdc99	මානවයාගේ ප්‍රමාණ
01e18b2ebe	බැඳපු සෝමාලියන් මූදු කොල්ල කාරයෙක්
01e1c4216f	මොකද අය කර ගන්න ක්‍රමවත් සැලැස්මක් නැති නිසා.
01e219d29f	පොලිසිය තවදුරටත් පරීක්‍ෂණ පවත්වාගෙන යයි
01e258ac34	මහ ඇමැතිවරයාගේ දෙනෙතින්
01e2cf291d	ලාබ ලබල දෙන පාලනය
01e313f5f4	රාශියක් දක්නට ලැබේ.
01e319ac9b	අට මහා නරකාදිය කියන්නේ මොනවාටද?
01e3d10409	space
01e4bc4db9	dilhani
01e5283cc8	මෙහෙමයි මම දන්න තරමින්
01e53aeaae	සතුටෙන් ඉන්න තිබ්බ කාලය නේද කියල
01e5538a70	ආයු කාලය ඉක්ම ගොස්
01e63cbe2c	හොදයි කියලා.
01e642f3e1	ආණ්ඩුවෙ ඇමතිවරු කොමිස් ගත්ත
01e65d50c2	ඊට පස්සේ කූඩැල්ලෙක් කනකොට
01e66e1297	හුවමාරු කරගන්න නියමයි.
01e69bf1fa	කොටහේනේ පරමානන්ද විහාරස්ථානයෙහි නතර වූහ.
01e7095e47	හොයා ගන්න බැරිවෙනවා.
01e77633e0	ඉතාම අනුවණ ක්‍රියාවකි.
01e7958799	උන්වහන්සේලා මෙයට ඉතා කමැති ව
01e7c404d0	ධර්මය අවබෝධ කරගැනීමේ වාසනාව
01e81019d2	උළෙල පුරා දක්නට ලැබෙන නළුවන් මත යැපීම
01e8448b80	චිත්‍රපටියක් බලලා නැති අය
01e8d40d9d	ඉතින් මේ දේවල් වලට මීට වඩා විශාල ගැඹුරක්
01e9097fdd	පැවිදිවීම පිණිස නිතර ඇවිටිලි ගලා එන්නට විය.
01e93a0adc	අයගේ මතය බිඳින්න
01e95658b2	මේ සඳහා කදිම උදාහරණයක් ලෙස
01e960b6cb	එහෙම වෙන එකක් නම් නැහැ.
01ea01a9ed	එපිනෙන් දෙව්, මිනිස් බ්‍රහ්ම මාර හෝ
01ea04be7e	තමන්ව පාලනය කරගන්න බැරිවෙනවා.
01ea44782c	තම සිත තුළ පවතින
01ea9b274d	ගුරුවරයා වෙනුවෙන් තම ජීවිතය හෝ පුදා
01eb1195af	ඔය කියන මහ ලොකු ඇමරිකාවේ
01eb6d8783	මෙලෙස ගරුසරුව සපයාගත් ජලබඳුන
01eb9d3a56	අපිට යමක් කරන්න තිබෙන වගේම
01eba0d644	ශ්‍රී මහ බෝධි ශාඛාවට හැකි විය.
01eba9cf72	අපිට පුළුවන් විදිහට
01ec4ad556	වශයෙන් ගත හැකියි
01ecaef549	ලද ජීවන හුස්මයි.
01ecc3c37c	වැරැදි ආදර්ශ ගන්න පුළුවන්.
01ed01fce0	ප්‍රොෆයිල් වලට රික්වෙස්ට් දාලා
01ed0fd949	ස්පර්ශය යම් තැනක හටගන්නවාද
01ed19f105	රජ පරපුර නොසලකා
01ed1ebd8a	එහි තීබී නිෂ්පාදනය කරන ලද
01edb02dde	අනික තමා මෙවැනි සරල රසවින්දනයක්
01edf5df26	ඒක ඉතින් ඔයාලට
01edf80011	චීනයට වැඩම කර
01ee11ea01	ජනපද පාසැල් වලට නොගොස්
01ee29fcc6	උදරයෙන් එන පීඩනය
01ee8c151b	කරලා බලන්න ඕන.
01eea8cbb4	india shopping online clothes
01eec3f20f	පෙරගිරිගම කතරගම.
01eedc61a4	චිත්‍රපටය අවසාන ජවනිකාව
01ef407e7e	අපි ලෙඩ වෙනවා.
01efb31336	අනික ලෝකයේ විවිධ වැදගත් පුවත්
01efcba2e2	අනික මේ දාලා තියන
01efd09f5a	මිනිසෙක් රෝගී වූ කල්හි
01efd1e556	මෙයින් රචකයා බලාපොරොත්තු වූයේ
01f09fe879	රහතුන්ට වැඳ නමස්කාර කරමින්
01f0b08be7	පෙරහරින් වැඩම කරවු අයුරු.
01f1231e0e	ඇගේ සැමියා සැකපිට අත්අඩංගුවට ගත් බවත්
01f189bfc6	සටන් කිරීමට අවශ්‍ය වෙනවා
01f1992ae7	ස්වාධින කමිටුවක් පත් කල යුතුය
01f1ea987d	සෙට් වුණේ කෑමෙන් පස්සෙ
01f4673662	ඒ හතර දෙනාම පිනට දහමට නැඹුරු කරගන්න පුළුවන්
01f499dc38	පතුරු ඇරියාම දෙයක් නෑ.
01f4fcf5f7	ආසනික් දීල පෙන්නපල්ලකෝ.
01f5859b88	මීට වඩා දැනුවත්ව කතා කරන්න.
01f628b7eb	ශ්‍රී ලංකා වෘතීය මනෝ චිකිත්සන උපදේශක
01f63f9da7	උන්වහන්සේ වදාළා
01f65ebe96	බනිස් ගෙඩියක් කන අතරෙ මේක දැක්කෙ
01f6c9a533	මහනුවර යුගයේ විහාර සිතුවම්
01f76f0fde	ගාගමෙල් ඇයව පැහැරගෙන ගිහිං
01f7aeb59c	'සුනිල් අයියා ගැන විශේෂයක් නොවීය
01f7de192e	බොහොම ස්තුතියි වරුණ.
01f7e552ec	නො ඉවසිය යුතු තැන ඉවසනව.
01f7ff3fea	කතා කරනව.
01f81f2f8c	අන්තර්ජාතික සම්මාන රැසකින් පිදුම් ලද ඔහු
01f821da4a	මහ මුහුදට වැටුණු ඉදිකට්ටක් සෙවීම හා සමානය
01f8709d7c	alice academy
01f8be1218	අර්ධ ශතක තුනක් ලබාගත්තා
01f98175a9	එම තත්වයන්
01f9b5d103	කී අඥාපති
01f9bb007e	රසිකයන්ට සිය ස්තූතියද පුදකර තිබේ
01fa5d6d12	එබැවින් තවදුරටත්
01faa57930	පහරදෙන නාගයකු බඳුයැයි අපට හැඟෙයි.
01fae11129	hindi
01faffc180	විවාහය පිළිබඳව අභ්‍යන්තර සබඳතා මනාව හෙළිකරයි.
01fb0f2fab	මමත් ඉස්කෝලෙ යන කාලේ
01fb2afd4d	ලංකාව වැනි පුංචි රටක.
01fc1412d5	ගෙදර වැඩ ඉවර වෙලා
01fc4eacc8	ගැඩවිල්ලන්ගෙන් ප්‍රයෝජනයක් ගන්නේ නැහැ.
01fc733272	පුද පූජා කරන්න පටන් අරන් තියනවා.
01fcdcf472	සිංගම් කියන්නෙ ඉතින්
01fcfc7968	ඈත රන් විමන් ගීතයේ පද රචනය
01fdb2ef16	සරා අභ්‍යාසයෙන් ලබා ගත යුතු දේවල් ගොඩක් තියෙනවා.
01fded3d63	බෞද්ධයෝ බෞද්ධ සම්ප්‍රදායට අනුව
01fdf83ebb	එදා සිට සැදැහැවතුන්
01fe798580	සෙමෙන් සෙමෙන් ගල් කන්දට වඩිනවා.
01feaeb3e1	බාහිර බලවේග විසින් කැරෙන
01feda92aa	film fare award 2012
01ff17bcb1	අනික් වැදගත්ම කරුණ තමයි
01ffb84e14	බස් එකක් ඇතුලේ ජැක් ගහලා
01ffd019c6	ඒත් මහින්ද ආවට පස්සේ
01ffdc6463	දකුණු ඇමරිකාවේ හා කාම්බෝජයේ තිබූ
