4500288af2	cool stuff express
459944b668	එදා ගුවන් තොටුපළට දුවගෙන ගිය
4599653957	මේක සිංහල උපසි‍රැසියක් එක්ක දෙන්න.
459988b419	ඔබත් චතුරාර්ය සත්‍යය
4599c59848	ලියන්ට ඕනේ
459a977173	එය කොතරම් බලසම්පන්නද යත්
459aacefcb	එක එල්ලේ කීම නම් තරමක් සාහසික වැඩියි
459ad51351	රුපියල් දෙදහක චෙක්පතක් තියෙනවා කියා
459ad545bd	මේ වැඩේ‍ට යොමුවෙන අය.
459b8a8b46	ගොසිප් අඩවියත්
459bd21849	අපරාදෙ කියන්න බෑ මොනව උනත්
459c264a86	ඔය විද්‍යාත්මක විධි ක්‍රමය
459c4e7547	එක් කෙනෙක් වෙනස් වෙනවා.
459c881f82	මෙහේ අශෝක හිටියේ ඉන්දියාවේ.
459cbea2f2	ඉවත් කිරීමට ඉවහල් වෙයි.
459d982411	අනේ මන්දා
459e46fb02	ධර්මාලෝක නායක ස්වාමීන්ද්‍රයන් වහන්සේගේ
459ef3c9e9	වෙරලාශ්‍රීත ජලයේ පිහිටන පරයකි.
459f0daedf	red rose
459f1dbc61	හැබැයි නිලධාරීවාදයෙ නං සෑහෙන බලපෑමක් තියනව.
45a019be4c	පැවති හමුවකින් පසු
45a055b642	සිය දියණිය පාවාදෙන බව ද
45a05e26b7	හැකියාව තිබුනා
45a1340aff	දේශනා කරලා තියෙනවා.
45a1390287	රේඩියෝ තරංග ප්‍රතිග්‍රාහක සෛල තියෙනවද?
45a149b1c4	වෙනත් නිවේදකයෙක් ලවා
45a1b6bd29	ඉතිං මම ආස කළා
45a1d7c66d	යම්හෝඩුවාවල් කිහිපයක් දෙන්නම්
45a242bdf7	එබැවින් තම කර්ම ශක්තියට
45a2bb10fe	දඹදිව බුද්ධගයාවේ
45a316f5c2	ඒක නැතුව මොන තරම්
45a34d027d	www.ikman.lk
45a387ec76	මලයාලි අහිගුන්ඨිකයෝ ආව
45a4611bbf	එක රාජ්‍ය ආයතනයක්වත් අපි පෞද්ගලීකරණය කරලා නැහැ
45a496ab08	ඒවාට මූලිකත්වය ගෙන කටයුතු කලේ
45a496dfdd	එම ද්‍රව්‍යය රෝවරයේ තැන්පත්කැර ඇතැයි
45a4b28bac	එයා මිනිස්සු ගැන අකැමැති හිතින්
45a549c114	දක්වා ඇත්තේ දැඩි රුචිකත්වයකි.
45a59e5179	hirutv.lk
45a66b87b4	මහෝපකාරී වේ.
45a74e2ccc	විවිධ සූත්‍ර, කථා ථෙර ගාථා ආදිය පවා
45a76542a7	තවත් මහල් වෙසෙසක් තිබේ.
45a7f00234	අපි කෑ ගහලා අපේ වේදනාව නොකීවාට
45a845180b	වැඩ කටයුතු කරනු ලැබේ.
45a8458522	මේ ගම්වල ඉන්නේ දුප්පත් මිනිස්සු.
45a934873b	මනුෂ්‍යයන්ට මෙන්ම අමනුෂ්‍යයන්ටද
45a95fc0d7	කියන දේ සත්‍යයි.
45a9915199	දිනකට පිළිකා රෝගයෙන් හතර දෙනකු
45aa1165ae	අද ඉන්න ගුරුවරුන්ට
45aa202b18	පරිවර්තනය වෙන්නේ නැහැ.
45aa5b0f68	ගෙන්දගම් පොළොවට හරි අරාබියේ වාලුකාවට හරි
45aacab79d	කරන්න පුළුවන් කියල
45ab02a217	අපේ නෑදෑයො වෙනවා.
45ab9ca5eb	ජය වේවා
45ac0bb55b	වසර සියයක් පමණ වූ කළ
45ac2e56b9	birthday cards flowers
45ac771e78	ඔහු උපරිම වේගයෙන්
45aca3560d	මේ පෘතුවියට ආපු සංචාරකයෙක්.
45ad2e8c3e	අයවත් එය හරියට දන්නේ නැහැ.
45ad6df46e	පැහැදිලි වන්නේ
45ad705669	ඔබ කොච්චර මස් කෑවද කියලා
45adbfc35d	පලාත් සභාවට ආන්ඩුක්‍රම ව්‍යවස්ථාවෙන් බලය ඇත
45ade633e8	මෙම අංශ දෙකම
45adf409af	සොඳුරු මතකය
45ae08c585	ඊට පස්සේ නපුරු කුඩම්මව මරා
45af4222ac	අමරදේව මහත්තයා ආපහු ලංකාවට එන්නේ කොයි කාලෙද?
45af7759f5	ආයුධ මිලදී ගැනීම සඳහා යොදවයි
45af8d52ed	මේකෙන් බලාගන්න පුළුවන් කියලා
45aff46107	අමා නිවන් දොරේ හැපී සිටින
45b0169fcb	මිනිසාට ගෙවීමට සිදුවන්නේ දුෂ්කර දිවි පෙවෙතකි
45b26c833f	දැඩි දැවීමක්, අසහනයක් ඔහු අත්විඳිනු ඇත.
45b305224d	මිනිස්සුන්ගෙන් පෙන්ඩ ඕන.
45b31e894f	යුද ශක්තියවැඩි කොට ප්‍රහාරයකට සූදානම්ව සිටී
45b3562cbe	රසිකයාගේ භාවිතය තුළ
45b3b52341	උන්වහන්සේ සක්මනේ ම
45b435aae4	ඒවාට පිළිතුරු දීමේ යම් අපහසුතාවක් වේ නම්
45b43a814a	නොදන්න දේවල් ගොඩක් දැනගත්තා
45b465d43b	ඊට වඩා ටිකක් වැඩි දවසුත් තියනවා
45b4e5837c	ඒ අසමසම චරිතය නිසාය.
45b53e0600	පහනෙනුත් කසූගේ කතා බලන්නේ.
45b604d698	එය කරන නිසා යහපතක් වේ.
45b63e7336	ෆයිල් එකේ හැටියට
45b6488cab	රෝස මලේ ඉතිරි වෙල‍ා තිබුණෙ එකම එක පෙත්තයි
45b69d0670	මෙම කරුණු සැලකිල්ලට ගෙනය.
45b6ab8901	amila
45b6bd2a23	දෙමාපියන්ට, ගුරුවරුන්ට, වැඩිහිටියන්ට, නොදන්වා
45b6fca07f	සාක්ෂි දෙමින්
45b705c291	නැත්තං ඊලගඑක එනකන් ඉවසන්න බෑ
45b7603950	සත්වයාගේ ආයුෂත් කර්මයත් යන දෙකම
45b865a0d1	ඉස්මතු වන විවිධ ගැටලු
45b8a9ff08	බාගෙන බලනවා.
45b97bea96	වෙඩිතබා ඝාතනය සිදුකිරීම වැනි දෑ
45b9bdcf01	ඔහු දන්නා හෙයිනි.
45ba91ce9e	නමුත් ඒ ආකාරයේ
45bada6879	කිසිම බැතිමතෙකුට එයින් හානියක් වුණේ නැහැ.
45bb2c2aa4	එයාට යාලුවෙකුගේ ආදරයක
45bb7cfbca	ඊලඟ භවයෙදිවත් බලමු
45bb9494d2	මෙතෙක් දිනක් රැකියා පිළිබඳව පැවති කරදර ඉවත් වෙයි.
45bba0966b	මේ රැග් එක නිසා තමයි
45bc0fbe32	ගොදුරු වී ඇති බව නම් සැබෑය.
45bc5df966	බොහෝ දෙනා නැවත නැවත ඒවා කොටස් කර
45bca728db	සිදු කරනු ලැබීම හෝ
45bcfff3d4	ruwangi
45bd0ad595	පිරිත සඳහා මූලික වූ
45bd77c279	ඉගැන්වූ සුප්‍රකට දේශානවකි.
45bdd52b8b	එක ගැන ගොඩක් ස්තූතියි.
45be3e5244	එහිදී නිකම්ම සනීප වන ලෙඩ
45be47a97e	දර්ශනීය චෛත්‍ය රාජයාණන් වහන්සේ හමුවෙයි.
45be74df92	මොකද මම අනවශ්‍ය දේ නොකියන නොකරන
45bed1bdf6	එය විවෘත යමක්,
45bf0d1b90	හැබැයි ඒ කියන්නෙ
45c04deee9	ඒත් මම කැඩපතින්
45c09cfb35	ප්‍රස්ථාර තේරුම් ගැනීම
45c1126c3a	අනික ලැබෙන හැම නිර්මාණයකටම
45c1226e07	මේ මන්ත්‍රීවරු ජනාධිපතිතුමාවත් නොසලකන
45c12f1335	හැමෝටම ජය වේවා
45c16c0c94	මේෂ රැකියා කටයුතුවල
45c17a4192	ඉස්සෙල්ල හොයල බලපන්
45c200452a	බූස්සෙදි හොද හැටියට වධ දුන්නා.
45c2814c04	ඔහු තමන්ගේ බුද්ධිය බාගත කරනවා සුපිරි පරිගණකයකට
45c2c7d71d	අනිවාර්යෙන් බලන්නම ඕන
45c3414242	පුද්ගල විමුක්තිය සඳහා ප්‍රධාන වශයෙන් බලපවත්වන සාධකයකි
45c4044406	ජාතිවාදය අවුස්සන්න හදනවා.
45c405c6ae	සීමාන්තික මතධාරී යුදෙවුවන්
45c4162f0f	ඉන්දියාව සහ ඇමරිකාව නිරන්තර සංවාදගත වීමකින්
45c452c208	එතකොට මේ පාර්ලිමේන්තුව වැඩක් නැහැ
45c494fb11	ඒත් මේ මනුස්සයව මරන්න කිසි කෙනෙක්ට
45c568b82f	ටිකක් කතා කරනවා තමයි
45c5a655cb	දක්වා ඇත.
45c6248c03	බ්ලොග් එකක් ලියන එක
45c636b372	රසාස්වාදය ඇතිවන වස්තූන්
45c68c966a	මේ ඡායාරූප ශිල්පියාට
45c7553ca6	අවධාරණය කළහ.
45c7ccd136	මුල් දිනයෙහි දුර ස්ථානයක තබන ලද
45c811b790	ඒත් මේ තීරණාත්මක අවස්ථාවේ
45c823bbd1	ප්‍රතික්‍ෂේප කරන ලදහ.
45c8563d4f	ගෙතිච්ච ලස්සන බයිස්කෝප් එකක් මේක
45c866286b	ගිනි අවිඑල්ල කරමින් වෙඩි තිබ්බා
45c89e74bf	ලිපි පෙළ කියවූ අයට නම්
45c8b53e92	ඒත් රෝස්
45c9339b63	ප්‍රමාණවත් නීති නැතුවාම නොවේ.
45c93ba660	1964 දී ගැසට් කර ඇති මේ පූජනීය ස්ථානය කෙරෙහි
45c956333e	සාමාන්‍යාධිකාරිවරයාට අද උදේ සූචි ගැසූ
45c9567516	අපේ පොඩි උන්නාසේත් එසේමය
45c9a84fae	කාන්තාවක් බව.
45c9adaa6b	මෙහෙම කිව්වා
45c9ca326e	අතීතියේ බුදුන් දවස
45ca00e244	discovery
45cbfe5c08	පිරිත් ගායනය තරම්
45cc1342a0	ඔවුන්ට ප්‍රශ්නයක් නොවන්නේ ඇයි?
45cc26f819	එහි තූර්යවාදන භාණ්ඩ යනුවෙන් සඳහන් කළේ
45cc3f89cb	ලොවේ සම්මත වී ඇත
45cc4e9fcc	අර්ජුන රණතුංග යෝජනා කළා
45cd24145e	අපි නොගෙන
45cd6df817	විමසා බැලීම
45cdcc5d2d	එසේ නොවන අවස්ථා ද
45ce1bcbfc	අන්තිමේ උනේ
45ce244993	ශ්‍රී ලංකාවේ දෙමළ ජනතාවට සෙතක්
45ce358766	තිබීම කණගාටුවට කරුණකි.
45ce4f0b1e	එය නතර කිරීමට කටයුතු කරන ලෙස
45ce5557b1	ඔය වැනි ප්‍රශ්න මගෙන් ඇසීමම
45cea89f1a	ඔන්න මුල්ම
45cebf3804	මේ දරිද්‍රතාවය සමග
45cf037192	අලුත බැදපු මොහු හා මොහුගේ බිරිද
45d09b2fd8	ඒත් ගමේ අහිංසක මිනිස්සු
45d18978f5	මම අපේ පන්සලේ නායක හාමුදුරුවන්ගෙන් ඇහුවා
45d1a4ec65	ඇයි අයියණ්ඩි හිතුවේ මම මොකක් හිතුවයි කියලද?
45d1ba40a3	මේ අන්දමට භාග්‍යවතුන් වහන්සේ
45d1d1d305	එය ලැබුණු පුද්ගලයන් පෙළෙඹෙති.
45d2f97ac2	අද කළ යුත්තේ
45d33f8a75	ධර්මයේ හැසිරෙනවා නම් එයාටත් හිනහා වෙනවා.
45d34847b9	එවිට ටිකෙන් ටික ඔබේ ජීවිතයත්
45d373d1a3	සුගතිගාමි වූ සේක.
45d3e6d347	එතකොට හැමෝම බලන්න
45d419e1b6	චිත්‍රපට ගායකයකු විදිහට මතුවෙන්නෙත්
45d455d0b4	අසාම් අමීන් බීබීසී කොළඹ වාර්තාකරු
45d45afd63	එම චිත්‍රපටයට රජය සිය විරෝධය පළ කරන බවත්
45d4c422bc	තවත් සබ් එකක් විදියට දාල
45d4f0e098	ද්‍රවිඩ පිරිස් ලංකාවට පැමිණ පදිංචි වී ඇත.
45d503ab47	රජයේ හෙද සේවා සංගමය,
45d5120ece	වෙරළෙ වැටිලා ඉන්න අර ලස්සන සිප්පි කටුව
45d513a1f4	කිවුල් දියේ තමයි විෂ එකතු වෙන්නේ.
45d567a698	කොහෙද යන්නේ මල්ලේ පොල්.
45d6b20aca	තරිඳු පෙරේරා සොහොයුරාට ස්තූතියි.
45d7948cf8	අපි කවුරුත් හැමදාම ඉන්න ඇවිල්ල නෑනෙ.
45d79f37bd	මේ තර්කවලින් මේ වල්බූරු නීතිය
45d7ddf507	කාලසටහනක් අනුව ඔවුන් ජීවත් වෙති
45d84affc0	යුශාන් සහෝ සිංහල උපසිරැසියට.
45d8559631	ඒක එහෙමයි කියමුකෝ
45d86b5b88	සාපේක්ෂව විවෘත භාවයක් එහි දකින්න පුළුවන්
45d8c9078e	එහි කුඩා අතු බෙදීම් නොසලකා හරිමින්
45d8fe6dd3	මේ කරුණු පහෙන්
45d908d840	ලංකාවේ පෞද්ගලික විශ්ව විද්‍යාල ඇති වුණාය
45d9740d2c	පින්වත් දරුව
45d980b48a	තිබ්බත් ඇත්තේ ඇනොනිමස් නමකින්
45d9c9a308	මුල් කාලයේදී ත්‍රිපිටකය මූලික කොට ගනිමින්
45dadbf7fa	බුදු පිළිමයක් හමුවූ පමණින්
45db11f05d	හැබැයි සමාන්‍යයෙන්
45db2d539a	එම පැහැය
45db2e74f1	බිය ක්‍රෝධය ඇති කරලා
45dc57a4ee	ප්‍රශ්නය පෙරහර තුළ අලි ඇතුන්ට හිමිවන්නේ සුවිශේෂී ස්ථානයක්.
45dc7287a1	කලකට පෙර කළ යුතුව තිබුණ දේවල්.
45dce60f0f	එයාට අන් අයගේ උපකාර
45dda94cd6	එකම වස්තුව විනාශ වු විට
45ddcbc799	ධර්ම දේශනාවක් කරන විට
45def41a14	ඇතිවන්නේ කනගාටුවකි.
45df904f59	ඒකට කමක් නෑ
45e07ee12d	එය ළඟා කරගත හැක්කේ
45e0a66486	දෙවෙනි එකටත් දෙනව නේද
45e0e41eb3	පිරිසුදු තැනහොත් පවිත්‍ර යන අර්ථය තමයි
45e1150762	මේ තරම් හයියෙන්
45e118a11b	බොහොම ස්තුතියි සිංහල උපසිරැස වෙනුවෙන්
45e1192663	මේක නිසා ප්‍රේක්ෂකයන්ට පොඩි අපහසුතාවයක් ඇතිවෙන්න
45e13d1569	එතකොට එයාට කියන්න පුලුවන්
45e143900f	සොයා බැලීමේදී
45e24c5322	හැකි වුණේ.
45e2849e40	නමුත් එබඳු ආකාරයකට
45e2c9591f	එනුවර ශාක්‍ය වංශික රජ කෙනෙක් හිටියා
45e2cce5da	චතුරාර්ය සත්‍ය නමින් හඳුන්වනවා.
45e2d6b386	නිර්මාණ ලබා ගන්න අවශ්‍ය නෑ කියලයි මා හිතන්නේ.
45e302aa74	එය දුක්ඛ නිරෝධය අරමුණු කර ගෙන
45e3512343	තනියම හිතුණ දේ
45e4063ec7	හඳුන්වන්නේ පුබ්බේ නිවාසානුස්සති ඤාණය නමින්.
45e4439208	රත්රන් එකතු කළ කතාව ඇත්ත ද?
45e456391e	අද දියුණු යැයි සලකන බටහිර රටවල පවා
45e4e1b2a6	හදාරන්නට නුවණින් විමසන්නට හිතෙනවා
45e540402e	ඉන්න හැටි ඔහුට උගන්වන්න.
45e57898b0	මට වැඩක් නැත.
45e643a490	අනිවාර්යෙන් ඒඩ්ස් එන්නේ නෑ.
45e65c0e1f	මේවා විමර්ශනය කිරිමේ දී
45e68a3c77	ඔබට ජය වේවා!
45e6ed8998	මගේ මිතුරෝ ද,
45e6eec8a1	වැඩිදුර කරුණු හෙළි කරනවා
45e6fb9d5c	මී වදයක් හදන්නේ
45e6fbd8aa	මහා මාර්ගයේ පිවිසුම් දොරටුවේ සිටම
45e702db36	බොහෝ ප්‍රවේශම් විය යුතුය.
45e725d31f	බුද්ධාගමය හෙළදිව මුල් බැස ගියේ ය.
45e7714c91	එය තම කටයුතු සාර්ථකව කාගේත්
45e80b9957	බිම හෙලා දැමීම හැර
45e8f78e59	දුක්නොවී ඉන්න අපිට සිදු‍වුණා.
45e924f691	හාමුදුරුවෝ උත්තර දුන්නලු
45e97cb295	අපිට වතුර ටිකක් වත් දෙන්නෑ.
45e99044e3	ඒ පොත කියෙව්වා කියන්නේ
45ea036076	මා මගේ නොඉපදුනු නිවුන් සහෝදරයා සෙව්වේ
45eac4173e	ලොකු වේදනාවක් ඇතිවෙනවා
45eb4a6ce9	හොඳ ලිපියක් කියෙව්වා.
45ebce2a9d	අපි මේ වචන දැනගෙන හිටියට
45ebe7aaff	මේ චිත්‍රපටය අනිවාර්යෙන්ම බලන්න
45ebee5f39	තරගකාරී කටයුතුවලින්
45ebeefa13	එවැනි බෞද්ධ වැඩසටහන් වලින්
45ed68f492	මංගල කරුණු 38 ටද
45ed77088c	සම්පූර්ණ වන්නේ නෑ.
45ed7d7dce	මිහිරි කෝකිල කූජනය පරයන
45ed7f90c7	සිංගප්පූරුවෙ අපේ ගෙදර අපේ පරිසරයේදී
45edf7851c	එකක් තමා පළමුවෙන්ම ප්‍රධාන චරිතයකට පණ ‍පොවන්න ලැබිම
45eef45e6b	sri lanka video
45efeabbea	මට සමාජීය කාරණාවන් නැත.
45f05cf65b	යන්න පිළිබඳව අපට අවබෝධයක් නැත.
45f090ca39	ලියාපදිංචි කර තිබිය යුතුය
45f0a814fc	පාවාරික අඹ වනයෙහි වැඩවසන සේක
45f0c4b97c	ඔලුවට අරන් වෙන්නැති
45f1671bbb	සහතිකයක් දෙන්න බැහැ.
45f2eb90c4	දේශනයෙන්ද ප්‍රතිපත්තියම ශ්‍රේෂ්ඨ බව වදාළහ.
45f35d6e9a	ඇය සංජයට ආදරය නොකළ බවද ඇය කියන්නීය
45f3764e52	වර්තමාන කතරගම යන නාමය සකස් වී ඇත.
45f3b7e14d	ලියා තබන ඓතිහාසික මහනුවර පුරවරය
45f3cb741e	මහා පිනක් කර ගන්නට මෙන්
45f3f46043	ඔබ වැනි
45f41d1012	අපි අපට කරන්න පුළුවන්
45f420f5a1	අනිත් මිනිස්සුන්ට ඇඟිල්ල දික් කරන්න කළින්
45f4b19b4b	ඉතින් මෙය නරඹා එහි ඇති අඩු පාඩු පෙන්වා දෙන්නේ නම්
45f4de9de1	බටහිර රටවල සම්මත ආසනික් මට්ටමටත්
45f54840c2	computer parts
45f5c4cd65	අප ලබාදෙන සිංහල උපසිරැසි ගොණුව
45f5d0e7fe	චතුරාර්ය සත්‍ය යනු කුමක්ද
45f5efdc65	ඒත් දැන් කාලේ නම්
45f616b95d	ගව මස් කන්නා
45f619f0ef	ඌ කවදාවත්ම
45f63d5b10	ආගමක් ඇත්තේ තිරිසනුන්ගේ ප්‍රයෝජනය නොව
45f64a9f20	අනික ඔය වනාන්තර මැද්දේ යන
45f6518025	විමාන කථා අසූපහක් සඳහන් වෙලා තිබෙනවා
45f6d5a622	low cost house plan
45f70696ac	එම මල් ගන්ධමාදන පර්වතයෙහි වැඩවෙසෙන
45f715ae32	ඉතින් මස් මාළු නැතුව කන්න
45f7320dca	මාඔයේ වක්කලමට පැන
45f78b9e4d	ඉතිහාසයට මෙම වසරේ මැයි 15 වන
45f7afe8d9	අමරසිංහ ගේ නිවස ළඟය.
45f8105bcb	මෙම රණ මොනරා රජුට ලබා දෙන්නෙකුට
45f823daa0	දහම් සරණ හා සඟ සරණ දඹදෙණි රාජධානි සමයේදීත්
45f8653f2f	දෙවැනි දවසේ බුදුපිළිමය බැලීමට පැමිණි පිරිස
45f87e5955	වැඩිපුර දකින්නට නොලැබෙන්නේ ඇයි?
45f94afa94	ඇත්තම ඉලංදාරියකුට නෙමෙයි.
45f96aa584	ඒත් පොඩි පානයකින් නැවතුනා
45f9843ccb	එතකොට මට දුන්න උත්තරය තමයි
45f9c2d2b7	හිත කිළිටි වෙනවා.
45fa4a7b05	මේවා හොද නැහැ.
45fa639d48	අනිවාර්යෙන්ම සැමියකුගේ ප්‍රාර්ථනාව බවට පත්වීම
45fa9313be	එකල්හී භාග්‍යවතුන් වහන්සේ ආයුෂ්මත් ආනන්දයන් වහන්සේ ඇමතූ සේක
45faa9ac48	අනිත් අප්සට් සිංදුව තමයි
45fb08ff67	පුද්ගලයන් හැටියට අටකුත් වෙනවා.
45fb64bbba	නමුත් අවසානයේ පක්ෂය
45fb6ddc5e	මෙම අසාර්ථක සංවර්ධන කටයුතු නතර කරමින්
45fbc28dde	අභිලේඛනයක් සොයා ගෙන ඇත.
45fbec6ca7	සායම් සඳහා ගිය මුදල පමණක් ලබා ගෙන ඇත.
45fc162500	ඒ ධර්මය මතක හිටිනවා.
45fc17e5fa	කාබනික බෝග තොපිට ගන්න බැරිද කියල
45fc1dc613	පාලි මහාවංශයේ මෙසේ සඳහන් කර තිබේ.
45fc653cac	අනවශ්‍ය ගමන් බිමන්
45fc6708a9	හොඳට සිිහියෙන් තබනවා.
45fc88adc3	ආයෝජන ප්‍රවර්ධන අමාත්‍යවරයා මෙම පනත ඉදිරිපත් කරන්නේ බදු සහන ලබාගන්න පමණයි.
45fd4081bc	දකුණේ රතිඤ්ඤා පත්තු කරයි
45fd456196	එය සිතුල්පව්ව මහා විහාරයේ
45fd4fa7dc	ඒ සඳහා මුහුණ දීමට සිදු වන්නේ
45fd841518	මුතු කුඩය යටින් ගෙන යයි.
45fda9b0a3	යම්කිසි රැකියාවක් කරන තැනැත්තා
45fdb0784d	පිරිමියෙකුටත් වඩා ප්‍රචණ්ඩකාරී වීමේ හැකියාව මට තියෙනවා
45fe01e173	ඇමරිකන් එම්බසි කුඩු කොරන්න යන්නෙත් නැහැ
45ff15f20b	මළුවට ඇතුලු වන භික්ෂූන්
45ffac3cc6	බමුණු දහමින් පීඩාවට පත්ව සිටි සමාජයේ බොහෝ දෙනා
45ffce098d	රෙදි නැතුව සුද්දට කඩේ ගිය හැටියට
