a600daa7a4	ගණන් නොගෙන ඉන්නවා
a6984fd333	මොකද මේවා තියෙන තැනක
a6988d555c	සද්ධර්මය දේශනා කිරීමෙන්
a698eea6dc	කවදාවත් මේ මැනීයි ජෝජොයි කියනදෙන්නව දන්නැහැලු.
a69906d5e2	අපූරු පසුබිම් සංගීතයක් තියෙනවා.
a69916300a	මුඩුක්කුවකින් දරුවෙකු රැගෙන එන ක්‍රීඩා පුහුණුකරුවෙක්
a699464efa	අනිත් පැත්තෙන් තවත් එකෙක්ට කියනවා
a699f704d6	මෙම ආශාව ඔවුන් තුළ පැන නැගුණේ
a69a795a1c	අපේක්ෂාවෙනි.
a69a83b421	කලන්දක ජාතකයේ දැක්වේ.
a69ab97a57	අමෙරිකානුවන් අතර ගැවසෙන්නට අවශ්‍ය වන
a69b146819	මෙම ගුණ දෙකෙහි පිහිටි පුද්ගලයාට
a69b17c212	ඉන්දීය නීතියට ගරු කිරීම
a69b396383	සත්‍ය දේ මිස ඇතැම් ජනතාවකට සත්‍ය
a69ba0abca	මිහිරි ශ්‍රී සද්ධර්මය දේශනා කරමින්
a69ba7af8c	ඒක මෙන්න මෙහෙම.
a69cad0dd7	චාරිකා සටහනක් කියවන්න
a69ceb3baa	දෙමාපියන්ගේ වගකීමකි.
a69d4cf19b	සිංහල පවුල් පදිංචි කරනවාට
a69dc1ab28	තියෙන ප්‍රශ්ණයක් නෙමෙයි.
a69e459b39	බියට පත් වූ කුරුල්ලා
a69e55a417	ඔය ආසාවල් වල අනුහසින්ම
a69e5811fc	ඊට කලින් ඒ දෙන්නා
a69e617848	ධාතුසේන රජ්ජුරුවෝ කරපු කලා වැවයි
a69e8d1abe	ප්‍රකට සිදුවීමකි.
a69effd841	ඊ මේල් නැන්දගේ හයිකුව නම් පට්ටයි.
a69f018d45	පේ වෙලා ඇවිදීමයි දෙකක්.
a69f51795d	උන්වහන්සේට භාවනා කිරීම පිණිස පමණයි.
a69f53218b	මොකෝ ඉන්දියාවට දෙන්න බැරි
a69fb88bdd	ස්කැන්ඩර් කීනස් එඩ්මන්ඩ් විදිහට
a6a00b1449	පිරිනැමීමට කටයුතු සලස්වන බව සඳහන් වේ.
a6a00eeb74	normal casual frock patterns
a6a06f3678	අත්අඩංගුවට ගැනීමේ බලය
a6a100a545	නුගේගොඩ දිසා විනිසුරු නාමල් බලල්ල මහතා නියම කෙළේය.
a6a103e72d	එදින ම උපසපන් වූ භික්‍ෂූන් දැකත් වැඳීම් ආදී
a6a11789a2	එහෙත් ඇතැම් විටෙක
a6a124efd6	එය සදාචාර සම්පන්න නැත
a6a16dab07	ඔබ මෙහි සඳහන් කල ආකාරයටම
a6a1eb1af1	හැබැයි තව තරුණයෙක්
a6a2e9ab0e	මෙම ගැටලු පිළිබඳ
a6a3c8e67d	මුළු සේසතම විනාශ වී යන නිසාය
a6a40f3256	tribes
a6a451a9ab	මෙම සැහැසි ක්‍රියා හමුවේ මුළු රටම කැළඹුණි.
a6a4527179	මෙම උතුම් ගාථාව
a6a48c88a5	මෙවැනි දේ ගියාම
a6a4b5c697	උත්සාහ කරනවා.
a6a518245f	එසේ කරනු ලබන්නේ
a6a52f6926	ආත්ම පරිත්‍යාග කිරීමේ පුවත්
a6a5c80299	මිනිස් ශිෂ්ටාචාරයක් නැහැ
a6a5f80d30	සපුමල් ගස්කඩ යනුවෙනි.
a6a5f9420b	අත්තම්මා ටෙලිනාට්‍යයට කලින්
a6a69da4a9	බොදු බල සේනාව පමණි.
a6a70449f7	නීති හය
a6a75220ef	සඳුගෙන් අටේ ශනි යයි නම් කේන්ද්‍රය
a6a768e625	මේ බලාගෙන ඉන්නේ කියලා මින් පැහැදිලියි.
a6a77279d8	හොඳ ප්‍රතිඵලයකට
a6a780dca2	තාත්තා බැලීමට රෝහලට ගියෙමි
a6a996a418	ගමන් කරයි.
a6a998eacd	එහෙම අය එදත් ජීවත් උනා
a6aa811090	එමෙන්ම කාමයෙහි වරදවා හැසිරීම ද
a6ab858933	අනේ නැහැ මගෙයි අතුල අයියගෙයි සම්බන්ධයට
a6ab9f9a9e	එයට හේතුව පාන් සෑදීමේ තාක්ෂණය
a6ac071472	මෙම පරිසරයේ අගය වැඩි කරවන
a6ac0fc6ca	සරුසාර වෙල් යාය මැද ස්ථානගත වෙලා තියෙන මේ අම්බලම
a6acad26fa	බ්‍රාහ්මණයෝ වූ කලී
a6ad877d47	එයින් පෝෂණය වූ එකල ලංකාව
a6adbcb72d	කාලතුවක්කු ප්‍රහාර නිතිපතා සිදුවන
a6adf4eafb	බුදුරජුන්ගේ උත්පත්තිය සිදුවුණේ ඉන්දියාවේ කියන
a6af2d8a2d	සාමාජික රටවල්ක් ඇතුළු රටවල් එකමුතුවකින්
a6af34303f	නමුත් කියන්න තියෙන වැදගත්ම කාරණය තමා
a6b0048d83	අශාන්ත භාවය දුරු කොට
a6b06dc918	උද්ඝෝෂණ ව්‍යාපාරයක්‌ ගෙන යාමටත් සැලසුම්කර තිබෙනවා
a6b07789a5	මවුපියන් විවාහයක් පිළිබඳ යෝජනා කරන්නට පටන් ගත්තා
a6b1012631	පිරිමියාට වැඳ නමස්කාර කරයි
a6b19f867a	ඔබට යහපතක්ම වේවා.!
a6b1ec536b	ඊට අමතරව එම ස්ථානයේ සිටි පොලිසියේ නිලධාරීන්
a6b24ec77a	ඉතිං ඒ කුඩා දෙපයට ලොකු සපත්තු දැම්ම
a6b314aa21	ක්‍රියාකාරකම් විචිත්‍ර ලෙස
a6b433280b	එම කැණීම් වලදි හමුවු
a6b47352e3	ලොක්කෙක් වෙන එකක් නෑ.
a6b4c57e31	සීමාව ඇතුළෙ දේවල් කරනවා.
a6b5a8ac3e	භාග්‍යවතුන් වහන්සේට මෙය සැළ කළහ
a6b604b77f	අද ජීවිතයේ සැනසුම් සුව විඳිති.
a6b6535476	කඩා වැටෙන්නේ නෑ.
a6b6818399	අපේ ජයග්‍රහණය පිළිබඳ
a6b6ad8b94	මල් පහන් ආදිය පුදා
a6b6d5c175	සිංදුවක් රස විදින්න පුළුවන්නම්
a6b6f54b0a	පිල් දෙක පරීක්‍ෂා කරන අයුරු
a6b7604314	රටේ පවතින නීතියට පිටින්
a6b85c44d3	එම සහාය අගය කරමින්
a6b88a8b99	සිංහ රැකියාවේ විශේෂ දියුණුවක් පෙන්නුම් නොකරයි.
a6b94fff61	පත්කර ගන්නෙත් පගාව දීලනෙ.
a6b97656e4	ඒත් පොඩි ප්‍රශ්නෙකට තියෙන්නෙ
a6b9f56716	එවිට එක සමාන ඉඩක
a6ba570b87	සැනසීම දැනුම
a6ba91d604	අපේ රටේ ඉන්න සම හැරකි කරන්නෙ
a6bab01ba3	ඔය වගේ දේකට සල්ලි හොයන්න
a6babff0a1	විශාලතම හා ප්‍රසිද්ධම මංගල්‍යය වන්නේ
a6bac00ed7	අපේ දක්සකම්
a6baf8cb85	එළකිරි එකක් දාලා තියෙන්නෙ.
a6bb10431b	භගවා ගුහාව, භගවාලෙන යන වෙනත් නම් වලින් ද
a6bb39d6f5	දෙවැනි නෑනේ මේක
a6bc7e6ef2	එහි නර්තනයට සහභාගි වන යුවතියන්
a6be08e21f	free sri lanka
a6be094801	අවුරුදු ගානකට පස්සෙත්
a6be64527b	හරිම වෙහෙසකර මොනොටොනික් වැලිතලාවක්
a6be6bd3d7	කවදාවත් උත්සාහ කළේ නැහැ
a6c03032bb	පොඩි කාලෙ ඉඳලම සිතාරයක් අතින් ගත්තු
a6c04c7060	දේශපාලනය කිරීම පිළිබඳ ගතානුගතික ප්‍රභූ තේරුම් ගැනීම්
a6c050b82a	මකරා විසින්
a6c058ce24	වැඩිම අපහාස කිරීමක් වෙන්නේ
a6c07f9926	එනම් බුදු, පසේබුදු, මහරහතන් වහන්සේ
a6c0b6448e	එතුමා ඇවිල්ලා අවිස්සාවේල්ල ආසනේ සංවිධායකකම ගත්තා
a6c0df3008	බොහෝ ආගම්වලට පටහැනියි.
a6c1301ee4	එයාලගෙ ලොකු මහත්තැන් කිවුවා
a6c1ab200a	පිලිතුරු මම දෙන්නම්.
a6c1bee449	සියලු වෙහෙර විහාර වනසා දැමූ ඔවුහු
a6c1f50c4b	එම ආයතන හරහා
a6c20ea768	නමුත් අවාසනාවක මහත
a6c22f026f	තොරතුරු හා දැනුම ලබාගැනීමට අමතරව
a6c25959a6	දේවල් විග්‍රහ කරන්න
a6c25c7274	අප්‍රමාණ ධනය විනාශ කරන ලදී.
a6c2777aa9	කීයක් උනත් කමක් නැහැ.
a6c2bf307c	කරන නිර්මාණ අනුව.
a6c2ccf58e	මේ නිසාම මිනිසුන් නොමිනිසුන් වී
a6c2d2d82a	ඌරෙක් ගත්ත ද
a6c3430251	ඉන්ද්‍රිය සංවරය ඇති කිරීම
a6c388771e	අසුභ භාවනාව කරන්න ඉස්සෙල්ල
a6c388b325	එතකොට වැඩිහිටි පිරිස්
a6c39e0ee0	දැන් මේ වෙනකොට දක්නට ලැබෙනවා.
a6c3a5f3b4	පුරෝගාමී කාර්යයක් කරන්නේ
a6c3d50e17	tamil films
a6c3f6b7f4	ආහාරයට ගැනීමට නො හැකි ය.
a6c4bb1076	ඔය වගේ ප්‍රශ්නයක් තමයි
a6c4c515b6	ඇයට සසර දුක් නැති කරන මඟ කියා දුන්හ.
a6c50269a4	මිනිසත් බව ලැබ සිටියද
a6c50edd7c	ආයේ ඔන්න සුපිරි එකක් දීලා.
a6c5be9173	ඔය එල්ල ගන්න කියන පින්තූරෙ
a6c5cbf424	ඉස්සරහට නේද?
a6c60f8979	උගේ ඔලුවේ තියෙන්නෙ ජරාවයි බහිශ්‍රාවීය අපද්‍රව්‍යයි
a6c6622217	එතකොට බුදුරජාණන් වහන්සේගේ ධර්ම දේශනාවේ එක ඉලක්කයක්
a6c6e01892	අනෙක් තාපසයන් දකී යන බියෙන්
a6c6e142bd	එමෙන්ම දැනට වසර එකහමාරක් තිස්සේ
a6c70d5c7d	ඔය තට්ට මසාජ් එක
a6c744bf93	නමුත් මතවාදයක් පෝෂණය වෙන්න
a6c77cc534	ඉස්සෙල්ලාම ඉස්කෝලෙ දවස ගතකරපු හැටි ගැන හිතුවා
a6c78fe93f	ජන කණ්ඩායමක් ගැන බව පේනවා.
a6c7901d1d	උසාවියේ නඩු භාණ්‌ඩ හැටියට
a6c7e73cf7	එමගින් ඉන්ද්‍රිය මාර්ගයෙන්
a6c8d6ef3c	එය ඉතාම අල්ප වූ දෙයක්.
a6c9126aa3	භාරගන්න තීරණය කරනවා
a6c9812dd1	සාක්කු සුද්ධ කරන්නෙ කියලා.
a6c992f301	අපේ තාත්තාගේ මූණ දිහා බලන්න
a6ca031959	ඉතාමත් බඩගින්නේ පෙළෙන දුගී මිනිසෙකු දුටුවා.
a6ca4f86a4	සැකකාරිය ලබනවැනිදා දක්වා
a6ca52e1f1	ඉච්ච්චාහංගත්වයට පත්වෙච්ච
a6ca6c426a	නැවත නැවතත් සිතා බැලිය යුතුව
a6cb0959f5	නමුත් මෙය ඔහුට පහසුවෙන්
a6cc171b89	කියන පුද්ගලයා හීනයක් තුලින් පැමින
a6cc22e63d	ඒ මතකය අලුත් කරයි.
a6cc3eb288	භාග්‍යවතුන් වහන්සේ යම් තැනක වැඩසිටි සේක් ද
a6cc6f7867	හැටියට මම දකින්නේ නෑ.
a6cc71a0e1	කිහිප දෙනකු බොරු චෝදනා කළා.
a6cc977acb	ඔය කලුපාට
a6cca9bed0	ශ්‍රී ලංකාවේ ජනතාව අතර
a6ccb7e015	අපි මේ ගමන යන අතරේ
a6ccf40c5a	ආදිය තුළින් දෙවියන් හා එක්වීම
a6cd02d6a9	අපේ රටට කෙලවෙලා තියෙන්නේ.
a6ce4df6a6	මේක අල්ලන්න ඕන කියලා.
a6cf8153f4	අන්‍ති‍ම‍ට ‍මු‍රණ්‍ඩු‍ක‍ම ‍පැත්‍ත‍ක‍ට ‍දා‍ලා
a6d080f309	ඇඳිය යුතුය.
a6d09c6f8d	අපිටත් කියලා දෙන්න
a6d0b0ee9b	අනික මේ කියන කතාවල පොඩි හරි
a6d1018d9a	ආත්මීය ලෙසින් පවා දියුණු ජාතියක් බවට පත් වෙලා
a6d121b995	අඩුම තරමින් ඉන්දියාවට යනවාවත්
a6d1815d2a	ෆිල්ම් එක නම් මැක්සා.
a6d1f51f44	එම මැර පිරිස වාහනවල නැගී ලුහුබැන්දහ
a6d2006395	විජය රජු විවාහ කරගැනීමෙන් පසුව
a6d2195006	දොළොස් වියැති පුතු දියණිය සහ බිරිද
a6d285aa36	සාධුකාර දුන්හ.
a6d299e5b0	පින්කම් දහයක් පිළිබඳ
a6d300558a	එම කේන්තිය නිසා
a6d313bbf5	රටවල් ඉදිරියට පැමිණ තිබෙනවා
a6d3311576	අනං මනං ප්‍රශ්ණ සේරටම ඉතිං චිත්‍රපටිය බලන්න වෙනවා
a6d3d1ff3c	සමය තුලයි ඔහු සංගීත කලා දී
a6d3d6903e	දෙවන බිරිඳ සැන්ඩ්‍රා
a6d425832b	එම මහානිකායේ ඉතිහාසයද
a6d49f0a87	ඒවා ටිකක් කඩාගෙන
a6d4e53829	කුසලයට නැඹුරු කරගන්නා සිත
a6d4ead082	එයින් දැක්වුනේ
a6d4ed295e	තම රැකියා කටයුතු අතපසුවීමේ
a6d55a611e	අලූත් දෙයක් වෙනස් එකක් වෙනත් ක්‍රමයක්
a6d5b05de5	ඉතින් මෙයා මේ විදියට තවත් කට්ටියක් එක්ක එකතු වෙලා
a6d5cc8b1c	මෙන්න මෙතනයි.
a6d6267b7c	හැබැයි හොඳ වෙලාවට
a6d644335a	අඳුරට ඉඩදී
a6d6453a1d	එමඟින් දඹදිව ජය ශ්‍රී මහා බෝධීන් වහන්සේගේ
a6d76ccff8	රෝමයේ වහලෙක් විදිහට ඇති දැඩි වෙලා
a6d7fb1a5b	යුද්ධයෙන් ජය ලැබූ රජතුමා
a6d80e27f9	අලුත්ම කෙනෙක් විදියට
a6d8c94fe9	දැරිය යුතු ය.
a6d960c4f4	බුදුරජාණන් වහන්සේ දන්නවා ඇති.
a6d9cf335f	මජ්ඣිම නිකාය කියවීමෙන්
a6da5d624d	ලංකාදීප චිරාත් කාලයක් යෙහෙන් වැජඹෙන්නේ
a6da6dd4db	මෙම වෙබ් අඩවිය කොතරම්
a6daff04d0	එහෙත් අජිත්ට ගහන්න කළින්
a6db0fdec4	ඊට පස්සේ කැරල් දෙවියන්ගෙන් ඉල්ලනවා
a6dbf3db9f	කුසපුරා කිසිදිනක ආහාර නොලැබුවේ ය
a6dc8036c2	කියලයි ඔවුන් කියන්නේ
a6ddc28a68	ස්වභාවයයි.
a6ddfb8451	සියවස් ගණනක් තිස්සේ ක්‍රියාත්මක කෙරුන
a6de040250	අවබෝධ වෙනවා.
a6de3f65ac	අලි මිනිස් ගැටුම් වැළැක්වීම සඳහා
a6de75e4b3	ඔන්න මම වෙනි කොටසත්
a6de9fd3b9	හැමදාම එක වගේ ඉන්න
a6deecafbc	බලා සිටින ක්‍රීඩක පිරිසක් ලෙසිනි.
a6df972c3d	දේශපාලුවන් ඉන්න අපේ රටක
a6e00ed9e7	කියල එයාට සැකයි.
a6e057850b	ලාභ ප්‍රයෝජන නො තකා
a6e0964612	කිසියම් සංස්කෘතියක් ඇතුලේ.
a6e0e6f3a6	පූර්ණ අධ්‍යයනයක් කිරීමට යෝජනා කරනවා
a6e1ec748d	කමෙන්ට් දාන්න නිදහස නැති බව
a6e22627bf	ඒක නොකරනවානම්
a6e2415db6	ධර්ම දානය ප්‍රදානය කිරීමෙන්
a6e27d1d17	මේ ඔක්කොම කනපිට හැරෙන්නේ
a6e3129b81	කමෙන්ට් එකකින් දාලා යන්න
a6e34be08a	වන්දි ගෙවන්න වෙන එක.
a6e4124ff5	තාත්තා ගෙන් ඉගෙනගත්තු ඒවායේ තියන
a6e420ddaf	විද්‍යාගාරයෙන් එලියට දමයි.
a6e4a941ce	ඔන්න දැන් කට්ටිය වන්දනාවෙ යනව
a6e4c7cf2b	එදා ආණ්ඩුව ජයග්‍රහණය කිරීම
a6e4dc206d	සේමගේට ආරාධනා රැසක් ලැබිණි.
a6e5a7f4e3	මේක දුන්නට
a6e5d1131f	හැබැයි පරිසරය ගැන ලියනකොට ඇහුවෙ නැහැ
a6e623b3b6	හසන්තගේ තීරණය මොකක්ද කියලා
a6e70e44f0	ඉස්සරහ එකාගෙ තොප්පිය නිල්
a6e718aa3a	එබැවින් ම මත් සංස්කෘතිය
a6e76afbae	මෙතන ඇවිල්ලා
a6e7957fd5	මෙකී ගීතයට ඔහු නම් දී තිබුණේ වංකගිරියට පිටත් වීම ලෙසිනි.
a6e7d0fe62	මටනම් පේන්නේ!
a6e8134f3e	කළුද සුදුද කියාවත්
a6e8668821	නන්ද කුමාරයා හිතුවේ
a6e883b7c3	බෞද්ධ විහාරස්ථානයක සියලු අංග
a6e8b16e9d	එක්තරා සොඳුරු යුගයක් ලොව උදාවුණා.
a6e95de336	එයට නියම ආකාරයෙන් මුහුණදීම
a6ea0460a5	මොහු ගාල්ල ප්‍රදේශයේ වැඩකරන කාලයේ මොහු කරපු සේවය අගයලා
a6eacdf8b9	ඔහුව බේරගන්න
a6eb0ca67a	පංචශීලය සමාදන්ව මල් පහන් පිදිය යුතුය
a6eb144342	ලෝකයේ ඇති චෛත්‍ය අතර
a6eb3c3ff7	මෙම විහාරස්ථානයට අභිනවයෙන් ඉදිකළ
a6ebab3d46	අබා ප්‍රදේශයේ රතු මුහුදට මායිම්ව පිහිටි
a6ebc8cc4d	ඒත් බාජස් කෙල්ලගේ
a6ebe347bd	මෙම විශාල පිඹුරා කඹයකින්
a6ebf0bf36	ඉන් අනතුරුව ජනාධිපති හා සෙසු මැති ඇමැතිවරු
a6ebfa59eb	පා ගමනකින් අරලියගහ මන්දරය අසල
a6ec1cb673	පුද්ගලයාට බලපාන සිදුවීම් අතර
a6ec3e27df	වචන වලින් යමක් නිරූපණය කිරීමද?
a6ec676fb5	බලෙන් පැහැර ගැනීමක් නොවේද?
a6ec9bf3d0	ඒ ගෙදර තියෙන බඩුමුට්ටු කිහිපයක් විකුණන්න දාලා තියෙනවා
a6ecaea8f6	ඉමිග්‍රේශන් එකට ආව කියමුකො.
a6edcb98a4	ඊට පස්සෙ ඒ පැයේ දර්ශනය අරගෙන ගිහින්
a6ee01577f	තියෙන ලොකුම ප්‍රශ්නය.
a6ee3298ff	අපේ ඉදිරි දවසක තියෙන ප්‍රෝග්‍රෑම් එකකට
a6ee3665de	තුවාල සහිත බව ද සඳහන් වෙයි
a6ee984a67	උත්තරීතර මනුෂ්‍ය රූපයක් ආකාරයකින්
a6eea78fed	දෙන්න බලාපොරොත්තු වෙනවා.
a6eede03ee	ඔබ වහන්සේ .අපට කලණ මිතුරෙකු වූයේ
a6ef05ee0c	මේක නිර්මාණයක්
a6ef2b8207	එසේ විවිධත්ව යටතේ ඉපදීමට හේතුව
a6ef66e714	ඒත් රෝහන්
a6ef6dc1aa	හරියාකාර අවබෝධයක් මහජනයාට
a6effd1fa0	ඔබ දිනකට පස් පව් පහේම
a6f0c74717	පැවිදි ජීවිතය
a6f0eb12d3	පිපිරෙන්න ඉඩ තිබෙනවා.
a6f16c081e	ඔය ගෝව මල් වලින් හදන
a6f18b4dff	අපේ රාජකාරිය ඉටුවුණා කියල හිතෙනවා.
a6f1b76b85	එබැවින් ස්වාමි පුරුෂයා
a6f1b7b5aa	ඔය බිසවගේ
a6f1ce1f29	අපි බත් කන්න ගන්න
a6f1f95a6f	එය ආගමික උත්සවයක් බවට පත් විය.
a6f21bd522	බුදුදහම නැවත
a6f241802b	මෙය ආශිර්වාදාත්මක දේශනාවක් ලෙස භාවිත වේ.
a6f2e0f570	ඒක තමා අපේ ගතිය
a6f35f0c95	පුද්ගලයෙකුගේ චාම්බව තුළින්
a6f36cd8c9	ගඟ හරහා යන්න පාලමක් හදලා දෙන්න
a6f396db11	ඔබත් සුනාමියට මුහුණ දීපු කෙනෙක් නම්
a6f39b518b	එතකොට ආහාර නොලැබෙන භයානක සතෙක් මිය යනවා
a6f3dd4f5c	මොකක්ද කියල දන්න කෙනෙක්
a6f4009fd2	ඒත් බලාගෙන යනකොට
a6f40bd205	මිනිසාගේ අපරිමිත ආශාවන් නිසා
a6f41dab35	අනෙක් අතට ඇනාට යටි සිතින්
a6f45d57a0	යට ලී පරාළ නොමැති මෙම වහල
a6f48f6b6a	මගෙත් හොඳම කාලෙ.
a6f4aa0c94	පාට වර්ග සහ පින්සලය
a6f4be4c75	අප්‍රමාදීව බණ භාවනා කරන අය
a6f6435d9e	අපේ පළාත් සභා විපක්ෂ නායකවරුන්
a6f65dab80	හිතන්න දවස් කීයක් වෙන්කරන්න වෙයිද
a6f6f0f3fc	උද්‍යානයට දකුණින් පිහිටා ඇති තබ්බෝව වැවේදීය.
a6f7c9e73f	ගණින්නාන්සේලා කියන හින්දා නෙවෙයි.
a6f7eec542	එය රූපකාම, ශබ්දකාම, ගන්ධකාම,
a6f8d4a045	ඒත් ඉතින් රින්ග් වෙද්දි
a6f9181b61	මේ මිනිස්සුන්ගේ ඇගෙන්ම එන එකක්
a6f975ce32	ඇනෝ බ්ලොක් කරන් ඉන්නෙ
a6f9b52da6	සිංහලයාගේ ආර්ථිකය ගොඩ නැගිය හක්කේ
a6f9ef1683	ඒ ගොල්ලන්ගේ නායකයන්දෙනෙකුට එන්න කියලා
a6fa53da02	මේ තරම් සියුමැලි ද කළු ගල්
a6fa76dbb2	බිදක් සටහන් කරමි
a6fa8be082	ඊට දින කිහිපයකට පසු
a6fb37d663	ඒ හැම පොතකටම අපි කැමැතියි
a6fb5fa888	මේ දිනවල වෙහෙසෙන්නෙ.
a6fcb32641	සියවෙනි වතාවටත් වැඩි දැන්
a6fce25f38	දේවානම්පිය පි්‍රයදර්ශීන් වමම් ආහ.
a6fd01493a	මොකද ඉස්සර කාලෙ තිබුන
a6fd18914b	පසුගියදා බණ්ඩාරගම ප්‍රාදේශීය ලේකම් කාර්යාලයේදී
a6fd43be24	මරු මරු ඔන්න මමත් බාන්න දැම්මා.
a6fd4aee08	සැලැස්වීම තුළින් බහුශ්‍රැත මනස්ගාත විකාර
a6fddee3ee	අපි අපේ පොත් රාක්ක වල
a6fe23cd43	අවදිවන්න
a6fe2b45e3	හොල්මන කාගේද
a6fe6d3b2a	එහි එන අතරමග
a6ffbb67c3	එකිනෙකා පරයන තරගයක වෙලී, පැටලී
a6ffd3d628	ලුම්පිතයන්ට හා දරුවන්ට එවැනි ධෛර්යයක් ලැබෙන්ට බැරි ද?
