bd0066e247	මෙයින් පසුවයි.
bd835c30e8	වසර දෙකක පුහුණුවක් ලබා ගැනීම.
bd8389d230	ඒ දිනවල ගණන් ගත්තේ නැහැ.
bd838ee328	නමුත් ඔහුගේ සිතට එන්නේ
bd83a27f0a	ස්ත්‍රිය අප දකින ආකාරයට
bd841dc6ec	තනි කොස් කොටන් වලින්.
bd841edc96	fiver
bd84382240	පසු නැවැත ඉපදීමක් නැති බවයි.
bd84437f46	උදේවේගකාරී එකක් වේවි
bd8456f450	මගේ පරණ කතාවක් ඔබට මතක ඇතැයි සිත‍මි
bd84afbb60	මහා බ්‍රහ්මයා විසින් නිර්මාණය කර ඇත.
bd853f720a	අනික් අතට පරණවිතාන මහත්තයා
bd855020b1	මුහුණපාන බරපතල ප්‍රශ්නය නම්
bd85825ebe	අර ජිප්සීස් සින්දුවේ තියෙන අවවාදයමයි.
bd85b5654e	ඔබ දැන් ජීවත් වන්නේ
bd86220f57	කටුනායක නිදහස් වෙළෙඳ කළාපයට පැමිණ තිබේ
bd86336ba9	ඒ බැම්මෙන් නිදහස් උන ගමන්
bd86f7a32c	ශබ්ද රසයට විශේෂ තැනක් හිමිවේ.
bd870906c6	ඇල්කොහොල් ශරීර ගත වීම නිසා
bd8753d766	ජවිපෙ ගැන තියෙන නිසා
bd88c67861	එය නූතන මනෝවිද්‍යාවේ ඉගැන්වෙන
bd89130e61	ඔබතුමියට කැමැති ඕනෑම දේශපාලන මෙහවරක් කිරීමට
bd8930bda5	අනතුරින් තුවාල ලැබූ කට අධික පිරිසක්
bd89366515	මිනිස්සු අවුරුදු බිලියන ගණනකට කලින්
bd89616be3	අතිශය රළු සේම
bd896e7aec	එය ශරීරයේ සෑම රෝම කූපයක් පාසා
bd8a726824	ඒත් ලක්ෂ්මන්
bd8ac0ddc1	රෝගියා ජීවිතයේ දුක්ඛ ස්වභාවයද
bd8ade6ca4	වන්දනාවකි.
bd8bf1ff13	එවිට ඔබට යා යුතු දුරට යන්න
bd8d46146f	yahoo.mail
bd8da38133	බොහොම ඉහළ රසවින්දනයක් තිබෙන උදවිය
bd8e120242	ඇතුළු වෙන අයත් වැඩි හරියක් එන්නේ විවාහ ගිවිසගෙන නැත්නම් විවාහ වෙලා
bd8e22f20b	මෙයින් වැඩෙන්නේ කුසල පක්‍ෂය නොව අකුසල පක්‍ෂයයි.
bd8ead97dd	එහි සිටින අලි පැටවාගේ කකුල
bd8f29c8be	බුදු දහම අනුව
bd8ff527e4	කායික හා මානසික වෙනස්කම් තිබුණද
bd8ffc087d	වරද්දාගත් ස්ථානයක් වන්නේ
bd9007f5a7	ඒ පිළිබඳව කටයුතු කරන්නේද යන්න
bd90192ce6	මේ සියලු කරුණු හමුවේ පැහැදිලි වන්නේ
bd90998e90	බෝධිසත්ව සංකල්පය නිර්මාණය කොට ඇත්තේ ද
bd90c38a08	වැඩිපුර දන්න කට්ටියයි ඉන්දියන් වාහන පාවිච්චි කරන කට්ටියයි
bd9196cf88	මෝරා මුහුදු පතුලේ සිට පැමිණියේය.
bd92762514	ශ්‍රී ලංකා උප නායක ඇන්ජලෝ මැතිව්ස්
bd92a81c5f	මෙම වෙළෙදාම පුද්ගලයාගේ හා සමාජයේ පරිහානිය
bd93765419	එනිසාම අස්වත්, වෘක්ෂය බෝධි නාමයෙන්
bd9380d577	ග්‍රේසන් අයිති කරගන්න බැරිවුන නිසා
bd9396dc12	ආමිස දාන පරදවාගෙන
bd944a9ab1	තක්සේරු කර ගත හැකි වන්නේ
bd94642606	හිටපු ඇමැතිතුමා මාරු කළේ
bd96020c09	බෞද්ධයකුව උපන් ඔබ අතිශය පුණ්‍යවන්තයි.
bd963d6701	අඩු වැඩි වශයෙන් පවතින්නකි.
bd9655439a	එයා තමයි මහ රැ මිදුලේ ඉදන්
bd971c01b3	එම අවස්ථාවේදී සෞඛ්‍ය සේවකයන් පිරිසක්
bd971fc692	මල් පහන් පූජා කරලා
bd97373d0e	ඉතිං දිනිඳු මේ කඩඉම වෙනුවෙන් නලින් මල්ලිගෙන් උණුසුම් සුභ පැතුම්
bd9780f8ee	ධර්මය තුළට බැසගන්නවා කියන අර්ථය
bd9896b154	එහෙම ඕන නම්
bd98cefebd	කෙනෙක් සතුරුකම් කරලා නැතිවෙනවා නොව
bd992cfede	buy cheap cigarettes in usa
bd99394225	යන්න බැරි වෙන්න
bd99a506a4	සතර අපායෙන් මිදෙන්න බෑ.
bd9a968954	සැකකාර දෙවැනි සැමියා වන
bd9b015cfa	හැමෝම තේරුම් ගන්නවා නම්.
bd9b02c348	art work
bd9bf3dd73	සමාජ දේශපාලන බලවේග
bd9c156cc2	ප්‍රීතිය හා සොම්නස වන්නේ
bd9c61af69	මෙම ගමනේ අපූර්වත්වය, සුන්දරත්වය දැකිය හැක්කේ
bd9d0409d1	එහි වැඩිම සහ මුල්ම ගෞරවය
bd9d664347	ඔයාලා චිත්‍රපටය අනිවාර්යයෙන්ම බලන බව
bd9d9ae8fd	මුදල් ලාභ ලැබෙන බව පෙනී යයි.
bd9dac6c89	සහෘද සටහන්වලදී සමහර විට අඩු වෙන්න පුළුවන්.
bd9db7934d	මේක මගේ ෂෝක් මටම ෂෝක්ද?
bd9dbb5dee	ස්තුතියි දිදුල
bd9e10555b	සුපුරුදු ලෙසම මේ පරීක්ෂණයට
bd9e7ab3d2	විවිධ මත ප්‍රකාශ කරනවා.
bd9e92e728	වාර්තා වෙයි
bd9fc42607	බෞද්ධ ශාසනික සම්ප්‍රදාය බිහිකිරීමට කැපවූහ
bd9fec75ef	යම් දෙයක් ගැන විශ්වාසයක් ඇති වෙන්නේ
bda02a8390	"සැමුවෙල් බෙකට්ගේ ""ගොඩෝ එනකං"""
bda057a446	උන්දලාගේ ළමයින්ටයි මෙහෙතියෙනවා
bda076c1a5	සියළු යහපත් සිතුම් පැතුම්
bda0beed6f	සත්‍යය තියනවා.
bda0ee776f	මෙම පිළිගැනීමට පදනම් වන්නේ ශ්‍රද්ධාව හෙවත් විශ්වාසයයි.
bda13fe5bb	මෙයින් වැටහෙනු ඇත
bda1411600	ජනතාව අලුයම් කාලයේ
bda15ab593	ඒකක නිපාතයේ ඇති විශේෂ කරුණක් නම්
bda15e4a4a	ගුණාත්මක වටිනාකම ලැබෙන්නේ.
bda1c78a66	ඔබ දැන් මේ පාසෙලට ගියානම්
bda1d8a436	බුද්ධාගම ගැන වැඩිය දන්නේ නැහැ.
bda28e2c78	ඔබට පුළුවන් විය යුතුයි.
bda42ac7a8	එමෙන්ම ඊට ප්‍රතිවිරුද්ධ වූ දුර්භාෂිත වූ,
bda47ef7ba	සිදුවීම් අභව්‍ය යැයි අපට නොදැනේ
bda4aa4f9c	තේරවිලි හෝ කතන්දර
bda53cdb6f	මට කීපදෙනෙක්ම සහයෝගය දුන්නා.
bda5584680	බෝධි පූජා පිළිබද සෑහෙන විස්තරයක්
bda5a9413b	අප රටේ ප්‍රජාතන්ත්‍රවාදය ආරක්‌ෂා කරන්න නම්
bda5be36b0	ඒ ජනතාව නැවත පදිංචි කරවීමේ කටයුතු ආරම්භ කළා.
bda5da1785	අසූ හාරදහසක් ධර්මස්කන්ධය ත්‍රිපිටකය නම් විය
bda68c3b84	ස්ත්‍රී පුරුෂ ආකර්ෂණය
bda69757af	ඔයාල දැනගන්න කැමති නම්
bda854c226	පිවිතුරු දිවියක විශේෂ ගුණය දෙස බලන්න.
bda8e31231	වැඩක් නෑ කියයි.
bda96bac46	අස්සයා ගිහිල්ල.
bda9b13182	ඉදි කර දීමේ වැඩ පිළිවෙලක්
bdaa473f70	මේ අනුව බලන කල
bdaa61326e	මෙය තහනම් කලේ
bdaab9c4aa	එවිට ලෝකයේ වරායවල් අතර
bdab6df6a0	අපේ යක්ෂයාගේ පඩිපෙල චාරිකාවෙන්.
bdac4938d8	බලන්නද බං යන්නෙ?
bdad39114a	එන විදියට වෙන් වෙන්ව තමයි ලියන්නේ.
bdad454dee	බුදුරජාණන් වහන්සේ එළිපත වෙතට වැඩමවා නතර වූහ.
bdad901a63	ඔය වගේ සරලව හිතීමෙන්
bdad951ccf	ඊට පස්සෙ සත්සිරි පත්තරේ
bdade5d478	ඒත් අන්තිමට මට වුණේ
bdaf1dce33	ජනතා විමුක්ති පෙරමුණ සතු සුවිශේෂ ගුණාංගයන්
bdafc8d736	ඔහු පිළිවදන් දුන් අයුරු
bdb04e0cd1	අපේ ගෙදරත්
bdb0b6670d	කාන්තා චරිත ත්‍රිත්වයක් වටා
bdb1518087	අපේ තාත්තාගේ බලපෑම තිබුණා.
bdb152600b	එම අරමුණු ඉටු වන්නේ ය.
bdb162aaba	ගැරඬි කියන්නෙ
bdb1af352b	උදාකර ගත හැකි වෙනවා.
bdb1db8c29	ජනතාව සමග සිටින ලෙසයි
bdb1e76bd7	රූප උපාදාන ස්කන්ධය
bdb1fa0c5b	අපේ සහයෝගය ඔබට ලැබෙයි.
bdb256a91b	ආයුෂ්මත් ආනන්දයන් වහන්සේ
bdb28d4dde	මා හිතන්නේ.
bdb2d17aa7	තුෂාර තෙන්නකෝන් අධ්‍යක්ෂණය කර
bdb347f097	සුවඳවත් ද්‍රව්‍ය හා නොයෙක් සුවඳ ලබා ගන්නා
bdb35f1993	වැරදි නැහැ.
bdb394392a	අමුසොහොනෙදි ඒ මරණයට පත්වෙච්ච
bdb3a09496	මාගේ් කැමැත්ත පරිදි
bdb3b7e3ed	ටිකක් සංවේදී මහත්තයෙක්
bdb40fc101	පෞද්ගලික ගනුදෙනුවක්
bdb427cf26	එහෙත් අදාළ ආයතනයේ අධීක්ෂණය යටතේ
bdb481193e	මීට අමතරව, ධ්‍යාන උපදවා ගැනීමටත්
bdb49e1246	පිරිත් මණ්ඩප වල දැකිය හැකිය
bdb503cf0a	දරුවෝ ටිකක් තමයි
bdb581faa3	සෙත්කවි කරන ලද අවස්ථා මා දැක ඇත.
bdb5fc50f8	ජනමාධ්‍ය හරහා ජනතාව අතරට
bdb72d3821	අපට මානව හිමිකම් කියාදෙන්නට ආ
bdb766bab8	බස් රථ හැට අටක් තිබුණා.
bdb839c948	මොකද එහෙම වුණොත්
bdb96bccb2	අපේ ඉඩමට වත්ත කියනවා.
bdb9dc516b	මුං කවදාවත් විවේචන පිළිගත්ත ජාතියක් නෙවි.
bdba010c80	ගජ මිතුරන්ව වාසය කරති.
bdba03d173	තම දරුවන් සමඟ සතුටුවීමට
bdba089476	මීලඟට විපක්‍ෂනායක
bdba4fc02d	ඉන් පසු රාජ්‍යයට පත්වැනි මිහිඳු රජු
bdbb0dd100	අප්‍රසිද්ධ අය ප්‍රසිද්ධ වෙන්නත් කතා කියනවා.
bdbb4bf87a	අතිශයින් තාර්කික ද්‍රව්‍යමය භාවිතයකි.
bdbb611a45	පුටු දෙකක්‌ තිබුණා.
bdbbf2e59e	යම් යම් මුදල් ලාභ හිමිවේ.
bdbbfb62ff	මටනම් හිතෙන්නෙ.
bdbc0ef545	පොතපත පාඩම් කරන විට
bdbc2b3ee3	අප අදහස් කලා.
bdbc3f9e8e	මුල් පෙලේ ජාත්‍යන්තර මාධ්‍ය වේදීන් ගණනාවක්
bdbcb021cc	හරි එහෙනම්
bdbdd7745c	escape games for kids
bdbe49e702	එයාට මාව ඕන නිසා
bdbebeb30f	තමන්ට පුළුවන් තරමෙන්
bdbed37823	ඔයාලට බොහොම ස්තූතියි
bdbf3f884b	ඔය . . .ස්පිකර්වල . ගැන.
bdbf51de46	මෛත්‍රී කරුණාව සහිත කුසල් සිත්
bdbf6118e8	ada derana sinhala
bdbf91c1d5	ඊට පස්සේ පැනලා යන්න පුළුවන්
bdbff195b1	අද වන විට
bdc0196fb4	මේ තත්වය අප අධ්‍යාපනයේ වෙනසක් ඇති කිරීම සඳහා
bdc1135110	ඇල්ම රහිත වූ සිත මට මහ සතුටක් උපදවා දෙනවා
bdc113e953	උබට ඔය සේරම දේවල් හිතෙන්නේ
bdc177bba1	කෙතරම් විචිත්‍රවත්ව අසූවන වියේ සිය සිරුරේ තත්ත්වය නිරූපණය කර තිබේද?
bdc17f40cd	මේ සඳහා යොදා ගන්නේ
bdc19cb99c	පට්ට එකක් වෙන්නැති
bdc1d461da	පුරුෂයකුට උරුම වන ධනයෙන් භාගයක් පමණි .
bdc2609099	මේවා ගැන වගේ වගක් නැත.
bdc275562d	මේ අය අපාගත වන
bdc2917544	කථා රසයෙන් ලස්සනට ඉදිරිපත් කරලා තියෙනවා
bdc3b81dab	එත් ඔච්චර නිවට වෙන්නේ නැ.
bdc3da865f	පළාත් පාලන ආයතන වලට එරෙහිව
bdc3deced1	එන එන මහේශාක්‍යය දෙවිවරුන්ට
bdc3dfb493	කැලණි සිතුවමින් සිදුවන බව
bdc46e93a3	එහෙම නම් ඔහු ජීවත් වෙලා ඉන්න කාලේ
bdc4bd0022	චෝදනාවක් කිරීමටද නොහැකි වෙනවා.
bdc590b26d	ස්තුතියි සහෝ ලිපිනය මෙය දැන්වීමක්
bdc5aa9957	කියන ස්ථාවරයේ මම ඉන්නවා.
bdc6b4bb45	මහණෙනි,
bdc758fd4a	ගැළපෙනවා කියන්නේ
bdc7dc7191	සොහොයුරාගේ කර මත නැගුණු
bdc83c00fb	උඹ බුද්ධාගමට ගැරහුවත්
bdc86d2461	එතකොට නාථ දෙයියො ඇවිල්ලා කිවුවෙ
bdc9406f95	මෙසේ දිවි පවත්වන්නෙම්
bdca21b81e	මොක උනත් සහෝගේ උත්සහය
bdca4a766d	එතකොට මම ඔවුන්ගේ
bdca6748e2	ලෝකයේ බොහෝ භාෂාවන්ට පරිවර්තනය වී තිබේ.
bdca8d40f5	මේ පැතිවල ව්‍යාප්ත වෙමින් තියනවා.
bdcb9e181c	අලුයම ලූ කෙළ පිඩක් සේ
bdcc516535	ඔබට මෙවැනි අද්භූත සිතුවිලි
bdcc5e6c04	සමාජ සාමාජිකයන් සමඟ
bdcc6c5874	දරුණු පිළිකා රෝගීන්
bdccc2aaee	නියම මාර්ගය මෙසේ පැහැදිලි කර දුන් සේක.
bdccd391c8	සිංහල ජන සංගීතය කෙරෙහි
bdccfffadc	උතුරු මැද පළාතේ කෘෂිකාර්මාන්තය සිදු කරන
bdcd95c8bf	දෙවැනි වරටත් තුන්වැනි වරටත් අගමැතිවරයාට මෙම දැනුම් දීම කළද
bdceda129e	ඒත් භාග්‍යාව
bdcf125f9c	පසුබිමකදී සිදුවන්නේ
bdcf2236b0	එය බිඳීමට
bdcfa88f10	ප්‍රධාන වේ.
bdcfd46e09	අවසානම අවස්‌ථාව වාර්තා කිරීමට
bdd06ab5ee	අපේ ගයන්තයා
bdd10a25bb	මෙවන් පහත් වැඩක් කරන්න
bdd18a4969	හෝටල්වල ගිනි මැල හදනවා.
bdd1d16eb9	ඇතැම් තැනෙක කුසලානය පහත හෙලුව ද සාදය නිමා නොවෙයි.
bdd20728d7	හුදෙක් අගය කිරීමක් පමණි
bdd233a32a	මධුවිත සුවඳ පවා අපට දැනේ.
bdd293c092	කට ඉක්මන් කරගන්න හොද නැහැ කියල.
bdd29574f1	තනිවම කන්න හැදුව
bdd2b8724f	ඔවුන් ආකර්ෂණය වෙන්නේ
bdd2cef6f6	හසන්ත සහෝ උපසිරසට ස්තූතියි එලස්ස්ස්
bdd2de1ef6	උපනතීන් ලෙස හදුන්වන්න කැමතියි.
bdd34f25b6	සමථකරුවා වෙන්ඩ පුළුවන් එකම සමතා තමයි බ්‍රිතාන්‍යය.
bdd3525ed7	ස්වභාවික චක්‍රය බිඳ පස නිසරු වී යා හැකිය.
bdd3e25ee8	යසස් ගෙන් පසු වාරය
bdd3f56a40	ඇත්ත වශයෙන්ම පවතින පොලී අනුපාත නොවේ
bdd40fc585	කතා බස්‌ කරන්න ඕනෑ.
bdd4a5e9a7	ඒත් ගිගුම් කවදාවත්ම
bdd5134ff5	සීනියර් මචං කෙනෙක් කිව්වේ
bdd5591d28	එම ජංගම රථයේ සිටි නිලධාරීන්
bdd582cf7f	සංගීතයක් පැවැතුනයි සොයා ගත් සාක්ෂි නැත්තෙ.
bdd5b97b2f	එයාගෙ මාමගෙ පොඩි අවුලක්
bdd5ba9688	ඔන්න මේක කිවුවාම
bdd60df3ed	මේ සූර්යයා මෙන්ම මවුපියන්ද
bdd61f0fbd	මෙලොවත් පරලොවත් සතුටු වන බව
bdd659ac65	අවස්ථාවාදී වීම අපේක්ෂා කළ නොකළ අයත්
bdd6efc8f0	එකිනෙකා පරයා එදෙසට දුවති.
bdd716dbe8	ග්‍රෙගරි වැව පාරිසරික ආරක්ෂිත ප්‍රදේශයේ සිතියමක්ද පෙන්වා
bdd720c659	lanka news.com
bdd7a24ce2	කළගුණ සැලකීමේ පරමාදර්ශය ක්‍රියාවට
bdd7a31a1e	කුඩා දරුවන්ගේ විනෝද ක්‍රීඩා
bdd802a729	දුෂ්කර ගමනාන්තයකි.
bdd81a0a64	චිත්‍රපටයේ මුහුණුවර වගේම
bdd81e4089	කළ යුතු වෙනවා.
bdd83ec4b5	එය අනෙක් ඇතැම් බැදීම් මෙන්
bdd92cf734	නිවැරැදි යෙදුම් අර්ථ සහිතව
bdd94c867d	ඒ වගේ
bdd96cbccb	අවස්ථා කිහිපයක්ම මරණීය දණ්ඩනයෙන්
bdd997a807	අනාවැකි! වසර සිය දහස් ගනනකට පෙර
bdd9d4343c	හොරු මිනීමරුවො ඉන්න බව
bdda3d972f	අඩි විස්සක් විතර මිසක්
bdda3e05e1	එත් මේ මාරයා දොස්තර කෙනෙක් වෙන්න යනවා
bddaeb9d06	ලාංකිකයන් උපන්ගෙයි සමාජවාදීන් වීමට
bddb0729fb	බීමට නෑමට, සේදීමට
bddb231e83	මදක් නැවතී
bddbd6be61	ගියවර අධ්‍යක්ෂකවරයා වුණේ
bddbe1080f	ගබ්සා කිරීම මොන යහපත් අරමුණකින් සිදුකරනවා
bddc3b10be	ස්වභාවයෙන්ම ලිංගික ක්‍රියාකාරකම් වලට අකමැති
bddc3f25e1	හැබැයි ඒ බස් දෙකේ
bddc7074d4	බුදුරජාණන් වහන්සේ ගැන සිතීමයි.
bddd1a0acd	රණවිරුවන් අපගේ දෑත් බදා ආශීර්වාද ලබාගත් අයුරු
bddd1b8f9f	රතු ඉරට ලඟයි
bddd5ff8f6	ඔබට සුභම සුභ නව වසරක් වේවා
bddd63e91d	ඔය යාළුවො සෙට් උනාම
bdddc56e53	gas cooker
bdddecf8d8	විස්තර වශයෙන් අවබෝධ කර ගැනීමට සමත්ය.
bdddfde468	බොහෝ කල් ගත වි ඇති බවයි.
bdde39ad72	එතකොට මං ඇහුවා
bde0024a5f	එකල ජීවත් වූ අප මුතුන් මිත්තන්ට ඉගැන්නුවා
bde0c87f4a	අරක්ෂක ඇමතිගේ පුතා විවාහව ඇත්තේ
bde11b2a77	මොකක් හරි වැඩක් යෙදෙනවා
bde12a7f26	අධික වැඩ රාජකාරී නිසා
bde12c9c03	එවිට කේන්ද්‍රය යනු
bde1e28bc8	එක පවුලේ සාමාජියින් දක්ෂ වෙන්න ඕන
bde1f3dc15	අඹ පැනය ඇසූ වේලෙහි
bde2075943	ගෙනියන්න හදන්නේ
bde23be429	අපේ කැමැත්තක් නැත.
bde275fb7e	සියලු විවේක ස්ථාන
bde27d4418	බොගේ මයිල් ගස් උන්ට පෙන්නේ
bde2d2f144	තමයි නිතර වැටෙන්නේ.
bde2f338db	එයා කිව්වේ සේනානායක වේරලියද්දගෙන් එයාටත් කරදරයි
bde3015900	සිසේරියන් සැත්කමකින් නවලෝක රෝහලේ
bde3528cd5	tamil girls
bde3d8b963	හාමුදුරුවෝ රුචක මල්ලිලත් එක්ක යවලා
bde50c7925	සත්තුන්ට මොකද වෙන්නේ
bde5d2b76d	මැලිකමක් දක්වන බවත් පැවසෙන අතර
bde657c3b1	සිනමා පටයෙන් දු‍ටු! එයත්
bde671a2a2	මේ කරන සේවය
bde6d731e0	steve jobs sinhala
bde6e4237c	සිංහලත් එක්ක දෙන්න හැකිනම්
bde8fcbe88	ගොඩක් අඩංගු බව පේනවා.
bde92f05cb	බුදුරදුන් වැඩමකළ ස්ථානවලදී
bde9adb2c3	නමුත් උඹ හිතාගෙන ඉන්නේ
bde9bed3f6	අද සමාජයේ හුගක් ඉන්නේ
bde9cbfa25	ඉරේ රැස් හීන් කිරණ වෙලා
bde9f9c880	හිතුමනාපේ අතපය දිග හරින්නට තරම් වත්
bdea76e3eb	රට වැසියන්ට අනුව නම්
bdea81e456	හැබැයි මං මේක කලින් බලලා
bdea8b0eac	රූපවාහිනී තිරයට එකතු වෙන්නේ කොහොමද කියමු?
bdea947b6a	දැන් දකින්න ලැබෙනවා.
bdeb07057f	අනේපිඬු සිටුතුමාට දියණිවරු තුන් දෙනෙක් හිටියා.
bdeb473787	සිංහල සරල ගීතයේ ආස්වාදය මැද
bdeb5e4504	අන්න එතකොට කියනවා
bdeb649851	පංචශීලයෙහි සමාදන් කර
bdeb6e8223	ඇති කරයි.
bdeb991a8c	අසල වැසි යුක්රේනය හා සම්බන්ධ ගැටළුව
bdeba0ad30	එරට වර්තමාන ජනපති ජෙකබ් සුමා විසින්
bdeba4a61b	ඇයි මේ කොහෙවත් ඉන්න නූගත් වැදගැම්මක් නැති මැක්කන්ට
bdebc4974f	බෞද්ධ දර්ශනය තුළ නිරන්තරයෙන් සඳහන් වෙයි.
bdeca15176	එනිසා අන් කවර කලකටත් වඩා
bdecbe69c5	සෝවියට්‌ සමූහාණ්‌ඩුවේ රාජ්‍යයක්
bdece80090	අපි නොදන්න පැත්තක් ඇති නේද?
bdecefbd12	විමුක්තිය ලැබුවකු පිරිනිවන් පාන කල්හි
bdecf0f496	එනිසා එම ක්‍රමය
bdedfa5a4e	ධාතුන් සමඟ ඉන්දියන් රජයෙන් ලැබුණූ
bdee274713	ඔය එක්කෙනෙක් දෙන්නෙක් තමයි
bdee65fdcb	ඉතා විසිතුරු සංස්කෘතික සංදර්ශයක් වශයෙන්
bdef0d9b1c	මානව හිමිකම් කවුන්සලයට සිදු කළ හැක්කේ
bdefd4b806	අනියම් ආකාරයට යෙදුවේ
bdefd92443	එම දානය අසදෘශ මහා දානය
bdf01b0e2b	අර ගහක් වැටිලා මළේ
bdf040d151	ඒකට ඇතුළු වන වාහන.
bdf0537a06	මෙය ගවේෂණාත්මක ඇසකින් බලා
bdf05ca1ce	ගුණවර්ධන මේ චිත්‍රපටිය හෙළා දැකීම පසෙක තබා
bdf0897a1c	අනේ පුතේ මට නම් වුවමනා
bdf0a1f9f0	මමත් මග බලන් ඉන්නවා.
bdf1079352	අපරාදෙ ඇත්තටම ෆිලම් එකේ නම
bdf1476700	තවත් වෙලාවක ලා විරුද්ධ වෙනවා
bdf1c604b1	මෙතන පැය කීයක් වගේ ගත කරන්න පුලුවන් තැනක්ද සහෝ?
bdf2bf95f7	ඒ බව නීති පොත්වල ලියා ඇති මුත්
bdf316d5e0	උඹල කියන්නෙ විෂබීජ යන නිසා කියල
bdf36ce68e	එයා හොයන්නේ එයා
bdf3a97d4c	එතකොට පෙරදිග අපරදිග බැතිමත් සංචාරකයන් ඇදී එන
bdf467cb87	මේ සියලු දෙයින් පෙනී යන්නේ
bdf5347df9	එකී සිදුවීම ආරම්භයේ සිටම ඔවුන් විසින්
bdf5411447	එහෙමනම් මෙවර .කණ්ඩායම
bdf54c34eb	අපි දෙවැනි කොපියත් ගත්ත
bdf6a03817	මෙහෙම එකක් මම නම් කොහෙවත් දැකල නෑ
bdf6a5d6b2	අද ගොඩක් වෙලාවට කරන්නෙ
bdf6da7f57	මහා වංශය ඇතුළු වංශ කතාවල
bdf70e1e17	ඔබට ආපසු ගෙවීමට ඇති
bdf944fc52	මෞරිය රාජ වංශිකයෙකු වූ චන්ද්‍රගුප්තගෙන් පසුව බින්දුසාර ද
bdfa52f159	හරියට කැමති මනමාලියෙගෙන්
bdfa86fe1c	රට පාලනය කරන රජවරුන්ට මෙම නම ලැබුණා.
bdfac26062	සිරගෙහි ලැගීමට ද
bdfb33c61c	ඒත් උඹලට ඒ කිට්ටුවට වත්
bdfb3ae2cf	අපි සසරේ මුලාවෙන ස්වභාවයෙන්
bdfb577611	මිලිදු නාගසේන සංවාදයේදී
bdfb6d6b0e	අපේ සංස්කෘතියට කරන ලොකුම අපහාසයක්.
bdfb9ac993	child walk on toes picture
bdfbb25a1d	බොහොම ස්තූති මෙයා.
bdfd58b932	ඉතිං මට කරන්න දෙයක් නෑ
bdfdbfa178	ගත්තු එකක් නේද?
bdfe35ffc7	මෝඩ ළමයි බියෙන් සැලෙන්නා
bdfea16357	ඒවගේ මූණ ඉස්සරහටම හම්බුවෙන
bdff9034ef	හැබැයි උවමනා දේට පමනක්
