4900150e6c	ඒත් උන්වහන්සේ .
498312998e	සිංහ වික්‍රාන්තිය නම් වූ ක්‍රමවේදයකට අනුව වේ.
4983b31d74	ආදරණීය අම්මා වෙනුවෙන් ලිපියක් දාපු එකම
4984609fc3	එනම් ඔහු පිටසක්වළ යානය පමණක් නොව,
49852bac08	තවත් විශේෂ ලක්‍ෂණයක් නම්
498600774e	ගුරුවරයා හැටියට අපි තබාගත යුත්තේ
49860738c8	මන්ද තමයි සරු කාලය කියන්නෙ.
498612655b	අනිත් එක තමයි
498677af3c	නොදන්නා බොහෝ දේ ඇති බව
4986c55e83	උපසම්පදාපේක්ෂකයා හඳුන්වන්නේ නාග නාමයෙනි.
4987083759	මුහුදට නොවැටී ඉන්නට සිය අත්තටු වාතයේ අසීරුවෙන් හසුරුවමින් සටනක යෙදෙන
498760c0d7	ජනාදිපතිතුමාට ගහන්න කෙනෙක් නැහැ
49876c9eb6	නිධානය චිත්‍රපටයේ ලෙස්ටර් පීරිස්
498791a509	කරන්න තියෙන අමාරුව මම දන්නවා.
4987d8c65e	මීටර් දෙසීයක් විතර ගියා
498814758e	ගවයා ආරක්ෂා කිරීම
498864242e	news
49887ba878	බෝධින් වහන්සේ ඒ මොහොතෙහි දක්වන ලද ප්‍රාතිහාර්යයෙන්
4988be5766	කවුරුවත් කිව්ව පලියට යමක් විශ්වාස කරමින්
4988d55032	අතුරුදන් වූ මාධ්‍යවේදියෝ ගැන
498926b6f4	ඇයි මේ සොඳුරු මිනිසුන්
49896926cc	ලබාගෙන ඇති බවට විශ්වාස කළා
4989f9dc4f	ඒ භික්‍ෂුතෙම භාග්‍යවතුන් වහන්සේට මෙය සැල කෙළේය
498a16b0f9	ගුවන් යානයේ වැසිකිළිය පිහිටා තිබූ කොටස හමුවිය
498a3a348e	global park container transport services
498aafb257	අපරදිග සාහිත්‍ය කලා විචාරයේ
498ad32d00	මාධ්‍ය නැත්නම් මුකුත් නෑ
498ad8153b	කිසිම අරමුණක් නැති
498b17cebf	weather reports past dates
498bc63ba5	අමාත්‍යවරයා කියා ඇත
498bd94b19	අවදිවන්න
498d97e699	කීප දෙනෙකු හා වෙසෙයි
498df34d3c	දැන් රජයේ සේවකයන්ගෙන් එම බද්ද අය කරනු ඇත.
498e702787	එසේ දෙදෙනා එක්වීමේ
498fa7b249	පිරිත් දේශනාව අවසන් කරනුයේ
498fbbe924	අන්න ඒවගේ තමයි අන්තර් චක්‍රාවාට
49903e5379	මෙච්චර ලේසියෙන් විකුනන්න පුළුවන්
49904cba25	සැබැවින්ම අප
49905375ed	ඔය කොලු වයසනේ
49908f3df2	ඒවා බොරු බව
4990a4b1fc	කැකුළුගම නමින් පසුව ප්‍රකට විය
4990bf1586	ගතවන්නේ පැය කිහිපයකි.
4991095d3d	sri lanka movies online free
499155bfb7	තම තමන්ගේ ආගම් වලට ගරු කරමින්
49919f53d5	ඉතා හොඳින් කියවා බැලුවහොත්
4991e22f7c	මට මොනවා කළත් කමක් නැහැ.
4991ef7fcf	මේ දෙවිදේවතාවෝ අතරමඟදී සංචාරයට එක්වෙමින්
4992cc9762	බුදු දහමවත් ශ්‍රී මහා බෝධියවත්
4993db6426	අප අපම මරාගෙන මැරෙන්නට අටවන උගුල්
4994255e54	පූජ්‍ය මාදුළුවාවේ සෝභිත හිමියෝ මෙසේද ප්‍රකාශ කළහ
499442f8dd	දේ තිබෙනා බව දැනගැනීමට එහි යායුතුවේ.
49945be1ce	පොහොසතාට අයිති ලක්ෂණයක් නොවේ
49953f3381	ඉතින් මිරාස් ඇතුලු හමුදාව
4995932959	හරිම නිස්කලංකයි.
4995fe0a8a	පියවි ඇසට තියා
499629816a	මෙහි දෙබස් මා විසින් සකසා තිබෙනවා.
4996430b0b	බොක්කට ම වදින්න
49968d658e	ඔහු පෙම්වතකු නොව
4996b35aef	එයාගේ පිටේ තියෙන තටු කපලා දානවා
49978b4080	හරියාකාරව නාඳුනන විපක්‌ෂ මන්ත්‍රීවරයකු සමග
4997910cb9	මනෝභාව ප්‍රකට වීමට ඉඩ හරිනුයේ
4997fda235	ඉතිං එහෙම බලවත් හිත රිදෙන දෙයක් ගැන
4998626952	මොහු තම සහෝදරියගේ නිවසේ සිට
4998d46ac7	හික්කඩුව නාරිගම ප්‍රදේශයේ
49994ddb32	මහියංගනයට බුදුන් වෑඩිය කතා
499957ca28	ශෝකභරිතව කථා කරන්නට පටන් ගත්තා.
4999927d41	කියලා කිව්වට
499a356744	පෙනුණු සුව දසුන් පසු පස ඔබ හඹා ගියා
499a64d680	ඔය දේවල් හරි නම්
499aab4a85	ප්‍රථමයෙන් වෙබ් බ්‍රව්සර් එක ඔබගේ පරිඝනකයේ
499ab37578	කප්පාදු කිරීම ආණ්ඩුවේ සැලසුම බවයි
499abeccbf	මේ නිධාන අතුරෙන්
499ac276b4	දැන් ලැබෙන සැප.
499b0da38c	එතරම්ම අලි ඇතුන් අප සංස්කෘතියට මහා ශක්තියක් වී ඇති බව
499b9bd4f6	බුදුරජාණන් වහන්සේ නමක් පහළ වෙන්නේ
499bf4edeb	සුඩානයේ පාලනය වෙනස්වූ දවසට
499c15cdd6	අද මේ අර්කා දේ ලීමා නැව සොයා යන ගමනට
499c59637f	ඉතුරු ටික අහගෙන ඉන්න බැහැ
499d38f5a1	ලබල තියෙන්නේ.
499d9d824e	කාලයක් කීවේ නිකන් යෑ.
499db9f582	ඇඟේ අඩුතැන් පුරවන්න නෙවෙයි.
499df99cbd	කූඹියෙක් ගියා වගේලු දැනෙන්නේ
499e0edcd1	ලංකාව සංධීය රාජ්‍යයක් කියල.
499ef90b7c	යන වගයි.
499f518a56	වායු ගොලයෙ
499f58dd78	කොපිය දුන්න එකටනම් පට්ට තැන්ක්ස් ඈ.
499f9f95b0	ගෝපිගේ වෙඩි පහරින්
499fafce64	බ්‍රහ්ම ලෝකයේ තිබෙන සැප
499fc10c6d	අපි මේ දේවල් කරන්නේ
499fdf3aa5	කෙසේ සකස් කර ගත යුතුද කියා.
49a0479abd	රතිඤ්ඤා මල් වෙඩි
49a051f3e8	සියල්ල විකිණී අවසන් වූ බවයි වාර්තා වන්නේ
49a0a5da2b	ඊට පස්සේ බලපිටියේ සිද්ධාර්ථ විද්‍යාලයට ඇතුළත් වුණා
49a0c2cd99	ටීවි එකට දෙන්න පුලුවන් විදියට හරි
49a1f0b3e9	කර තිබේද?
49a22105a8	වගා කරන ගොවියොත් දන්නවා.
49a2850e68	දැන් මේ රටේ දුරස්ව ඇත.
49a29ba7bc	චරිත සිදුවීම් හෝ වස්තු විෂය ආදියත්
49a34155a4	ඔය කරදර සිද්ධ වෙන්නෙ නෑ.
49a367623e	එම ප්‍රශ්නයට බුදුරදුන් පිළිතුරු දුන්නේ මෙසේය
49a36fb08f	අන්තිමේ දී එසේ මිය ගියවුන් සිහිපත් කිරීම ද
49a45dd95a	අපි සමහරු කැමති කැමති බඩු ලකුණු කරගෙන
49a47a7d9f	උණ පඳුරේ සිර වූ මහා උණ ගසක් හැටියට
49a4d3a246	මේ කඳවුර උදව් වී ඇත
49a583fa2a	සිව් පසය පිළිගැනීම හා වැළඳීම
49a5f483ef	ඒක දන්නේ
49a67a52f7	මේ චිත්‍රපටයේ ප්‍රධාන චරිත වෙන්නේ
49a6a96ee3	ඔබට ජය
49a742c2e1	මේවා බෞද්ධ ජන ජීවිතය කෙරෙහි
49a75cde79	මේ නිසා රජතුමාගේ විශේෂ ඉල්ලීමක් අනුව
49a790ac79	අවශ්‍ය වන්නේ මහජනතාවන් ලවා
49a7ccbf64	බ්‍රහ්ම තලයකට ගමන් කිරීමක් ගැනයි.
49a7d6d2c3	පී්‍රතියෙන් කෑ ගැසුවා
49a89812f4	ද්‍රෝණයක් ධාතූන්
49aa2fff21	තාත්තා වගේමයි කිය කියා
49aa495f92	විදුහල්පතිව ගෙදර යවන්නත් පුළුවන්.
49aaa65e33	එයා කියන දේ
49abd1a39d	අගනා නිර්මාණයකි.
49abe9bcae	මොහු බලහත්කාරයෙන් සහ වංචාවෙන්
49ace36d27	ඉලක්ක කළා
49ace83bfe	අනේ මන්දා ලඟදී කියවපුවා බැලුවාම
49adc1ae0e	ඒ හැම දෙයක් ම කුඩු පට්ටම් කළා.
49add94be3	කිහිපදෙනෙකුට දැනිලා තියෙනවා.
49aeb11816	මෙවැනි කුළුණු විශාල ප්‍රමාණයක් යොදාගන්න සිදුවෙයි
49af09ba1c	දකුණු පළාත් සංචාරක කාර්යාංශය මගින්
49b024d60e	අපේ පලාතේ කාර් වලට යන්න
49b05f13c1	ගස ළඟට යෑම
49b07d9da7	බළන්ගොඩ ගොරොක්ගහමඩ පල්ලියේ දී බව
49b22d2c5d	ඒක දුන්නේ නැත්නම්
49b24101cf	එමඟින් පෙරහර සාම්ප්‍රදායන්ට හානියක් සිදු වී නැහැ
49b2434883	ඔබ හැමවිටම පෙරමුණ
49b2c254d0	මෙහි ත්‍රිමාණකරනය උසස්
49b2e85b3d	අපේ සමාජය ගැන ලියන්න හරි අමාරුයි
49b2fa51e7	මොකුත් නොකිව්ව එයා
49b30dc247	මාරයාට අයත් නොවූ දෙය දැනීමෙහි දක්‍ෂ වෙමි.
49b3b0d5b3	එනම් ඔබගේ මී මුත්තා
49b3e768a1	වැරදියි කියලයි මගෙ අදහස.
49b41c026a	හැම දෙනාගේම සැපය
49b531396a	එහෙම කියලා නෑ කියන එක
49b5a97603	මෙහි පළ වෙන එකක් නැහැ.
49b5ecf6aa	වික්ක ගෙනාව මරු යෝජනාවක්.
49b5fddc30	පැරණි ශිෂ්ටාචාරයක් වෙන්න පුළුවන්.
49b664e576	අන්තිම වශයෙන් සදහන් කල යුත්තේ
49b6661d83	දිවිපැවැත්ම කෙබඳුවේදැයි
49b6e69cac	milk powder container
49b6f2aa37	එනිසා ගමේ කාන්තාව
49b73fc452	එහි අනුසසුත්
49b74d881b	බණ පොතේ සඳහන් වේ.
49b7cf1977	මහා කාරුණිකයාණන් කාවවත් ගින්නෙන් පුළුස්සා දැමුවේ නෑ.
49b7d2fabf	එක ගමක දිගටම ළමයි අතුරුදහන් වෙන්න පටන් ගන්නවා
49b80622c4	සුවිශේෂ වූ පූජනීය වස්තුවක් ගැන සඳහන් වෙයි.
49b8b55ed6	යම් කෙනෙක් දුකට බය නම්
49b8d0a06c	එහෙම වෙන්නෙත්
49b9aa8bc5	අනුන් වෙනුවෙන් විභාග ලියන්නත්
49ba0e49c5	ඔබ වෙවුලන්න ගන්නේ
49ba3502aa	ඇගෙන් කිසියම් වරදක් සිදු වී නැති බව තේරුම්ගත් පොලිස් නිලධාරින්
49bb774468	ඒත් ඔයා ප්‍රොෆයිල් එකෙන් ආවොත්
49bba849e3	මේ සිටු පවුල් දෙකේම මවුපියන්
49bbb4e6ff	වෙනකල් ඇඟිලි ගනින්නේ.
49bbd38984	එහෙම නැතිනම් විපක්ෂයටද
49bbd4fbe6	ජාතක කථා ලෙස
49bbe15c21	ඊරියෝ අඬන විදිය අහලා තියනවා
49bbf0bb67	පාර්ලිමේන්තු මන්ත්‍රී සජිත් ප්‍රේමදාස කියා සිටියේ
49bc3060bc	ගියවර අයවැයෙන් අමාත්‍යාංශවලට වෙන්කරපු මුදල්
49bcbc14c2	ring
49bcfb12bb	හැබැයි ඔබත් එවැනි ටෙලි නාට්‍යවලටත් දායක වුණා
49bd811d88	හිත සතු‍ටු වෙන්ඩ අදහසක් තිබ්බනම්
49bd908d9c	මේ දෙන්නා නොසිතූ පුවතක්.
49be5ea7d5	අහිංසක පුද්ගලයන් තිදෙනෙකි
49be71e8b6	බුද්ධ චරිතයේ එක් සුවිශේෂී අවස්ථාවක් නිරූපණය කර තිබීම
49be8e2b5b	එනම් මේ සිනමා පටය
49bebfe951	ඒත් ඒවායෙන් තාවකාලික
49c0066b59	යෝගාවචරයා තුළ
49c05ab640	නිර්මාණ කලාව යුනිවර්සල් නිසාලු?
49c0cffdd8	එම මැර පිරිස වාහනවල නැගී ලුහුබැන්දහ
49c1339aef	දරුවන්ට තියෙන දරු ස්නේහය නිසාම
49c17f05c0	ඉදිරියේ දී බෞද්ධ ගී
49c1c7a2ec	මුල් රචකයා අඳුණා ගැනීමත් වැදගත්!
49c28eae61	තියෙනවා ලංකාවේ.
49c32c93c2	විදේශිකයන්ට ඉඩම් ලබාදීම නතර කිරීමටත්
49c339fc34	එසේ මෙසේ අපරාධ හොරකම් නෙමෙයි.
49c40ffd1d	ඒ පැවැත්ම නැවතීමයි.
49c4cbf07f	ඈ පිරිමැසුවා ය.
49c4dc37bd	deyata kirula 2014
49c4ee8df6	song writer photo
49c58c4783	මම මේක දෙනකම් හිටියේ
49c5b1a44f	තිබෙන බවට විශ්වාසයක් පවතී
49c5d2fe42	මෙම ජපාන රාජධානියේ සාමය ආරක්ෂා කළේ සමුරායි වරු විසිනුයි.
49c656af63	ආණ්ඩු පක්ෂයේ අපේක්ෂකයන් තොග වශයෙන්
49c742d0cd	සංවාදය නිම වන්නේ මෙලෙසිනි.
49c752806f	බඩු මුට්ටු ආදිය දන්දීමයි.
49c8187c9e	ධම්මපදය නමින් හඳුන්වන
49c8e9ce47	අද පොඩි එවුන් ගැන හිතලා මේක බාන්න.
49c9026226	අම්මාද නැති තාත්තාද පාඩුවේ පැත්තකට වී
49c911b8b1	බේරිලා තියෙනවා.
49c964161b	තමන්ට කැමැති විදියට පාවිච්චි කරන්න බැරි?
49ca208575	ඒත් ඔහුගේ උත්සහය ව්‍යාර්ථ කරමින්
49ca33440f	එය එම නායිකාවගේ වගකීමක්
49ca911d87	මාගේ සහ සීවලී ස්වාමීන් වහන්සේගේ
49ca9a0fd3	බැතිමතුන්ගේ ප්‍රයෝජනය සඳහා
49cac6c967	මූලික කරගනිමින් විසිරී සිටින
49cb04e80e	ඉන් මිදීමට ක්‍රියා කළ යුතු බව
49cb27412b	වංශ කථා සියල්ලම කියා ඇත
49cbb0496a	නවීන තාක්ෂණයට අභියෝග කළ හැකි
49cbd4f140	experiments for factors effecting transpiration process in plants
49cc5316bf	පහසු කටයුත්තක් නොවීය.
49cc8bbf8d	මුහුකුරවා ගත හැකි ආකාරයේ
49ccbe5eb6	පර්යාය පද රාශියක්ම භාවිතා කොට ඇත.
49cdbd9a89	නමුත් අවාසනාවට මෙයාල යන්නේ වැරදි ගල් ගුහාවක් තුලට.
49ce562502	ලක්‍ෂ ක් විතර මට වියදම් වුණා
49cef1fac8	ෆේස්බුක්වලට දොස් පැවරීම වැරදි.
49cf5c563c	දරුවන් සිටින තැනක වැඩේ කරන්න එපා කියල.
49cf5cdc6c	ඒවාට වැඳුම්පිදුම් කරන ලෙස
49cf6bc3f0	අමරදේව මාස්ටර්ගේ ගෙදරට නෙමෙයිද?
49cf99690a	පෙන්වීමේ හෝ ගණනය කිරීමේ අවශ්‍යතාවයක් මතුවන්නේද නැත.
49cfae3edb	වර්ගවාදී ලේ වැගිරීම පැතිරී ඇත
49d00d7c03	වසරක පමණ සේවය කර ඇත
49d1407337	එසේ වුවද ඇමෙරිකාව පැන වූ ආර්ථික තහනම
49d173318a	අනික ප්‍රතිවිරුද්ධ පැත්තෙ ඉන්නෙ තනිකරම
49d1a8cf4c	පෙනිලා තියෙන්නෙ
49d1ce836e	නමුත් ඔහු ඇයව පුහුණුකිරීම
49d1e31b11	කැලණියේ නව විහාරයේ බිතු සිතුවම්
49d2a2dc49	තියෙන්නෙ බෙහෙත දෙන්න.
49d3137397	ආහාර ලබාදීමට
49d3350a03	ඔයාලට අරගෙන ආවා.
49d3bcf3d7	ඊට යොදාගත් ස්වයංක්‍රීය තාක්ෂණික උපකරණ
49d40a1b02	දෙව් බඹුන් පිළිබඳව
49d479322b	උන්වහන්සේ කා සමඟවත් ඇසුරු කළ කෙනෙක් නෙවෙයි
49d4c75fe3	මහා පරාක්‍රමබාහු රජතුමා පැවැත් වූ
49d4c7fe5b	දුම්බර ගල්පර මැඬියා ගේ වාසස්ථාන
49d577c8ec	මහා ජනකාය නෙත් අයා සිටින්නේ
49d6021f18	ඒත් බැලුවා කියලා
49d64af181	අපට අවශ්‍ය වන්නේ යමක් කරන්නේ
49d659ec48	ළමා සොල්දාදුවන් බඳවාගැනීම
49d6f03bca	එබැවින් ඔහු ශාප් වෙත
49d716bf84	විවිධාකාරයේ ප්‍රශ්න.
49d76ae940	ප්‍රජාපති ගෞතමී දේවිය
49d7e05862	කාටවත් මොනවත් කියන්න බැහැ.
49d8113f97	එහි වෙබ් අඩවිය
49d8468128	මේ ව්‍යාපෘතියත් සමඟ
49d94b6980	අපි බලාපොරොත්තු වෙන්නේ
49d9500ecd	ඔබට අපේ උත්තමාචාරය
49daa29844	muthu tharanga
49daa9e200	මහවැලි ගඟට ගොස් ආපසු එන ගමනේදී
49daedc39d	සෑහෙන්න කට්ටක් කන්න වෙයි වගෙ
49db58006c	මෙම ගමනටම සැකසුනකි.
49db6ae6c4	"හැබැයි මෙහෙමයි."" සෙත් සිරි දෙන මහ"""
49db6b895e	පාවාරික අඹ වනයෙහි වැඩවසන සේක
49db7ebd39	මේ අය දුන්න උත්තරේ ඒක
49dd275ef9	changumi photos
49dd864ed3	එක්සත් ජාතික පක්ෂය ජනතා විමුක්ති පෙරමුණ ඒ පුද්ගලයව අතහැරියා
49dd918b04	බැති සිතින් උවැසි උවැසියන් එකතු වී
49ddb0d7c0	මෙතැන් සිට අධ්‍යාපනයට අවශ්‍ය
49ddbaf4d1	බුහුමන් නොකරති.
49de0e6e3c	ඉතින් මේ විදියට සතුට දරාගෙන
49de42a609	එබැවින් එය ප්‍රකෘති ශීලය නමින් හැඳීන්වෙයි.
49dec2e622	එමෙන්ම අයහපත් ක්‍රියාවන්ගෙන් වැළකී
49df635d2c	පවුලේ කට්ටිය ගන්න බැහැ.
49df7907a2	මේ වචන පිට වෙනවාත් සමඟ
49e05587fc	පොල් බැදල
49e063456a	ටිකක් වෙනස් ආරයක
49e0ed1010	ඔයාගෙ මැදපු කමිස දෙක නැතිවෙලා ගොඩක් කල්ද?
49e1876f87	මොකද ලංකාවෙ නිසි ලිංගික අධ්‍යාපනයක් නෑනේ.
49e1c70894	උනන්දුව ඇති උනේ විජය ළමා පුවත්පත නිසයි
49e1e7af6c	බුදුරජාණන් වහන්සේ එක පියවරක් පිටිපස්සට තිබ්බේ නෑ.
49e2577413	එදා සිට අද වන තුරුම
49e267df5e	දහම් කෙතට පිවිසෙන්නෙමි.
49e270b1ce	මානසික තත්ත්වය කායික වශයෙන් පිරිමසා ගැනීමට
49e2fdac3c	කැපුම් තුවාල සහිතව ප්‍රතිකාර සඳහා රෝහල්ගතව ඇත.
49e35926d2	එකම මවගේ දරුවන් ලෙස ඉතාමත් සුහදව
49e39047fb	සඳහන් ඔහුගේ සිතේ තිගැස්ම
49e396cb4e	එකතු කරගත්තු නාට්‍යයක්.
49e43759eb	tamil film
49e4977106	කොහේ ගියාද දන්නෑ.
49e4df3280	යහපත් හෝ අයහපත් හෝ කවර දෙයක් කළත්
49e53bf3a8	තමන්ට සැහැල්ලූ සිතක් ලැබෙනවා
49e556b31e	නමුත් ගුනරත්නම් එක්ක බලන කොට
49e56b619b	දුර සිට දර්ශනය වුණේ
49e6de5c7e	මෙච්චර පට්ට එකක්
49e6e0e35a	මට ගෙවා ගන්න බැරි ගාණක්.
49e6f0a284	fighter fish eggs
49e736607f	සිහිපත් කළ යුතු
49e7de1608	එම ලිපි හරහාද
49e84ed1c7	colombo painting
49e859de2b	මෙබඳු අඩුපාඩු මෙන්ම
49e8e6c201	ආගමන විගමන අංශයේ කටයුතු කරන
49e8fc6a6b	ela
49e9f999f7	kadolana
49ea5c9b7f	එය අහෝසි කොට දමන ලදී.
49ea8d1e76	බසයෙන් බසිද්දී
49ebe6a577	අන්තිමේදී හීනයක් දැක්කා වගේ
49ec378958	බියගම ‍පොලිසියට
49ec5ee3c1	piyanka
49ec6a4d83	මන්නාරම් ද්‍රෝණියේ ගෑස් හා තෙල් ඇති බව අනාවරණය කෙරිණ.
49ec82e8a5	බලා සිටින අය වනවාය.
49ed64893b	world end
49ee0976ec	එයින් පසුව ගිය මාරයා
49ee686929	සැරසෙන විටදී
49ee98e87c	අමාරැ වු නිසයි.
49eeadbf0b	ලෝකය පැතලියි කියල
49ef1bd5e8	පවත්වාගෙන යන නව ව්‍යාපාර කටයුතු සුවිශේෂී දියුණුවක් ලබයි.
49ef376531	එනිසා ත්‍රිවිධ චෛත්‍යයන් වහන්සේලා
49ef3bc5af	ඉරානය ඇතුළු බොහොමයක් මුස්ලිම් රාජ්‍යයන්
49ef4750f0	එයාට එයාගේ යාළුවො පවා නැති වෙනවා.
49ef6d4b8d	මේකයි කතාව මේ කතා කාලයේ මිනිස්සු
49ef860814	අපිට මඩ එන එක වලක්වා ගැනීමටය
49efb589ee	එනම් ත්‍රිවිධ කාය දුෂ්චරිතයෙන් වෙන්වීමයි.
49f00f6353	ඔය ගොඩට දාන එක ගැන විරුද්ධයි.
49f08eebd9	මෙම හේතු අතරින්
49f0c0a432	අප වෙනුවෙන් බේරාගත් බවය.
49f2603cf2	ආදිත්‍ය හට මේ ප්‍රහේලිකාව විසදීමට හැකි වෙයිද?
49f27d86ed	වෘත්තීය ඉතිහාසඥයින්ට නම්
49f2e7c9c0	ආයෙමත් බලන්න එපැයි.
49f385b932	ඔවුන් වටහාගත යුතුය.
49f4661b07	එනම් සසර පැවැත්මෙන් මිදීම
49f4f71904	අමරකෝන් මහතා ඉතාම ආදරෙයෙන්
49f57581fe	ඇය මෙම තරගයට ඉදිරිපත්වී ඇත්තේ
49f62d0170	ඉතිහාස පොතේ නම සදහන් මෙම රජුට ගරහන්න එපා.
49f640c689	ජිවිතයේ කවමදාවත් අමතක වෙන්නේ නැ
49f6827a6e	ඒකෙ හිටපු රංගන ශිල්පීන් එහෙම
49f6addb57	එය ම ඔහුගේ හැගුම්ල බස රස කොට ගෙන
49f6bfb17e	එහි ඇත්ත නැත්ත විමසා සිටියා.
49f6e5a1a6	අදාල ගීතය නැවත සකස් කිරීමට
49f6f7c616	එම වැදගත්ම සාක්ෂිය ලැබුණේ
49f7141f3a	ඒ ගැන කිසිවක්ම දන්නෙ නෑ.
49f7d74604	ලබා දිය යුතුමයි කියලා.
49f80ea7be	මින් පසු ඉන්දීය රජවරුන් බලයට පත්වීම නිසාත්
49f854c04a	කිසිදා කළ නොහැකි දෙයකි
49f8eb64ea	අපට උපකාරී වෙන්නේ අවබෝධයයි
49f969a81a	දෙවනුව ද්‍රවිඩ ආක්‍රමණිකයන් හා සටන් කිරීමය.
49f978ef57	මේ විදියට බුදුරදුන් පරාජය කළ විට
49fa208ec0	අවධියෙන් සිටිය යුතුවේ
49fa371bec	එහි සහකාර ‍පොලිස් අධිකාරි
49fa537919	අර කිවුවත් වගේ
49fa62912c	ආයතන සංඛ්‍යාවේද අඩුවක් තිබීම
49fa648cfa	ගේ හදන කාලෙදි
49fad750fa	පසුගිය කාලයේ අගමැති දී.මු ජයරත්න සිටියේ
49fb486966	ගුරාගෙ ළඟම මිත්‍රයෙක් වෙන
49fb566205	පෞරාණික අංග ලක්‍ෂණ,
49fb738853	ඇය ඉතාමත්ම ධනවත් නිසා
49fbeb4edb	මේ රටට මහ නරක කල දසාවක් ලබනවා.
49fc4728ec	පෙවීම නැතිකර ගැනීම සඳහා
49fc5380dc	ඔහු ධර්මය දකින්නේය.
49fc57dbd1	එතකොට දැනගන්න පුළුවන් වුණා
49fca987ce	අහක යන දේකට නේ
49fce9718e	වැය නොකරන එක අපරාධයක්.
49fd1fdb04	සොහොනේ ඉදිකර තිබූ රුක්මණී දේවියගේ නාමපුවරුව
49fd7dd2e4	යොදුන් තුන් සියයක් දිග, පළල හා ගැඹුරින් යුතු
49fdfeddfe	හඩ නැගුවා නම්
49fe13cde5	පෙර නිර්මාණයකරගත් චිත්ත රූප
49fe347c8f	සංඝයා එක්ව ගායනා කිරීමක් ලෙස ය.
49fe592ed8	ඔහු ඇයව විවාහ කරගන්නවා
49ff23dd29	මේකටත් බොහොම පිං.
