7100e3ec57	වටහා ගැනීම වඩාත් උචිතය.
7196773405	වෙනත් විකල්ප වැඩ පිළිවෙලක්
7196993ac1	හනික දුවල ගිහිල්ල
7196a0f789	විශාලතම සත්වයාය.
7197b01b71	මගේ බෙල්ල මිරිකුවා.
7197ed4a46	බුදුරජාණන් වහන්සේ වෙතට පැමිණියහ.
71984d9121	අර අන්තිමට කියපු දේ ගැනනම්
7198f697ba	බුදුරජාණන් වහන්සේට ඕන වුණේ
71990cc5ca	කියල ටයිප් කලා
719916dcd4	එම භූමිය තුළ සතුන් දඩයම් කිරීම සපුරා තහනම්ය
719921ecc7	මෙතරම් වයසට ගිහිනුත් මේ තැනැත්තා වැඩ කරනවා.
719934db20	ඊට පස්සෙ ඔය පැමිණිල්ල දාපු ගැණි අල්ලගෙන ගිහින්
719988dfaf	එනම් දුක්, රෝග භය,වෛර සෝක
7199c9f3fd	ඒක අපේ පොඩි කොලූට
7199cf41e8	ඊට පසු වතාවලදී වුණත්
7199f3f1c5	බෞද්ධයන් වන්දනාමාන කරන විට
719a39955c	පාලකයා අනිවාර්යයෙන්
719a6e641b	මේ ෆිල්ම් එක බලන්න
719af632ed	ඒක දයාසිරි පැන්න පැනිල්ලට
719b1af0fd	අවසාන වශයෙන් වැඩේට බොහොම ස්තුතියි කිව්වා.
719b7c0d92	බුදුරජාණන් වහන්සේගේ ගුණ
719bdc5b48	අධිමානසික චරිත නැතිබව ඇත්ත.
719c1be9b5	එහිදී පළමුවරට සහභාගිවී
719c35b6ee	එතකොට එයාට ජනාධිපති වෙන්න බැරි වුණු තැන
719d4e41a2	ප්‍රධාන දේශය බවට මේ රට පත් වෙනවා
719d72bd72	love games for boys
719da22741	මුහුණ දුන් දරුනතම නියඟය බවයි.
719de1d4da	ඊටත් මායමින් ඔබේ අනුමැතියත් ලැබගෙන
719e08b89d	චතුර බුද්ධික පවසන්නේ.
719e2493d4	උන් වහන්සේ දේශනා කළා
719e25a489	තාවකාලික වශයෙන් සිත ශරීරයෙන් වෙන්වීමකි.
719e60753b	පෙළ පොතට ඇතුළත් කර තිබේ.
719f2a8a3e	ඒක සැහෙන්න දුරට
719f6aa364	ඉන්නෙ දැනටමත්?
719f6bff3b	ඒත් මහ පුදුම බලයක්
719f725fb0	මිහිඳු හිමියන් සමඟ ලංකාවට වැඩම කළ
719f884a8e	බෝධීන් වහන්සේලා රෝපණය කිරීමටත්
719fbb1a36	සත්කාරක රාජ්‍යය ලෝක ඉතිහාසයට එක් කළ
719fd967d2	එතකොට සම්මා දිට්ඨිය කියල අපි ඉගෙන ගත්තා
719ff8ebe7	සිනමා පටය නරඹන කිසිවෙකුට අසීරු නොවේ
71a0b1a8d3	නම් අහන්න දෙයක් නෙමෙයි.
71a26913e8	එපමණක් නොවෙයි
71a2cd7e8d	බ්‍රාහ්මණයෙකුගේ දියණියක් වීමයි
71a3196447	ඉතින් දක්ෂතා දියුණු කර ගැනීම සඳහා
71a3b7e2ba	අපතයෙකුට මේවා පාවිච්චි කරන එක බොරු වැඩක්.
71a3bb7485	යහපත් පරමාර්ථ යන්න
71a3cd2d3e	කිරි කර්මාන්තය දියුණු නොවීම අභාග්‍යයක්.
71a418ba85	බුදුන්ගේ දේශය ඉන්දියාව බව
71a4791f5c	මේ සීමා ඉක්මවා යයි.
71a4fd3d78	භික්‍ෂූන් භික්‍ෂුණීන් කෙරෙහි
71a51482f6	ඇගේ බාල නැගණියද කොතලාවල විදුහලේ අටවැනි වසරේ ඉගෙනුම ලබන්නීය.
71a58c9437	බැරි තරම් වැඩ අධික වී තිබිණි.
71a5b28739	පක්ෂ වලට නැගී සිටින්නට
71a6889c6c	සිංදු කවි එහෙමත් ලියන්න පුළුවන්
71a7039110	අපට ජීවත් වීමට හැකි වේ ද
71a750f500	එදා ගම්වල වින්නඹු මාතාව විදිහට හැඳින්වූ තැනැත්තිය
71a796c466	මේ සඳහා හේතු විය හැකිය.
71a81bf4ba	මහින්දාගමනයේ සිට අද දක්වා
71a82246dc	දරුවන්ගේ දියුණුව උදෙසා හේතුවන බව
71a8c3f113	සිංහල බෞද්ධය දිවි දී
71a8c90586	උපාලි හාමුදුරුවන් පහත් වර්ණයක වූවත්
71a93027fa	අටුවාවෙන් සම්පූර්ණයෙන් විග්‍රහ වන බව පෙනේ
71a94423c3	එසේ මිනිසාගේ බරවනවානං
71aa3e8afb	මෙය අප ජනසමාජයට ලබාදෙන්නා වූ ප්‍රබල පණිවිඩයකි.
71ab1a4c08	ඉතා පැහැදිලිවම පෙන්වා දී තිබේ.
71ab3a0d3b	චාල්ස්ටන් නගරයට නැවත පැමිණෙනවා.
71aba20cbb	බුදුරදුන්ගේ උපදෙස් පරිදි
71ac361309	ඒත් බලාගෙන යනකොට
71ac90658a	හිතට දුකක් ආව ගමන්
71ac98efcd	ජන නැටුම් පමණකි.
71aca3cc9f	අපේ දරුවන් එකිනෙකාට එරෙහිව
71acae285d	ඒ දේවල් අහන්න උන් මේ ලංකාවේ නැහැ
71acd7c28a	එහෙම ලොක් කරගත්තොත්
71adc07a8e	ඔබ ගෙවිය යුත්තේ රුපියල් හාරසියයකි.
71adc61073	නමුත් දැන් කියනවා
71ae19fc1e	සාමූහිකව දිවි ගෙවති.
71af210593	මේක පරක්කු‍ වෙලා හරි ඉවර කලා
71af2ac527	ඒකනේ හැමෝටම
71af57b887	අප මෙහිදී විජාතිකයන් යැයි කියන
71af77fc26	ඒ කියන්නෙ අන්ත දුක්ඛිතම තැනදි
71af93974f	කාම්බෝජ මහාවංශයේ එයි.
71afb16364	පියුම් හතක් මතු වීමයි.
71afd817fc	නිර්මානය කරනවා.
71afed74cf	සමාජ පරතරයක්
71b0021497	gmail login email
71b00aaa98	ආගම් අදහන අය කිසිසේත්ම
71b06f9346	ආදරය කල නොකල හැම කෙනෙක්ටම තියෙන ප්‍රශ්නය.
71b07f725f	කැප කරන්නට වෙන බව
71b0876132	අපොයි නියම යාලුවෙක්නෙ
71b0a908ec	අපට ඉතාම පැහැදිලිව පේනවා
71b0ba07a9	දැන් කිරි පැකැට්ටුවක්
71b144e0dc	ඒවාට පිළිතුරු වශයෙන් ඔවුන්
71b160068d	නම් මට හිතෙන්නෙ
71b16887cc	ඓතිහාසික උත්සවයේදී
71b1746e34	හැකිතාක් ජනතාවගේ ප්‍රසාදය දිනා ගැනීමයි
71b19e6879	lord buddha words of the light of morning path counselling centre
71b224cb39	ඉතා යෝග්‍ය බව
71b2fd0bab	ඇය සමාජයෙන් කොන්ව සිටින පුද්ගලයන් හමුවේ
71b34c6037	ඓතිහාසික හා පූජනීය වශයෙන් වැදගත්
71b460adcb	රාජකාරි කරන පොලිස් නිලධාරින්ට පහර දෙන
71b4fe6c55	ජීවත් වෙන ආකාරය විතරයි
71b50613e1	ඒවා විවිධ නම් වලින්
71b6111649	අපට මේක කරන්න තියෙන්නේ
71b635b481	ගල් වැද්දෝ කීයක් ඉන්නවද?
71b668027c	ඔබතුමා මට ඕනම දෙයක්‌ කියන්න.
71b67e7d3c	රජය පශ්චාත් ගැටුම් අවධියේ
71b696198d	දික්කන්ද හන්දිය හම්බවෙනවා.
71b70319ac	ලින්ක් එකක් දෙනවද?
71b70730cd	බොහෝමයක් මෙම ධර්මයට
71b7664a68	ඔබවහන්සේට අගෞරව කිරීමේ අදහසක්
71b7c1fc72	ඔබ අහල නැද්ද.
71b8930bd8	අපේ පොත්පත්වල දෙමළ හෝ සොළී කියන වචනය
71b8c391c4	අපේ රටෙත් විශ්වාසයක් තියෙනවා
71ba04aeca	එය හිතේ තබා ගෙන සිටීම ඇතිය.
71ba2e54fd	ඇගේ ගෙදර අයගෙත් සිත් දිනාගන්නවා
71ba9c5a4c	හිතාගන්න බැරි තරම්
71bb36c753	ගහේ අතු ඉති කපා ගත් දරුවා
71bb3c745e	බියෙන් වෙව්ලමින්
71bbdb2fcb	ඉන්න බැරිවුන හැටි.
71bc156a62	එම රටවල් විශේෂ අවශ්‍යතා සහිත පුද්ගලයන්
71bc26bf68	චෛත්‍ය කර්මාන්තය පටන් ගත්හ.
71bdef8b5c	සයිබර් අවකාශයේ අප කරන ක්‍රීඩාවක් බඳුය.
71bec3dbe0	දෛනික ජීවන රිද්මයෙහි
71bed5ac54	අපේ රටේ හරියට තියෙනවද කියල සැකයි
71bfcbffe9	කොංග්‍රසයට සහය දෙන සියලු දේශපාලන පක්ෂ
71c053f678	එනම් මේ සලරුවේ හොඳ පිටපතක්
71c0e2b386	ඒත් අපේ
71c0ea2a08	අර ඉස්සර නවයුගය පත්තරේ තිබුණා වගේ
71c0ef9030	ඒත් උසස් පෙළ ලියලා
71c11c8e44	දැනුවත් කිරීමට සහ උපසිරැසි ගැන්වීමට.
71c15585a1	මෙයින් ද පැහැදිලි වන්නේ
71c15ba905	ටිකක් වෙනස් කතාවක් තියෙන්නෙ.
71c162cea9	උණුසුම් ස්වභාවයට අයිති දේ
71c1bf6660	හෝටල් ඉදිකිරීම
71c1e19ebf	මේ කායානුපස්සනාව උපකාරී වෙන්නෙ.
71c1f7f01f	මම කැමති හැමදේටම
71c20a5be6	එක් තැන්ව තබා ගැනීමට උත්සාහ කිරීමයි.
71c28069c9	බොහෝම සමාන හැඟීම්
71c2bec21e	මේක බාවිතා කරන්න
71c2c5133c	ඇස් වහගෙන භාවනාවට සුදුසු විදිහට ඉරියව්ව සකස් කරගන්න
71c3483e5d	කුසල පක්‍ෂයෙහි යෙදෙන බැවින්
71c3491bd2	එනම් හොඬවැල අග කොටස
71c3e49ed0	හීනමානයක් හා කාංසාවක් ඇතිවේ
71c4848639	මේ අයියා මාමේ ඉන්නවනම්
71c4b3801a	ඒවා නිකන් හොයල ගෙනත් දෙනවද?
71c4dd2b31	අට මහා නරකාදිය කියන්නේ මොනවාටද?
71c4f6510b	පාන් පිටි ආහාර වලට නැවතත් යොමු වෙනවා
71c4fae4fb	තථාගතයන් වහන්සේ වදාළ සේක.
71c572a5ff	එරට ආණ්ඩුක්‍රම ව්‍යවස්ථා අධිකරණය විසින්
71c657105e	ඉහත පිටසක්වල ජීවීන්ගේ කථාවෙන්
71c698bb2e	මෙලෙස ඉන්දියාවේ ගොඩ ගැසී තිබෙ
71c6b94d3e	තම ශරීර ශක්තිය පෙන්වීමට නොවේ.
71c716178c	යම් ප්‍රතිලාභයකට එරහිව නැගී සිටිති
71c71ef276	ඔහුගෙන් ආදරය ඉල්ලනවා
71c7476f85	එම නිසා තම වැරදි වලින් පිරි
71c770db6c	දැන් මැල්ලුමක් කපනවා.
71c7cabd25	ඔහුට බලතල තියෙන්නත් ඕනෑ.
71c7fa0b88	සොයාගත් උණ්ඩ චූදිත සෙබලුන්ගේ අවිවලට
71c8843a76	මෙයා ගිය ගිය තැන කොමඩි
71c8a7a447	තමා තමාගෙන්ම ලබන නිදහසයි.
71c8bf4d2f	මේ රටේ අතීතය අමතකව ගොස් ඇත.
71c91bd010	උනන්දු වෙමු.
71c99860e7	තම පියාණන්ගේ ඉල්ලීමට අවනත වූ සේක
71c9ee2785	අපනයන ආදායම
71ca2bea50	එය සමස්ත රාජ්‍ය සේවය
71ca34155f	මොකවත් කරන්න එපා රත්තරනේ
71ca36108d	රජතුමා ද ශ්‍රමණයන් වහන්සේලාට වන්දනා කොට
71ca8f9ad1	එය සැරියුත් හිමියන් වෙත
71cb009e32	ආහාර හා ආහාර නොවන ලෙස ඇති පාරිභෝගික භාණ්ඩවලින්
71cb1c8368	පෞර්ෂයයි.
71cb612567	කළ යුතුයි.
71cb71e525	පවරන තවත් බරක්.
71ccbaebba	බොහෝදුරට ඉඩ තියෙනවා
71cd659889	හිටියේ ඇඳන් යට හැංගිලාද?
71ce0112e1	සෘද්ධි බලය තිබුන නම්
71ce17ef8b	මෙම පිංකම් මාලාව ආරම්භ කෙරෙන දිනයේ
71ce204f5b	ධම්මපාල විදුහල ඇතුළු විදුහල් කිහිපයකම ගුරු සේවය කළහ
71ce5ca3bd	මිට වඩා කියන්න බලාපොරොත්තුවක් නැහැ
71ce62cb4c	සංඛ්‍යාව ගැන අපි නොදනිමු
71ceaa3cf4	බෙහෙත් අරගෙන වෙන්ටෑ මයෙ හිතේ.
71cebf8c7c	එබඳු වු මවුපියන්
71cf014b1c	ස්වකීය සිතුවම නිම කරන සිත්තරා
71cf3a8d32	මං කිව්වා.
71d0bb9617	මුහුදුබඩ තිබු පන්සල් දේවල
71d14f4865	මේ සාමාන්‍ය සත්‍යය අවබෝධ කරගන්නා තුළ
71d20f60da	ආදරේ නැති තැනක ඉන්නවට වඩා ආදරේ තියෙන තැනක ඉන්න එක හොඳයි
71d2fe8d98	ඒවා යොදා ගනිමින්
71d3013749	ආක්‍රමණකාරී කටයුතු එරට වැසියන් හමුවේ සාධාරණය කිරීමටත්
71d39743a7	ඒක නිසා මේක
71d3f69415	ඉදිකළ උගුලක් යනු සමහරුන්ගේ මතයකි.
71d3f76723	මටත් හිතුණා
71d4a52d2d	කිරීම තමයි අරමුණ.
71d4a9b052	ඒ වගේම තමයි
71d4c3aeeb	වෙනස්වීම පිළිඹිබු කරයි.
71d53539d3	පාවිච්චි කරන්න
71d572869a	දඹදිව පිදුම් ලබති.
71d63643a0	මගේ දෙවියන් වහන්සේ වුවත්,
71d66027bb	නමුත් ඊට හාත්පසින්ම වෙනස් ඉංග්‍රීසි පත්තර.
71d75dfccc	මෙහෙයුම් කරුවෙක්.
71d85fd132	පිළිගැනීමේ ගීතයක් ලෙස.
71d890e29d	mobitel roaming video
71da1f67ff	ඉංග්‍රීසි දැනුමේ අඩු පාඩු තිබීම
71da315bc4	ඒ ගෞතම නම් වූ
71da5ac7c3	දැන් නරකයි කියන ආගමක ඉපදුනොත්
71da6bc5df	ව්‍යාජ මුදල් මුද්‍රණය නම්කර තිබේ.
71da6f4699	ethiopian
71db16dbde	එය අපගේ විමුක්තියට
71dbaf9280	ඔබට මේ ‍දේ කරන්න බෑ කියලා
71dc0a7b30	දුක් බහුල වූ උපතකට පැමිණෙනවා
71dc1c1080	දැක්ක හැටියෙම එයාට බොහොම තරහා ගිහින්
71dc3c4597	උඹ දෙමළෙක් වගේ
71dc5d7686	මේ වදන පැරැණි රජ සමයෙන් මෙපිට
71dc8692ef	සමාජ පීඩනයට එරෙහිව
71dd03bf4d	ජපානයේ ද දක්නට ලැබේ.
71dd70a0e7	චිත්‍රපටයක එන ජවනිකාවක
71df64f4c2	රථ වාහන කිහිපයක හිමිකරුවෙන් වන මොහු
71df754902	එවන් වදන් රාශියක් ලියැවෙන්නට තරම්
71df7b472a	උගත් තරුණයන් මහණ කිරීම
71dfad8937	රූපලාවන්‍ය ක්‍රියාවලියට වැඩිපුර ම යොමුවූයේ කාන්තාවන් ය.
71dfe28c2d	මට කරන්න දෙයක් නෑ..
71e010c770	අපිත්තෙක්ක කන්තෝරුවේ වැඩ
71e07601cc	ක්‍රියාත්මක කිරීමයි.
71e176a668	සම්බන්ද කරගත හැක.
71e1f7c9b6	භෞතික වශයෙන් ගත් කල,
71e2848e28	එම සහයෝගයට කලගුණ සැලකිමක් ලෙසින්
71e28e66d8	නංගිලා ගැන මේ තරම් ආද‍රෙන්
71e2b32b77	ඔබට අවශ්‍ය ඕනෑම ප්‍රශ්නයක් අහන්න
71e2bb69f9	මැසි මදුරුවන්ගෙන් පිරි කුඩා නගරයක්
71e2d47a16	මේක බැලුවා කියලා
71e2f0a0a3	අවන්හලේ ඉහළ මාලයේ කෙළවරෙහි වූ
71e3740f2d	you tube mother Mary
71e38d5947	දුම් සහතිකයක් මෝටර් රථයක
71e55e516c	ඔහුගේ කවි රස විඳිය හැකියි.
71e62a6a46	පසුව ලියමි
71e6b6707e	සම්බන්ධ වුණු විදිහ කියවුණේ නැහැ?
71e712a2e6	ඒකනේ ඔය එහෙං මෙහෙං අහුලලා
71e7288868	මම නැටුම් කලාව මුලික දැනුමක් නැතුවත්
71e7fc7a1e	අඩු තරමින් හඳහනවත් බලල නෙමෙයිද
71e85ba834	මීට කලින් ලිපියෙදී
71e8ddce3f	අදත් එම තත්වය
71e913532b	ඈතින් පේනවලු එකෙක් එනවා
71e91bf98a	තෝරා පත් කර ගත් අපේක්ෂකයන්ගේ
71e934e558	අපේ කෙල්ලොත් ඕවට අහුවෙනවනේ
71eb5c95f3	ප්‍රතික්‍ෂේප නොකොට මෙසේ වදාළහ.
71ebbe8e52	නතර උන තැන තියෙන්නේ එක ඇදයි.
71ec3e40eb	පිණ්ඩපාතය නොලැබුණු අතර
71ec9b88df	එය ඔහු දකින්නේ
71ecc522a2	මිනිහෙක්ව කොටලා මරන්න අපිට හිත දෙන්නේ නැහැ.
71ee20f026	සසර දුක නිවාලමු.
71ee63c085	ඒ ධර්මයෙන් ප්‍රයෝජන ගත්තා.
71ef15c432	බලා‍පොරොත්තු ඉටුවීමෙන් සිතට සැනසීමක් ගෙන දෙන දවසකි.
71ef2b67ea	දන්නවද මේ ලෝකේ කැරකෙන්නේ ඉර වටේ කියාය
71ef43143b	shooting games to play
71f019aea4	අනිත් එකනම් හරි පොඩ්ඩක් බලන්නකෝ
71f059f4bd	ඔහුගේ සුවිශේෂීත්වය කුමක්ද?
71f07782e5	ඉතින් ඔවුන් සාධාරණීයකරණය කරන්න උත්සාහ කරනවා
71f13faeaf	ඉතින් ඊට වඩා හොයනවනම් බදු ගෙවන්න ඕනි.
71f1747e10	දඬුවම් මුදලාලි මීට තුන්වසරකට පෙර කුරුවිට දී
71f21151c0	යටිකයත් නිරුවත් කරගන්න වේවි ඒ එක්කම.
71f2258bfe	උන් දන්නේ
71f2617638	විශේෂ යමක් කියා සිතන්නේ ම
71f2c3dcbc	කෙනකු වශයෙන් දක්වා තිබේ
71f30650ba	යම්කිසි කරුණක් නිසා
71f39e5cd4	අනුත්තර වූ අමා මහ නිවන්
71f434f377	එය වර්තමානයේ මාලිගාවත්ත
71f46d2456	අන්න ඒ මොහොතේ බුදුරජාණන් වහන්සේ වදාළේ
71f4b32a4f	අඩි විස්සක් විතර මිසක්
71f54ad6e3	එකළ පහතරට ප්‍රදේශයේ
71f54eaa27	මනාව පැහැදිලි විය
71f5a08fe7	කල්පනා කරන්න
71f6a8f500	කුඩා වන්නට විය.
71f6c57dee	නම්ත් මෙහෙදී එය තරමක් වෙනස්
71f74e7cbb	රට කරවන උන් කරන්නේ කවුද
71f84f4f41	එය නව දැනුම රට තුළට ගලා ඒම
71f88e0016	දැකපු නැති අය මෙතනින් යන්න.
71f8d0a0db	එම බුදුරජාණන් වහන්සේ ලොව පහළ වී
71f8e6ec62	ගස් උඩ
71f92adcbf	දුරක් ගිය විට එය දැකගත හැකිය.
71fa0ea437	ඩවුන්ලෝඩ් කරන්නයි
71fa79ed90	රූපවාහිනී වැඩසටහනක
71fabb8f9e	දවසක් එයාගෙ නගරෙ ඉන්න
71fac1b6dc	ඒ සිහිනෙන් මිදී
71faf70914	හඳුනාගෙන කටයුතු නොකරති.
71fb32ea85	ඔවුන් නින්දෙන් ඇහැරෙන්නෙ
71fb54682b	පාසලෙන් හරි සැදිය යුතුය
71fb8e5765	ඔයාලම බාගෙන බලන්නකෝ
71fbb71add	ඉතිහාසයට එක් වනු ඇත.
71fbeee934	උදේ තේ වලට පාන් ගෙඩියකුත් ජෑම් බෝතලයකුත් අපිට ලැබුණා
71fbf394e1	පසේ බුදුවරයන් වහන්සේලා ගැන ද
71fc5bc9fd	ඉතිං අපි දෙන්නා ඉස්සරහින් යද්දී
71fd58ebc6	එම අවස්ථාවේදී ගැහැණු ඇනකොන්ඩා කෑම කෑවාට
71fda99af0	රික්තයක් හටගන්නේ කෙසේද?
71fe55d1e4	ඒ කරන්නේ පිරිසිදු සිතකින් නොව
71fef8b405	මටත් අනාගාමි ඵලය බොහෝ දුර නොවේවා
71fefceff8	අනුර ශ්‍රීනාත් චිත්‍ර ශිල්පියාද
71ff3f180a	අඹගස්පිටියේ සැතපුම් තුනේ කණුව අසලින්
71ff75b021	හදාගන්න තියෙන්නෙ.
71ffb7af21	කියලයි මං හිතන්නේ
71ffcfc5fa	ශාසනික මෙහෙවරෙහි
