26000f5bf5	ජනගහන වර්ධන වේගය වැඩි
2671dd2754	"අධිකරණ තීන්දුව පිළිබඳව
26728aac8f	15e2b	ඊට අමතරව ප්‍රේක්ෂකයා කරා හඬ සම්ප්‍රේෂණය කිරීම
267291cc9f	75985	මේ රජතුමා විසින්
267369fc86	d9b9c	අර විදිහේ සැප සම්පත් ඇති
2673eea686	6e111	කිය කියා අපි කියනවනේ.
26742be155	fb100	පඩි ගන්න අයත් ඉන්නවා
267490054d	96564	මෙහි පහත දක්වා ඇත්තේ
26756199f2	77895	accessories for nokia lumia 1520
267561a9f2	72b54	ඔලුවට අරන් වෙන්නැති
26757ac9f7	4b1d7	යුද වැදීමට සූදානම්ව සිටි
26768d1413	40a63	මොකද අය කර ගන්න ක්‍රමවත් සැලැස්මක් නැති නිසා.
2676cf3180	5b275	පිළිගන්නට සිදුවීමයි.
2677963ca7	1c3b9	එම මාධ්‍ය හමුවේදී
2677ae6c9f	40a63	එයට අමතරව මෙම ජීවීන් පිළිබඳ
26784de3de	778ef	ඒ කාන්තාව මාව දාලා ගියා
2678e9359f	e47dc	පැත්තකට වෙලා බලාගෙන ඉන්නවා.
26797478f8	91589	ඇතුළු ගොඩාක් දෙනා ඉන්නවා.
267a6d35d4	3e0de	ඒවා මතු පරපුර වෙනුවෙන්
267afe4ee5	3d027	අවසන් වශයෙන් පැවසීය.
267b434998	2e893	පත්තිනි දේවියට කැප කර ඇත්තේය
267b4558cc	c95d0	බුදුහාමුදුරුවෝ අපට ඉගැන්නුවෙ පොදු ක්‍රමයක්.
267b78ee61	5b471	ඒවාට ඕන කෙනෙක්ට
267c0fc47c	72b54	බූන්දි අපි ටිකක් ටෙලි නාට්‍ය ගැන කතා කරමු.
267c2be675	d7784	වේශ නිරූපණයකින් පවා වෙනස් වෙයි.
267c2c1c6a	2a1cd	කටුනායක නිදහස් වෙළෙඳ කළාපය
267c2f48f2	a3d94	පොදු ජනතාව විසින් පත්කළ
267c5cddf2	1afa7	අපි අපේ ග්‍රහ මණ්ඩලය ගැන
267ce61a62	6fa50	ඉඩ සලස්වා දෙන එකයි මේ කරන්නේ
267cf53e0c	cf7b2	මේ වෙනකොට ලොව පුරා විද්‍යාඥයන්
267d062bbd	d94a9	සසර දුක් දුරු කරන, නිවන් සුව ලබාදෙන
267d157d98	9a1ed	ඒත් උඹේ අරමුණ
267d4d3851	781cf	ගුණ වර්ණනා කරනව
267d7cfeea	1afa7	room escape games for girls
267d815c9f	c95d0	ඔබ වරින් වර පහර ගසන
267db526b1	6a26f	මමනම් ඒක අගය කරනවා
267dfdd7b9	d94a9	මානුෂිකත්වයට එරෙහිව සිදුකරන ලද
267e24ece3	f40d9	අන්න එතැන තමයි බලන්නේ.
267ea60a52	72337	සිනමා පටයේ වියදම පියවන්නටත්
267eff07bc	4b05c	වන්දනා කළා.
267f4190c9	5dec9	බලමු කොහොමද කියලා ජය
267f50724b	7ec98	ඔය මන් හිතන හැටි
267f57953d	3386d	සිරකොට තබා ඇත
267fecc2c0	95997	පොලිස්‌ ක්‍ෂේත්‍ර බළකා මූලස්‌ථානය වෙත
267ff7933b	55ab9	ස්වර්ණ පුස්තකයට නවකතා ලියනවා වගේ
26800151ce	fc710	උතුරු අබාපොල නම් භික්‍ෂුණී ආරාම දෙකක් සාදා
26803bbfa1	0766f	විෂ්ණු අසුරයන් පරාජය කිරීම සදහා
2680cc9e72	3bfb3	කිහිපදෙනෙකුට දැනිලා තියෙනවා.
2681060b6c	30026	අන්තිමේ දී ඌ තලා පෙළා වෙහෙසව
26812a3533	23e9b	අපිට සලකගන්න නෙවෙයි
2681341f50	ad58a	වෙන වෙනම විමර්ශනයට ලක් කිරීම
2681d81f41	df38e	එය ඇරඹෙන්නේ කුස නෙළූ රන් රුව
2681e896d3	e9dcb	එම නිසා සිත, කය, වචනය
26821e4fd4	70278	කොලිටි කොන්ට්‍රෝල් කල නොහැක.
268295605d	361fc	පොලීසිය හා හමුදාව.
2682c1528f	85ebd	සියම් නිකායේ අනෙක් භික්ෂු මූලස්ථානය වන අස්ගිරි විහාරය හමුවෙයි.
2682ed46e1	f5954	මවුකුස දී ජරා, ව්‍යාධියට පත්වී මැරෙන්නෝය.
2683645cb1	3d532	අපි මේ දේවල් කරන්නේ
2683d59e6a	284b7	නමුත් ලංකාව වගේ සමාජයක
2684a79cf8	08a49	ඇයි එහෙම නොකළේ
268545522c	89130	සම්බුදුරජාණන් නමදින චෛත්‍ය වන්දනාවෙන්
26859041b7	231ca	ඔබ එය සමස්ත විද්‍යාවේ
2685a5db5c	44e28	අධිකරණ ක්‍රියාදාමයට සම්බන්ධ හැම දෙනාම
2685c683fe	8fa6b	මෙය පුද්ගලයෙකු විසින්
2687215607	14f37	සේවය කරන නිහතමානී පුද්ගලයෙක්.
268745bb5b	a08e7	අපෙ එකෙක් දෙනවමයි කියලා.
2687fc6737	a7b6a	ජන ගායනා රටාවක් ඇදහිලි හා සම්බන්ධව
2689003081	9f1f5	ඒත් ආදරේ ලැබෙයි කියලා.
2689012acd	78366	මේ අතීතයේ විස්තර අපට දේශනා කරන්නේ.
268999f094	be341	වෘත්ත ඛන්ඩයක අරයන් කොරන්න පුලුවන්
268a379eb1	76999	සාමාන්‍ය ශිෂ්ට සම්පන්න ක්‍රමය යි
268b4c10b5	7374d	මේ උණ බෝවේ.
268baa11e2	fa2d3	එකට සම්බන්ධ වෙලායි පැවතියේ.
268d05d8f2	d6c85	අදත් අපේ පරම්පරා වෙදකම මහා බලසම්පන්නයි
268d0ccbee	33901	මන්ද
268d111e50	88c80	වැඩි තැනක් දීලා තියෙන්නෙ කලාවට.
268d55bb31	3489d	search
268d5d9586	c26e2	මුකුත් කිව්වේ නැතත් අසාධාරණයක් නේ.
268d975246	94b34	ඔන්න බානවා
268dd1a787	1a1f3	මහා කරුණාව
268dfdb064	40381	මංගල උපසිරසි සටහනට
268dfe7724	af4ca	අපිත් එක්ක එකතු වෙලා
268e697697	e8724	එහෙයින් තාත්තාද
268ee0a8d6	a3a6a	තම ජීවිතය සරු කරගනියි
268f197e23	80862	පෙන්වන්නේ නැත්තේ ඇයි?
268ff5ff52	9094b	රජවාසලට රැගෙන යාම නැතිනම්
2690382f45	9a1ed	සංවර්ධන කාර්යයන් අවසන්
26903ab89e	d7784	ඉතින් මේ පුන්චි ටෙමුග්ඩීන්ව මරන්නයි යන්නෙ
2690420a6a	f4f83	සභාව මද වේලාවකට කල් තැබීමට සිදුවුණා
26905c4187	aa29c	මොකද දෙන්කුට ජීවත්වෙන්න
2690d9f663	30026	මේක පාවිචි කරාට
26913bdc6d	be2e9	ලොකුම ලොකු උදවුවක්.
269254ba92	b8a97	gramaniladare divison
2693709c98	34e11	ඒත් එක්සත් ජාතික පාක්ෂිකයන්ටයි
2693ddd493	c696a	ඔබට වෙන වෑඩෑක්
2693fbcf14	2bdfd	පුරාවිද්‍යාස්ථානයක් ලෙස නම්කර තිබේ.
2694b21155	92649	ඇත්තෙන්ම එය නොසැලකිය හැකි තරම් කුඩා හේතුවක් සඳහා වූ අප්‍රමාණ වෛරයකි.
2694cdd966	ce989	අපත ජාතියට අපහාස කරන නමට.
2696153afc	bafa0	මේ ටිකේම කියන්නේ ඔය වගේ කතාමයි
269646c5d3	1c3b9	එය පුරුදු කිරීමෙන් තමා වෙතට
26966b5de5	206b6	ඔය වැඩේට සමාන්තර කේස් එකක්
2696a0d2ea	c5a59	ලී පතුරු මත ලියූ ලේඛන විශේෂයකි.
2696e98379	88a58	ඉතින් මම හිතුව අපේ කස්ටියට මේ චිත්‍රපටිය
2696ea1580	45f15	කාලය ලබාදිය යුතුය
2696ea2695	be341	කුලය හා සම්භවය දක්වන නාම පුවරුද
26970b0cf4	f2ef0	තිස්ස වෙහෙරේ බුදු රැස්
2697490a13	4a53b	එහි එදාට නර්තනයේ යෙදෙනවා.
26977c0f3c	dc5ef	නුවණැති අන්‍යයෝ නින්දා කෙරෙත් නම්
269811cae4	f200a	හික්මෙන වැඩපිළිවෙල සම්පූර්ණයි.
26981a75cb	5d099	සසර දුක් නසා
26987c012b	f12ba	ඉතින් මේ මිලෝ කුඩා කාලයේ
269885e7b0	3fcd4	සිතට අවංක වුනාම ඕනෑම දේක
26989e02ec	03500	ඔවුහු හොඳ හැටි තේරුම් ගෙන සිටියහ.
2698a8b122	bfb80	වැඩපිළිවෙලක් පටන් අරගෙන තියෙනවා
26993b8d2b	df981	අවම කර ගත හැකි බවද
26993c4318	7b332	අපව බලාපොරොත්තුවෙන්
26995e715c	89f4f	එදිනෙදා ජීවිතයේ
269a4bbb09	fd8a1	diesel fuel system pictures
269ae3c82d	0e1e0	දුර්ලභ පිනක් අත්පත් කර දෙන්න
269aeda82e	95423	නොමනා ක්‍රියාවක් නිසා සාමාජීය
269b7bb59d	40953	ආර්ථිකව නැගිටින්න
269c01c5e5	3bfb3	කොහොම ද?
269c4b3ac9	936a6	ටෙලි නාට්‍ය චිත්‍රපට කිහිපයකට.
269ca79628	7424f	විහාරයටම උරුම වූ වෙනත් පොත් ගුලක
269cc30949	361fc	බරණැස ඉසිපතනයට වැඩ,
269d802076	effa6	බොහෝ සෙයින් සම්බන්ධ වනුයේ
269d84e383	f4f83	එහෙයින් සමාජ ධර්ම වලට
269d870ae9	a973b	එම සියලු දේ
269db9514c	52af9	උන් තමයි
269f0300d5	b7163	ගොඩ බාන්න නොදෙන හින්දා
269f0d9a5f	295d7	අපොයි එපා! ඒක එහෙම තිබුණාවේ"
269f17d03e	කෙරෙනවා නම් අපි එකිනෙකා හඳුනා ගන්නවා
269f215433	driving games for kids
269fed3a83	ඊනියා “විකල්ප” ලෙස ශේෂ විය.
26a01823ca	සිදුහත් කුමරා බෝධිසත්ව සමයේ සිටයි.
26a0585e7e	නලීන්ද සිල්වා තරම්වත්
26a07e88d7	පත්කරන්නේ ද පිරිමියා ම විසිනි.
26a0d4789f	යාන්ත්‍රික හෝ ඉලෙක්ට්‍රොනික ඔරලෝසුවක් මෙන් නොව
26a16e55fa	මෝහනය කිරීමට පහසු වන්නේ සංවේදී පුද්ගලයන්ව
26a1c9c5c9	උදව් කල කෙනා එයා.
26a2b0a278	යම් පුරුෂයෙක් මේ අඹ ගෙඩිය කෑවොත්
26a306e4a5	නමුත් පොර ටෝක් දෙන විට
26a31dbe63	ප්‍රීතියට පත්වෙනවා.
26a33b5760	ඔබතුමාත් රසායන විද්‍යාව එහෙම
26a3745477	අපි කාගේවත් සල්ලි වලින් යැපෙන්නේ නෑ.
26a401300b	ඇයි ඉතින් නිකන් යෑ
26a472cc71	ලහි ලහියේ ගමන ඇරඹුවාය.
26a49d3907	අන්න ඒ නිසා තමයි
26a4a281af	ලොක්ක විශ් කලේ නැතෙයි?
26a5a3ade6	කුස ඇතුලෙ තියෙන වාතය කියල.
26a61cb22e	එයා තුළ ඇතිවෙනවා සැකයක්.
26a641b734	ගැළපෙන්නේ නැහැ.
26a682ee27	අයිතිය වාරණය කිරීමක් ලෙසයි
26a6f15adc	කොටි හිතවාදියෙකුට සම්මානයක් දීමට
26a70c8943	පුද පූජා බලාපොරොත්තු වන බවද
26a73f71ff	සිත පෙළඹෙනු ඇත.
26a7644367	ඇමරිකාවට යන්නට සූදානම් වූ විට
26a81b1506	හරි අමාරුයි හැම තිස්සෙම
26a8420893	එදා රාත්‍රියේ
26a8620ed7	ලියන්න මට හිතුනෙ නෑ.
26a8c6af0f	ලංකාවෙ ඉන්නවා.
26a8dcb753	අධ්‍යක්ෂවරයා මෙම කථා ආකාර සියල්ලටම
26a92f05bf	එතුමාගේ උත්සාහවන්ත බව.
26a9c390fa	හඩ පටියෙන් සිංහලෙන් අහන්න පුළුවන්
26aa036104	හැමදාම උදේට අහන්න හම්බවෙන්නේ
26ab8375e7	මේකා රට පනින්නවත්ද?
26ac3f5d23	සසර බියකරු බව තේරුම්ගෙන
26acdd080d	ඊට පස්සේ ජේත කුමාරයාගේ වනයේ සැදූ ආරාමය
26ad3c9a90	මම හරියට කරනවා කියලා.
26ad48ee4d	හිමාල අඩවියේ හිම දිය කිරීමට
26ad6409a7	අපූරු විහිළු විලාසයක් එයි කියල මට හිතුණා
26adcccac1	දිවිමකුලූවොත් ඉන්න බවට
26ae3c4cfe	csn talent mania
26af553221	අවුරුද්දේ මෙවැනි විදේශගතව වැඩ කරන ශ්‍රමිකයන්
26af9c5ed6	මඟුල් මහා විහාරයේ නටබුන් අතර
26afce87df	අවශ්‍ය යටිකුට්ටු වැඩ කිරීමේ හැකියාව
26aff444a2	මතුපිට පහුරු ගෑමක් බවට පත් වේ
26b0154ab6	හොල්මන් කථාවක්.
26b06c46a9	ඔබට . ඇට් . යන ඊමේල් ලිපිනය මගින්
26b07510fe	කහ කුරුලු පැටියා මවගේ විධානය අනුව
26b0a4d3b3	ගම්ලත්ගේ විචාරය
26b149443f	මුල් ගුරුමොහු ලියා ඇති දේවල අඩංගු සරදම් ස්වභාවය නිසා මට පොඩි සැකයක් ඇතිවුණා.
26b16ea2e2	අම්ම මිය යනව.
26b177fc85	මෙම අවාසනාවන්ත කාල පරිච්ඡේදය තුළ
26b19e5ea3	මේ අවුරුද්දේ දිගටම
26b1a6b9a4	තවමත් මේ ගම්මාන වලදී
26b1d1326c	මේ තත්වය පේන්න පටන් ගන්න කොට
26b264116b	උන් කියයි
26b2a0a7fa	මොකද ඉරටු සුද්ද කිරිල්ල සෑහෙන වෙලාවක් යන වැඩක් නිසා.
26b2e9d5cc	කියල අළුතින් දෙයක් ලෝකෙට
26b33746b7	මීට කලින් සූතිකාගාර වැඩ කටයුතු හෙදියන් වගේම පවුල් සෞඛ්‍ය නිලධාරිනියන් සමගියෙන් වැඩ කළා.
26b3821397	උගන්නමින් දේශපාලනේ කොරමින්
26b4133b05	යම්කිසි දේශපාලන හෝ සමාජ වෙනසක් කිරීමේදී
26b4c99b52	ම්ලේච්චයෝ වෙලා වැඩකුත් නෑ.
26b5227ee9	උත්සව ශ්‍රීයෙන් සැමරූ බවක්ද
26b53cf4ea	එසේ සිතනවා නම්
26b56d854d	අසත්පුරුෂ හැඟුමින් බලවත් පිරිස වැඩිවේ.
26b5b936c8	එහෙත් ඇටැම්පිටිය පොලිසියේ මෙම සිද්ධිය
26b5e600aa	අහෝසි වනු දැක්ම මගේ පැතුමයි.
26b61d0222	ඔබ කරන්නේ අප වෙනුවෙන් හොද කාර්යයක්.
26b73d8711	madras cafe
26b79dfb6e	එක වර්ෂන් එකක තියනවා
26b7b194d6	එබැවින් රෝග විඥානයටත්,
26b85808f0	එමෙන් කලින් දැක්වූ
26b8f8219b	අනිත් වෙලාවට වතුර බොන ආකාරයට
26b9c3c64c	coco
26b9fa096e	මෙවන් සිදුවීම් වලට මුහුණ දී ඇති මා
26bb306301	සතන වැඩක් නැකි එකක් කියලා.
26bb66428d	ආදරය කරන්නේ
26bb68050d	ගිහින් පුච්ච ගත්ත හොදට
26bb809f2c	ඕනෙම මතයක් අදහසක්
26bd037c19	හොකී ගහන්න ඕනෙ.
26be2426a5	අලි අනාථාගාරයෙන්
26bebcd354	වතුර ටික බේරලා වියළා ගත්තා
26bec831a4	පොඩිනා එම බෙහෙත් අඹරන්නේ
26bf104867	හැබැයි ඔබත්
26bf4224e5	එක් පසෙකින් එය ලාංකික යැයි කිවහැකි
26bf64c56a	අරකා ඇල්ලුවම
26bf902919	උන්ගේ ප්‍රකාශනය
26bfd7668a	අපි දෙපැත්තෙන්ම බැට කෑවා.
26c0678cdf	අද අපි නරක වචන කියලා අයින් කරන සමහර් වචන
26c10e6da2	උඹලගෙ ආගමෙන් උඹල බැඳලා තියෙන්නෙ
26c1f45992	මෙම නාග දියණිය ගේ නාමය
26c2415493	අපූරු නිපැයුමක් කලා
26c29be2f5	හැබැයි කතන්දර කියනවා වගේ
26c32d6c39	උඹ දොස්තර හොඳ හිතද
26c370062a	sampath wishwa
26c387d45a	ස්පර්ශය නිසා හය ආකාර හඳුනාගැනීමක්
26c39b07c8	නෙවෙයිනේ කරන්නේ.
26c39c575a	එකවුන්ට් අප්ඩේට් වෙන එක.
26c3bfdec3	මා සිත් අලවයි.
26c438560f	ඒත් මුළු වීඩියෝ එකම බැලුවම
26c4745a65	උබ මොනා කිව්වුවත්
26c4d52389	අපට කල යුතු දේ බොහෝයි
26c4d6035a	බුදු දහම විකෘති කරනවා
26c55afe2d	සැමියා නිවසට පැමිණීමෙන් පසු
26c5c84b30	උත්සාහ ගත යුතු ය.
26c5e614ab	දුක්ඛ දායක වින්දනයක් ලැබුණ විට
26c622eb19	පියුම් සමූහයටද
26c6458907	bird
26c69ccdb0	කතාව බලලාම දැනගන්න ඉතින්.
26c72be841	තමන් එම භූමියේ ජනාවාශ පිහිටුවා ගත්ත
26c7f06c1a	රණවිරුවන් අපගේ දෑත් බදා ආශීර්වාද ලබාගත් අයුරු
26c870c4c6	මෙච්චරත් මහන්සි වෙලා සිංහලත් හදල දෙද්දි
26c8a967c2	ඒකෙන් බලාපොරොත්තු වෙන්නෙ පාඨකයගෙ
26c8f13c99	දැනගැනීමට මොන්රෝ අසමත් වෙනවා.
26c92cb133	ස්පාටකස් ඇතුළු හමුදාව ඉඩ සලස්වනවා.
26c931a673	සම්මෝහවිනෝදනියේ සඳහන් කර තිබේ.
26c9db2573	මේ කත්නදතරයට පාසලක ලෝගෝවක් යොදා ගත්තා
26ca2d5eb9	එයාගේ අදූරදර්ශී වැඩ
26ca7fd137	වාරිමාර්ග ක්‍රමවල ඇති විද්‍යාත්මක දැනුම
26ca97546d	අන්තිමට ලෝකෙ ඉතුරු වෙන්නෙ
26caa21918	දිගටම කරන්න ජයෙන් ජය
26cb72d0a1	මෝහන සංදර්ශනයක් තිබ්බා
26cbddeae9	තැන්නේ කිලෝමීටර් හතක් යනවාට වඩා
26cc0da21a	සෙට් වෙයිද දන්නේ නෑ
26cc284cd1	නොකියාම බැරි විවේචනයක්
26cc28ca83	මානුෂිකත්වය ආදරය කැප කිරීම්
26cc94230c	හොරා ත්‍රස්තවාදියා අල්ලලා තියෙනවා.
26cd9792e6	දෙවන ශතවර්ශයේදි බෞද්ධාරාමයක් පැවති නිසාවෙනි.
26ce7a7955	මා කාලය වනසාගන්නේ මොකටද.
26ceb01197	කොහොමද ඔප්පුකරන්නේ
26cf9c1441	ඔය ගෑනිට තද උනාලු
26cfae4e4d	මට්න් ඊට්න් ක්‍රෝට්න් කියලලු.
26d014e34f	භාෂා දොළහක් පිළිබඳ හසල දැනුමක් තිබු
26d096a783	ප්‍රවීනයින් අතර ලොකු විවේචන
26d0ac668a	මෙහෙම කතාවක් ගැන
26d0b7727d	වතුරකට බැස පිහිනීමට පුළුවන් සතෙක් නොවේ.
26d22f9912	ජීවමාන යථාර්ථයක් බව
26d23f8a19	මෙම පඬිවරයා ඡන්දයෙන් අගතියට යෑම
26d28a8028	live cricket stream
26d2ebad71	මේ වන විට මා මියගොසිිනි
26d304672f	ලකුණු කරන්න.
26d3a6e27b	ශ්‍රාවක අනුකම්පාවෙන් බිහිවූ
26d4304999	වාඩිවෙලා ලණුව ඉහළට අදිනවා.
26d4783f42	දෙළුම්වල ඇති මිහිරද
26d49053a6	ප්‍රජාතන්ත්‍රවාදි පාලනය ශක්තිමත් වේ.
26d493f7f6	කලින් විශේෂ දැනුම් දීමකුත් කරන්න කැමතියි.
26d4e49c17	මේ බිතු සිතුවම් වල මානව රූප
26d4ec8465	මිනිස්සු ඕන තරම් ඉන්නව.
26d4fc7235	වර්තමාන ළාබාල පිරිමි සහ ගැහැනු දරුවනට
26d5104fc0	විමසා බැලිය යුතුමය.
26d5a31c0c	සිතට අවිවේකය ගෙනදිය හැකි අද දින
26d5eff261	ඔහු කල උපකාරයට ස්තූති කරනවා
26d69b5c6f	අපි හැමෝටම තියෙන්නේ
26d6eaf3cf	එනිසා අපට කළ යුතුව ඇත්තේ
26d7178efe	බටහිර රටවල සම්මත ආසනික් මට්ටමටත්
26d7273a5b	මේ පින් බිමට වැඩි සේක.
26d754a46e	මැණික් ගල් අල්ලා සකස් කර ඇත.
26d7cc243e	වනජීවි නිලධාරින් ස්ථානගතව
26d81534c6	ලන්ඩන් නුවර අවුරුදු උත්සවයක් සංවිධානය කළ
26d8f3817f	සැවැත් නුවර ජේතවනාරාමයෙහි
26d8f7a145	කරපු පව් කැපෙන්නැ‍.
26d9170a6f	නලින් සහෝ සිංහල උපසිරැසියට.
26d94de56e	රොයිලි අයියෙ.නියමයි හොඳේ.
26d9f29ad4	කටයුතු කරන්නෙමු.
26da044938	අද කාලෙ
26da76b55b	රසවිඳින්න නම් එකෙන් බලලා බෑ ලොවෙත්.
26dab72020	දරුවන් කියන එක පැහැදිලියි
26dacb66d0	මේක සිංහල බෞද්ධ සංස්කෘතියෙන් පෝෂණය වුනු රටක්.
26dbe7551f	ඔබ කියන්නේ
26dd0e2d7c	මහියංගනය ශ්‍රී ලංකාව තුල
26dd32bb8f	හෘද සාක්ෂියක් ඇති
26dd740667	සේකරගේ කවියට වඩා
26ddc62edd	ගොඩක් කරදර මැද්දෙ
26ddd2438d	බඹ ගණං දිග කෙකි තිබුණා
26de215470	රුපියල් දහසක්‌ ගෙන චන්නට දික්‌ කළේය.
26de42ebc9	දැම්මේ නෑ කියලනේ?
26de9a16dd	මම හිතන්නේ වැරදිලා ආපු
26debfb748	ඉඩ ලබා ගනිමු තරමින් වියතක්.
26def4b1e9	මහාමේඝවර්ණ රජුගේ පුත් රාජ්‍යත්වයට පත්ව
26dfaa3d6b	එළ මචන්
26dfe03ea6	අදත් විද්‍යාමාන
26e06372cd	ඒත් රෝහන්
26e13c98f3	ඇය කැලණි ගඟට පැනලා
26e15d3b66	එන්නේ නැත්තේ.
26e16bbc10	ඔවුන්ගේ රාජ්‍ය ආයතන විසින් නිකුත්කොට ඇති
26e18a4518	මොකද මට ලැබෙන ප්‍රතිචාරවලින්
26e18e4dcd	දරුවන්ගේ වැඳුම් පිඳුම් ලැබීමට
26e26e507d	මේ උතුම් උත්සවය වෙනුවෙන්
26e37f087a	උත්සාහය අගය කිරීම් වස්
26e4207625	අදත් අපි ම්ලේච්චයෝ වගේ තමයි
26e475f25d	එමගින් තම අදහස් පරිදි කටයුතු කිරීමට
26e4928734	එහිදි ඔහු අහක බලා
26e602fdc4	තැනැත්තියක් වූවාය.
26e6f46a0c	එක වෙබ් සයිට් එකක මේ ගැන මෙයා ප්‍රකාශයක් කරලා තිබුණා
26e732af5e	අන්තර්ගතව පවතී.
26e73fd2cf	රතු මස් කන හැමෝටම පිළිකා නොමැත.
26e78b019d	එම වෛරය පුද්ගලත්වයට ආරෝපණය කර ගනී.
26e7afe3aa	මාගේ ප්‍රණාමය.ජයවේවා!
26e7ee8ab1	වෙළෙඳසල් හිමිකරු මියගොස් ඇත
26e817010c	ඒකාලේ මම ගොඩක් පුංචි හින්දා
26e829e4b7	දෙවන කොටස
26e8cb70e2	තථාගත සම්මා සම්බුදුරජාණන් වහන්සේ ලෝකයේ පහළ වන්නේ
26e8cc1272	එයට ප්‍රබල හේතුව වන්නේ
26ea124923	සොයා බලන ලෙස ද ඔවුහු ඉල්ලා සිටිති
26ea2fe54b	එතකොට මේ විදිහටයි අපි තේරුම් ගන්න ඕන
26ea451b05	ආණ්ඩුවේ තිබෙන විකෘති පාර්ලිමේන්තු බලයෙන්
26ea453f02	මෙයින් වැටහෙනු ඇත
26ea695bc8	හලෝ කතන්දර මටත් ඉන්නවා
26ea97f222	අපි යම් යම් අවස්ථාවලදී
26eb4cc864	එහි දී සිදු වන්නේ
26eb781940	වධ වීමට පටන් ගනියි.
26ec077c87	අනු නායකයන් ඉන්න
26ecd4294d	ඔන්න එකපාර මෙයාව පහර ගන්නවා
26ed1d3985	කියාගෙන යන කතාවක
26ed695ace	ඔක්කොම කියල තියෙද්දිත්
26ed749a6a	සිත් ද නොපැරේ.
26edf31479	කතරගම ඇසළ මංගල්‍යය පිළිබඳ
26ee27e2a9	ඒ නිසාමයි උද්‍යානයේ වටිනාකම ගොඩනැගෙන්නේ
26ef055243	ඇනෝ අංකල් ඒ නමින් ප්‍රොෆයිල් එකක් දාහගෙන නොඑන්නේ?
26ef222362	අලුත් දෙයක් ගැන ලස්සන සටහනක්
26ef6fbd92	නමුත් ඒකත්
26f0598d04	ඔය කතන්දර කුට්ටි කරනවාය
26f059d2b6	එය ඉතා සද්භාවයෙන් කරන නියෝගයක්
26f125fbc9	හැමදාමත් රුවන් ගෙදරට එන්නේ
26f179b0e0	ගැළපෙන භාවනා ක්‍රම තිබේ.
26f2246a20	හැබැයි නිතරම කිව්වේ
26f257bbd4	ප්‍රයෝජනයක් ගන්න පුළුවන්
26f2ef4757	අවිවාහක පුද්ගලයෙකු වූ ඔහු
26f2f7f733	මෙතෙකුත් පොදුවේ
26f36282d1	පොරොන්දු වන එකම මිනිස් ජනකාය බෞද්ධයෝයි.
26f382890a	සාමාන්‍ය දෛනික ජීවිතයක් ගතකරන අතරේ
26f39de88b	අදාළ සියලු බලධාරීන්ගේ වගකීම
26f43eca20	අපි එතුමන් එක්ක එකතුවෙලා
26f507e604	දක්ස පාල ඈනුම් අරින්නා ඉස්කුරුප්පුවා
26f54f0e94	ඇවිදින් මේ මළකුණේ අතපය අදිමින්
26f5c14e6c	ඔව්වායෙ තේරුම් අහ ගත්තෙ
26f5c9c6d3	මේ පටන් ගත්තු වැඩේ ඉවර කරන්න
26f6253515	සමහර විට
26f666d653	මේ ළමයාට තිබුණේ් මහා අසාමාන්‍ය දුක්ඛිත ගතිගුණ.
26f737e1b4	එහෙත් ඔහු පියවරෙන් පියවර
26f7669299	ප්‍රතිසංවර්ධනය හා ප්‍රතිසන්ධානය අරභයා
26f778ae4c	ගිනි තබා විනාශ කරන ලදී
26f7a7f6b6	තර්ක අරගෙන එන්න එපා.
26f888ca14	මෙකී ඡාම භේරි වාදන අවස්ථාවෙන් පසු
26f8992ce3	වැඩේ අතාරින්නේ නැ කිවුවා.
26f89b01b4	මෙම දෙබෙදුම තුළ
26f9334f7b	සමච්චලයට ලක් කරන එක.
26f9b36296	සකසාගත හැකිය.
26fa2005ed	ඔයා දන්නවා ඇති
26fa343cca	නිවැරදිතාව වැඩිවෙයි.
26fb44e9be	ඉපදීම නොවෙයි.
26fb9a7b9d	video download
26fc022533	යෙන්නේ නෙහෙනේ.
26fc09fe29	ශ්‍රද්ධාවට පැමිණීමේ තියෙන විශේෂත්වය.
26fcc99e9a	නර්තනයට අඳින ඇඳුම් පැළඳුම්
26fd678a8b	බැඳ ගැනීම
26fd762598	අනෙකුත් දෙවිවරු
26fdf41525	girl games
26fe2875e4	අතරමං වීම ශුභ නෑ.
26fe5fd9a3	වෙන කිසිවක් පිහිට නොවන බව
26ff732e8b	බඹලොවින් චුතව දඹදිව් තලයේ උපත ලැබුවා
