a05967aa8d	ඔබ ඇසූ පැනය
a0efe368d4	එය දීර්ඝ කලාපයක් ආවරණය කරමින් ගොස්
a0f01c3e87	අපි වෙනුවෙන් සාධාරණයක් ඉටු කිරීම ගැන.
a0f09fc882	ඇයගේ සල්ලි
a0f0f4e9f2	මේ බලුපොර එපා කියලා තමයි
a0f1a582e9	යුද පිටියට ගිය බවත් සඳහන් ය.
a0f1bec7ec	හැමදාම අපව දිරිමත් කරන
a0f1ebe132	වැරදි නැහැ.
a0f2678314	නීතිවේදියා පැවසුවේය
a0f31f0d40	ඉස්සරහටත් ‍දෙන්න
a0f322a27a	අපිට ඇමරිකාව සම්බාධක පැනෙව්වොත්
a0f333d15f	මින් මොහොතකට පෙර විවෘත කර අතර
a0f33ed93c	දළ හැඟීමක් ඇතිකර ගත හැක
a0f35937c9	මේක නැවත කරල දෙන්නකෝ
a0f39ccb94	අමරකෝන් මහතා ඉතාම ආදරෙයෙන්
a0f3bad894	ඔබතුමියට චෞර රැජින කියල
a0f487206a	මිනිසා නැතිව නිල්පාට තියෙනවද කියලා ලෝකේ?
a0f4b9257c	එදා සිටි කුම්භකරන ආණ්ඩුව
a0f4cacd83	අපගේ ඒ අනර්ථයන් පරාජය කරන්න.
a0f4fddeba	සමාධිය ටික ටික නමුත් සෝතාපන්න අයටත් තියෙනවා
a0f503484c	පිළිබිඹු කිරීමක්.
a0f52b3509	සුළු මුදලින් මෙම පවුල නඩත්තු වෙයි.
a0f56514f6	අලව්ව පොල්ගහවෙල ප්‍රධාන මාර්ගයේ
a0f63ffc55	එක ගෙදරක ගෑණු කෙනා අලියට පිරිමි කෙනා බුලත් කොලේට
a0f64444b2	පන්දුවක් යවන්න බෑ.
a0f75c72f8	හැම මිනිහෙක්ගෙම ඇතුලේ
a0f79e2b3c	එය පිහිටි ස්ථානයේ
a0f82f13aa	අඩුවුණොත් ඇයට මුදල් නෑ.
a0f836d3c7	ප්‍රාදේශීය රජකම් කළ ප්‍රමාණය ගණන් කළ නො හැකි තරම් ය.
a0f8775e42	budget house plan
a0f8926b94	ගබ්සා කිරීම
a0f89d8c39	අධ්‍යක්ෂ අතින් නිර්මාණය වු
a0f97e0a02	නමුත් අපි දන්නවා
a0f9a9e531	එහෙම නම් අපට ඉතා පැහැදිලිව තේරෙනවා
a0f9b56078	එදාට කලින් ඉස්පිරිතාලේ නැවතුන දා පටන්
a0fa3ce6cb	'මේ සමස්ත යෝජනාව සමඟ
a0fc2033e3	කොමික් චිත්‍රපටවලට අදාලව උපසිරැසි සැකසීමේදී
a0fcf55596	සමවත් සුවයෙන් වැඩ සිටියේ
a0fd1715de	හරිම නාකයි කකා
a0fd44ebc7	සත්‍ය ඊට වෙනස්
a0fde5045a	ඇත්තම ඉලංදාරියකුට නෙමෙයි.
a0feec6015	ඔය විදියට නිධාන කතා
a0ff1a801c	හරි වැරදි තීරණය කරන ක්‍රමයක් තියනවා
a0ff3b37d8	මුහුදු මහ විහාරය යනුවෙන්
a0ff9a36cb	මේ අය අතරින්
a0ffb9bb1c	මෙහෙයුම්වලදී වැඩි බරක් දැරීමට සිදුවන්නේ ඇමෙරිකාවටය.
a0ffc3c284	රජතුමාගේ රෝගය සුව වූ
