ba692ec9ea	තුන්වෙනි ධ්‍යානය පුරුදු කරන්න.
bafc0d8e43	ඒත් ඒ ප්‍රශ්නයට ඔවුන් නිශ්චිත උත්තරයක්
bafc23c5b3	දැනට එකඟ වී තිබෙන ජාත්‍යන්තර ක්‍රිකට් සංචාර
bafc63fabf	හාමිනේගෙ උපන්දිනේ අමතක කරලා
bafc6dc46e	ප්‍රතිපත්තිමය පුරවැසියෝ වෙන්න ඕනි
bafc84fdbb	නව ගුණ වැල ප්‍රයෝජනයට ගනී.
bafc853ea1	ලෝකයේ ශිෂ්ඨ ජාතින් අතර සිදුවන දෙයක්
bafd378371	එහෙත් ආගම වාදී ජාති වාදී සටන්
bafd71593e	wedding photos
bafd953f16	නැගිටිනවා පමණයි.
bafdd3d7e1	ජීවිතය විඳවද්දී
bafdff8fce	එය බුදුන් වහන්සේගේ චතුරාර්ය සත්‍ය
bafed61f73	යනකොටත් දුකයි
baff5b1921	ඔබතුමාමෙන් ‘සිංහල ථෙරවාදී බුදු සසුනක්’
baffeb17ed	වෙනස් කිරීමට රජයටද ලෝභ සිතෙනු ඇත
