e20023ae49	මා විසින්
e28ac90258	මේ ජනප්‍රිය අදහස
e28adcda33	ඊළඟ ලිපියත් කියවලා
e28bb06816	එලියට උඳුල් ප්‍රේමරත්නලා සංජීව බණ්ඩාරලා
e28bfc2e60	මුලින්ම ගුරු දිවිය අරඹන ලද්දේ
e28c310045	gomes
e28c360268	පසුගිය අගෝස්තු මාසයේදී
e28cde5218	කන නම් කන
e28d18e83f	එවන් අර්හත්වයට පත්ව
e28d2aa4ac	මට පවුල වෙනුවෙන් කාලය තියාගන්න පහසුයි.
e28ded5844	ඊට පස්සෙ උදැල්ලෙන් පස බුරුල් කරමින් ඉස්සරහට යනව
e28e8b74d1	දත් පිරිසිදු කරල
e28ebd4fb2	මේක ඇතුළෙ තියෙන බවක් දැක්කා.
e28ec1fcaf	කෝච්චි සීන් මාත් දැනගත්තෙ
e28ecdc347	අපි අධිවේගී මාර්ගවල ගාස්තු නිදහස් කරලා
e28ef15d36	ඉබේම නැතිවෙනවා.
e28f094f94	කෙල්ල අරගෙන කාමර ගානේ
e28fd9d2ac	ඒ කාර්ය කවුරුන් අතින් ද සිද්ධ වෙන්නේ?
e290365046	රටේ සෑම පුරවැසියෙකු සම්බන්ධයෙන්ම
e2906da0c7	රඹෑවෙන් බැහැලා දඹුල්ලට ගියා
e29149551f	innocent man
e291f6cff8	එතුමා මහත් සේ සතුටට පත් වන්නේ
e29305264a	කැලේ රජ්ජුරුවෝ වෙලා සෙල්ලම් කරනවා
e293c796fb	තේජෝ ධාතුව මුල් වෙලා.
e293d2d4bc	ආදරය කරන සියලූ දෙයින්ම
e29486afa3	මගේ කල්පනාව ගමන ගැනමයි.
e2949cc3a3	ලක් රජය විසින් ම ක්‍රියා මාර්ග ගනිමින් සිටියි
e2957e5087	මොකද ඊරියො අඬනවා දැකල නැති අයගෙන්
e2959f2199	සිංහල උපසිරැසිවලට ස්තුතියි
e295f33dd8	ඒත් යන පාර ගැන දැනුමක් තිබුනේ නැහැ
e29662ef5a	මෙරට පැරණි ජන ක්‍රීඩාවල නියැළීමට ද
e29711e832	නමුත් කිසිම පාලකයෙක් හෝ නියාමනයකට යටත් නොවන සමාජ වෙබ් අඩවි
e297711177	කල්ගිය බව ඇත්ත.
e2978c9fac	සාමූහිකව දිවි ගෙවති.
e297995834	බොහෝ රටවල මෙවන් උත්සවවලට
e297f6e80f	අත්හිටුවා තිබිණි.
e298347c12	තමන්ට මියගිය නෑදෑයන් කථාකරන බව පවසති.
e298ec8a7a	විවිධ සූත්‍ර දේශනා වල
e2994e7f6b	කාල ඝෝෂණය පවත්වති.
e299eacd40	අනෙක් අතට ඇමරිකාවේ
e29a3a5b63	එක්වරම ප්‍රකාශ කළ නොහැකිය.
e29a61e849	නිපදවන ජංගම දුරකථන වල ද
e29a7b9094	පසු පස ආව පින්වන්තියක් විදියට.
e29a7d9b07	මෙන්න මේ මසුරුකම මුල්කරගෙන
e29acabf93	මේක දැකපු පොලිස් නිලධාරියා
e29b0c5f93	මෙයින් තහවුරු වන ප්‍රධාන කරුණ නම්
e29b52143a	ඇතැම් විට බලවත් ග්‍රහ කෝපයක් වෙන්නට පුළුවනි.
e29baaec79	එවිට සමහර අවස්ථා මට දැනුණෙ
e29c0c4610	ප්‍රතිඋපකාර කිරීමය.
e29daf701c	තමන්ට කිසිවක් ප්‍රකාශ කළ නොහැකි බව
e29e9a6e12	දුන් දෙය ගැන විපරම් කරන්නේ
e29f30ee33	පවතින තරගකාරීත්වය තුල
e2a018610a	මාතරට ඇදලා ගත්තා.
e2a0f17319	කොහෙන් හොයා ගත්තද මන්දා
e2a26c2d35	සපිරි ලෝකෙකටද?
e2a296d524	මෘත ශරීරය දින ගණනාවක්
e2a2b652a8	මොකද බලාපොරොත්තු තමයි මිනිස්සු ජීවත් කරවන්නේ
e2a3757c46	බ්ලොගයක් සින්ඩිකේටර්යක් පටන්ගන්න
e2a3aa0945	මෙකී ග්‍රන්ථය
e2a44efe22	එල එල අඩේ
e2a493dc20	skype for windows 8
e2a5a22a69	අර ඔක්කොම ඉවරයි
e2a5dd304c	අවාසනාවටද කොහේදෝ එදා මුළු ටවුන් එකම පාළුයි.
e2a61a09b0	ඉතින් මාව විශ්වාස කරපු ඒ හැමෝටම
e2a672e5d7	අද බටහිර ආරේ ආර්ථික ක්‍රමයක් අනුගමනය කරමින්
e2a687c23b	ඊටපස්සේ පොලිසියෙන් ගැළවීගෙන
e2a7559017	දිනෙන් දින හකුළුවමින් තියෙනවා.
e2a7e3fc48	පුපුරණ බව ප්‍රායෝගික සත්‍යයකි.
e2a88859c1	ඔය සිද්ධිය ගැන මාත් එච්චර දැනං හිටියේ නෑ.
e2a92559ba	මේ හිත දහම තුළ හසුරුවා
e2a939e604	හැබැයි තවමත් පිටිදුවේ සිිරිධම්ම නම භාවිත කරනවා.
e2a957c8cb	පොදු වූ ගඩොල් මෙතනටද වලංගුය.
e2a97ef392	අසුභ භාවනාව බොහොම හොඳයි
e2a9ad1aac	මේ මොහොතේ ශ්‍රී ලංකාව පවතින පරිසරයයි.
e2aa2ce1cc	ඉක්මනට මේ කොටසත් දුන්නට බොහොම පින්
e2aa3a01cf	උපහාර දක්වන ලදී.
e2aa4509ac	පුනර්ජන්මය ලදිමු.
e2aa8573a6	අන්තිමට කොටි සංවිධානය
e2aaafeb82	බලන්න බැටළුවො ටික වැතිරිලාද ඉන්නෙ කියල
e2aad107fe	භාවිත කළ හැක.
e2ab215dd5	ඇය රවටා ඇගේ පියාගේ මුදල් සොරකම් කර
e2abac90a4	ගම්පහ දිස්‌ත්‍රික්‌කයේ
e2ac2ec94e	අපගේ පුංචි උත්සාහය අගය කිරීම වෙනුවෙන්.
e2ac5efaef	දෙමළ සමාජය තුළින්ම
e2aca0be12	අපි අපේ රටාව වෙනස් කරන්න උත්සාහ කරන්නෙ නැහැ
e2acc3b06e	හැමදාම කොමෙන්ට් දැම්මේ නැතත්
e2ad0cac1d	ඒ වචන ලාලිත්‍යය ය.
e2ad4091ce	මා විසින් කියවන ලද්දේ
e2ae2ff5ec	ඔහුට වඩා
e2af5e7f1c	බැලූ බැල්මට,
e2aff1ad0d	මුස්ලිම් ලා අපිව බිස්නස් වලින් කොහොමත් පාගයි
e2aff78bbc	පරිසරය පිළිබඳ විමසිලිමත් වීම
e2b00a08c9	උදවිය දකුණේ නීතිය
e2b07ced0d	මෙසේ ශරීරයෙන් සිත ඉවතට ගොස්
e2b0e9b257	අනිකුත් වාමාංශික කන්ඩායම් වල
e2b1e3366b	එම ථෙරාපදානයන්හි අවණ්ටඵලදායක වර්ගයෙහි
e2b2052540	අර ඇනෝ ආතල් සයිට් එකේ
e2b21de5c0	මෙතනදීත් පැහැදිලිව පෙනෙන්නේ
e2b22e1aa1	බෝධි නමින් ය.
e2b2792354	උතුම් නිවන් සැපත සාදා ගන්න.
e2b2b20ccf	මනාව පැහැදිලි වෙයි
e2b3f20a52	කටුනායක නිදහස් වෙළඳ කලාපයේ
e2b4428f3f	ඔබ බොන වතුර වීදුරුවක තිබෙන
e2b56a6fe1	පුද්ගලයා මරණාසන්න මොහතට පත්වේ
e2b58fbf45	අගතියේ බලපෑම හේතුවෙන්
e2b6692b5d	අදත් මිහින්තලයේ රුව් පිළිරැව් දෙයි.
e2b6833565	එකල්හි ඔවුුහු
e2b6e16948	අනේ ඉතිං දහසක් බලාපොරොත්තු පෙරදැරිව
e2b70fd278	තියෙන පව්කාරකමනේ
e2b76ecf5e	ඒක නෙ උන් කියන්නෙ
e2b80cdf8b	පුරාණයේ පැවැති ලොකු වැවක
e2b845ad5d	කියලා හිතන්නේ.
e2b8edcc78	තිසර හොද වැඩක්.
e2b8f3e2ec	මේක තමා මාලිගා කන්ද
e2b8f7d2ca	ඇඹිලිපිටිය ප්‍රාදේශීය සභාවේ
e2b933e6e0	අනේ මාතලන් ඔය අළුත් දේට
e2b97d5bdc	කවුරුවත් කිව්ව පලියට යමක් විශ්වාස කරමින්
e2b998b1e7	නැවත අඳුරු කාලයක් උදාවන්නේ
e2b9a6338e	මොකද්ද කරන්න පුළුවන් කියල
e2b9b80d15	මෙයින් පැහැදිලි වේ.
e2ba554dd3	වැදගත් වන අදහස් බොහොමයක්
e2ba63d258	වඩමාරච්චි මෙහෙයුම නතර කරන්න
e2bb1b74f7	ඇවිත් තියෙන්නේ
e2bb9932d7	පිරිවෙන් අධ්‍යාපනයෙන් තවත් ඉදිරියට ගොස්
e2bba6b04f	සමාන හඬකින් ගායනය කිරීම
e2bc4b4478	මෛත්‍රී සහගත විය යුතුය.
e2bc627d2a	පිරිසකගේ තොරතුරු අණාවරණය වී ඇත
e2bcb361a3	ආයෙත් බලන්න කියලා ආරාධනා කරනවා.
e2bcd570d8	අතිරික්ත වටිනාකම උරා ගැනීම
e2bcee604e	අන්තිමේදි ඔයාලට දැන ගන්න පුලුවන් වෙයි
e2bcfdbd73	ඔබලා අප අතරෙ ගැටුම් ඇති වෙන්නෙ නැහැ.
e2bdb9272c	දේශපාලනයේ පමණක් නිරත වී ඵලක් නොමැත.
e2bdc74c95	සේරු නුවර මහා සෑයේ
e2be3d0baa	ඔය කියන්නෙ බිරිඳ පත්තරේ
e2be98030d	එදා මහින්ද නූලෙන් වගේ දිනුවේ
e2bed973bb	බෞද්ධ දර්ශණයට අනුව
e2bf12f89a	මනුෂ්‍ය ශරීරය වාහකයක් කර ගැනීමට
e2bfc75549	ආත්ම ශක්තිය ඇති කීදෙනෙකු
e2bff6aefa	මින් එහා ගිය මනුෂ්‍යත්වය පිළිබඳ ගැඹුරක් ඇති
e2bff7333b	එබැවින් ඒවාට බෞද්ධ ලක්ෂණ ඇතුළත් වීම
e2c0458fc2	එය පැහැදිලි කරනුවස්
e2c0556746	ඔවුන් තුළ පැවැති ගෞරවාදරය පෙරහර තුළින් ඉස්මතු වුණා.
e2c1bcf535	හැබැයි කෑවට පස්සේ මේසේ උඩ කැත කරන්න
e2c3734497	කැමති අයට සුපිරි කතාවක් තමා
e2c39c7add	හිතනවා ඒක
e2c3d27ffd	නීනෝ දුකෙන් අම්මාට කියාගෙන ගියා.
e2c3e2417b	දහම් රසය දීමට ගියෙත් නැත
e2c40c5203	තමන්ගේ නියෝජිත පිරිසක් පමණක් එවන බවත්
e2c44c8705	සැරින් සැරේ මේ දරුවෝ
e2c596633b	කියලයි මම හිතන්නේ
e2c5c7eb9e	අරුණි ලියන හැම දේටම
e2c5f0f3dc	ආරක්ෂක අංශයට සම්බන්ධ ගොඩක් අය මේ හොරුන්ට අහුවෙනවා.
e2c5f352fc	හරිම දියුණුයි කියන බටහිර සමාජයේත්
e2c688eca6	දුක් වෙන්න එපා
e2c72729ce	සිනිඳු රෝස මලක් මෙන් රැකගෙන ආ
e2c766bc7b	පන්සල් වර්ගීකරනය වෙලා තිබීම
e2c7855f79	කථා කරන්නට පටන් ගනී.
e2c894cf2f	legends of the seeker
e2c8d6e2c8	ඔයා බැංකුවක කලින් වැඩ කළා නේද?
e2c8e614eb	යහපත් ගායනාවක් යන අරුත් ඇති වචනයකි
e2c90e3ba4	නමුත් ඔවුන් දුක් විඳින බව
e2c96d465c	අමිල පුලුවන්නම් අනිත් කොටස් වලටත්
e2c9b609a5	ඉතින් දවසක් රෑ නෝමන්ට එයාල අඩගහනව
e2c9ebb06b	ඒ ගැන දන්නේ නැහැ කියලා.
e2cad355a1	අපිට පුළුවන්කම තියෙනවා.
e2caf3c77d	ඔය සර්වාගමිකයින් හැම එකාම
e2cbea549e	මෙන්න ඔයාට ගැලපෙන තාලේ එකක්.
e2cbfd8155	එය සැම මොහොතකම සිදු වෙමි
e2cc24e551	ඒත් ‍පොඩි වේදනාවක් හිතේ තියෙනවා
e2cc6488f3	මුහුණදීමට සිදුවන බවද ඔවුහු පැවසූහ
e2cc6b0323	sinhala comments
e2cc75684c	අර කවුද ඇමති කෙනෙක්
e2cd0fdd64	බුද්ධ පූජාව ගෙන ගොස් පිදීමයි.
e2cd2a2935	එවැනි අවස්ථාවලදී භාවිතා කරන්න කියලා
e2cd31d51c	ග්‍රහණය කර ගැනීමට සමත්වේ.
e2cd66268e	තව කතාවක් මේක කියෙව්වම.
e2cdbc2a7b	මිනිස්සු පොළඹවන්නෙ නෑ.
e2ce158f45	එය තේරුම් කර දීමේ
e2ceef935b	ජීවත් වෙනවා නම් කොච්චර හොඳද?
e2cf41a945	ජනතාව ඡන්දය දීමෙන් වැළකී තිබෙනවා
e2cff23ffa	බලෙන් තියාගෙන වෙන කෙනෙකුට ණයට දුන්නොත්
e2d02f5784	එහෙව් පාර්ලිමේන්තු මන්ත්‍රීලා
e2d0337156	යථාර්ථවාදය යනු විවිධ රීතීන් අතරින් එකක් නොවේ.
e2d059b849	අ.පො.ස. සාමාන්‍ය පෙළ හොදින් සමත්
e2d06105b7	පවතින රටක් වූවද
e2d073d266	මං මාර ජොලියක් ගත්තා.
e2d0cb0461	මේක බුදු දහමට වඩා සිංහල සංස්කෘතියට අදාළ ප්‍රශ්නයක්.
e2d2cd1003	බොහෝ උගතුන් කරන්නේ ගිලපු දේ වමාරන එකයි
e2d33ca4f3	අදාළ ළමයාගේ වයස
e2d3642d13	ඇති සම්භාවිතාව අවමයි.
e2d3f9fe87	අලි දෙදෙනා තුන්දෙනා හමුවන අවස්ථා තිබේ
e2d42364dc	මැදහත් සිතින් බුද්ධ දේශනා, අටුවා ආදියෙහි බහා බලමු.
e2d47cfd2e	ඒකේ ‍උ‍ප‍සි‍රැ‍සි‍ය
e2d4e38e61	අනික මම වැඩ මුල ඉඳන් අගට කරනවා
e2d525e94b	ඔය වගේ එකක
e2d5e747e9	මේ මංගල්‍යයයි.
e2d6a1ec30	ආණ්ඩු කියා කියන්නේ ධනපතියන්ගේ අතකොළු විනා
e2d7021ee7	පෙම්බස් දොඩමින් පසු වූවාය
e2d74b81aa	ඇයත් හොදම සහාය නිළියට
e2d766d114	රජයේ ආරංචි මාර්ග පවසයි
e2d769cb65	වාදයක් ලෙස සලකා
e2d77d3f4f	ඒත් ප්‍රශ්නෙ තියෙන්නෙ
e2d8058151	අනිත් ආගම් ඇති ගුණ
e2d876eb2b	එය චක්ඛු සම්පස්ස, සොත සම්පස්ස,
e2d9132a1f	මෙය සමාජ සෙවයක්.
e2d924d9c1	ten cricket
e2d92b46e4	එසේ යද්දී හේනක් දැක
e2d9697804	house design online
e2d9983de7	eminem cover photo quote
e2d9984fac	අධ්‍යක්ෂකවරයාට අවශ්‍ය වී ඇත්තේ
e2d9ba168e	මේ කියන විවිධත්වය
e2d9cc5b35	මෙන්න අමුත්තෙක් ඇවිත්
e2d9e821f1	යෝගීන් සමග අදහස් හුවමාරු කරගත හැකිය.
e2da478a89	යම් දුර්වල තාවයක් නිසාවෙන් බව මගේ හැඟීමයි
e2da58e41e	අපි බලමු මෙවර ලුහුබැඳීමෙන්
e2da6f39d0	ගස් අතු වලට ගොඩවීමට ඇතැමුන් උත්සාහ කරන බවත්
e2daf35080	රටේ ජනතාවට ඇතිවන බලපෑම අවම කරගැනීම සඳහාය
e2db1581a2	කියන උත්තරය මේකයි
e2db72b603	රේචල් චාලි මයිල්ස් ඇතුළු පිරිවර කැරලිකාරයන්ට සහය දෙන්න
e2db8f7db0	සොරකමින් වැළකීම
e2dc389017	සිතට මහත් සතුටක් ගෙන දෙන
e2dcc35831	අපි නොදන්න පැත්තක් ඇති නේද?
e2dd0b70c4	ජීවිතය දැක්කාම දුක හිතෙනවා.
e2dd1b6ed0	එතනට ගියාම
e2dd7e33fc	පුරුෂයකුට පමණක් ම බවත්
e2dda4d00b	උන් ලොකු තැන් වලට ආවාම
e2de7fe768	ඉතා වටිනා බලගතු ගණදෙවි ප්‍රතිමාවක්
e2dfe979e0	සහ ගහන අපරාධයක්.
e2e069cea0	mh370 news
e2e16f8bd2	ඔය හැම පත්තරයකම දමන්නේ මේ රටේ සිදුවන දේවල්.
e2e1e96b73	එතකොට නායකයාට දුන්නොත්
e2e2cfe4a8	යන නමින් කොමෙන්ට් කර ඇත
e2e37195d2	එයින් වැදගත්ම
e2e38b1f09	ඉතින් මෙයාගේ තවත් මිත්‍රයෙක් ඉන්නවා
e2e398af38	raaz3
e2e4b39173	එවකට හොඳ පිටපතක් සොයා ගැනීමෙ
e2e4e17dda	පිට රටින් ගෙනෙන අමුද්‍රව්‍ය
e2e50ceadd	දේශගුණික වශයෙන්
e2e54327fa	එම නෞකාව දකුණු කොරියාවේ ඉන්චන් සිට
e2e57541e3	මොකෝ ඒක කිව්වොත්
e2e621fafe	වලපනේ පදිංචිකාරයකු වන අතර
e2e64911b4	එවිට තුන්වේලට ම බත් අනුභව කළත්
e2e6d4ea17	චීන රජයට නොහැකි බව පෙන්වා දෙමිනි
e2e6e64e9f	ඔබ දන්නවානේ.
e2e6f28a04	අතිශයින්ම ප්‍රකාශිතය
e2e70b8d46	සිය නිවාස මත කඩා වැටීම හේතුවෙන්
e2e761e8c1	උපසිරසි හදන අපේ යාළුවො වැය කරන නිසා.
e2e862f66a	නියමිත ප්‍රමිතියක් නැත.
e2e8b8f98e	road accident
e2e8f56d2c	ඔබගේ වටිනා කාලය
e2e90ac92a	ඇතැම් අය බටහිර සම්භාව්‍ය සංගීතය තම තමන් විතරක් රස විඳිමින් ඉන්නවා.
e2e91a83d3	type an ring
e2e9fa5c5a	කථා කරන්නට පටන් ගනී.
e2ea177d8a	සැප්තැම්බර්වෙනි සිකුරාදා සිට
e2ea611ad6	ඊට වතුර ස්වල්පයක් දමා දිය කළේය.
e2eb0f2524	birthday photos
e2ebf5e802	මෙම ලිපියේ ඇත්තේද නැත.
e2ec1f25dd	සිල් නොවන දේවල්
e2ec9630eb	ගැන ඇති තන්හාව නිසාය.
e2eca82172	නාරද තෙරණුවන්ව වෙනස් කොට තිබිණ
e2ed6331ae	බැණ වැදීමත් ගල්පහර දීමත් ය
e2ee3aca6e	ප්‍රවණතාවක් අද දක්නට ලැබෙනවා
e2ee67c0f9	අනුගමනය කරන හැසිරිම
e2ee7acf98	භික්‍ෂු විනය තුළ
e2ef4c4974	ඒක උපසිරැසි වල
e2efb5c568	නොදත් සේක
e2f02c0d3c	ඒකටනම් උත්තරේ නෑ ගොයියෝ
e2f03426d9	models lanka
e2f0de8c91	පුරාවිද්‍යා චක්‍රවර්ති එල්ලාවල මේධානන්ද හිමියන්ට ය.
e2f20e8080	තාත්තා මට කිව්වා
e2f34ddb51	බුදුන් වහන්සේ මෝර ජාතකය දේශනා කොට වදාළේ,
e2f3703861	shopping online
e2f3b13185	සම්ප්‍රදායයන්ට අනුව සිදුකළ එකකි.
e2f40878a8	උපතිස්සයන් සිදු වූ සියල්ල කෝලිතට විස්තර කළා
e2f40f3fd4	මහා පවාරණයෙන් පවාරණය කළ භික්ෂූන් වහන්සේ නමක් උදෙසා
e2f41dd498	යුක්තව කල් ගෙවිය යුතුය.
e2f448d93e	ඔබ ඔවුන් ගේ
e2f4aacfe8	සැහැල්ලු ජීවිතයක් මට තියෙනවා
e2f4b72758	එය මා සිත් ගත් කතාවක්
e2f4fbbdb1	පල කාරන්නේ නම්
e2f52aadb7	මෙසේ කියා ඇත්තේ ය.
e2f625600b	ධනපති ව්‍යාපාරිකයන්ගේ මරණ වරෙන්තුව හමුවේ
e2f62b12fb	වෙනත් ජනක කර්මයන්ට අවකාශ සැලසෙයි.
e2f6366a0e	අගක් මුලක් සොයාගත නොහැකි විය.
e2f6af65ac	යමක් කමක් තියෙන හින්ද
e2f702ea0d	එහෙත් එම පරීක්ෂාවේ දී
e2f75340e9	අවසානවකට මට දෙවැනි දින එන්න
e2f7d5557e	කිසි දිනෙක තෘප්ත නොවන අසහනකාරී ස්වභාවයයි.
e2f83e5bcf	මූලික අවධානය යොමු කරන්නේ
e2f8fba1a9	දැක ගැනීමට පුළුවනි
e2f954dbb2	විවිධ දේශනාවන් අළලා
e2f9d361e4	ඉංග්‍රීසිහු ජනතාවට කෑමට තිබූ ධාන්‍ය වර්ග ගිනි තැබීමෙන්
e2f9d5771a	වැරැදි පැත්තට යොමු කරන
e2fa60f981	එනිසාම අස්වත්, වෘක්ෂය බෝධි නාමයෙන්
e2fa8db14c	අම්බලන්ගොඩ ඉඳං කලවානට
e2fad845f9	ජාතිකවාදයට ගොදුරු වූ ලාංකිකයා තුළ නැත
e2fb520855	සාත්තු කළ ඔහු
e2fbe19123	වෛද්‍යවරයා පවසා සිටියේ
e2fc3bcf7c	උසස් පෙළත් උසස් ලෙස සමත් වුණා.
e2fcc2bb12	බුද්ධ ශාසනය කියන්නේ
e2fcc96b9d	මොහු එම හිමියන්ගෙන් වතුර වීදුරුවක්‌ද ඉල්ලාගෙන පානය කර තිබේ.
e2fd7fbab8	වෙච්චි වැරදිල්ලක් නෙමේ.
e2fdb2672a	ළමයට ඉගැන්නුවා.
e2fe6d7b6b	එම ලැබීම් නවතින්නේ නැත.
e2fe96ccb0	එතකොට ශ්වේත රාත්‍රිය පිළිබඳ සුන්දර මතකය
e2febc7869	සැකයෙන් බියෙන් තොරව
e2fec0f11a	ඔබට මගේ
e2ffa738cf	එහි නම් තැනක් නැති.
