5100981965	මෙසේ සිටින්නට ලැබීම
51a1f7c443	මේක මේ ප්‍රශ්නෙ විසඳන්න තියන හොඳම විදිය නේද?
51a215c484	බිහිවන සමාජය වඩා යහපත් වන්නේ.
51a2c15424	ඔන් බෑවෙන්න
51a37ac226	මනස තිබීම මිනිසුන් සතු ලක්‍ෂණයක්.
51a3f4f0d2	මේවායින් පිට ව යන්නේ පාසල් වයසේ දූ දරුවන් ය.
51a4006d2c	එයට හේතුව කුමක්ද?
51a40974dc	එවැන්නක් යම් හෙයකින් සිදු වී ඇත්නම්
51a4678c0f	කිසිම තැනක දිව්‍ය සම්පත් තුළ
51a47924bf	අරහත් මාර්ග ඵල ඥානය දක්වා ගමන් කරයි.
51a4ed2c55	එතකොට එහි තිබෙන ශාස්ත්‍රීය බර අඩුවෙන් නැද්ද?
51a501235c	මතකයේ නෑ.
51a5637ee0	හිත සැනසෙනව නෙවෙයි තවත් අවුල් වෙනවා.
51a57f407a	උගුරේ හිරවී තිබූ
51a595e251	හැබැයි ඔන්න දැන් ඉඩෝරය නිමකරමින්
51a608d4eb	මතවාදීව ශක්තිමත් වෙන්න ඕන.
51a64145e7	මහා කස්සප හිමියන්
51a6abd6c6	ඉතින් මේ වෙලාවේ මම මගේ හදපිරි ස්තූතිය
51a6d15530	එකට ජීවත් විය හැකි
51a75e179d	මරණය යනුවෙන් ව්‍යවහාර වන බවයි.
51a7a0e5a3	මෙම පහන් වැටේ එළිය කිසිදා නොනිමෙන්නේ
51a8fd05b3	එතකොට තමයි ඒ දෙන්නා අතරේ තිබුණ සම්බන්ධය ගැන
51a97a9aa8	ඒත් පළවෙනි එක කරද්දිම
51a98732a4	එනම්, එයට අදාළ ප්‍රතිපත්තිය
51a9d0bcf6	ජාතක කතා එක්තැන් කොට
51aa0d3717	ආරක්ෂක නිලධාරීන් සටහන් කරනවා..
51aa4d7ec4	රිදෙනව වගේම තමා උන්ටත් රිදෙන්නෙ.
51ab90ad4a	මහා කඨින දානයකින් කළ හැක්කේ ද එපමණකි.
51ac1ad631	බලපන්කො කොල්ලෝ
51ac4fcd09	නිරන්තරයෙන් අපට මතක් කර දෙනු ලැබේ.
51acb9a737	රජයෙන් ගිහි පින්වතුන්ගෙන්
51ad3609d5	එතකොට යුද්ධයේ බර අවි වලින් මිදී
51ad420928	ඔය කෑ ගහන්නේ
51ad8bcc1e	අලුතින් ආරම්භ වෙන
51ada2250c	දොර අරින දිග මර්සිඩීස් බස්
51aee6b16c	ඓතිහාසික පුරාණ තොටගමු රන්පත් රජමහා විහාරය නිසාම
51af3567d2	සිහිය විකල් වූ විට
51afa3e295	එතුමාගේ උත්සාහවන්ත බව.
51affa22cb	ඇගෙන් ඇගිලි තුඩු අගින්
51b04d2407	හැමදාටම ජීවිතේ පුරාවටම
51b0b5b800	කොත්තමල්ලි පොවන්න බලාගෙන ඉන්න
51b0f975f7	ඒකෙන් වැඩි වාසිය ගත්තෙ
51b2377db9	how to make Mickey mouse from icing
51b23b2e69	චෛත්‍ය ඉදිකිරීමටත්
51b287b288	වාසනා පැතුම් ගුණවර්ධන ද
51b2a989f3	පළමුවරට සඳහන් වන්නේ
51b2e64644	බුදු සිරසට ගල් පෙරලූ
51b302c0a0	ඊට පස්සෙ මැද ඉන්න එකා
51b30bc848	හැඟෙන්නේ කවර හෙයින්ද?
51b3181a00	කැස කවන්නේ
51b3ff1e17	ඒකෙත් අවසන් පිටු කීපය
51b47e8d15	තීන්දු කර සෝර්බා අමතයි
51b4b5e136	සල්ලි හොයනවා.
51b4c4aaca	ගල් ‍පොතු කෑලි දෙකක් අතරට තියලා
51b4d6b80b	ඉස්කෝලේ නිවාඩු දවස්වලට
51b4e2b09d	අපද පස්වනක් ප්‍රීතියෙන් උදම් අනන්නෙමු
51b57523c9	මේ යෝජනාව ගැන.
51b58c2f0d	ඔන්න මම ඒක
51b5ef32c4	බුදුරජාණන් වහන්සේගේ සදහම් පදය
51b60f134b	කතන්දර කියන්නේ
51b643ac8a	මේකෙ මොනාද බන්
51b6835d0f	සැමියා එසේ කියමින්
51b684a997	අප උපකරණයෙන් කරන්නේ
51b6ab9fb3	මට කතා කරලා තියනවා.
51b6c4b904	වසරෙදි විතර
51b7208563	පිළිම ගේ තුළ
51b77a1bc2	මෙලෙස අනුපුබ්බ කථාවෙන් දහම් දෙසනවිට
51b7a70d38	cardboard house pic for kids
51b84b7fa8	තැනැත්තන් හිඟ නැත.
51b9092022	එයින්ද සෑහීමකට පත්නොවුණු
51b93f33cc	දහමෙහි ඇත.
51b9bf197c	එච්චර ලේසියෙන් පිච්චෙන්නෙ නැතිලු.
51b9cc9e07	ඒවාට සමාව භජනය කරන ගමන්
51b9e0168f	ගුවන් යානා ඉන්ධන කළමනාකරණය
51b9eb4238	එතකොට අල් කයිඩාව උන්
51ba09043a	ඒ අනුවය.
51ba173b72	අපට ගෙනාවට ස්තුතියි.
51ba2717a9	ඇමරිකාවේ නැවතී එම උපාධිය සම්පූර්ණ කරලීමට අවශ්‍ය සියළුම පහසුකම් සැලසෙනවා.
51bad7805f	තමාට අත පෙවිය හැකි
51bb7dfb0c	බලන්නකෝ මේ මම ලියපු කොමෙන්ට් එක ගැන මටම ලැජ්ජයි.
51bbc0c9f7	එහි විකර්ශනයක් යොදා ගැනීම
51bc0e920f	මෙහි දී සාහිත්‍යකරුවන්ට විෂය වූ
51bd9f475f	අදාළ සිවුපා රූ හිස් දක්වා ඇත
51be123e21	සාධාරණීකරණය කිරීම.
51be7ac5e0	අඩු වැඩි වශයෙන් දෝලනය වෙමින්
51beb2009d	බෞද්ධ ලොව පළමු වරට
51bf5dd1ac	එම නිසා ඉහල සිට පහලට
51c0899320	gem sri lanka.com
51c0f51df5	ඒත් සිකුරුගේ
51c1549ee1	ක්‍රෝධ කරන්නාට මෛත්‍රිය කිරීමයි.
51c1dc09ee	windows xp pro sp3 fresh install wont update
51c257d5f3	උඹල වගේ මැටි හරක්ට මේක තේරුම් යන්න
51c2957bc0	මම බලපු ලස්සනම එකක්
51c32f0e68	ආයෙමත් අපිට යන එනමං නැතිවෙනවා.
51c343b082	මේ හැසිරිම් සමග ඒ කතා ගළපා
51c38eb6ed	අපේ ජාතික යුතුකමක් සේ අප සලකනවා
51c3ea5885	ඉතිං පුංචි ගෑණු ළමයා නිල් කුරුල්ලාගෙනුත් ඇහුවා
51c3ef420d	මුවන්ට අභය දුන් සුරතල් මුව පැටවුන් කෙළි දෙලෙන් සිටින මිගදා වනයටය.
51c3f620a8	පරික්ෂා කරගන්න
51c4011994	මිනිසාට මෙන්ම තිරිසන් සතුන්ටද
51c40eb750	බොහොම ඉස්තූතී උදාර මැක්සා.
51c43b3bfc	එහෙම නම් අපට ඉතා පැහැදිලිව තේරෙනවා
51c54d4b02	එවැනි දෑ හඳුන්වාදිය හැක්කේ
51c558c3f2	එම ක්‍රියාවලිය සිරිත් පරිදි
51c58cad83	නමුත් එයා ශික්ෂා පදයක් හැටියට
51c5ff0d15	කිරි එලුනා කියලා බන කතා වක කියන්නේ
51c63dd2dc	එක්සත් භික්‍ෂු පෙරමුණේ වේදිකාව ඒකට උදාහරණයක්
51c6a76b57	මහා විනාසයක්.
51c6ac290c	ඒත් එහෙම කියන්න
51c6d58e16	අපට කිසිසේත්ම අමුතු එකක් නොවේ
51c712281a	එම නිදහස ආරක්ෂා කර ගැනීම
51c93dcb2d	පිඩු පිණිස පරිහරණය කරන ලද්දේ
51c9589320	ඔය විදියට නිධාන කතා
51ca98a65f	වියදම් දැරීමට සිදුවන දවසකි.
51cb24936c	එහෙම බිහිවෙන් නැහැ.
51cb2989e3	ඔය සෙතේම වෙනව
51cb71d8af	එබැවින් ස්ත්‍රී පුරුෂ සමාගමය දෙස
51cc22f02b	පිරිසක් මෙන්ම
51cc493fff	සිල් සමාදන් වුනා.
51cd0b2c0f	භෞතික වශයෙන් ආරක්‍ෂා කිරීමට
51cd15c0a9	අධ්‍යක්ෂවරයා මෙම කථා ආකාර සියල්ලටම
51cd8c0d9a	උන්වහන්සේගේ පිටට තදින් පහරක් දුන්නා.
51ce6961a7	මෙසේ සලකනවිට
51ce875d0e	දැක්විය හැකි
51cf80bb23	ප්‍රාර්ථනා කළ බැවින්ය.
51cfbf9042	අධි රංගනය හා අධි යථාර්තවාදී වචන වලින්
51d150aa40	මහින්දාහු අක්බර් කියලවත් කියල වැඩක් නෑ
51d159ecdb	මේක පියා අහිමි දරුවන්ට විරුද්ධ හිංසනාත්මක කියවීමක්.
51d15e9789	ශ්‍රී බෝසතුන්ගේ ගුණ වර්ණනාකර
51d15f93d2	සුනිල් විමල් එක්ක ඉන්න එක නිසා මිසක්
51d207b45d	දැනෙන වේදනාව ගැන අහන ගමන්
51d2114854	එසේ උපයන දෙයින් තමාට සතුටක්
51d234c802	අපි ඔබට සුබ පතන්නෙමු අනේ සුදූ.
51d27fc915	මෙරට ජනතාව ආණ්ඩු ගෙදර යවා ඇත
51d2a6c891	අපි උත්සහා කොට ඇද්ද?
51d300a7e1	ඕනෑම දෙයක් දියුණු වන්නේ
51d3197935	පිරිමි විතරක් ඉන්න එක්ක
51d37af7f1	ඒක වාදයට විතරයි
51d3832c89	සිය රාජකාරියට යමින් සිටිය දී
51d391a178	බුදුරජාණන් වහන්සේගේ මේ දේශනාව
51d3b64440	රජයේ නීතියට ගැටගසා තිබේ
51d4072010	ලැදියාව යන ගුණාංග
51d4adca2a	උන්වහන්සේ පිඬු සිඟා වඩිද්දී
51d4d0a77c	හැම ගමකටම ගිහින්
51d551acc6	ලොව පහළ වී වදාළ සේක.
51d5755f59	යතුර සමඟ ඩවුන්ලෝඩ් ලින්ක් එක
51d63c86d9	ව්‍යාපාර කටයුතුවල දියුණුව සඳහා අඩිතාලමක් වැටෙන බව පෙන්නුම් කරයි.
51d69500e6	අනුගමනය කළයුතු වත් පිළිවෙත් රැසක්
51d6be9ced	සබ් දීල තියෙන්නෙත්.
51d6c4e428	ලක්ෂ ගණනින් මිනිස්සු මිය ගියා.
51d7ad7aa8	තමන්ගේ කාලයෙන් හරි අලුත් දේවල් සොයාගන්න
51d8849b89	එහේ මේවා ගැනෙන්නේ
51d90ebbc6	නිල්මිණිට මිනීපෙට්ටියක සිටීම
51d92b39aa	මේනකා සමඟ සම්බන්ධය අලුත් කර ගත් සුගත්
51d990ddf1	ලබා දෙන්නේ බුදුරජාණන් වහන්සේගේ ධර්මය
51da558d60	ඉදිරියට කරගෙන යාමට අදහසක් තියෙනවාද?
51da6f6c16	ඒ භික්‍ෂුතෙම ධර්‍මයට අනුව පිළිපදින්නේයයි
51dab3f82f	මිනිසුන්ට කතා කරන්න ඉගෙන ගත්තොත් හොඳයි.
51daf96141	මේ තුළින් මා ඔබට පහදාදීමට සූදානම් වූයේ
51db19840f	bob marley logo
51db6d5240	හිංසනයයි.
51db89fa60	මතක තියාගන්නම් මේ කතාව
51db983ae0	මැලේසියානු බලධාරීහු පවසති
51dbb40621	පිරිත ශ්‍රවණය කරන තැනැත්තා මෘදු, සුවච ගුණයෙන් යුක්ත විය යුතුයි.
51dc2f73bc	බුදුරජාණන් වහන්සේ මංගල සූත්‍රයේ සඳහන් කර ඇති ආකාරයට
51dc41e13d	එම කොන්දේසි සහ නීතිමය ක්‍රියාමාර්ග
51dc48d0d6	මොකද මේ
51dcf55f67	ස්‌විමින් කරන්නේ නැහැ.
51ddba459c	පාඩමක් උගන්වපු එක ලොකු දෙයක්.
51de4fcf43	මේ කතාවට හොඳ ප්‍රසිද්දියක් දෙන්න පුළුවන්
51de5b4079	තීරණය කර ඇත.
51deaafff8	ක්‍රම වලින් ඇත්තටම හොඳ කරපු තැනුත්
51df18dcae	මොහු මූලික අධ්‍යාපනය ලබා ඇත්තේ
51df2b03e7	මානව හිමිකම් කඩන්නේ
51df2bb0d7	පාවීමට පටන් ගත්තා.
51df5ee443	ඔවුන්ගේ සහාය ලබාගැනීම හැර
51dfff22de	අන්තිමේදී පොඩි එකාට හොඳටම අමාරු වෙලා
51e07024f7	හුස්ම හිර කොට ඝාතනය කොට තිබුනි.
51e0d234bf	අප වැනි අභාග්‍ය සම්පන්න අය
51e143e2e3	තොරතුරු බිඳකි මේ.
51e17fc79a	මෙය ඔහුගේ කරුමය යැයි
51e1fe7322	සෑහෙන වෙලාවකින් සියලූ දෙනා
51e2136e18	ඉතින් මම හිතනවා අපි දැනගෙන හිටියා
51e2706ba4	මස් නොකෑවොත් කන්න වෙන්නේ
51e2794866	animated
51e2b58b5b	එම බත කොටස් 3 කට බෙදී
51e2d983f0	අවුරුදු කිහිපයකට පෙර වික්ටර් රත්නායක මහතාගේ
51e30c297a	තැන්පත් මුදලක් රැස්කර ගත්තේ
51e3177be9	පුරුෂයා සතු
51e3894d8e	මම වයසට ගිය බව දැක්කට
51e4a4ea4a	පරණ පුරුදු තීම් එකට ආවා.
51e5344626	සිනමාවට පා තබන්න
51e5f3d12b	මෙය, මත්පැන් පානයෙන් කෙනකුට සිදු වූ
51e601b7a3	සිංහල වෙදකමට පේටන්ට් අවශ්‍ය නැත
51e64d4103	මෙගා බයිට් කීයද කියලත් කිව්වනං
51e6c9aa1b	දැනගන්න පුලුවන් වෙනවා.
51e7737abe	තමා පැවිදි වූ බවද රජුවෙත පහදා දුන්හ
51e7b9c1eb	එය සොළීන් විසින්
51e7fd5f76	ඉස්සර කාලේ සිව්වනක් පිරිසගේ
51e85b4cf0	අයෙ මොකවත් කියන්න දෙයක් නෑ
51e8a313eb	උපකාරවන ධර්මයක් තමයි
51e8f9d5bd	මහා වංශයේ සඳහන් වන පරිදි
51e903ca1d	තියෙනවා කියලා අපෙ නංගි කිව්වා.
51e9577efb	ගොඩනැංවීමට තරම් බලයක් ද
51e9a1f3f0	බුදුවරයන් වහන්සේ නමක් ලෝකයට පහළ වන්නේ
51eaf69e32	නැතිනම් දේශනයක් අසා සටහන් කර ගැනීමටත්
51eb742ddb	ප්‍රශ්නකාරී ගති මගහැරෙන වසරකි.
51eb89a498	මම නිකුත් කරන
51ebc6c552	අපේ පලාතේ
51ec376ced	බන්ඩාර අපේ උණුසුම් සුබ පැතුම්
51ec93312c	එසේ නොවන්නට වගබලා ගැනීම
51ecf4b2da	තමාගේම කියලා සංස්කෘතික උරුමයක්
51ed3c22bd	සැක පහළ වන්නට ඇත.
51ed93dcdc	නිවන් මගට පැමිණිය හැකි බව
51edd61d24	අම්මා තාත්තා සහෝදරයෝ නිළියක් වීම
51ee6facdc	දිය නාමින් සිටින විට
51ef3d3c49	නමුත් ඒවා යම් දිනක විද්‍යාව හෝ අවිද්‍යාව
51ef6235d3	මහාකාය ශක්තිය එහි ප්‍රතිඵලයකි.
51ef97f7a7	සම්පූර්ණයෙන්ම ගඩොල් භාවිත කොට ඉදිකර ඇත.
51f03e5528	හරි දැන් ඔයා මොකද කරන්න යන්නෙ?
51f059e11c	අර සාජන් නල්ලතම්බිවගේ
51f0b52ab7	එම තාක්ෂණය
51f0b9600c	අන්න එදාට තමයි
51f0c5ddf3	කතාව නේද?
51f0f5c98c	ගැන කිසිම වාදයක් නෑ.
51f13a8582	ඔබවහන්සෙ තවත් වීරයෙකු වෙයි
51f173e5bf	එයාට මතක නෑ
51f17968d9	ගෙදර එන විට
51f2b57804	ඔය කාරණය ගැන ලස්සනට කතා කරන බව කියන්නයි
51f2dee29e	මෙවැනි පොලියක් ගෙවා ව්‍යාපාරයක් දිගු කාලයක් නඩත්තු කල නොහැකිය.
51f364549e	එසේ නො වන්නේ නම්
51f399bb4b	පැහැදිලිව ම පෙනෙයි.
51f3db17d2	මා තරයේ පිළිගත්තා.
51f42e117c	ඕන වෙලාවක යන්ඩ පුළුවන් උනා.
51f6edbb93	යුද්ධය කියලා කියන්න පටන් ගන්න එක.
51f76c82d5	පර්වතය බෙලි ගෙඩියක හැඩය ගත් නිසා ය.
51f77d9712	මෙතන ලොකුම වරද තමයි වැරදි අච්චු ගසා බෙදා හැරීම.
51f80b0cf2	ඇත්තටම අගය කරනවා.
51f81adbad	එවන් වටපිටාවක් මත බස් ගාස්තුව අඩු වනු ඇතැයි
51f81d78c0	අපූරු නිපැයුමක් කලා
51f962ae2c	දේශීය වෛද්‍ය අමාත්‍යාංශය සඳහා
51f987dbf6	එතනදී උන්වහන්සේ වදාළේ
51fa744c41	බෝධිසත්ත්ව සංකල්පය
51fa91a449	පෘථග්ජන මිනිසාට
51fadf2890	සිංහල බෙහෙත් සීට්ටුවක් හින්ද
51fb4330c1	සිහිය පිහිටුවාගෙන වඩන්න පටන් ගන්නවා.
51fb613b63	ඇති වුනේ නැහැ
51fb670921	ගුවන් අනතුර පිළිබඳව
51fb7209eb	ඔන්න ආයේ කියෙව්වේ නෑ.
51fcc1feac	ශිෂ්ටත්වයට තරම් නොවන සිදුවීම් නිසා
51fce6551d	එසේ සිදුවන්නේ ධාතු අතර අන්තර් ක්‍රියා සිදුවීමෙනි
51fd2c1612	කතරගම දෙවියන් වෙනුවෙන්
51fd39e235	ඉන් සලිත වූ බවත්,
51fd57f836	isura
51fef1efd8	මගේ තාත්තා එක්ක ඉන්න
51ff3b50d9	සියුම් පණු විශේෂයක් ඉන්න නිසා.
