d4000e4cb5	දන්න ඉටි ගෙඩියකුත් නැහැ
d4828e949b	ගියවර දෙවියන් හා මිනිසුන් අතර ඇති වූ සටනෙන් පසු
d4831c7ec7	චුන්දගෙන් පහර ලබන අහිංසක ඌරන් තමයි.
d4836fb5d2	සුදුසු වෛද්‍යවරයා එදා අනුරාධපුරයේ සිටියේ නැත.
d4837335a1	ශිල්පියා දක්වා ඇති කුසලතාව
d483810a7c	කාලයත් සමඟ සටන් වදිමින්
d483bcd0af	සම්පූර්ණ විස්තර තියෙනවා
d4843630cd	එතන අනිත්‍යය ගැන සියලු දේම තියෙනවා
d4846980c2	චන්දන වික්‍රමසිංහ පිළිබඳ අප
d484af1347	එවැනි යෝජනාවක්
d484d37767	හැබැයි අන්තිමේදී වෙන්නේ
d48540c190	වහ වහා රජගහ නුවරට වැඩම කළහ
d485424eff	අපරිමිත වූ දුරකට රැගෙන යයි.
d485629192	කළ මේ ප්‍රශ්න කිරීම නම් සාධාරණය
d485c623d5	ප්‍රශ්නාවලියක් වත් හරියට හදා ගන්න
d486036dbc	ඔබ කිව්ව වගේ කෙටි වුනාට
d486b36d49	පසුගිය ජූලි මාසයේ.
d487192024	ලලිත් කොතලාවල බලහත්කාරයෙන්ම
d487d647f6	එනම් වත්මන් විල්පත්තුව
d48838332b	ඒ ගැන වැඩිදුර හොයන්න ගියෙ නැහැ.
d488429a8a	magazines for teens
d48863ee4f	වටහා ගත නොහැකි වනු ඇත
d488725c81	සමාජයට සම්පතක් නෙවෙයි.
d48889afb1	ඒක දැනෙනවා නම්
d4890c3270	ඉසුරුගෙන් ඉල්ලා සිටිනවා
d4891bff76	අනේ මම දන්නේ නෑ
d489913922	සියුම් විදියට විවේචනය කරන
d4899372c7	බුදුරදුන් නර්මදා නදී තීරයේ
d489b5675d	දම්වැලක්‌ කකුලේ බැඳගෙන
d48c0bdbbe	සාසනයේ පැවැත්මට ආමිස පූජා
d48d4dd442	හොරකම් කරන්න පුළුවන් ලු.
d48e0ad45d	විමසිය නොහැකිද
d48e0eface	"'ජරා"" කියන එක"
d48e727158	එයින් යම් පාඩම් ඉගෙන ගැනීමේ
d48e7af96e	mahamaya girls college kandy
d48efa69d7	එහෙත් අජිත්ට ගහන්න කළින්
d48fd1d99e	අද චීනයේ අධිරාජ්‍යයට අහුවෙච්ච කෑල්ල බවට
d48ffdcb02	අපේ නිවසේ නම්
d490468075	රාජ්ගේ බ්ලොග් එකත් ගොඩක් දෙනෙක්
d4917093af	කොන්ක්‍රීට් කිරීම සිදුකරන්නේ
d491fea1ff	මේ ඉසුරුමුණියේ පෙම් යුවල යනු රාමා සීතා යුවලයි.
d4926568d6	බයවෙන්න එපා.
d492cfc0e1	අත්අඩංගුවට පත් වූ බොහෝ දෙනාගේ පවුල් සීසීකඩ කැඩී ගියේය
d492e8d811	අපි ඔක්කොම අද හොදින් ඉන්නවා
d49307844f	සතුන් මැරීම බයත් වෛරයත් හටගන්නා
d493125e2b	සත්‍ය අවබෝධකරගෙන නිවන් මඟ තෝරාගනී.
d49357fec7	එහාට පෙරලලා
d493fc3fdd	වැද්දාගේ ග්‍රහණයට හසුවූවාක් මෙන්
d493ffd698	වහාම මහාචාර්ය කෑල්ල භාවිතය ද අත්හළ යුතුය
d4940c72bb	නමුත් කුණුහරපය උනත්
d494228fc6	දැන් අපි මේ කතා කරන්නෙ
d49495ca86	තාම කවුරුවත් බාරගෙන නෑ.
d494b82c1d	අපි තවදුරටත්
d49528eb2e	යමක් විනිවිද දකින්න පුළුවන් හැකියාව ලැබෙනවා.
d495304f79	driver scanner 2012 activation key
d4953b50fb	ඉහළම ජන ප්‍රසාදය හිමිව තිබුණේ
d495693c30	ඊලඟ කොටස ගෙන එන්න.
d4961cc5db	බහුජාතික කොම්පැනියක්
d496528f7b	මරලා දාල කියලා තේරුම් ගත්තු
d496bf77c0	ලක්දිව මිහින්තලයට වැඩියේ සාංචියේ සිටය.
d496e335f5	වුවමනා ධනය උපයා ගන්නට මගක් ද නැත.
d49740d902	මහල්ලා, රෝගියා රාජදඬුවම් ලද්දා
d4987d0c87	මේ බඳු ක්‍රමවලට වඩා
d498953499	ඔබට මගේ
d499143422	ජනතාවගේ සෞඛ්‍ය මට්ටම් වැඩිදියුණු කිරීමටත් කැපවුණා.
d4991e7a36	නිවනට ළං වෙන එකක් නෙවෙයි
d499d34090	වස විෂ පානය කොට මිය යයිද
d499e39262	ඇත්ත තමයි.
d499f0fb4b	හැම තාත්තා කෙනෙකුගේම අත්දැකීම්
d49a46de1e	එදා සිංහල පමණයි කියපු අය
d49a4ab269	උසස් වීම් වරප්‍රසාද
d49b744c8e	නමුත් ඉහත උපදේශය
d49b85dfc3	වැළැක්විය නොහැක.
d49c637dfa	ඔහු අනෙකුත් අකුසල් සඳහා පෙළඹෙන බවයි.
d49caeee4f	එහිදී චන්දිමාල් කිසිවක්‌ සඳහන් නොකළ
d49d265b30	ඒවායේ ලුණු රස ටිකක් අඩු තමා
d49dc150c1	යොමුව පැවැත්ම සේ හැඳින්වේ.
d49debad4f	බුලික් හමුවූ බවත් ඔහු කියයි
d49e4db34f	ඒකත් වැරදියි කියලා
d49f792642	බැතිබව වඩවන දර්ශනයක්
d49f7dc86a	එවැනි ප්‍රකාශයක් කළ යුතු නම්
d49f8c1d4f	අනිවාර්යෙන්ම ඒ කාලයේ පැවති සමාජ වටපිටාව බලපාන්න ඇති
d4a053f83b	පියවර ගෙන ඇත.
d4a0db3d42	ගැටුම පිළිබඳ කෘත්‍යවාදයට අනුව
d4a15aace0	අප ඒවාට සහභාගී වන්නෙ
d4a1cceea9	කිසිම සැකයක් නෑ.
d4a30f69fa	තෝ මෙතන මාගල් වගේ ඒවා දාන්නේ
d4a34532ce	දැනීම බරක් බව පැවසේ.
d4a347edcd	බුදුරදුන් පිරිනිවන් පානා බව අසා
d4a3727ec2	අගවිනිසුරුවරිය එය ප්‍රතික්‍ෂෙප කළා
d4a3a1dfdc	කූට වෙළෙන්දාටම වාසි ඇතිවේ.
d4a3a7774d	මෑතකදී පශ්චාත් උපාධි ඩිප්ලෝමා පාඨමාලාවක්
d4a4074bed	හිතුවෙ නෑ ඕයි
d4a4eaaedd	බෙදී වෙන් වී ගොස් ඇත.
d4a57b096d	බස් රථයේ ගමන් ගන්නා මගීන්ගේ ආරක්ෂාව
d4a5eba239	මෙතෙක් කර ඇති පරීක්ෂණවලින් හෙළි විය
d4a61e003d	ට්‍රයි කරලා බැලුවා නං.
d4a66214af	බොහොම ස්තුතියි ජය.
d4a670268a	විය යුතු නොවේ.
d4a6b3262d	පසුව ඇය සොයා නිවසට පැමිණ තිබේ
d4a6e119a3	කියන්නම ඕන.
d4a73a732d	ඒත් විශාල ප්‍රශ්නයක්
d4a77e2c55	මෙතැන මාව තව අවුරුදු දහයක්‌ හිරකරලා හිටියත් මාව එල්ලුවත්
d4a7827089	එයයි නිවසක හැඩය.
d4a81e27e4	සෞම්‍ය සිතුවිලි නිශ්පාදනය කරන්න පුළුවන්
d4a83f61ae	බෝවීමත් අඩුවෙලාලු
d4a856955e	ඔබවහන්සේ නම් ඒකාන්තයෙන්ම
d4a88dd7a3	මේ‍ක‍ ඇ‍ත්‍ත‍ට‍ම
d4a8d16c7d	අනුන්ගෙන් අසා දැනගත්
d4a922b224	ඒත් එන්න එන්න
d4a98f4a8c	අනිවාර්යෙන්ම බෞද්ධයෙක් කියන්නෙ හදවතින්
d4aa196a14	ඒවා වන්නේ.
d4aa26f091	ජයකොඩි වගේම අපිත් කැමති නැහැ.
d4aa61d778	මුලු ලංකාවෙම වෙලාලු
d4aa679bb1	මාලදිවයින් යන්නද හදන්නේ?
d4ab31d696	විශාල දැඟලිල්ලක් දඟලනවා
d4ab67659a	අපිට වෙනම ඇඳුම් පවා තියෙනවා.
d4ab72b304	ඊට පස්සේ එහෙම කරපු පොල් ගෙඩිය
d4abc8b517	මෙම ග්‍රන්ථකරණය කෙරෙහි
d4ac5d9f0e	අල්ලලා දාමු කකා.
d4ac6e107c	වැටලීම් කළ නිලධාරීන්ට හැකිවිනි
d4ad215f59	how many calories should i eat to lose weight
d4ad3ff8d7	ඉඳලා මිල අඩු කරපු දවසක ගන්න.
d4ad9f042d	එතකොට කිව්වා
d4adbe7db0	අප සමහරවිට නොදුටු පැත්තක්
d4adc7f710	එදිනෙදා ජීවිතයට යොදා
d4ae0fc35c	ඔය හාමුදුරුවෝ කියන වචනේ දෙමළ ඌරුවට වර නැගෙන සිංහල වචනයක්.
d4ae22be63	වගේම ප්‍රතිමාවක්
d4ae28314e	රූපවාහිනී තිරයට එකතු වෙන්නේ කොහොමද කියමු?
d4ae6efe4f	තේරුම් ගත්තේ නෑ.
d4af69d0f8	ලෙහෙසි නැති නිසා.
d4afd17e10	සාමය සඳහා ලෝකය පුරා
d4afe28bf9	උඩුමහලෙහි ප්‍රධාන කොටස් දෙකක්
d4b0d26efc	එය අපගේ සසර ගමන
d4b137c1cb	අපට ඉන්න වුණේ
d4b2e74319	ප්‍රථම සංඝායනාවේදී
d4b2ed7a30	අන්න ඒ නිදහස් විදිහට
d4b2efc2e2	අපි අදටත් හිතන් ඉන්නේ
d4b3e5bac9	පංච කාම අරමුණු මුල් කරගත්තු විඳීමක්
d4b4690ab9	හිමි නෑ.
d4b4f7dd1e	පැය තුනක් රඳවා ගෙන සිටි බව ඇය ප්‍රකාශ කළාය
d4b5148330	එන්න තියන තවත් සුපිරි චිත්‍රපටයක් ගැන
d4b556decf	එබව සදහන්වේ
d4b60ab80f	නුවණ යොදවා එය කරන්නේ වෙයි
d4b66c5d34	එබැවින් කුමන අරුතක් මත හා
d4b6a280df	එදා වැඩකරන ජනතාව වෙනුවෙන්
d4b6cc6918	කාටවත් පේන්නෙ නැහැ.
d4b73a1c2e	ඒ වගේ ශ්‍රේෂ්ඨ අයගේ පහළවීම
d4b753e421	අපිට මෙහෙම නොකරන්න
d4b7c101e3	ඒක ඇත්ත!
d4b7dc2848	ඔබගේ මිතුරන් අතරේ ලිපිය
d4b7ee0581	කෙලින් උත්තර නොදී
d4b85ba58b	මම පිලිගනිමි.
d4b90acaf5	වෙනත් ආයතන තිබිය යුතුයි.
d4b92c559c	එකක් වත් බටහිරයන්ද පරම සත්‍ය ලෙස පිලි නොගනී
d4b93794b1	නැත්නම් වෙළඳපොලෙන් ඉවත්කරනව කියලද
d4b951cf39	සුවිශේෂී නිදන් වස්තූන් පිළිබඳ සටහන් නොමැත.
d4b97b120d	යමෙක් මහ පොළව සමඟ උරණ වී
d4ba0a8ba9	බුදුරදුන් පූර්ව ජාතීන් හිදී කරන ලද
d4ba2a587d	කරමු නේ ජය වේවා
d4ba5af3af	ලග්නගත කුජ ද එඩිතරකම ගෞරවය රැකදෙයි.
d4ba8bdf04	ඒ තත්ත්වය උඩු යටිකුරු වෙමින් පවතී
d4bac1413e	මේ වෙනකොට තහවුරු කරගත්තා
d4bacc8760	තමයි කටයුතු කරන්නේ
d4bb390d03	අවබෝධයෙන් තෙරුවන් සරණ යෑම.
d4bb5a8995	මුදලට ලොල්වෙලා
d4bb8f39e8	අකුසල කර්ම කළ අය
d4bba2c0b1	ඇයි මේ
d4bbfe220d	ඒත් ඔබේ පිළිතුර එය වුනොත්
d4bc6abe51	බුදු දහමේ අරමුණ වන්නේ ද
d4bc84ddd1	අශ්වයා පැන්න නිසා
d4bcf8f07b	ලෙඩ රෝග වලින් වැළකිලා
d4bd0822ab	මුලින්ම පුතෙක් ලැබුණු එක හොඳයි කියලා දැන් හිතෙනවා.
d4bd608b4d	එන්න දෙවුන්දර තුඩුවෙන් ඉගිල්ලී
d4bdcf7699	බාහිරින් පැත්තක යොදා
d4bec49c91	වෙනදා මෙන් නොව
d4bed5ac02	ගේට්ටු පියන් අද මුළුමනින්ම විවෘතව තිබිණි.
d4bee2ce34	සාක්ෂි දෙමින්
d4beee3795	අනිත් සීසන් එක ආවහම
d4bf04f9a9	සිත පිහිටුවන්න කියලා
d4bf0fe075	මේ නම්වලින් සඳහන් වන
d4bf3dc1ce	පකාරය වෙන්න ඕනෙ.
d4bf8dc614	එම අවස්ථාවේදී මෙසේ පවසයි
d4bf93a968	ජීවත්වීමට වාසනාව ලද
d4bfac2e64	රටවැසියන් බහුල වශයෙන් රෝගීන් බවට පත්වන
d4c1978ad6	ඊට අමතරව රැකියා විරහිත තරුණ තරුණියන්
d4c217147b	ඉන්දියාවට කතාකරලා
d4c22c4b9e	පටන් ගැනීමට නිසා
d4c27f6402	ජය ලබන්න නම්
d4c4339066	සිංහල බ්ලොග් ලෝකේ
d4c5fdc0da	රසිකයන්ගෙන් ලත් ප්‍රතිචාර
d4c619da03	සම්බන්ධයෙන් අර්බුදයක් පැන නැගී තිබෙනවා.
d4c65ab35a	තරුණිය ඔහුට මතක් කර සිටියා ය.
d4c6680609	තෙත් තොල්පෙති හිරියෙන් විකසිත වුණ
d4c67ee199	අදත් මිහින්තලයේ රුව් පිළිරැව් දෙයි.
d4c69a182d	එකල රචනා කළ සංස්කෘත බෞද්ධ ග්‍රන්ථ දුර්ලභය.
d4c7177a94	බලපු එලම එකක්.
d4c71f7e03	ශ්‍රී ලංකාව නියෝජනයට සුදුසුකම් ලැබුවා
d4c76f4928	නවකතාවෙ ඊලඟට වන හැමදේම සදහා බලපානව.
d4c7c4c829	හිමි කර දෙන්නේ
d4c7cf6bfd	නාහිමිපාණන්ට දැන්
d4c866c0b6	අසල්වැසි නිවෙසකින්
d4c8db6799	විහාරයේ කලක් පැවැතිය
d4c9c7422d	භික්‍ෂුණීන් පිළිබඳව සඳහනක් ශාසනයේ
d4caa91cfe	කැප්ටන් ඩෝසන්ට නයෙක් දෂ්ඨ කළේය
d4cb165d0f	සිංහල සිනමාවේ දැවැන්ත කඩා වැටීම
d4cb623c5e	ඔයාටත් තේරේවි මේ චිත්‍රපටිය බැලුවාම.
d4cb7caa64	බිලියන ක් පාඩු ලැබුවෙ?
d4cc0703d1	එහි ප්‍රතිඵලය
d4cc9b6bc4	ඔහු කියා සිටියේය.
d4cd45f2af	ගෙදර අය ඔබට අමතන්නේ මොකක් කියලද?
d4ce028013	ඇය මෙසේ පැවැසුවාය.
d4ce5cc0ab	මෙම ප්‍රකාශය වැරැදි ලෙස තමාට වාසි ලෙස
d4ce76f10f	එය තම ශීලය පරිපූර්ණ වීමටද
d4ce9de3e7	ඔය පන්සල් වල ඉන්න
d4ced31675	අවුරුදු වෙනකොට ඇමරිකාවෙ තරුණ තරුණියන්ගෙ වැඩ.
d4cf567348	ආසයි මේ වගේ කතා වලට
d4cf877073	කියන්න ගොඩක් දේවල් තියනවා
d4cf9f90b8	අදි මදි කලේය.
d4cfa9dd47	තවම මං පුංචි දරුවෙක්.
d4cfbc71a9	දේශනා පාඨයෙහි සඳහන්ව ඇත.
d4d12ef029	මේක පුරාවටම කතා වෙන්නේ දුප්පතුන්ට යුක්තිය ලබා ගැනීම
d4d147e9b7	මේ උතුම් කර්ත්‍යවයට සූදානම් වීම පිණිස
d4d187816c	භයානක උපකල්පනය.
d4d1ac0703	උඩින් ගිය අපේ රටේ ප්‍රථම ආදිවාසියා ඔහු වෙයි
d4d22fe94b	නොසලකා හැරීම්
d4d27859bc	ජාතික ව්‍යාපාරය ඉදිරිපත් කරන
d4d2aeb15d	හරි දැන් බලමු
d4d2c40bfd	මේ නගරය සම්පූර්ණයෙන්ම
d4d3e2e61c	පටන් ගත්තා.
d4d3f3c5cf	ඒවායේ විපාක මේ ආකාරයෙන් ලබා දෙන බවයි
d4d4165332	සතෙක් පෙලල හරි සල්ලි හොයනවා.
d4d42e6d97	ඔබලා එරික් සෝල් හයිම් මහතා
d4d5835044	විනාඩි විස්සක් වැනි කෙටි කාලයක් පමණි
d4d591e2fd	ආචාර්යවරයෙකුට ලැබිය යුතු
d4d5d6fa52	මෙහි කිසියම් වරදක් ඇත්නම් මට කියන්න.
d4d5e4b21e	දරුවා පාසලට ගන්නා බව
d4d66baa6e	එම ලේඛනයේ රඳවා ගැනීමට හේතුව
d4d6bd3174	එහෙත් ඔවුන් අතර විසඳාගත නොහැකි ප්‍රශ්නයක් මතු විය
d4d6c32917	අපි හැමෝම අනෙකගෙ පුද්ගලිකත්වයට ගරුකරන්න ඕන.
d4d75076ad	ඉහත දක්වා ඇත්තේ සාරාංශගත කරුනු
d4d78c0c60	එහෙත් ඒ මත දැරීම
d4d7c8600e	සුළු රැකියාවක නිරත වන්නන්
d4d7cf2c9d	එතුමටවත් බැරිවුනා
d4d8485474	සිරිවඩ්ඩන නම් වූ මහ සිටුවරයාගේ පුත්ව ඉපිද සිටියහ.
d4d8c55e75	අර වලල්ල බිම දාල ගහේ නැග්ග එක
d4d951f010	දෑතින් මූණ වසාගෙන දිව්වලු.
d4d9a91a0c	අනාගතයේදී රාජ්‍ය පාලකයන්
d4d9d9a494	කමෙන්ට කරන්නත් අමතක කරන්න එපා.
d4daf9e1f2	අපි මේ වැව් දෙකේම
d4db5a99bc	කියවල ඉවර කරන්න බෑ
d4db5fe5d5	බොහොම ස්තූතියි.!
d4dbb23311	එසේ සමාජගත කෙරෙන දැරියන්
d4dbc4c11e	මට වෙලාවකට හිතෙනවා මන්ද බුද්ධිකද කියලා.
d4dc6d2b40	කියන බෑන්ඩ් එක හදාගෙන තියෙන්නෙ.
d4dc71bdc0	මට කියන්න.
d4dc74189b	මේ ඇමැතිවරයා ගැන
d4dc7da13b	කොටසක් ඉතුරුවෙද්දී
d4dcdb8701	එතකොට කොණ්ඩේ කොටට කපලා
d4dd286e06	වෙනස මොකද්ද?
d4dd3fa06a	අශෝක කුමරු විවාහ වූ බව කියැවේ
d4dd40c0c5	මේකෙ කතාව මම කියන්නෙ නෑ
d4dd44ff3f	එයින් අහිමි වී ඇති
d4dd81d664	ඇල්ෆා පිටත් වෙනවා.
d4dd86dc81	රජතුමා බියට පත්ව පසුදා උදෑසනම
d4ddb7ff83	හැබැයි එහෙම කෑගහන අය
d4ddfb8536	ඔයාටත් ඉන්නවද
d4de02f5b3	උපන් වෙලාවට අනුව
d4de406faa	අපි දන්නවා කියලා පෙන්වන්නයි.
d4df378fca	සෙබළුන්ගෙන් විමසා ඇත.
d4df38f4ca	එහෙම රෙගුලාසි පැනවීමට
d4dfcf83a1	යළි නිවෙසින් එළියට බහින්නේ
d4e0fedaca	ඒකාකාරී බවෙන් මිදුණු
d4e170fc22	පැකට් එක කඩලා
d4e1e56ebc	එත් ඒක එහෙම වෙන්නේ නැ
d4e33a5ef2	ඇයි සහෝදරයා මේ ඉන්නේ
d4e3e517b2	මෙහෙණි සස්න පිහිටුවා
d4e43d7a45	නොහැකි වනු ඇත.
d4e54e0f55	ක්‍රියාවක හා සිදුවීමක වෙනස හඳුනා ගැනීමෙනි.
d4e584b46a	පළමුව ධර්මය දේශනා කිරීම සඳහා
d4e625c64f	කොළඹ ආසන්නයේ රූපලාවණ්‍යායතනයක් කරගෙන යන
d4e656e3ef	ඊජිප්තුවෙ පිරමිඩ හැදුවෙ
d4e68f9c2f	තවම ආදරයක්‌ සොයනවා
d4e6ab7351	ලියාපදිංචි වෙන්න ඕන.
d4e700b2aa	සතර අපායට වැටුණහොත්
d4e73dba4a	පත්වෙන හේතු මොනවාද කියලත්
d4e757c5b0	අපේරටේ වගේ පන්සල්වල කරන
d4e8191168	මෙය කැපී පෙනේ
d4e84c1c94	පිළිගත් නිසා
d4e8689e2c	එක පාරක් කිව්වා
d4e8c80d9f	sabeetha perera
d4e9ac42f9	ශක්ති ලෙස හදුන්වනු ලැබෙත්.
d4e9caafea	එසේ වුව ශ්වේත රාත්‍රීන් විසිහතරක්
d4e9dc6aeb	අන්තිමේදී මම කිව්වා
d4ea24a04c	මිහින්තලාවේ ලෙන් හැට අටක් තුළ කොටන ලද
d4ea7e294f	ඊට පස්සේ ඕන්න
d4ea939a2e	මට නං මේක බර වැඩියි
d4eaf6020c	එවා දියරද පිටිද කියන ගැටලුව පැන නගින්නේ නෑ.
d4eb81af8d	පුවත්පත වාර්තා කරන පරිදි
d4ebd8119d	ජනතාව වෙනුවෙන් බෙහෝ දේවල් ඉටු කරන්න තිබුණා
d4ebf6d39d	එය අභය හෝ විතර්ක මුද්‍රාව
d4ec463924	මම පොඩි එකාට තිබ්බා.
d4ec754f5a	මේක නොබලා ඉන්න ඕන.
d4ec8c5ce5	විශේෂඥ පසුතල නිර්මාණ ශිල්පීන්
d4ed418814	පණිවුඩයක් යැවීමට
d4edaa8a59	මෙයාගෙ කට බැලුවම
d4efabb18a	ඇය ඒ සඳහා සහභාගි වුණේ නැහැ.
d4efaf9133	ඔවුහු ගිමන් නිවූහ
d4efc0b554	ඔබ කිව්වෙ වැදගත් කරුණක් මිත්‍රයා
d4eff54320	අනුන්ට සෙත්පතා කියවන විට
d4f12a4ffa	බොහෝ ඒවා ලිඛිතව සඳහන් නොවේ.
d4f139bc49	තියෙන්න පුළුවන්නෙ ප්‍රජාතන්ත්‍රවාදයයි ධනවාදයි
d4f13d9950	වචන එක්කාසු කරන්නට උත්සාහ කළේ ය
d4f194d6d8	sinhala teledrama theme songs
d4f1de70a0	ඒවා මේ දේශපාලන පක්ෂ අතරට
d4f1f5e4a2	එනම් අධ්‍යාපනය හරහා ඇති කරනු ලබන
d4f207b6db	එකට බුදියන්නේ එකට
d4f27a7304	ගොඩක් වෙලාවට දුක්වුණු දවස් තියෙනවා.
d4f3a843b1	උසස් අධ්‍යාපන අමාත්‍යංශය වැඩකුත් නැහැ
d4f46062d2	විශේෂ යමක් කියා සිතන්නේ ම
d4f5047cbc	කතා වෙන කෑල්ලක්.
d4f5858737	ඒවා වැරදි ඉදිරියේ ක්‍රියාත්මක නොවන්නේ නම්
d4f61b521b	මට විශ්වාසයි.
d4f62fb88d	මට ලැබුණොත් මම දේශපාලනයට එයි.
d4f695e7c2	අත්අඩංගුවේ සිටි වන සැකකරු වන මනෝජ් චමින්ද
d4f69a33e0	ආධාර ලැබෙන තුරු
d4f8327ee5	ඉස්සරහට ලෝකේ මිනිස්සු අපිට වඩා ගොඩක් දැනුමින් සන්නද්ධ
d4f874d519	තවත් ඉදිරියට මේක අරං යන්ඩ හිතුවොත්නම්
d4f8ff2d36	අදාළ බස් රථය
d4f9051697	චුල්ලසෙට්ඨි කෙනකු ගැන
d4f978238a	එවිට සක්දෙවිඳුන් උත්තර
d4f997c32b	එයින් බස් හිමියාටත් බස් සේවකයාටත්
d4f9afe2d6	නමුත් ඔවුන් තැබිය යුතු තැනින්
d4f9cef1f1	බලමු අද ගෙනාවේ මොකක්ද කියලා.
d4f9e28c27	අද දින තාක්ෂණ හා පර්යේෂණ අමාත්‍ය
d4faa7a9fd	ඇයට පහසු විටක
d4fb07b6da	කළ කී දෑ ගැන
d4fbcd56cf	ලෙඩ වෙන්නේ දිව.
d4fbd76cb0	රෙදි කෑල්ලක් දුන්නා.
d4fbf32960	උපන්දිනේට පමනක් දානයක් දියයුතුයි
d4fbf3872d	ඔහොම කියනකොට
d4fc0349aa	ජාතිවාදය අවුස්සන්න හදනවා.
d4fc60f05d	මල්ලෙ දාගෙන මම කුරුදු තැළුවා.
d4fc866540	අසන්නට ලැබෙන ගුරුවරුන් වෙත
d4fca23692	ලෝකය වරදවා දක්වන පෙන්වන පාට කණ්ණාඩියක් වැනි ය.
d4fcbd5d94	හරිම ලස්සනයි.
d4fcc0a480	අප මෙහිදී
d4fccb5cfd	බුදුදහම තුළිනි.
d4fd47c5c0	හිනාවෙන්න පටන් ගත්තා
d4fd87cd3d	සූත්‍ර පන්ති ආරම්භ කළා.
d4fdfe314f	සාධු දමිත ඥානානන්ද හිමියන්ගෙ
d4fe08d6ea	තැන්ක්ස් මතක් කරලා දුන්නට
d4fe1c3921	එමෙන්ම ඉදිරියේදී ඇතිවිය හැකියැයි කිවහැකි
d4fe1cb500	රතු ගෝලය ඉලක්ක කරගත් නිසා
d4fe317ca1	ප්‍රශ්නයක් වෙන එකක් නෑ
d4fe7e594a	ඌ ඔය කටින්ම කියයි
d4fe8a901d	වාර්තාකරුවෝ පැවැසූහ.
d4fe8de595	nitrotech
d4feba62af	මොකද මයිකල්ගේ සැලැස්ම වුනේ
d4ff2b7e00	ඵලය අපට දැකගත හැකිවෙයි.
d4ff96de49	මීට කලින් කිසි දවසක
d4ffd09400	මෙම තරුණයා කිහිප වරක්ම මෙම තරුණිය මුණගැසීමට උත්සාහ කළ ද තරුණිය ඒ අවස්ථා මගහැර තිබේ.
d4ffe27a85	උතුරේ පදිංචිව සිටි මුස්ලිම් ජාතිකයින්ව
