98005c5fc7	හොඳ ජොබ් එකක්.
98910a21e7	ඒ කවුරුවත්ම ඇවිත් මගෙන් කෙළෙහිගුණයක් බලාපොරොත්තු වුණේ නෑ
98913eae2c	මඩ මේවට මඩ කියන්න බෑ
9891613c09	රජුන්ගේ සියළු රාජාභරණ
9891a8beea	ඇතැම් විට ඒවා යළි ගෙන්වා ගෙන
9891ff4619	ඔය කියන්නේ “හුන්නස් ඇල්ල” කියල
9892c9bd60	ධර්ම භාණ්ඩාගාරික වෙනුවෙන් අසුනක් ද
9892d7bb4b	දන්තුරේ පන්සලක නේවාසිකව සිටයි.
98930e9b0f	එමෙන්ම සියවස අග භාගයේ
9894570070	හෙනකඳ බිසොබණ්ඩාර
989496c14a	එම අවශ්‍යතා පසුපස හඹා යන්නේ
98954d9ac2	brown dog playing
9895fe8019	සාදු කියන වචනයේ තේරුමට
98976cd110	යන එන මං නැතිවෙලා
98977ebe2d	සන්නිවේදන කෞශල්‍ය දැක්වීමට කදිම නිදසුනකි.
9897812b1f	නිජ්ඣානං ඛමන්ති.
98982f86d8	එතකොට ඈ කිව්වා
989920de8c	ගෙනි යන අරගලය
9899b8cf1d	හුඟ දෙනෙක් ඉල්ලීම් කරලා තිබුණනේ
9899d48e5d	උඹ දම් පදයට කැමති නම් මා ගාවත් තියෙනවා
9899d82a25	ඕන එකක් ලියාගනින්.
989a1ef867	ලෝක ක්‍රිකට් ශූරයෝ
989a51ce9b	දෙමළ නියෝජනයන් ඇතිවූයේ මෙලෙසිනි
989a9bfcd8	එය ඇතුලත ඔවුන් නීතිමය වශයෙන් පිළිගැනෙනවා.
989aa1fb45	එසේ වීමට හේතුව නිවුටන්
989ac784d2	ආගමනයට සමාන කළ හැකිය
989b27cc27	ඈත තියෙන යකඩ කෑල්ලකට
989b4aa296	මේට්‍රික්ස් පිලිබඳ ලේඛකයාගේ කියවීම බවයි.
989ba67552	මේ බව මහාවංශය නම් ඓතිහාසික කෘතිය මගින්ද
989bc5b1ad	හෘදය සුවකිරීමේ බලයයි.
989cbdafc3	බුදුවරුන්ගේ පහළවීමෙන්
989d7920a7	හිරු බැසගෙන යන නිසා
989ed7a549	ඒ වගේ එකක් කියවන්න
989fb1ac59	අපි බෝම්බ ගහලා තියෙන්නේ
98a07584a8	කතාව බලන්නම වෙනවා
98a196821c	එදා මෙම ඓතිහාසික පුදබිම ද
98a2113fe3	ජනතාවට බොරු බිල්ලො පෙන්නපු එක කෙරුණනෙ.
98a24d086f	අපි අපේ දරුවන්
98a2705fb6	ප්‍රකට කරුණකි.
98a2764195	අවලංගු විය හැකි.
98a3598096	ෆස්ට් ක්ලාස් ෆැමිලි එකකින්
98a3788c08	අමිල චතුරංග ගේ බ්ලොගයේ කමෙන්ටුවක්
98a381d0b3	මට වැඩිය හුරතල් කලේ අයියවයි නංගිවයි.
98a3ac3c38	තැන්වලින් හම්බ කරගන්න ලක්ෂ ගානක
98a43765a0	වෘත්තාකාර මළුවක
98a5ca7144	දිවි නැගුම උසාවියට දැම්මේ?
98a5e2535e	මොන වගේ ප්‍රශ්නයක් නිසා මෙහෙම වුණාද
98a672ab58	උඹලා කරන වැඩ
98a6822f53	ඒ බලතල ඉල්ලලා නඩුවක් දැම්මොත්
98a6b1c79a	ආකර්ශනීය සරල ක්‍රම වලට
98a6c81f90	මෙය සිතා මතා කරන්නක් නොව ඉබේටම සිදුවන්නකි.
98a6d1ea14	ඉබේ පහළ වෙන දේවල් තියෙනවා
98a6d6acaf	මතක තවත් සිද්ධියකි.
98a6f4a29d	මතක කාටද
98a735521c	උපාලි විජේවර්ධන වරක් ප්‍රකාශ කළේ ය
98a75aace6	රැවටීම් මඟහැරීම්
98a76b8aa3	අනතුර සිදුකළ පොලිස් නිලධාරියා අද අත්අඩංගුවට ගෙන ඇත
98a83b3a0d	සාමාන්‍ය ආකාරයේ කල්පිතයකට
98a84a7eaf	උඹට පිස්සුද බං.
98a86fe093	ඇසත් රූපයත් ඇසේ විඥානයත් යන තුන නිසා
98a883e41c	එනිසාම උන්වහන්සේලා තුළ
98a8d1a057	මොලේ ඇතිව වැඩ කටයුතු කළොත්
98a9b6460e	සිංහල බ්ලොග් ලෝකේ
98a9c97e28	ඊට පිළිතුරක් නොදුන් බුදුන් වහන්සේ නිහඬව සිටිසේක
98a9f61000	ඔයාල දැනගන්න කැමති නම්
98a9fbfd33	ඈත කාලයේදී පවා තිබී ඇත.
98aa58aafa	දෙවන ලෝක යුද්ධයට පසුවය.
98aa670285	එය පුළුල්ව විමසීමෙන් පමණක්
98aaa0f548	දැන ගන්නට ඇත.
98aaf6c37e	මෙහිදී සිදු කරන්නේ කුමක් නිසා
98ab0b8faf	ගිහි ජීවිතයේ ඉඳගෙනම
98ab36d3ef	වියතුන්ගේ මතයයි.
98acb12911	රූපාවචර හා අරූපාවචර ධ්‍යාන වලින්
98ad01ed49	වාර්ෂිකව සපයන ආධාර මෙන් සිවු ගුණයකි.
98ad5f9d81	හරි ඒ හින්දා
98add0ab29	ඇයි රස්ට් විසින් පරණ සිද්ධිය නැවතත්
98adee45e7	හැබෑටම මේ කතා කොහෙන් හොයා ගන්නවද මන්දා
98ae15184f	pictures of nose
98ae15524a	අදාළ ක්ෂේත්‍රයේ ප්‍රවීණයන්ගෙන් සැදුම්ලත් විනිසුරු මඩුල්ලක්
98ae1f89cb	අනිත් නළුවෝ හුඟ දෙනෙක්
98ae32a77f	බලල ඉවර වෙලාත්
98ae937767	මෙව්වා කීවට වැඩක් නැත.
98af5275b4	තමන් පැවිදි වූ අරමුණ
98af55cdfe	ඔය පිංවතුන්ට
98afc47a0c	සිංහල උපසිරැසි වලට බොහොමත්ම ස්තූතියි
98b0764651	මහජනතා ප්‍රසිද්ධියක් සහිතවයි.
98b0a47ce0	හෑමදාම මේ හුන්නස්ගිරිය පේන මානෙන්
98b1098f21	අරුන් මුන්නා ෂායි තුන්දෙනා
98b2815a6c	අම්මත් තරුණයි දුවත් තරුණයි.
98b32e360a	මෙම පොදු සංකල්පය රඳා පවතින්නේ කුමක් මත ද?
98b371750d	මිනිසුන් එතැනින් ගමන් කළා.
98b3bf82dc	පාසල් යාම
98b422f7b6	පෙරහර සමයේ
98b43c43d9	එහෙන් මෙහෙන් අත ඇරිය
98b458e66a	උන් තොපි වගේ
98b4e1026d	රටේ නොයෙක් ප්‍රදේශවල කැරැලි නායකයන් බිහි විය.
98b52a7b3d	ගන්නට හැකි වේ.
98b5d551f6	ඇමැතිවරයා වැඩිදුරටත් පැහැදිලි කළ පරිදි
98b641c79b	ආර්ය අෂ්ටාංගික මාර්ගය බව
98b6c68851	නූතනවාදය හා පශ්චාත් නූතනවාදය කියැවීමට අවශ්‍ය කරන
98b6ed23ea	බලවත් අන්තරායක් තියෙනවා.
98b73f7d06	හැමෝම ශාසනය කියලා හිතාගෙන
98b77ef411	අනුකරණය කරනු නොලැබේ.
98b7d8b6ad	ඔබාමා හුසේන්ගේ ඉඳුල්ද?
98b7f4b686	ලක්වැසි පොදු දනන්ගේ
98b82d3011	අර උඩින්ම කියලා තියෙනවා වගේ
98b85d31b6	ඉන්දියාවේ ප්‍රාන්තවලට බලය බෙදපු විධියට නෙමෙයි..
98b8b1bef8	එයාට සපත්තු අරන් දෙන්න
98b8bc765a	අලුයම දෙක විතර වෙනවා.
98b9015f03	අරමුණු කරගෙන තමන් විසින්ම
98b9135099	ඔබ පැමිණ ටික වේලාවකින්
98b92087f3	හැම කෙනෙකුගේම අතින්
98ba30de80	ලොකු දෙයක්
98ba4ff198	එළියට දාන්න බෑ
98ba80b3b3	විනාඩි විස්සක් තිහක් පමණ ගත වෙනු ඇත
98bab40452	ඒත් බැරි නම් ස්වාමීනී
98bb44260d	නීතී පනවනවා.අනේ අපේ රට.
98bb8b1fa1	සංවර කරන්නේ
98bc070a60	කතන්දර බ්ලොග් එක ගැන නොදන්න කෙනෙක්
98bc28c261	ජීවිතයත් සමාජයත් නමැති මෙවලමෙන් පමණි.
98bca346cf	ඔය “” කියන වචනය සිංහල අකුරු වලින් ලියන්න පුළුවන්ද?
98bd042452	අද සවස ගණන් කිරීමේ මධ්‍යස්ථානයට ගිය
98bd740b68	නාට්‍යෝචිත පරිදි වෙනස් වුණා
98be4d6bea	පිළිතුරක් දීමට සතුටු වෙමි.
98bea0bf21	එච්චරයි කොහොමටත් සනීප වෙන ලෙඩක් නම්
98c0f071da	හැමෝම දාලා තියෙනවා
98c1cde9c1	හඳපානේ මද අඳුරේ අත් පටලා යමු ආයේ
98c2221ec5	හේතුවක් විය.
98c228e5d0	එබැවින් කර්මද රැස් නොවේ
98c2538ab1	අලියා ආසියාවේ හා අප්‍රිකාවේ සිටින
98c3bbf9d2	ඇසට පෙනෙන දේවල් දන්දීමටයි.
98c4605a7a	ඊට කිසි ලෙසකින්වත් ළං වෙන්න
98c4eeb9f3	ඕනෑ එපාකම් ඉටුකර ගැනීම සඳහා වූ පිහිටකි.
98c562c2bf	ඒකයි සිංහල බෞද්ධයෝ
98c5940097	සාක්‍ෂි පවතින අතර
98c5bfe71b	ඉක්බිති භාග්‍යවතුන් වහන්සේ රන්කරුපුත් චුන්දයන් ඇමතූ සේක
98c64eb46d	ලෝකයේ බොහෝ ගැටලුවලට හේතු වී ඇත්තේ
98c67943f9	මේක නිකුත්වෙලා දවසක් ඇතුලත
98c6ddf8f6	ඉහළ කොත්මලා ඔය ජලාශයේ ජල පෝෂක ප්‍රදේශයේය
98c78ba97f	අද ඉන්න තැන දැක්කම
98c807c023	අනුන්ගෙ ඇහේ තියෙන කුණු රොඩ්ඩ
98c84fcc96	එයාලට හොදට සල්ලි ඕන වෙනවා
98c8648f5f	පුරුෂයාගේ කර්මය ක්ෂය වීමෙන්
98c8db57b7	මූට පිස්සු හැදිල තියන්නෙත් එහෙන්ද?
98c8ef2370	එනම් ඒ හා සමාන ප්‍රමාණයක්
98c9082cd6	අද මේ වෙනකොටත්
98c991eee2	ගින්නක් නැතුව දුමක් නගින්නේ නැහැ කියලා?
98c99caee4	ඒ පහට කියන්නේ
98c9d855ea	තවත් ස්ථූපයක් ඉදිකළ අශෝක රජතුමා
98cabcf1cd	බුදුන් වහන්සේලා
98cac1622e	අන්තර්ගතයේ යමක් තිබිණි.
98cae47907	කාටූන් චිත්‍රපටියක් තමයි මේක
98cb513d26	වැරදි නම් නිවැරදි කරන්න
98cb6a8277	ඒ අවුරුද්දෙ ස්වර්ණ පුස්තකය ලැබුණෙ පොදු පුරුෂයාට
98cb709e55	ඊට අමතරව පාවිච්චි කරන්න
98cbacbde5	ලියපුවා යැයි කියන්නට අපහසු ය
98cbbd8109	එමෙන්ම මෙය දෙමහල් ගොඩනැඟිල්ලක උසකින් සමන්විතය
98cbc31c10	මාලිගයට වැඩම කර දානය වැළදූහ.
98cc23831c	බෞද්ධ චින්තනයෙන් ම ය.
98cc82bccd	කොතරම් බාහිර හැඟිම් ඇතිවුනත්
98ccb5019b	මේක නොවැදගත් කිව්වා
98ccb6824b	වාසියක් වුණු අය බොහෝයි.
98cd3eb872	ඉඩ ලද විටෙක ඔවුන් තුන්වැනි සිල් පදය බිඳ දමමින්
98cd7cdf6c	චතුර කියන්නෙත් එහෙම එකෙක්
98cdc2335f	ගිහින් බලන්නම්!
98cdd8b25d	ඒත් රඟපාද්දි මට කියලා දීපු
98cdee926d	එම ඉල්ලීම අනුව
98ce602b0c	මෙම පිළිම 4 න් නැගෙනහිර දිශාවට මුහුණ ලා ඇති පිළිමය
98cef8def1	වාස් සතුටු වෙනව පෙනුනේ නැහැ.
98cf0f60d7	ගොළු හදවත බොළඳ නවකතාවක්
98cfd262ce	වී දිව පිනවීමට ආහාර ගතහොත්
98d02c164b	එකළ ඕහට ඒ ප්‍රශ්නය විසදා වදාළේ ය.
98d03aad53	එහිදී සිදුවන්නේ
98d0898fe6	බියපත් වූ නාමල්
98d09173fb	සෙල්ලක්කාර චරිතයක්
98d0a01ce7	දෙවනියට අද මේක දමන්න කලින් කියවද්දි
98d0af144b	ගමන් බිමන්වලින්
98d0b2860b	විශේෂඥ දැනුමක් කියා සැලකෙන්නේ නෑ.
98d0dc2dcf	කියන ඕනෑම දෙයක්
98d0e77732	ගොඩබිමේදි මෙතරම් දරුණු සුළි කුණාටු
98d118e109	එය දැනුණේ කාලයක් තිස්සේ
98d19d57df	සූදානම් නැති වග.
98d1a5b375	සිනහවක් පහළ වනු දුටු
98d2078b40	ඔබ වැනි කෙනෙකුගේ දායකත්වය ලැබ
98d379b2bc	උකුස්සෝ එතැන ගැන
98d3830f3e	උපහාසයට ඉඩ දී ඇත
98d3cb8940	යම් ඇල්මක් ඇද්ද
98d3cd0696	සිංදුවක් තමයි
98d4c144e6	ඔවුන්ගෙන් හතර දෙනකුගේ තත්වය
98d52129b7	මරණයට ලක් වූ තැනැත්තාගේ ශරීරය
98d573c1fb	අපේ මිනිස්සුන්ට වෙලා තියෙන්නෙ
98d645c3d3	හිතවත් හසිත සුන්දර තැනක් ගැන
98d64755cf	එය දීර්ඝ කලාපයක් ආවරණය කරමින් ගොස්
98d6d1175a	swrnawahini drama
98d6e51cc1	හැබැයි පොඩි කොස්සක් තියනවා.
98d7b311c7	එම ශ්‍රී සර්වඥ ධාතුන් වහන්සේ
98d7cd6611	උසස් අධ්‍යාපන ආයතනවල පාඨමාලා
98d7d1fc51	සාර්ථක කර ගැනීමට හැකිවන වාතාවරණයක් ගොඩනැගේ.
98d80897ca	මිෂනාරි ආක්‍රමණයට
98d81bbf48	පරණවිතාන පවසයි.
98d853a0ab	අතීතෙ හිතාගන්නවත් බැරුව තිබුණු
98d911f269	සිංහල අයිතිය – උඹල හරි වැරැද්ද
98da2f1ce7	එකක් ගන්න පුලුවන් වෙයිද කියලා?
98da9841a4	graduation bob hair style images
98daf08fe3	එම පෞරාණික උරුමය පිරුණු කළුගල් ඇල්ලූ
98db2b4e1b	චිත්‍රපටයක හමුවන භික්‍ෂුව
98dbff5dcb	ඒත් මේ සියලු ගැටලු අතර පවා
98dc480615	ගොඩක් වැදගත් අපි නොදන්නා ගොඩක් දේවල්
98dcc75b68	අන්තිමේට මට කියන්නට ඇත්තේ
98dcf6e871	එම නිසා නීති සජ්ඣායනය කරන ලදී.
98dd5b12b4	එම නිසා නිතරම යහපත දකින,
98ddbd9b7e	බොහෝදුරට ඉඩ තිබ්බා.
98deb9197f	අදින්න හිතෙන එකක් නැද්ද?
98dee13baf	මම රහත් බවට පත් වූවෙමි යැයි
98df8f3b55	මේ තරම් සියුමැලි ද කළුගල්
98dfdf5d60	සිංහල උපසිරැසි වලට ස්තූතියි මචන්!
98e0988c45	තරහා ගියාම නෝනා අමතන්නේ කොහොමද?
98e0cda53e	එම ස්ථාන වලදී පමණක්
98e0d50b9e	එදා අපි ගෙදර ආවම
98e1cb5d16	තමා සඟවාගෙන ඉන්න වස්තුව
98e1eff557	මෙම ග්‍රන්ථය පර්යේෂණ සාක්ෂි වල විශ්ලේෂණයකි.
98e2082c58	සිය කරුණු ඉස්මතු කිරීමට
98e2afc90a	ඔවුන් වසර ගණනාවක් පුරා අඛන්ඩව
98e2bae519	මුදුන කපා සම කර,
98e2c37a7f	ඔබේ චෝදනාව බොරු
98e33863a4	දේශයේ සැබෑ විරුවනි
98e36c36cd	එවිට එවන් නායකයන් අතින්
98e3a14bf4	එනම් යථාර්ථයේ ස්භාවය
98e3abf62b	dsa
98e3cddb25	නමුත් මෙය පටන්ගෙන තප්පර කිපයක් යද්දි
98e49ed101	කොස්කඳවල කියන ග්‍රාමය
98e5458c9d	නමුත් පින් වලින් ලැබෙන සැප මොනවාද
98e56ededf	ක්‍රිකට් ආයතනයේ කළමනාකරු විදියට
98e6125c6d	krishantha bandara
98e646304c	ඊටත් වඩා පහසු
98e691ad6b	දැන් මෛත්‍රී භාවනාව කරලා
98e8e82e83	පියවර අරන් තිබෙනවා.
98e8ecf244	ඒවායේ නිත්‍ය බවක්
98e955fb9a	සැබෑ තත්වය නම් දැනටත්
98e959fa94	එවැනි චන්ද්‍රග්‍රහණයක්
98e99d62b4	ස්තූතියි සහෝ කමෙන්ට් එකට
98ea2cc885	ඔහුටම පරාවලල්ලක් විය.
98ea9664dc	ඇස් වහගෙන භාවනාවට සුදුසු විදිහට ඉරියව්ව සකස් කරගන්න
98eaeaa4bf	මගේ දැඩි අවධානයට යොමු වුණා.
98eaeb7876	සොයා යා හැකි වන්නේ
98eafe5de5	මාවිල්ආරු ජලය පිළිබඳ ප්‍රශ්නයේදී
98eb6946d2	කාගේ හෝ හිතට ආපු පලියටම නොවේ
98ebdfa6db	වැදගත් ලක්ෂණයකි
98ec4f04ea	හැබැයි ඒ ගොල්ලන්ට නම්
98ec5d9fdd	බැදලා නෙවේද දාන්න ඕනෑ?
98ec732420	ප්‍රථමයෙන් ම බුද්ධගයාවේ පිහිටි
98ed980ddb	ඉතින් මෙයාල අතරට මේ බාප්ප
98edc271db	සුවිශාල පෞරුෂ බලයක් හිමි වෙනවා
98ee2a2e25	එක දවසක් තවත් ඇමතුමක් එනවා
98ee31cdd8	මම කණගාටු වෙනවා
98ee3f3a1b	එයාම තමයි මේකෙ
98eeb679d6	තායිලන්තයේ බැංකොක් අගනුවරදී
98ef30df29	අපහාස නොකලේ යැයි
98ef658df0	වැදගත් කරුණු රැසකි.
98efc1acab	අපට පහසුවෙන් හඳුනාගත හැක
98f02c93f8	තරහව ඉවසා සිටීමයි.
98f098c6ae	ඔය අමන දේ
98f09b60b8	පන්සල ඇතුලේ මහා දේවාලයක්.
98f0c2e5bc	අපරාධකරුවන් කී දෙනෙක්
98f1062677	බුදුරජාණන් වහන්සේ මංගල සූත්‍රයේ සඳහන් කර ඇති ආකාරයට
98f1108dbf	මේ චිත්‍රපටය බැලුවහම
98f14d7caa	තුන්වන පාර්ශ්ව ගැන
98f195a81f	අපි ඒ පිරිසේ
98f1a159e1	එවැනි යානා ධාවනයට
98f1cce1df	රට පුරා යම් මෙහෙවරක් කරන්නට
98f1e8453c	මේ වගේ පක්ෂයක මම ඉන්නෙ නැහැ කියලා
98f23297f4	ගෞරව කරන්න ඕන.
98f23c8336	අත උද තියෙද්දී තමයි
98f281b969	රජතුමා එය වේළුවනාරාමය නමින් බුදුරජාණන් වහන්සේට පූජා කළා.
98f2cace5c	එය වචනයෙන් කියා නිමකළ නොහැකියි.
98f34706d9	ඒ යුගයේ
98f371b97c	ඒත් ඒ ප්‍රශ්නයට ඔවුන් නිශ්චිත උත්තරයක්
98f3a1ba63	එනම් දෝෂ පෙනෙන බැවින්
98f48a61e5	ඒත් සයිඩ් ඉෆෙක්ට්ස් එන්න පුලුවන්
98f4f39dfd	ඉතින් දැන් ඔය බේත් ලංකාවේ අයට ගන්න බැරිද .?
98f500ab05	එම ගුණ ප්‍රකාශ කළේ ආදර්ශයෙනි.
98f528a156	අහිතකර දේ තියනවා නම් එවා
98f54c9e73	ගමනේ යෙදෙයි.
98f5ca1417	මුදලක් ද ඔහු අත නොවීය
98f5ccfeb3	එයට එරෙහිව ගන්නා පියවර කුමක්ද?
98f5fadc71	දකුණු අප්‍රිකාවේ පළමු ජනපති අභාවප්‍රාප්ත
98f667d597	ceylinco life
98f695c860	දකුණු ආසියාවේ සිදුවීම් ගැන
98f6cf7032	බිම් බෝම්බයෙන් බේරෙන බවත්.
98f76b4827	ස්පර්ශයෙන් තොර ප්‍රේමයේ උතුම් බව
98f78f6449	සතුටි දන්වා සිටිමි.
98f7aadcb3	තමන් කරන දෙය උසස් දෙයක්
98f830fe6e	ආසාවෙන් බලන් ඉන්නේ
98f853b3b2	ඒක හරිම
98f877a78c	ඊට රාජ්‍ය මාධ්‍යයෙන් ලැබෙන ප්‍රචාරය
98f88ad32d	ඔබේ වචන සියයේ
98f923f633	එනම් මතවාදීමය වශයෙන්
98f933a265	මොන රටේද කියන්නේ
98f9643dd7	උත්කර්ෂවත් අන්දමින් නව වසර මෙවරත්
98f973c77e	මේ නිසාවෙන් ම බුදු සසුන මෙන්ම
98f9ba1466	රිද්මය ඇයට දැනෙන්නේ කෙලෙස විය හැකිද?
98f9cb03d5	දීඝනිකාය බ්‍රහ්මජාල සූත්‍රයෙහි ද සඳහන්ය.
98f9d6bff2	පුද්ගලයන්ගේ සිත්වල බලපවත්වන රාගය,
98fa313857	අලියා කරන්නේ වැටට යටින්
98fa5c6b2a	කොල්ලා ගෙ වැඩ නම් නියමයි.
98fad00797	මළ භාෂාවක් නෙමෙයි.
98fb54e5fd	වන්නිහාමිගෙ චරිතය වෙන කෙනෙක් කළානං
98fbfd7638	පොදු මනුෂ්‍යයෙකු සතු සංකීර්ණතා සහිතව.
98fc1612aa	කමක් නෑ ඉතින් බාගෙනම බලමුකෝ
98fc533bee	යාළුවො ගැනත් කියලා
98fc61d7c5	එය අනුගමනය කර
98fdddf71d	රසිකයාගේ භාවිතය තුළ
98fe25c232	පැවිදි ජීවිතය මෙන්ම
98fe9d7ad8	රාජ් සෝමදේවයන්වත්
98fefc165a	තියන උන් ගණන
98ff176d55	ආර්ය ශ්‍රාවකයන් මිස
98ff90daf6	ඇති බව සිල්වා මහතා පවසයි.
